[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ondansetron.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Ondansetron.]
[V03AB15, naloxone, The metabolism of Ondansetron can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Ondansetron.]
[L04AC03, anakinra, The metabolism of Ondansetron can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Ondansetron.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Ondansetron.]
[M02AA12, naproxen, The metabolism of Ondansetron can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Ondansetron can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Ondansetron can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Ondansetron.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Ondansetron.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Ondansetron.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Ondansetron can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Ondansetron can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Ondansetron can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Ondansetron can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ondansetron.]
[C08CA07, nisoldipine, The metabolism of Ondansetron can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Ondansetron.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Ondansetron is combined with Zaleplon.]
[N04BC05, pramipexole, Ondansetron may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Ondansetron can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Ondansetron can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Ondansetron can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Ondansetron.]
[R05DA07, noscapine, The metabolism of Ondansetron can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Ondansetron can be decreased when combined with Interferon beta-1a.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Ondansetron.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Ondansetron can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ondansetron can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Ondansetron is combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Ondansetron can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Ondansetron can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Ondansetron can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ondansetron.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Ondansetron.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ondansetron.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxypertine.]
[A03AB03, oxyphenonium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Ondansetron.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[M03AC01, pancuronium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Papaverine.]
[N05CC05, paraldehyde, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Ondansetron can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pargyline.]
[J01MA03, pefloxacin, The metabolism of Ondansetron can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Ondansetron.]
[N05CA01, pentobarbital, The metabolism of Ondansetron can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Ondansetron can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Ondansetron can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Ondansetron.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ondansetron.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Ondansetron.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Ondansetron.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Ondansetron is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Ondansetron.]
[N03AA02, phenobarbital, The metabolism of Ondansetron can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Ondansetron is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Ondansetron.]
[M02AA01, phenylbutazone, The metabolism of Ondansetron can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Ondansetron can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Ondansetron can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Ondansetron can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Ondansetron.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Ondansetron.]
[J05AE01, saquinavir, The metabolism of Ondansetron can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Ondansetron can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pipotiazine.]
[A02BX03, pirenzepine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Ondansetron can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Grepafloxacin.]
[N02CX01, pizotyline, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Ondansetron can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Ondansetron.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Ondansetron is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Ondansetron can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Ondansetron can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Ondansetron can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Ondansetron can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Ondansetron.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Ondansetron.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Ondansetron.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Ondansetron.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Ondansetron.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Ondansetron.]
[P01BA03, primaquine, The metabolism of Ondansetron can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ondansetron can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Ondansetron can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Ondansetron.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Ondansetron.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Ondansetron can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ondansetron.]
[N04AA04, procyclidine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Ondansetron can be decreased when combined with Progesterone.]
[N05AA03, promazine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Ondansetron can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Ondansetron is combined with Propanidid.]
[A03AB05, propantheline, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Periciazine.]
[N05CM06, propiomazine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Ondansetron.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Ondansetron.]
[C07AA05, propranolol, The metabolism of Ondansetron can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Ondansetron is combined with Rizatriptan.]
[R03DC03, montelukast, The metabolism of Ondansetron can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Ondansetron.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Ondansetron.]
[N05AX12, aripiprazole, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Ondansetron.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Ondansetron.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Ondansetron.]
[P01BC01, quinine, The metabolism of Ondansetron can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ondansetron can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Ondansetron.]
[J04AB02, rifampin, The metabolism of Ondansetron can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Ondansetron is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Ondansetron.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Ondansetron.]
[S01FA02, scopolamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Ondansetron.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Ondansetron is combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Ondansetron.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ondansetron.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Ondansetron is combined with Chloral hydrate.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Ondansetron.]
[H02CA04, levoketoconazole, The metabolism of Ondansetron can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
