[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Cocaine.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Cocaine is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Cocaine.]
[J01CF05, floxacillin, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Cocaine.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Cocaine.]
[N07CA03, flunarizine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Cocaine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01BC09, floxuridine, The risk or severity of methemoglobinemia can be increased when Floxuridine is combined with Cocaine.]
[L01BC02, fluorouracil, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Cocaine.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Flupentixol is combined with Cocaine.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Cocaine.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Flutamide is combined with Cocaine.]
[S02AA17, fosfomycin, The risk or severity of methemoglobinemia can be increased when Fosfomycin is combined with Cocaine.]
[S01AA07, framycetin, The risk or severity of methemoglobinemia can be increased when Framycetin is combined with Cocaine.]
[L01BC03, tegafur, The risk or severity of methemoglobinemia can be increased when Tegafur is combined with Cocaine.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Cocaine is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06DA04, galantamine, Galantamine may increase the neuromuscular blocking activities of Cocaine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Cocaine.]
[N03AA04, barbexaclone, The risk or severity of methemoglobinemia can be increased when Barbexaclone is combined with Cocaine.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01XA03, telavancin, The risk or severity of methemoglobinemia can be increased when Telavancin is combined with Cocaine.]
[L02BX02, degarelix, The risk or severity of methemoglobinemia can be increased when Degarelix is combined with Cocaine.]
[L01EA02, dasatinib, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Cocaine.]
[N04BC06, cabergoline, The risk or severity of methemoglobinemia can be increased when Cabergoline is combined with Cocaine.]
[N03AD03, methsuximide, The risk or severity of methemoglobinemia can be increased when Methsuximide is combined with Cocaine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Cocaine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of methemoglobinemia can be increased when Lapatinib is combined with Cocaine.]
[H04AA01, glucagon, Cocaine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The risk or severity of seizure can be decreased when Dexmedetomidine is combined with Cocaine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Cocaine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Cocaine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Cocaine.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may increase the vasoconstricting activities of Cocaine.]
[L01EX02, sorafenib, The risk or severity of methemoglobinemia can be increased when Sorafenib is combined with Cocaine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Cocaine.]
[R02AB30, gramicidin, The risk or severity of methemoglobinemia can be increased when Gramicidin D is combined with Cocaine.]
[L02AE03, goserelin, The risk or severity of methemoglobinemia can be increased when Goserelin is combined with Cocaine.]
[P01BX01, halofantrine, The risk or severity of methemoglobinemia can be increased when Halofantrine is combined with Cocaine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Cocaine.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Cocaine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01CE02, irinotecan, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Cocaine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Cocaine.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Cocaine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Cocaine.]
[L01XX03, altretamine, The risk or severity of methemoglobinemia can be increased when Altretamine is combined with Cocaine.]
[N05CA16, hexobarbital, The risk or severity of methemoglobinemia can be increased when Hexobarbital is combined with Cocaine.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Cocaine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Cocaine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Cocaine.]
[C02DB02, hydralazine, The therapeutic efficacy of Hydralazine can be decreased when used in combination with Cocaine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Cocaine.]
[R05DA03, hydrocodone, The risk or severity of serotonin syndrome can be increased when Hydrocodone is combined with Cocaine.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Cocaine.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Cocaine is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Cocaine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Hydroxyurea is combined with Cocaine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The risk or severity of methemoglobinemia can be increased when Rifabutin is combined with Cocaine.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Rilmenidine.]
[L01DB06, idarubicin, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Cocaine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Cocaine.]
[L01AA06, ifosfamide, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Cocaine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Cocaine is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Cocaine.]
[L01CD01, paclitaxel, The risk or severity of methemoglobinemia can be increased when Paclitaxel is combined with Cocaine.]
[J01XA02, teicoplanin, The risk or severity of methemoglobinemia can be increased when Teicoplanin is combined with Cocaine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Cocaine.]
[M03BX02, tizanidine, The risk or severity of methemoglobinemia can be increased when Tizanidine is combined with Cocaine.]
[L01CE01, topotecan, The risk or severity of methemoglobinemia can be increased when Topotecan is combined with Cocaine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Cocaine.]
[L03AB04, interferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Cocaine.]
[L03AB05, interferon alfa-2b, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Cocaine.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Cocaine is combined with Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Articaine.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Cocaine.]
[L01XX35, anagrelide, The risk or severity of methemoglobinemia can be increased when Anagrelide is combined with Cocaine.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Cocaine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Cocaine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[P01AX06, atovaquone, The risk or severity of methemoglobinemia can be increased when Atovaquone is combined with Cocaine.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Cocaine.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01EB07, isoflurophate, Isoflurophate may increase the neuromuscular blocking activities of Cocaine.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J04AC01, isoniazid, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Cocaine.]
[R03CB01, isoproterenol, Isoprenaline may increase the neuromuscular blocking activities of Cocaine.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Isoxsuprine.]
[J01FA07, josamycin, The risk or severity of methemoglobinemia can be increased when Josamycin is combined with Cocaine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01AA24, kanamycin, The risk or severity of methemoglobinemia can be increased when Kanamycin is combined with Cocaine.]
[N01AX03, ketamine, Ketamine may increase the neuromuscular blocking activities of Cocaine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J02AB02, ketoconazole, The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Cocaine.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Cocaine.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01MB02, nalidixic acid, The risk or severity of methemoglobinemia can be increased when Nalidixic acid is combined with Cocaine.]
[C07AG01, labetalol, The therapeutic efficacy of Labetalol can be decreased when used in combination with Cocaine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Cocaine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Cocaine.]
[N07AA30, ambenonium, Ambenonium may increase the neuromuscular blocking activities of Cocaine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Cocaine.]
[N03AX18, lacosamide, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Cocaine.]
[J01CA11, amdinocillin, The risk or severity of methemoglobinemia can be increased when Amdinocillin is combined with Cocaine.]
[J01CA08, amdinocillin pivoxil, The risk or severity of methemoglobinemia can be increased when Pivmecillinam is combined with Cocaine.]
[L01DC03, mitomycin, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Cocaine.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Cocaine.]
[S02DA01, lidocaine, The risk or severity of seizure can be increased when Lidocaine is combined with Cocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Cocaine.]
[J01FF02, lincomycin, The risk or severity of methemoglobinemia can be increased when Lincomycin is combined with Cocaine.]
[S01AA21, amikacin, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Cocaine.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01AD02, lomustine, The risk or severity of methemoglobinemia can be increased when Lomustine is combined with Cocaine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Cocaine.]
[N05BA06, lorazepam, The risk or severity of methemoglobinemia can be increased when Lorazepam is combined with Cocaine.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01AA04, lymecycline, The risk or severity of methemoglobinemia can be increased when Lymecycline is combined with Cocaine.]
[L01EG01, temsirolimus, The risk or severity of methemoglobinemia can be increased when Temsirolimus is combined with Cocaine.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Cocaine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Cocaine.]
[V04CC02, magnesium sulfate, The risk or severity of methemoglobinemia can be increased when Magnesium sulfate is combined with Cocaine.]
[L01BA05, pralatrexate, The risk or severity of methemoglobinemia can be increased when Pralatrexate is combined with Cocaine.]
[L01EA03, nilotinib, The risk or severity of methemoglobinemia can be increased when Nilotinib is combined with Cocaine.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Cocaine.]
[L01AA05, mechlorethamine, The risk or severity of methemoglobinemia can be increased when Mechlorethamine is combined with Cocaine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05BA03, medazepam, The risk or severity of methemoglobinemia can be increased when Medazepam is combined with Cocaine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Cocaine.]
[P01BC02, mefloquine, The risk or severity of methemoglobinemia can be increased when Mefloquine is combined with Cocaine.]
[J01FG01, pristinamycin, The risk or severity of methemoglobinemia can be increased when Pristinamycin is combined with Cocaine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01AA03, melphalan, The risk or severity of methemoglobinemia can be increased when Melphalan is combined with Cocaine.]
[N06DX01, memantine, Memantine may increase the neuromuscular blocking activities of Cocaine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Cocaine is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of methemoglobinemia can be increased when Mephenytoin is combined with Cocaine.]
[N03AA01, mephobarbital, The risk or severity of methemoglobinemia can be increased when Methylphenobarbital is combined with Cocaine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Mepivacaine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Cocaine is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The risk or severity of methemoglobinemia can be increased when Aminoglutethimide is combined with Cocaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Cocaine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Cocaine.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Cocaine.]
[H01CB03, lanreotide, The risk or severity of methemoglobinemia can be increased when Lanreotide is combined with Cocaine.]
[J01AA05, methacycline, The risk or severity of methemoglobinemia can be increased when Metacycline is combined with Cocaine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Cocaine is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Cocaine is combined with Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AA30, metharbital, The risk or severity of methemoglobinemia can be increased when Metharbital is combined with Cocaine.]
[L01XD04, aminolevulinic acid, The risk or severity of methemoglobinemia can be increased when Aminolevulinic acid is combined with Cocaine.]
[J01XX05, methenamine, The risk or severity of methemoglobinemia can be increased when Methenamine is combined with Cocaine.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01BA04, pemetrexed, The risk or severity of methemoglobinemia can be increased when Pemetrexed is combined with Cocaine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CA15, methohexital, The risk or severity of methemoglobinemia can be increased when Methohexital is combined with Cocaine.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L04AX03, methotrexate, The risk or severity of methemoglobinemia can be increased when Methotrexate is combined with Cocaine.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Cocaine.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Cocaine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Cocaine.]
[V04CG05, methylene blue, Cocaine may increase the serotonergic activities of Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of methemoglobinemia can be increased when Methylprednisolone is combined with Cocaine.]
[N03AF03, rufinamide, The risk or severity of methemoglobinemia can be increased when Rufinamide is combined with Cocaine.]
[G03EK01, methyltestosterone, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Cocaine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03FA01, metoclopramide, The risk or severity of methemoglobinemia can be increased when Metoclopramide is combined with Cocaine.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Cocaine.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Cocaine.]
[P01AB01, metronidazole, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Cocaine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Cocaine.]
[J01CA10, mezlocillin, The risk or severity of methemoglobinemia can be increased when Mezlocillin is combined with Cocaine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Cocaine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Cocaine.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Cocaine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Mifepristone is combined with Cocaine.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Cocaine.]
[J01AA08, minocycline, The risk or severity of methemoglobinemia can be increased when Minocycline is combined with Cocaine.]
[J01FA11, miocamycin, The risk or severity of methemoglobinemia can be increased when Miocamycin is combined with Cocaine.]
[L01DC02, plicamycin, The risk or severity of methemoglobinemia can be increased when Plicamycin is combined with Cocaine.]
[L01AX01, mitobronitol, The risk or severity of methemoglobinemia can be increased when Mitobronitol is combined with Cocaine.]
[L01XX23, mitotane, The risk or severity of methemoglobinemia can be increased when Mitotane is combined with Cocaine.]
[L01DB07, mitoxantrone, The risk or severity of methemoglobinemia can be increased when Mitoxantrone is combined with Cocaine.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Cocaine.]
[L03AA03, molgramostim, The risk or severity of methemoglobinemia can be increased when Molgramostim is combined with Cocaine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L03AC01, aldesleukin, The risk or severity of methemoglobinemia can be increased when Aldesleukin is combined with Cocaine.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Cocaine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Cocaine is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01DD06, moxalactam, The risk or severity of methemoglobinemia can be increased when Latamoxef is combined with Cocaine.]
[L04AA52, ofatumumab, The risk or severity of methemoglobinemia can be increased when Ofatumumab is combined with Cocaine.]
[L01EX03, pazopanib, The risk or severity of methemoglobinemia can be increased when Pazopanib is combined with Cocaine.]
[L04AA06, mycophenolic acid, The risk or severity of methemoglobinemia can be increased when Mycophenolic acid is combined with Cocaine.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05CA02, amobarbital, The risk or severity of methemoglobinemia can be increased when Amobarbital is combined with Cocaine.]
[P01BA06, amodiaquine, The risk or severity of methemoglobinemia can be increased when Amodiaquine is combined with Cocaine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Cocaine.]
[N03AB05, fosphenytoin, The risk or severity of methemoglobinemia can be increased when Fosphenytoin is combined with Cocaine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Cocaine.]
[J01CA04, amoxicillin, The risk or severity of methemoglobinemia can be increased when Amoxicillin is combined with Cocaine.]
[J01CF06, nafcillin, The risk or severity of methemoglobinemia can be increased when Nafcillin is combined with Cocaine.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Cocaine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Cocaine is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Cocaine is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Cocaine.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01AA10, natamycin, The risk or severity of methemoglobinemia can be increased when Natamycin is combined with Cocaine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01CD02, docetaxel, The risk or severity of methemoglobinemia can be increased when Docetaxel is combined with Cocaine.]
[L02BG04, letrozole, The risk or severity of methemoglobinemia can be increased when Letrozole is combined with Cocaine.]
[S03AA01, neomycin, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Cocaine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Cocaine is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Cocaine.]
[S01EB06, neostigmine, Neostigmine may increase the neuromuscular blocking activities of Cocaine.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of methemoglobinemia can be increased when Amphotericin B is combined with Cocaine.]
[S01AA19, ampicillin, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Cocaine.]
[S01AA23, netilmicin, The risk or severity of methemoglobinemia can be increased when Netilmicin is combined with Cocaine.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XX01, amsacrine, The risk or severity of methemoglobinemia can be increased when Amsacrine is combined with Cocaine.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Cocaine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Cocaine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Cocaine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Cocaine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Cocaine.]
[N05CD02, nitrazepam, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Cocaine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Cocaine.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Nitrofurantoin is combined with Cocaine.]
[N05CF03, zaleplon, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Cocaine.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Cocaine.]
[S01AE02, norfloxacin, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Cocaine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Cocaine.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Cocaine is combined with Nylidrin.]
[H01CB02, octreotide, The risk or severity of methemoglobinemia can be increased when Octreotide is combined with Cocaine.]
[S02AA16, ofloxacin, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Cocaine.]
[J01FA05, oleandomycin, The risk or severity of methemoglobinemia can be increased when Oleandomycin is combined with Cocaine.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Cocaine is combined with Opium.]
