[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Erythromycin.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Erythromycin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Primaquine.]
[N03AA03, primidone, The metabolism of Erythromycin can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Procaine.]
[C10AB05, fenofibrate, Erythromycin may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Prochlorperazine.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Promazine.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Erythromycin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Erythromycin.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Propafenone.]
[R06AX26, fexofenadine, Erythromycin can cause an increase in the absorption of Fexofenadine resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Erythromycin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Erythromycin.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Erythromycin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Erythromycin.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Erythromycin.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Erythromycin is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Erythromycin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Erythromycin.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Erythromycin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Erythromycin.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Erythromycin.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quinine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Erythromycin can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Roxithromycin.]
[A07EC01, sulfasalazine, The excretion of Erythromycin can be decreased when combined with Sulfasalazine.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Erythromycin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Erythromycin.]
[V04CC03, sincalide, The excretion of Sincalide can be decreased when combined with Erythromycin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Sotalol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Erythromycin.]
[C03DA01, spironolactone, Erythromycin may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Erythromycin.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Erythromycin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Erythromycin.]
[H02CA04, levoketoconazole, The metabolism of Erythromycin can be decreased when combined with Levoketoconazole.]
[A05AA02, ursodiol, Erythromycin may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[N02CA01, dihydroergotamine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[C10AA01, simvastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[G02AB03, ergonovine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[N02CA02, ergotamine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[L01CE02, irinotecan, Irinotecan - CYP3A4 inhibitors]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[C10AA02, lovastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[G02AB01, methylergonovine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
