[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apalutamide.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Apalutamide.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be increased when combined with Apalutamide.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AX18, lacosamide, The serum concentration of Lacosamide can be increased when it is combined with Apalutamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be increased when combined with Apalutamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Apalutamide.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Lidocaine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be increased when combined with Apalutamide.]
[S01AA21, amikacin, Apalutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Apalutamide.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be increased when combined with Apalutamide.]
[A07DA03, loperamide, The serum concentration of Loperamide can be decreased when it is combined with Apalutamide.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be increased when combined with Apalutamide.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Apalutamide.]
[G03DC03, lynestrenol, The serum concentration of Lynestrenol can be increased when it is combined with Apalutamide.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be decreased when it is combined with Apalutamide.]
[B05XA11, magnesium chloride, Magnesium chloride may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BA05, pralatrexate, Apalutamide may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The metabolism of Apalutamide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be decreased when it is combined with Apalutamide.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01AA08, medigoxin, Apalutamide may increase the excretion rate of Metildigoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be increased when combined with Apalutamide.]
[P01BC02, mefloquine, The serum concentration of Mefloquine can be decreased when it is combined with Apalutamide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Apalutamide.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Apalutamide.]
[N03AB04, mephenytoin, The metabolism of Apalutamide can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The serum concentration of Methylphenobarbital can be increased when it is combined with Apalutamide.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Mepivacaine.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be decreased when it is combined with Apalutamide.]
[A10BA02, metformin, The serum concentration of Metformin can be increased when it is combined with Apalutamide.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be increased when combined with Apalutamide.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Apalutamide.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be increased when combined with Apalutamide.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Apalutamide.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Apalutamide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Apalutamide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Apalutamide.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Apalutamide.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Apalutamide.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be increased when combined with Apalutamide.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Apalutamide.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be increased when combined with Apalutamide.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be increased when combined with Apalutamide.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Apalutamide.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be increased when combined with Apalutamide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Apalutamide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Apalutamide.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Apalutamide.]
[S02AA13, miconazole, The metabolism of Apalutamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Apalutamide.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Apalutamide.]
[G03XB01, mifepristone, The serum concentration of Apalutamide can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C09CA03, valsartan, The excretion of Valsartan can be increased when combined with Apalutamide.]
[L01XX23, mitotane, The metabolism of Apalutamide can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, Apalutamide may increase the excretion rate of Mitoxantrone which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Apalutamide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The serum concentration of Amitriptyline can be increased when it is combined with Apalutamide.]
[N02AA01, morphine, The serum concentration of Morphine can be decreased when it is combined with Apalutamide.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be increased when combined with Apalutamide.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Apalutamide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Apalutamide can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be decreased when it is combined with Apalutamide.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P01BA06, amodiaquine, The metabolism of Apalutamide can be decreased when combined with Amodiaquine.]
[G04CA04, silodosin, The serum concentration of Silodosin can be decreased when it is combined with Apalutamide.]
[G03XC01, raloxifene, The metabolism of Apalutamide can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Apalutamide.]
[C07AA12, nadolol, The excretion of Nadolol can be decreased when combined with Apalutamide.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V03AB15, naloxone, The metabolism of Apalutamide can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Apalutamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Apalutamide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Apalutamide can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Apalutamide.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Apalutamide.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Apalutamide.]
[S03AA01, neomycin, Apalutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be increased when combined with Apalutamide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Apalutamide.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA23, netilmicin, Apalutamide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be increased when combined with Apalutamide.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Apalutamide.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be increased when combined with Apalutamide.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be increased when combined with Apalutamide.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be increased when combined with Apalutamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Apalutamide.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be increased when combined with Apalutamide.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Apalutamide.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be increased when combined with Apalutamide.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Apalutamide.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Apalutamide may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Apalutamide.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Apalutamide.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Apalutamide.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Apalutamide.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Apalutamide.]
[C02KX01, bosentan, The metabolism of Bosentan can be increased when combined with Apalutamide.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be decreased when it is combined with Apalutamide.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be increased when combined with Apalutamide.]
[L04AC04, rilonacept, The metabolism of Apalutamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The serum concentration of Omeprazole can be increased when it is combined with Apalutamide.]
[N02AA02, opium, The metabolism of Opium can be increased when combined with Apalutamide.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be increased when combined with Apalutamide.]
[C01AC01, ouabain, The excretion of Ouabain can be increased when combined with Apalutamide.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Apalutamide.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be increased when combined with Apalutamide.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Apalutamide.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Apalutamide.]
[N05AH05, asenapine, The metabolism of Asenapine can be increased when combined with Apalutamide.]
[J04AB30, capreomycin, Apalutamide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Apalutamide.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be increased when combined with Apalutamide.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be increased when combined with Apalutamide.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be increased when combined with Apalutamide.]
[M01CC01, penicillamine, The excretion of Penicillamine can be increased when combined with Apalutamide.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Apalutamide.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CA01, pentobarbital, The serum concentration of Pentobarbital can be increased when it is combined with Apalutamide.]
[L01XX08, pentostatin, Apalutamide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be increased when combined with Apalutamide.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Apalutamide.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AA02, phenobarbital, The serum concentration of Phenobarbital can be increased when it is combined with Apalutamide.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Apalutamide.]
[A08AA01, phentermine, The metabolism of Phentermine can be increased when combined with Apalutamide.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A02BC06, dexlansoprazole, The serum concentration of Dexlansoprazole can be increased when it is combined with Apalutamide.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Apalutamide.]
[L04AB06, golimumab, The metabolism of Apalutamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Apalutamide.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Apalutamide.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08CX01, mibefradil, The serum concentration of Mibefradil can be decreased when it is combined with Apalutamide.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Apalutamide.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Apalutamide.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Apalutamide.]
[J05AE01, saquinavir, The metabolism of Apalutamide can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be increased when combined with Apalutamide.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Apalutamide can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Apalutamide.]
[J05AG02, delavirdine, The metabolism of Apalutamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Apalutamide can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Apalutamide can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be increased when combined with Apalutamide.]
[L02BG03, anastrozole, The metabolism of Apalutamide can be decreased when combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Apalutamide.]
[L04AC08, canakinumab, The metabolism of Apalutamide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Apalutamide.]
[J05AE03, ritonavir, The serum concentration of Ritonavir can be decreased when it is combined with Apalutamide.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be increased when combined with Apalutamide.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Apalutamide can be decreased when combined with Pitavastatin.]
[N05BA11, prazepam, The metabolism of Prazepam can be increased when combined with Apalutamide.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Apalutamide.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Apalutamide.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be increased when combined with Apalutamide.]
[H02AB07, prednisone, The metabolism of Prednisone can be increased when combined with Apalutamide.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be increased when combined with Apalutamide.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be increased when combined with Apalutamide.]
[N03AA03, primidone, The serum concentration of Primidone can be increased when it is combined with Apalutamide.]
[M04AB01, probenecid, The metabolism of Apalutamide can be increased when combined with Probenecid.]
[C01BA02, procainamide, The excretion of Procainamide can be decreased when combined with Apalutamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Apalutamide.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be increased when combined with Apalutamide.]
[G03DA04, progesterone, The serum concentration of Progesterone can be increased when it is combined with Apalutamide.]
[N05AA03, promazine, The metabolism of Promazine can be increased when combined with Apalutamide.]
[G03DB07, promegestone, The metabolism of Promegestone can be increased when combined with Apalutamide.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Propafenone can be increased when combined with Apalutamide.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be decreased when it is combined with Apalutamide.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be decreased when it is combined with Apalutamide.]
[N01AX10, propofol, The metabolism of Apalutamide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be increased when combined with Apalutamide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Apalutamide.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Apalutamide.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Apalutamide.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Apalutamide.]
[P02CC01, pyrantel, Pyrantel may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P01BD01, pyrimethamine, The metabolism of Apalutamide can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Apalutamide.]
[C01BA01, quinidine, The serum concentration of Quinidine can be decreased when it is combined with Apalutamide.]
[P01BC01, quinine, The serum concentration of Quinine can be increased when it is combined with Apalutamide.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Apalutamide.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Apalutamide.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Apalutamide can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be increased when combined with Apalutamide.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A07EC01, sulfasalazine, Apalutamide may increase the excretion rate of Sulfasalazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be increased when combined with Apalutamide.]
[N05CA06, secobarbital, The metabolism of Apalutamide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Apalutamide.]
[J01GB08, sisomicin, Apalutamide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be decreased when it is combined with Apalutamide.]
[C03DA01, spironolactone, The metabolism of Apalutamide can be decreased when combined with Spironolactone.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be decreased when it is combined with Apalutamide.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be decreased when it is combined with Apalutamide.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AG01, valproic acid, The serum concentration of Valproic acid can be increased when it is combined with Apalutamide.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be increased when combined with Apalutamide.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
