[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[H02CA04, levoketoconazole, The metabolism of Carbamazepine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Carbamazepine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be increased when combined with Carbamazepine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be increased when combined with Carbamazepine.]
[L04AA24, abatacept, The metabolism of Carbamazepine can be increased when combined with Abatacept.]
[D10AX04, aluminum oxide, Aluminum oxide can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04BC09, rotigotine, Carbamazepine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be increased when combined with Carbamazepine.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AX18, lacosamide, The serum concentration of Lacosamide can be decreased when it is combined with Carbamazepine.]
[C03CC01, ethacrynic acid, Etacrynic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be increased when combined with Carbamazepine.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Carbamazepine.]
[G03AD01, levonorgestrel, The serum concentration of Levonorgestrel can be decreased when it is combined with Carbamazepine.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Lidocaine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be increased when combined with Carbamazepine.]
[S01AA21, amikacin, Amikacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Carbamazepine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Carbamazepine.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be increased when combined with Carbamazepine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Lomustine.]
[A07DA03, loperamide, The metabolism of Loperamide can be increased when combined with Carbamazepine.]
[N05BA06, lorazepam, Carbamazepine may increase the Change in thyroid function activities of Lorazepam.]
[C10AA02, lovastatin, The metabolism of Carbamazepine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Loxapine.]
[J01AA04, lymecycline, The metabolism of Lymecycline can be increased when combined with Carbamazepine.]
[G03DC03, lynestrenol, The serum concentration of Lynestrenol can be decreased when it is combined with Carbamazepine.]
[L01EG01, temsirolimus, The metabolism of Carbamazepine can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Carbamazepine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be increased when combined with Carbamazepine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mazindol.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mechlorethamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Meclizine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05BA03, medazepam, Carbamazepine may increase the Change in thyroid function activities of Medazepam.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be increased when combined with Carbamazepine.]
[P01BC02, mefloquine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Carbamazepine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Carbamazepine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Carbamazepine.]
[N05CH01, melatonin, The metabolism of Melatonin can be increased when combined with Carbamazepine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Melphalan.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Carbamazepine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Mephentermine.]
[N03AB04, mephenytoin, Carbamazepine may increase the Change in thyroid function activities of Mephenytoin.]
[N03AA01, mephobarbital, Carbamazepine may increase the Change in thyroid function activities of Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Carbamazepine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Meptazinol.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Carbamazepine can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Carbamazepine can be decreased when combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be increased when combined with Carbamazepine.]
[H01CB03, lanreotide, The metabolism of Carbamazepine can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Methadone can be increased when combined with Carbamazepine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AB07, methantheline, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Methapyrilene.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be increased when combined with Carbamazepine.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AA30, metharbital, Carbamazepine may increase the Change in thyroid function activities of Metharbital.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Carbamazepine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Carbamazepine.]
[N05CA15, methohexital, Carbamazepine may increase the Change in thyroid function activities of Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Carbamazepine is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Carbamazepine.]
[N05AA02, methotrimeprazine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Carbamazepine.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V04CG05, methylene blue, Carbamazepine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Carbamazepine can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be decreased when it is combined with Carbamazepine.]
[N06BA04, methylphenidate, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Carbamazepine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The serum concentration of Rufinamide can be decreased when it is combined with Carbamazepine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be increased when combined with Carbamazepine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Methyprylon.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Carbamazepine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Carbamazepine.]
[C03BA08, metolazone, The risk or severity of adverse effects can be increased when Metolazone is combined with Carbamazepine.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Carbamazepine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The serum concentration of Metyrapone can be decreased when it is combined with Carbamazepine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Carbamazepine.]
[N06AX03, mianserin, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Carbamazepine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Carbamazepine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Carbamazepine.]
[N05CD08, midazolam, The metabolism of Carbamazepine can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Mifepristone can be decreased when it is combined with Carbamazepine.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Carbamazepine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be increased when combined with Carbamazepine.]
[J01FA11, miocamycin, The metabolism of Carbamazepine can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Carbamazepine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Carbamazepine can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Carbamazepine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Carbamazepine can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be increased when combined with Carbamazepine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be increased when combined with Carbamazepine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Carbamazepine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Carbamazepine.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Carbamazepine.]
[L04AA06, mycophenolic acid, The metabolism of Mycophenolic acid can be increased when combined with Carbamazepine.]
[M03AC03, vecuronium, The serum concentration of Vecuronium can be decreased when it is combined with Carbamazepine.]
[N05CA02, amobarbital, Carbamazepine may increase the Change in thyroid function activities of Amobarbital.]
[J05AJ01, raltegravir, The metabolism of Raltegravir can be increased when combined with Carbamazepine.]
[G04CA04, silodosin, The metabolism of Silodosin can be increased when combined with Carbamazepine.]
[R03BB01, ipratropium bromide, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Carbamazepine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be decreased when it is combined with Carbamazepine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Carbamazepine.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Carbamazepine.]
[J01CF06, nafcillin, The metabolism of Carbamazepine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Carbamazepine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The metabolism of Naltrexone can be increased when combined with Carbamazepine.]
[L04AC03, anakinra, The metabolism of Carbamazepine can be increased when combined with Anakinra.]
[S01XA11, nandrolone, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Nandrolone phenpropionate.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Carbamazepine.]
[A10BG01, troglitazone, The metabolism of Carbamazepine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Carbamazepine.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Carbamazepine.]
[S03AA01, neomycin, Neomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Remifentanil.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be increased when combined with Carbamazepine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Carbamazepine can be decreased when combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[S01AA23, netilmicin, Netilmicin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Carbamazepine can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M04AA03, febuxostat, The metabolism of Febuxostat can be increased when combined with Carbamazepine.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be increased when combined with Carbamazepine.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Carbamazepine.]
[C10AD02, niacin, The metabolism of Carbamazepine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Carbamazepine can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The metabolism of Carbamazepine can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be increased when combined with Carbamazepine.]
[C08CA07, nisoldipine, The metabolism of Carbamazepine can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, Carbamazepine may increase the Change in thyroid function activities of Nitrazepam.]
[C08CA08, nitrendipine, The metabolism of Carbamazepine can be decreased when combined with Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CF03, zaleplon, Carbamazepine may increase the Change in thyroid function activities of Zaleplon.]
[N04BC05, pramipexole, Carbamazepine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nomifensine.]
[G03DC02, norethindrone, The serum concentration of Norethisterone can be decreased when it is combined with Carbamazepine.]
[G03AC07, norgestrienone, The serum concentration of Norgestrienone can be decreased when it is combined with Carbamazepine.]
[C02KX01, bosentan, The metabolism of Carbamazepine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Carbamazepine.]
[R05DA07, noscapine, The metabolism of Carbamazepine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Carbamazepine.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be increased when combined with Carbamazepine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Carbamazepine.]
[H01CB02, octreotide, The serum concentration of Carbamazepine can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Carbamazepine can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Carbamazepine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Carbamazepine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be increased when combined with Carbamazepine.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Carbamazepine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Carbamazepine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be increased when combined with Carbamazepine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A14AA08, oxandrolone, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Carbamazepine can be decreased when combined with Oxycodone.]
[A14AA05, oxymetholone, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Oxymetholone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be increased when combined with Carbamazepine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AB03, oxyphenonium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The metabolism of Asenapine can be increased when combined with Carbamazepine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Carbamazepine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[M03AC01, pancuronium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Capreomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G03DB06, chlormadinone, The serum concentration of Chlormadinone can be decreased when it is combined with Carbamazepine.]
[N05CC05, paraldehyde, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Carbamazepine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be increased when combined with Carbamazepine.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be increased when combined with Carbamazepine.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Carbamazepine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Carbamazepine.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pentazocine.]
[N05CA01, pentobarbital, Carbamazepine may increase the Change in thyroid function activities of Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Carbamazepine.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be decreased when it is combined with Carbamazepine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be increased when combined with Carbamazepine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be increased when combined with Carbamazepine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Carbamazepine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Carbamazepine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Phenelzine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Carbamazepine.]
[N03AA02, phenobarbital, Carbamazepine may increase the Change in thyroid function activities of Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Carbamazepine.]
[A08AA01, phentermine, The metabolism of Phentermine can be increased when combined with Carbamazepine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Carbamazepine can be increased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be increased when combined with Carbamazepine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be decreased when it is combined with Carbamazepine.]
[L04AB06, golimumab, The metabolism of Carbamazepine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Carbamazepine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Carbamazepine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Carbamazepine.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Carbamazepine can be decreased when combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Saquinavir can be decreased when it is combined with Carbamazepine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be increased when combined with Carbamazepine.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A02BX03, pirenzepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Carbamazepine.]
[N02CX01, pizotyline, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Carbamazepine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Carbamazepine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Carbamazepine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Carbamazepine.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be increased when combined with Carbamazepine.]
