[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Oxprenolol.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Oxprenolol.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Oxprenolol.]
[V04CG05, methylene blue, The serum concentration of Oxprenolol can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, Oxprenolol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Oxprenolol.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Oxprenolol.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Oxprenolol.]
[N02CA04, methysergide, Oxprenolol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Oxprenolol.]
[C03BA08, metolazone, Metolazone may increase the hypotensive activities of Oxprenolol.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Oxprenolol.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Oxprenolol.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Oxprenolol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Oxprenolol.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Oxprenolol.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Oxprenolol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Oxprenolol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Tinzaparin.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Oxprenolol.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Oxprenolol.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Oxprenolol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Oxprenolol.]
[C01BD01, amiodarone, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Oxprenolol.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxprenolol.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Oxprenolol.]
[L04AB05, certolizumab pegol, The metabolism of Oxprenolol can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Oxprenolol.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Oxprenolol.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Oxprenolol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Oxprenolol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Oxprenolol is combined with Silodosin.]
[R03BB01, ipratropium bromide, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Oxprenolol.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Fosphenytoin is combined with Oxprenolol.]
[C07AA12, nadolol, Nadolol may increase the arrhythmogenic activities of Oxprenolol.]
[N04BC04, ropinirole, Oxprenolol may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Oxprenolol.]
[L04AC03, anakinra, The metabolism of Oxprenolol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Oxprenolol.]
[N06BA01, amphetamine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Oxprenolol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Oxprenolol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Oxprenolol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Oxprenolol.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Oxprenolol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Oxprenolol.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Oxprenolol.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Oxprenolol.]
[N05AX14, iloperidone, Oxprenolol may increase the orthostatic hypotensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Oxprenolol.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may increase the hypotensive activities of Oxprenolol.]
[C10AD02, niacin, The metabolism of Oxprenolol can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Oxprenolol.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Oxprenolol.]
[C04AE02, nicergoline, Oxprenolol may increase the vasoconstricting activities of Nicergoline.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Oxprenolol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Oxprenolol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Oxprenolol.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Oxprenolol.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nitrazepam.]
[C08CA08, nitrendipine, Nitrendipine may increase the arrhythmogenic activities of Oxprenolol.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Oxprenolol.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Oxprenolol.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Oxprenolol.]
[N04BC05, pramipexole, Oxprenolol may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Oxprenolol.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nomifensine.]
[C01CA03, norepinephrine, Oxprenolol may decrease the bronchodilatory activities of Norepinephrine.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Oxprenolol.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Oxprenolol.]
[G02CA02, nylidrin, Oxprenolol may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Oxprenolol.]
[L04AC04, rilonacept, The metabolism of Oxprenolol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Oxprenolol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Opium.]
[R03CB03, metaproterenol, Oxprenolol may decrease the bronchodilatory activities of Orciprenaline.]
[G04CA02, tamsulosin, Oxprenolol may increase the orthostatic hypotensive activities of Tamsulosin.]
[C01AC01, ouabain, Oxprenolol may increase the bradycardic activities of Ouabain.]
[P02BA02, oxamniquine, The metabolism of Oxprenolol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxprenolol.]
[N07XX04, sodium oxybate, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxprenolol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Oxprenolol.]
[S01GA04, oxymetazoline, The risk or severity of cardiovascular complications can be increased when Oxprenolol is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Oxprenolol.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Oxprenolol.]
[A03AB03, oxyphenonium, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, Oxprenolol may increase the orthostatic hypotensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Oxprenolol.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Papaverine is combined with Oxprenolol.]
[N05CC05, paraldehyde, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Oxprenolol.]
[G04BD11, fesoterodine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Oxprenolol.]
[N05AG03, penfluridol, Oxprenolol may increase the arrhythmogenic activities of Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Oxprenolol.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Oxprenolol.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Oxprenolol.]
[N05AB10, perazine, The serum concentration of Oxprenolol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Oxprenolol.]
[C08EX02, perhexiline, Perhexiline may increase the arrhythmogenic activities of Oxprenolol.]
[N05AB03, perphenazine, The serum concentration of Oxprenolol can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Oxprenolol.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Oxprenolol.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Oxprenolol.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Oxprenolol.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Oxprenolol may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Oxprenolol may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Oxprenolol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Oxprenolol.]
[R01BA01, phenylpropanolamine, Oxprenolol may decrease the bronchodilatory activities of Phenylpropanolamine.]
[N03AB02, phenytoin, The risk or severity of adverse effects can be increased when Phenytoin is combined with Oxprenolol.]
[L04AB06, golimumab, The metabolism of Oxprenolol can be increased when combined with Golimumab.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Oxprenolol.]
[C08CX01, mibefradil, Mibefradil may increase the arrhythmogenic activities of Oxprenolol.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Oxprenolol.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Oxprenolol.]
[J05AE01, saquinavir, The metabolism of Oxprenolol can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Oxprenolol.]
[N05AC04, pipothiazine, The serum concentration of Oxprenolol can be increased when it is combined with Pipotiazine.]
[C09CA02, eprosartan, Eprosartan may increase the hypotensive activities of Oxprenolol.]
[A02BX03, pirenzepine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Oxprenolol.]
[N02CX01, pizotyline, Oxprenolol may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Oxprenolol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Irbesartan may increase the hypotensive activities of Oxprenolol.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Oxprenolol.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Oxprenolol.]
[L04AC08, canakinumab, The metabolism of Oxprenolol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Oxprenolol can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Oxprenolol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Oxprenolol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Oxprenolol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Oxprenolol.]
[C07AB01, practolol, Practolol may increase the arrhythmogenic activities of Oxprenolol.]
[C01BA08, prajmaline, Oxprenolol may increase the arrhythmogenic activities of Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Prazepam.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Oxprenolol.]
[C01DX02, prenylamine, Oxprenolol may increase the arrhythmogenic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Oxprenolol.]
[P01BA03, primaquine, The metabolism of Oxprenolol can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Oxprenolol.]
[C01BA02, procainamide, Procainamide may increase the arrhythmogenic activities of Oxprenolol.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Oxprenolol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Oxprenolol.]
[N05AB04, prochlorperazine, The serum concentration of Oxprenolol can be increased when it is combined with Prochlorperazine.]
[N04AA04, procyclidine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Oxprenolol.]
[N05AA03, promazine, The serum concentration of Oxprenolol can be increased when it is combined with Promazine.]
[R06AD02, promethazine, The serum concentration of Oxprenolol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of adverse effects can be increased when Propafenone is combined with Oxprenolol.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Propanidid.]
[A03AB05, propantheline, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The serum concentration of Oxprenolol can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Oxprenolol may increase the orthostatic hypotensive activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Oxprenolol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Oxprenolol.]
[C07AA05, propranolol, Propranolol may increase the arrhythmogenic activities of Oxprenolol.]
[C01AB01, proscillaridin, Oxprenolol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Oxprenolol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Oxprenolol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Oxprenolol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Oxprenolol.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Oxprenolol.]
[A03AB15, diphemanil, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Oxprenolol.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pyrantel.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Oxprenolol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Oxprenolol.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Mepyramine.]
[C01BA01, quinidine, Quinidine may increase the arrhythmogenic activities of Oxprenolol.]
[P01BC01, quinine, The metabolism of Oxprenolol can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Oxprenolol.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Oxprenolol.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Oxprenolol.]
[J04AB02, rifampin, The metabolism of Oxprenolol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Oxprenolol.]
[G02CA01, ritodrine, Oxprenolol may decrease the bronchodilatory activities of Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Oxprenolol.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Oxprenolol.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Oxprenolol.]
[S01FA02, scopolamine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Oxprenolol.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Oxprenolol.]
[L01FA03, obinutuzumab, Oxprenolol may increase the hypotensive activities of Obinutuzumab.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Oxprenolol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Oxprenolol.]
