[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Mometasone furoate.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Mometasone furoate.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Mometasone furoate.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Mometasone furoate.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Mometasone furoate.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Mometasone furoate.]
[J01FA08, troleandomycin, The metabolism of Mometasone furoate can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Mometasone furoate.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Mometasone furoate.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Mometasone furoate.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Mometasone furoate.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Mometasone furoate.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Mometasone furoate can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Mometasone furoate can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Mometasone furoate.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Mometasone furoate.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Mometasone furoate.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Mometasone furoate.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Mometasone furoate.]
[N06AX09, viloxazine, The metabolism of Mometasone furoate can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Mometasone furoate.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Mometasone furoate.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Mometasone furoate.]
[B01AA03, warfarin, Mometasone furoate may increase the anticoagulant activities of Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mometasone furoate.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Mometasone furoate.]
[J05AE02, indinavir, The metabolism of Mometasone furoate can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Mometasone furoate.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Mometasone furoate.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Mometasone furoate.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Mometasone furoate.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Mometasone furoate can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The serum concentration of Mometasone furoate can be increased when it is combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Mometasone furoate.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Mometasone furoate.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Mometasone furoate.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Mometasone furoate.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Mometasone furoate.]
[J02AC03, voriconazole, The serum concentration of Mometasone furoate can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Mometasone furoate.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Mometasone furoate.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Mometasone furoate.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Prednylidene is combined with Mometasone furoate.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Mometasone furoate.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Mometasone furoate.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Mometasone furoate.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Mometasone furoate.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Mometasone furoate.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Mometasone furoate.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Mometasone furoate.]
[V03AX03, cobicistat, The metabolism of Mometasone furoate can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Mometasone furoate can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Mometasone furoate.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Mometasone furoate.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Mometasone furoate.]
[A02AA05, magnesium silicate, The bioavailability of Mometasone furoate can be decreased when combined with Magnesium silicate.]
[A02AC02, calcium silicate, The bioavailability of Mometasone furoate can be decreased when combined with Calcium silicate.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Mometasone furoate.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Mometasone furoate.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Mometasone furoate.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Acetyldigitoxin.]
[J05AE04, nelfinavir, The metabolism of Mometasone furoate can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Mometasone furoate.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Mometasone furoate.]
[N06DA02, donepezil, The therapeutic efficacy of Donepezil can be decreased when used in combination with Mometasone furoate.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Mometasone furoate.]
[L04AA29, tofacitinib, Mometasone furoate may increase the immunosuppressive activities of Tofacitinib.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Mometasone furoate.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Mometasone furoate.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Mometasone furoate.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Mometasone furoate.]
[A10BH04, alogliptin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Mometasone furoate.]
[C03AA01, bendroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Mometasone furoate.]
[N02BA10, benorilate, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Mometasone furoate.]
[J01MA15, gemifloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Mometasone furoate.]
[A10AE05, insulin detemir, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Pramlintide.]
[M01AH01, celecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Mometasone furoate.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Mometasone furoate.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Mometasone furoate.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Mometasone furoate.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Mometasone furoate.]
[A10BJ03, lixisenatide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Lixisenatide.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Mometasone furoate.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Mometasone furoate.]
[G03AC08, etonogestrel, The serum concentration of Mometasone furoate can be increased when it is combined with Etonogestrel.]
[J05AP05, simeprevir, The metabolism of Mometasone furoate can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Droxidopa.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Mometasone furoate.]
[A16AA07, metreleptin, The metabolism of Mometasone furoate can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Apremilast is combined with Mometasone furoate.]
[L02BG02, formestane, The risk or severity of edema formation can be increased when Formestane is combined with Mometasone furoate.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Mometasone furoate.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Mometasone furoate.]
[A10BJ04, albiglutide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Mometasone furoate.]
[L01ED02, ceritinib, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Mometasone furoate.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Mometasone furoate.]
[B01AA07, acenocoumarol, Mometasone furoate may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Mometasone furoate.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Mometasone furoate.]
[A10BK03, empagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Mometasone furoate.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Peginterferon beta-1a is combined with Mometasone furoate.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Mometasone furoate.]
[V04CX03, methacholine, Mometasone furoate may decrease effectiveness of Methacholine as a diagnostic agent.]
[A10BJ05, dulaglutide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Mometasone furoate.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Mometasone furoate.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Mometasone furoate.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Mometasone furoate.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Mometasone furoate.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Mometasone furoate.]
[B01AA01, dicumarol, Mometasone furoate may increase the anticoagulant activities of Dicoumarol.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Mometasone furoate.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Mometasone furoate.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Mometasone furoate.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Mometasone furoate.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Mometasone furoate.]
[B01AA11, tioclomarol, Mometasone furoate may increase the anticoagulant activities of Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Mometasone furoate.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Mometasone furoate.]
[A06AD03, magnesium peroxide, The bioavailability of Mometasone furoate can be decreased when combined with Magnesium peroxide.]
[A10BF01, acarbose, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Acemetacin.]
[A10AE06, insulin degludec, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Mometasone furoate.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Mometasone furoate.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Mometasone furoate.]
[J02AC05, isavuconazole, The metabolism of Mometasone furoate can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Mometasone furoate.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be increased when combined with Mometasone furoate.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Mometasone furoate.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Mometasone furoate.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Mometasone furoate.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Mometasone furoate.]
[A10BB31, acetohexamide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Acetohexamide.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Mometasone furoate.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Alminoprofen.]
[A02AB06, aloglutamol, The bioavailability of Mometasone furoate can be decreased when combined with Aloglutamol.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ixekizumab is combined with Mometasone furoate.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Mometasone furoate.]
[N04BC01, bromocriptine, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, The bioavailability of Mometasone furoate can be decreased when combined with Almasilate.]
[A02AB03, aluminum phosphate, The bioavailability of Mometasone furoate can be decreased when combined with Aluminium phosphate.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Mometasone furoate.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Mometasone furoate.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Bumetanide.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Mometasone furoate.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Mometasone furoate.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Mometasone furoate.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Mometasone furoate.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Mometasone furoate.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Mometasone furoate.]
[J01MA09, sparfloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Mometasone furoate.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Mometasone furoate.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Brodalumab is combined with Mometasone furoate.]
[L01EF02, ribociclib, The metabolism of Mometasone furoate can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Mometasone furoate.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Ocrelizumab is combined with Mometasone furoate.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Mometasone furoate.]
[A10BX06, benfluorex, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Benfluorex.]
[H05BX05, calcifediol, The therapeutic efficacy of Calcifediol can be decreased when used in combination with Mometasone furoate.]
[D05AX03, calcitriol, The therapeutic efficacy of Calcitriol can be decreased when used in combination with Mometasone furoate.]
[A12AA04, calcium carbonate, The bioavailability of Mometasone furoate can be decreased when combined with Calcium carbonate.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Mometasone furoate.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Mometasone furoate.]
[J05AE09, tipranavir, The metabolism of Mometasone furoate can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Mometasone furoate.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Mometasone furoate.]
[L01EX10, midostaurin, The metabolism of Mometasone furoate can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Mometasone furoate.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Mometasone furoate.]
[J01MA23, delafloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Guselkumab is combined with Mometasone furoate.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Mometasone furoate.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Mometasone furoate.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Mometasone furoate.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Mometasone furoate.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Mometasone furoate.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Mometasone furoate.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Mometasone furoate can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Mometasone furoate.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Mometasone furoate.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Mometasone furoate.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Mometasone furoate.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Semaglutide.]
[N01BX04, capsaicin, The therapeutic efficacy of Capsaicin can be decreased when used in combination with Mometasone furoate.]
[A10BK04, ertugliflozin, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Ertugliflozin.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Mometasone furoate.]
[L02BB05, apalutamide, The serum concentration of Apalutamide can be increased when it is combined with Mometasone furoate.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Mometasone furoate.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Mometasone furoate.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Baricitinib is combined with Mometasone furoate.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Mometasone furoate is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Mometasone furoate.]
[L01XX62, ivosidenib, The metabolism of Mometasone furoate can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Mometasone furoate can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Mometasone furoate.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Mometasone furoate.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Mometasone furoate.]
[A10BB06, carbutamide, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Carbutamide.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Lornoxicam.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Mometasone furoate.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Mometasone furoate.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Mometasone furoate.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Mometasone furoate.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ravulizumab is combined with Mometasone furoate.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Mometasone furoate.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Mometasone furoate.]
[J01FA09, clarithromycin, The metabolism of Mometasone furoate can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Mometasone furoate.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Cloprednol is combined with Mometasone furoate.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Mometasone furoate.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Cortivazol is combined with Mometasone furoate.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Mometasone furoate.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Mometasone furoate.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Upadacitinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Mometasone furoate.]
[N07XX11, pitolisant, The serum concentration of Mometasone furoate can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Mometasone furoate.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Mometasone furoate.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Mometasone furoate.]
[C03AA09, cyclothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Mometasone furoate.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Deflazacort is combined with Mometasone furoate.]
[G03DB05, demegestone, The serum concentration of Mometasone furoate can be increased when it is combined with Demegestone.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Mometasone furoate.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Mometasone furoate.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Mometasone furoate is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Mometasone furoate.]
[G03AC09, desogestrel, The serum concentration of Mometasone furoate can be increased when it is combined with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Mometasone furoate can be decreased when it is combined with Cenobamate.]
[S01XA12, dexpanthenol, The therapeutic efficacy of Dexpanthenol can be decreased when used in combination with Mometasone furoate.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be increased when combined with Mometasone furoate.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Mometasone furoate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Mometasone furoate.]
[S01AE06, gatifloxacin, The risk or severity of tendinopathy can be increased when Mometasone furoate is combined with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Mometasone furoate can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Mometasone furoate.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Mometasone furoate.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Mometasone furoate.]
[G03DB08, dienogest, The serum concentration of Mometasone furoate can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Mometasone furoate.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Mometasone furoate.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Mometasone furoate.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Mometasone furoate.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Mometasone furoate.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Mometasone furoate.]
[M01AC04, droxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Droxicam.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Dexketoprofen.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Mometasone furoate is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Mometasone furoate.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Mometasone furoate.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Mometasone furoate.]
[L04AC19, satralizumab, The serum concentration of Mometasone furoate can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Mometasone furoate.]
[C03AA04, chlorothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone furoate is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Mometasone furoate.]
