[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Acetaminophen can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Acetaminophen may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Acetaminophen can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Acetaminophen.]
[M01AB14, proglumetacin, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Acetaminophen can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Acetaminophen.]
[A03FA02, cisapride, The metabolism of Acetaminophen can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Acetaminophen.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Acetaminophen.]
[S01AX06, resorcinol, Acetaminophen may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Acetaminophen can be decreased when combined with Disopyramide.]
[P03AA04, disulfiram, Disulfiram may increase the hepatotoxic activities of Acetaminophen.]
[S02AA12, rifamycin SV, The metabolism of Acetaminophen can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Acetaminophen can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Acetaminophen.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Acetaminophen.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Acetaminophen can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Acetaminophen.]
[A04AD12, aprepitant, The metabolism of Acetaminophen can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Acetaminophen.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Acetaminophen.]
[G04BE08, tadalafil, Acetaminophen may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Ketorolac.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Acetaminophen.]
[N02BA06, salsalate, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Salsalate.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[C01CA07, dobutamine, Acetaminophen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Acetaminophen.]
[C01CA04, dopamine, Acetaminophen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Acetaminophen can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Acetaminophen.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Acetaminophen.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Acetaminophen can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the hepatotoxic activities of Acetaminophen.]
[A08AA10, sibutramine, Acetaminophen may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Acetaminophen.]
[A12CA02, sodium sulfate, Acetaminophen may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Acetaminophen may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Acetaminophen may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Acetaminophen may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Acetaminophen.]
[J01MA05, temafloxacin, The metabolism of Acetaminophen can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, Acetaminophen may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Acetaminophen can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Acetaminophen.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Acetaminophen.]
[G01AF08, tioconazole, Tioconazole may increase the hepatotoxic activities of Acetaminophen.]
[M01AG02, tolfenamic acid, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Acetaminophen may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Acetaminophen may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N01AB04, enflurane, Enflurane may increase the hepatotoxic activities of Acetaminophen.]
[J01MA04, enoxacin, The metabolism of Acetaminophen can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Acetaminophen.]
[S01GX10, epinastine, The metabolism of Acetaminophen can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Acetaminophen can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Acetaminophen can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Acetaminophen.]
[M01AB04, zomepirac, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Acetaminophen.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Acetaminophen.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[C02AC02, guanfacine, Acetaminophen may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02CA02, ergotamine, The metabolism of Acetaminophen can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Acetaminophen may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Acetaminophen can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Acetaminophen may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Acetaminophen can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Acetaminophen.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Acetaminophen can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Acetaminophen may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Acetaminophen.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The serum concentration of Acetaminophen can be decreased when it is combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[N03AD01, ethosuximide, Ethosuximide may increase the hepatotoxic activities of Acetaminophen.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Acetaminophen.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Acetaminophen.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Acetaminophen.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Acetaminophen.]
[R06AX12, terfenadine, The metabolism of Acetaminophen can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Acetaminophen may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Acetaminophen can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Acetaminophen can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Acetaminophen.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Acetaminophen.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Acetaminophen can be decreased when combined with Sodium aurothiomalate.]
[B05AA05, dextran, Acetaminophen may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Acetaminophen may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The metabolism of Acetaminophen can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Acetaminophen may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Acetaminophen can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Acetaminophen can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Acetaminophen can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Fenoprofen.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Acetaminophen.]
[R03CC02, albuterol, Acetaminophen may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Acetaminophen may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[G04BD02, flavoxate, Acetaminophen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Acetaminophen.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Acetaminophen can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Acetaminophen may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Acetaminophen may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Acetaminophen.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the hepatotoxic activities of Acetaminophen.]
[L01BC09, floxuridine, Acetaminophen may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Acetaminophen.]
[N06AB03, fluoxetine, The serum concentration of Acetaminophen can be increased when it is combined with Fluoxetine.]
[N05AB02, fluphenazine, Fluphenazine may increase the hepatotoxic activities of Acetaminophen.]
[N05CD01, flurazepam, Flurazepam may increase the hepatotoxic activities of Acetaminophen.]
[S01BC04, flurbiprofen, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Flurbiprofen.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[S02AA17, fosfomycin, Acetaminophen may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Acetaminophen.]
[J05AE10, darunavir, The metabolism of Acetaminophen can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Acetaminophen.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Acetaminophen.]
[S01AD09, ganciclovir, Acetaminophen may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Acetaminophen can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Acetaminophen can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Acetaminophen may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Acetaminophen.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Acetaminophen.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Acetaminophen.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Acetaminophen.]
[L01EH01, lapatinib, The serum concentration of Acetaminophen can be increased when it is combined with Lapatinib.]
[A10BB07, glipizide, Acetaminophen may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Acetaminophen can be decreased when combined with Dexmedetomidine.]
[A06AX01, glycerin, Glycerin may increase the hepatotoxic activities of Acetaminophen.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Acetaminophen.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Acetaminophen.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Acetaminophen.]
[C07AB09, esmolol, The metabolism of Acetaminophen can be decreased when combined with Esmolol.]
[M01CB04, aurothioglucose, Acetaminophen may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Acetaminophen may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Acetaminophen may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Acetaminophen may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Acetaminophen may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Acetaminophen can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Acetaminophen.]
[N01AB01, halothane, Halothane may increase the hepatotoxic activities of Acetaminophen.]
[N05AH04, quetiapine, Acetaminophen may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Acetaminophen may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Acetaminophen.]
[M04AA01, allopurinol, Acetaminophen may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Acetaminophen.]
[A07EC02, mesalamine, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Acetaminophen can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Acetaminophen can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, Nilvadipine may increase the hepatotoxic activities of Acetaminophen.]
[M02AA26, nimesulide, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Nimesulide.]
[C09AA04, perindopril, Acetaminophen may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Acetaminophen may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA01, hydrocortisone, The metabolism of Acetaminophen can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Acetaminophen may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[G04BD06, propiverine, Acetaminophen may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Acetaminophen can be decreased when combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Acetaminophen may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Hydroxyurea.]
[B05XA08, sodium acetate, Acetaminophen may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Acetaminophen.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Acetaminophen.]
[H01AC02, somatrem, The metabolism of Acetaminophen can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Acetaminophen can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Acetaminophen.]
[R01AD07, tixocortol, Acetaminophen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Acetaminophen may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Indomethacin.]
[A11HA07, inositol, Acetaminophen may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Acetaminophen can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Acetaminophen can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Acetaminophen.]
[S01XA28, varenicline, Acetaminophen may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Articaine.]
[A10BH01, sitagliptin, Acetaminophen may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Acetaminophen.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Acetaminophen.]
[C10AA06, cerivastatin, The metabolism of Acetaminophen can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Acetaminophen can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Acetaminophen.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Acetaminophen can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Acetaminophen may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AF05, iproniazid, The metabolism of Acetaminophen can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Acetaminophen can be decreased when combined with Penciclovir.]
[N01AB06, isoflurane, Isoflurane may increase the hepatotoxic activities of Acetaminophen.]
[N04BX02, entacapone, The metabolism of Acetaminophen can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, Isoniazid may increase the hepatotoxic activities of Acetaminophen.]
[J05AX05, inosine pranobex, Acetaminophen may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Isosorbide dinitrate may increase the hepatotoxic activities of Acetaminophen.]
[D10BA01, isotretinoin, Acetaminophen may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The metabolism of Acetaminophen can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Acetaminophen may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Acetaminophen can be increased when combined with Somatotropin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Acetaminophen resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Acetaminophen can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Acetaminophen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Acetaminophen may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Acetaminophen can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Acetaminophen can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Acetaminophen.]
[M02AA10, ketoprofen, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Acetaminophen can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Acetaminophen can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Acetaminophen can be decreased when combined with Rotigotine.]
[D10AX03, azelaic acid, Acetaminophen may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Acetaminophen can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Acetaminophen can be decreased when combined with Labetalol.]
[N04BB01, amantadine, Acetaminophen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Acetaminophen may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Acetaminophen.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Acetaminophen.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Lidocaine.]
[S01AA21, amikacin, Acetaminophen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Acetaminophen can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Acetaminophen.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Acetaminophen.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Acetaminophen.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Acetaminophen.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Acetaminophen.]
[B05XA11, magnesium chloride, Acetaminophen may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Acetaminophen resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Acetaminophen resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BA05, pralatrexate, Acetaminophen may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Acetaminophen can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Acetaminophen.]
[C02BB01, mecamylamine, Acetaminophen may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Acetaminophen.]
[M02AA18, meclofenamic acid, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Meclofenamic acid.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Acetaminophen.]
[N06DX01, memantine, Acetaminophen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Acetaminophen.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Acetaminophen.]
[N03AA01, mephobarbital, The metabolism of Acetaminophen can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Mepivacaine.]
[G04BX16, tiopronin, Acetaminophen may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Acetaminophen.]
[N05AX13, paliperidone, Acetaminophen may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Acetaminophen.]
[N07BC02, methadone, The metabolism of Acetaminophen can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Acetaminophen may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Acetaminophen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Acetaminophen can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Acetaminophen may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The metabolism of Acetaminophen can be increased when combined with Methohexital.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Acetaminophen.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the hepatotoxic activities of Acetaminophen.]
[D05BA02, methoxsalen, The metabolism of Acetaminophen can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the hepatotoxic activities of Acetaminophen.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Acetaminophen may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
