[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Pentoxifylline.]
[B01AB06, nadroparin, The therapeutic efficacy of Nadroparin can be increased when used in combination with Pentoxifylline.]
[B01AB05, enoxaparin, The therapeutic efficacy of Enoxaparin can be increased when used in combination with Pentoxifylline.]
[B01AB04, dalteparin, The therapeutic efficacy of Dalteparin can be increased when used in combination with Pentoxifylline.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Pentoxifylline.]
[L01AA03, melphalan, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Melphalan.]
[N06DX01, memantine, Pentoxifylline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C01CA11, mephentermine, The risk or severity of adverse effects can be increased when Mephentermine is combined with Pentoxifylline.]
[N03AB04, mephenytoin, Mephenytoin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA01, mephobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Pentoxifylline may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Pentoxifylline may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Pentoxifylline may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[C01CA09, metaraminol, The risk or severity of adverse effects can be increased when Metaraminol is combined with Pentoxifylline.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Pentoxifylline.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01BA04, pemetrexed, Pentoxifylline may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The serum concentration of Pentoxifylline can be decreased when it is combined with Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Methotrexate.]
[C01CA10, methoxamine, The risk or severity of adverse effects can be increased when Methoxamine is combined with Pentoxifylline.]
[D05BA02, methoxsalen, The metabolism of Pentoxifylline can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Pentoxifylline may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of bleeding and hemorrhage can be increased when Methylene blue is combined with Pentoxifylline.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Pentoxifylline.]
[N03AF03, rufinamide, Rufinamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[G03EK01, methyltestosterone, Pentoxifylline may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Pentoxifylline.]
[C03BA08, metolazone, Pentoxifylline may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Pentoxifylline may increase the hypotensive activities of Metoprolol.]
[V04CD01, metyrapone, Pentoxifylline may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Pentoxifylline can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Pentoxifylline.]
[N02BB03, aminopyrine, The risk or severity of bleeding can be increased when Aminophenazone is combined with Pentoxifylline.]
[B01AB07, parnaparin, The therapeutic efficacy of Parnaparin can be increased when used in combination with Pentoxifylline.]
[N05CD08, midazolam, The therapeutic efficacy of Midazolam can be decreased when used in combination with Pentoxifylline.]
[C01CA17, midodrine, The risk or severity of adverse effects can be increased when Midodrine is combined with Pentoxifylline.]
[B01AB10, tinzaparin, The therapeutic efficacy of Tinzaparin can be increased when used in combination with Pentoxifylline.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C09CA03, valsartan, Pentoxifylline may increase the hypotensive activities of Valsartan.]
[D11AX01, minoxidil, Pentoxifylline may increase the hypotensive activities of Minoxidil.]
[J01FA11, miocamycin, The metabolism of Pentoxifylline can be decreased when combined with Miocamycin.]
[L01DB07, mitoxantrone, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of adverse effects can be increased when Lisdexamfetamine is combined with Pentoxifylline.]
[L03AC01, aldesleukin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Pentoxifylline can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Pentoxifylline can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Pentoxifylline can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Pentoxifylline.]
[G04BA01, ammonium chloride, Pentoxifylline may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Pentoxifylline.]
[L04AA06, mycophenolic acid, Pentoxifylline may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Amobarbital.]
[N03AB05, fosphenytoin, The serum concentration of Pentoxifylline can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Pentoxifylline can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Pentoxifylline may increase the hypotensive activities of Nadolol.]
[J01CA04, amoxicillin, Pentoxifylline may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Pentoxifylline can be increased when combined with Nafcillin.]
[V03AB15, naloxone, Pentoxifylline may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Pentoxifylline can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of adverse effects can be increased when Naphazoline is combined with Pentoxifylline.]
[N06BA01, amphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Pentoxifylline.]
[M02AA12, naproxen, The risk or severity of bleeding can be increased when Naproxen is combined with Pentoxifylline.]
[N06AX21, duloxetine, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Pentoxifylline.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Docetaxel.]
[S03AA01, neomycin, Pentoxifylline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Pentoxifylline may increase the antiplatelet activities of Tirofiban.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L03AX16, plerixafor, Pentoxifylline may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Pentoxifylline may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hemorrhage can be increased when Desvenlafaxine is combined with Pentoxifylline.]
[C09CA07, telmisartan, Pentoxifylline may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[M04AA03, febuxostat, The serum concentration of the active metabolites of Pentoxifylline can be increased when Pentoxifylline is used in combination with Febuxostat.]
[C01CE01, inamrinone, Pentoxifylline may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Amsacrine.]
[N06AF02, nialamide, The risk or severity of bleeding and hemorrhage can be increased when Nialamide is combined with Pentoxifylline.]
[C08CA04, nicardipine, Pentoxifylline may increase the hypotensive activities of Nicardipine.]
[P02DA01, niclosamide, The metabolism of Pentoxifylline can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Pentoxifylline.]
[M02AA17, niflumic acid, The risk or severity of bleeding can be increased when Niflumic acid is combined with Pentoxifylline.]
[C08CA06, nimodipine, Pentoxifylline may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Pentoxifylline may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Pentoxifylline.]
[C08CA08, nitrendipine, Pentoxifylline may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C02DD01, nitroprusside, Pentoxifylline may increase the hypotensive activities of Nitroprusside.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Norepinephrine is combined with Pentoxifylline.]
[S01AE02, norfloxacin, The metabolism of Pentoxifylline can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Pentoxifylline may increase the hypotensive activities of Bosentan.]
[B01AC16, eptifibatide, Pentoxifylline may increase the antiplatelet activities of Eptifibatide.]
[L03AB07, interferon beta-1a, The metabolism of Pentoxifylline can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of adverse effects can be increased when Nylidrin is combined with Pentoxifylline.]
[B01AB08, reviparin, The therapeutic efficacy of Reviparin can be increased when used in combination with Pentoxifylline.]
[S02AA16, ofloxacin, The metabolism of Pentoxifylline can be decreased when combined with Ofloxacin.]
[J01FA05, oleandomycin, The metabolism of Pentoxifylline can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Pentoxifylline can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Pentoxifylline can be increased when combined with Omeprazole.]
[N02AA02, opium, Pentoxifylline may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Pentoxifylline.]
[B01AD07, reteplase, The therapeutic efficacy of Reteplase can be increased when used in combination with Pentoxifylline.]
[B01AD09, ancrod, The therapeutic efficacy of Ancrod can be increased when used in combination with Pentoxifylline.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05BA04, oxazepam, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Pentoxifylline.]
[J01MB05, oxolinic acid, The metabolism of Pentoxifylline can be decreased when combined with Oxolinic acid.]
[C07AA02, oxprenolol, Pentoxifylline may increase the hypotensive activities of Oxprenolol.]
[S01GA04, oxymetazoline, The risk or severity of adverse effects can be increased when Oxymetazoline is combined with Pentoxifylline.]
[S01BC02, oxyphenbutazone, The risk or severity of bleeding can be increased when Oxyphenbutazone is combined with Pentoxifylline.]
[J04AA01, aminosalicylic acid, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Aminosalicylic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Pentoxifylline.]
[B01AB09, danaparoid, The therapeutic efficacy of Danaparoid can be increased when used in combination with Pentoxifylline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Pentoxifylline.]
[J04AB30, capreomycin, Pentoxifylline may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Paraldehyde may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KC01, pargyline, Pentoxifylline may increase the hypotensive activities of Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Pentoxifylline can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Pentoxifylline may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Pentoxifylline may increase the hypotensive activities of Penbutolol.]
[M01CC01, penicillamine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Pentoxifylline may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Pentobarbital.]
[L01XX08, pentostatin, Pentoxifylline may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[J01MB04, pipemidic acid, The metabolism of Pentoxifylline can be decreased when combined with Pipemidic acid.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Pentoxifylline.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Pentoxifylline.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of bleeding and hemorrhage can be increased when Phenelzine is combined with Pentoxifylline.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Pentoxifylline.]
[N03AA02, phenobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Pentoxifylline may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Pentoxifylline.]
[A08AA01, phentermine, The risk or severity of adverse effects can be increased when Phentermine is combined with Pentoxifylline.]
[V03AB36, phentolamine, Pentoxifylline may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of bleeding can be increased when Phenylbutazone is combined with Pentoxifylline.]
[S01GA05, phenylephrine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Pentoxifylline.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Pentoxifylline.]
[N03AB02, phenytoin, The serum concentration of Pentoxifylline can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Pentoxifylline can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The metabolism of Pentoxifylline can be decreased when combined with Levofloxacin.]
[B02BA01, vitamin K1, Pentoxifylline may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08CX01, mibefradil, Pentoxifylline may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Pentoxifylline.]
[C07AA03, pindolol, Pentoxifylline may increase the hypotensive activities of Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06BX03, piracetam, Pentoxifylline may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Pentoxifylline may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, The risk or severity of bleeding can be increased when Piroxicam is combined with Pentoxifylline.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Pentoxifylline can be decreased when combined with Grepafloxacin.]
[C09CA04, irbesartan, Pentoxifylline may increase the hypotensive activities of Irbesartan.]
[B01AC13, abciximab, The therapeutic efficacy of Abciximab can be increased when used in combination with Pentoxifylline.]
[S01XA13, alteplase, The therapeutic efficacy of Alteplase can be increased when used in combination with Pentoxifylline.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Pentoxifylline can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Pentoxifylline can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Pentoxifylline may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Pentoxifylline can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, Pentoxifylline may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V03AB21, potassium iodide, Potassium Iodide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin lispro.]
[C07AB01, practolol, Pentoxifylline may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, The therapeutic efficacy of Prazepam can be decreased when used in combination with Pentoxifylline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Pentoxifylline.]
[C02CA01, prazosin, Pentoxifylline may increase the hypotensive activities of Prazosin.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Pentoxifylline can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Pentoxifylline can be increased when combined with Primidone.]
[M04AB01, probenecid, The serum concentration of Pentoxifylline can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, Pentoxifylline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Pentoxifylline.]
[L01XB01, procarbazine, The risk or severity of bleeding and hemorrhage can be increased when Procarbazine is combined with Pentoxifylline.]
[C10AB05, fenofibrate, Pentoxifylline may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Pentoxifylline can be decreased when combined with Promazine.]
[R06AD02, promethazine, Pentoxifylline may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The serum concentration of Pentoxifylline can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C07AA05, propranolol, Pentoxifylline may increase the hypotensive activities of Propranolol.]
[H03BA02, propylthiouracil, Propylthiouracil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02CC04, rizatriptan, Pentoxifylline may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, The therapeutic efficacy of Epoprostenol can be increased when used in combination with Pentoxifylline.]
[R01BA02, pseudoephedrine, The risk or severity of adverse effects can be increased when Pseudoephedrine is combined with Pentoxifylline.]
[N07XX07, dalfampridine, Pentoxifylline may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Pentoxifylline may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C01BA01, quinidine, The serum concentration of Pentoxifylline can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Pentoxifylline can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Pentoxifylline.]
[C02AA01, rescinnamine, Pentoxifylline may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Pentoxifylline may increase the hypotensive activities of Reserpine.]
[J05AP01, ribavirin, Pentoxifylline may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Pentoxifylline can be increased when combined with Rifampicin.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Pentoxifylline.]
[N02BA05, salicylamide, The risk or severity of bleeding can be increased when Salicylamide is combined with Pentoxifylline.]
[A07EC01, sulfasalazine, The risk or severity of bleeding can be increased when Sulfasalazine is combined with Pentoxifylline.]
[S01BC08, salicylic acid, The risk or severity of bleeding can be increased when Salicylic acid is combined with Pentoxifylline.]
[N05CA06, secobarbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Pentoxifylline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Obinutuzumab.]
[J01GB08, sisomicin, Pentoxifylline may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Pentoxifylline may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Pentoxifylline may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Pentoxifylline.]
[L01CD04, cabazitaxel, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Cabazitaxel.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
