[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gemfibrozil.]
[C01CE01, inamrinone, Gemfibrozil may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Gemfibrozil.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Gemfibrozil.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Gemfibrozil.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Gemfibrozil.]
[M02AA17, niflumic acid, The metabolism of Gemfibrozil can be decreased when combined with Niflumic acid.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Gemfibrozil.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Gemfibrozil.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Gemfibrozil.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Gemfibrozil.]
[N02AA02, opium, Gemfibrozil may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Gemfibrozil.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Gemfibrozil.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Gemfibrozil.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Gemfibrozil.]
[J04AB30, capreomycin, Gemfibrozil may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G04BD11, fesoterodine, Gemfibrozil may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Gemfibrozil may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Gemfibrozil.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Gemfibrozil.]
[J01CE09, penicillin G procaine, Gemfibrozil may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Gemfibrozil can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Gemfibrozil may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Gemfibrozil.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Gemfibrozil.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Gemfibrozil.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Gemfibrozil is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Gemfibrozil.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Gemfibrozil.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Gemfibrozil.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Gemfibrozil.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Gemfibrozil.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Gemfibrozil.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Gemfibrozil.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AA05, atorvastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Atorvastatin.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Gemfibrozil.]
[J05AE01, saquinavir, The metabolism of Gemfibrozil can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Gemfibrozil may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Gemfibrozil.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Gemfibrozil.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Gemfibrozil.]
[J05AG02, delavirdine, The metabolism of Gemfibrozil can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Gemfibrozil.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Gemfibrozil.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Gemfibrozil.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Gemfibrozil.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Gemfibrozil.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Gemfibrozil.]
[J05AE03, ritonavir, The serum concentration of Gemfibrozil can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Gemfibrozil.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin lispro.]
[C10AA08, pitavastatin, The risk or severity of rhabdomyolysis, myoglobinuria, and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Pitavastatin.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Gemfibrozil.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Gemfibrozil can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Gemfibrozil can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Gemfibrozil can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Gemfibrozil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procarbazine is combined with Gemfibrozil.]
[C10AB05, fenofibrate, The risk or severity of adverse effects can be increased when Fenofibrate is combined with Gemfibrozil.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Gemfibrozil.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Gemfibrozil.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Gemfibrozil.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Gemfibrozil.]
[L01XH02, romidepsin, The excretion of Romidepsin can be decreased when combined with Gemfibrozil.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Gemfibrozil.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Gemfibrozil.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Gemfibrozil.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Gemfibrozil.]
[N07XX07, dalfampridine, Gemfibrozil may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Gemfibrozil may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C01BA01, quinidine, Gemfibrozil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Gemfibrozil.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Gemfibrozil.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Gemfibrozil can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Gemfibrozil.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Gemfibrozil.]
[V04CC03, sincalide, The excretion of Sincalide can be decreased when combined with Gemfibrozil.]
[J01GB08, sisomicin, Gemfibrozil may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Gemfibrozil may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Gemfibrozil may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Gemfibrozil.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Gemfibrozil can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in combination with Gemfibrozil.]
