[S02DA03, antipyrine, The metabolism of Fluorouracil can be decreased when combined with Antipyrine.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Fluorouracil can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Fluorouracil can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Pimozide.]
[C10AA05, atorvastatin, The metabolism of Fluorouracil can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Fluorouracil can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Fluorouracil can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Grepafloxacin.]
[C09CA04, irbesartan, The metabolism of Fluorouracil can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Fluorouracil.]
[D05AX05, tazarotene, The metabolism of Fluorouracil can be decreased when combined with Tazarotene.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Fluorouracil.]
[A10BG02, rosiglitazone, The metabolism of Fluorouracil can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Fluorouracil can be decreased when combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Fluorouracil can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Fluorouracil can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Fluorouracil.]
[J05AE03, ritonavir, The metabolism of Fluorouracil can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Fluorouracil can be decreased when combined with Pitavastatin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Fluorouracil.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Fluorouracil.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Prednisolone.]
[H02AB07, prednisone, The metabolism of Fluorouracil can be increased when combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Fluorouracil can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Fluorouracil can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Fluorouracil can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fluorouracil can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Fluorouracil.]
[G03DA04, progesterone, The metabolism of Fluorouracil can be increased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Fluorouracil can be decreased when combined with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Fluorouracil.]
[C01BC03, propafenone, The metabolism of Fluorouracil can be decreased when combined with Propafenone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Fluorouracil can be decreased when combined with Propofol.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Fluorouracil.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Fluorouracil.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Fluorouracil.]
[R03DC03, montelukast, The metabolism of Fluorouracil can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Fluorouracil.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Fluorouracil.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Fluorouracil.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Fluorouracil.]
[P01BD01, pyrimethamine, The metabolism of Fluorouracil can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Fluorouracil can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Fluorouracil can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Fluorouracil.]
[J04AB02, rifampin, The metabolism of Fluorouracil can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Fluorouracil.]
[N05CA06, secobarbital, The metabolism of Fluorouracil can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Fluorouracil can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Fluorouracil.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Fluorouracil.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Fluorouracil.]
[C03DA01, spironolactone, The metabolism of Fluorouracil can be decreased when combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Hydrocortisone butyrate.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Fluorouracil is combined with Paclitaxel poliglumex.]
[H02CA04, levoketoconazole, The metabolism of Fluorouracil can be decreased when combined with Levoketoconazole.]
