[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[N05CM18, dexmedetomidine, Fluconazole may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Fluconazole.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Fluconazole.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Fluconazole.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Fluconazole.]
[M01CB04, aurothioglucose, Fluconazole may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Fluconazole may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Fluconazole.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Fosinopril.]
[S01EX01, guanethidine, Fluconazole may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Fluconazole.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Fluconazole.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Histrelin.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Fluconazole.]
[N06BX13, idebenone, Fluconazole may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Insulin aspart is combined with Fluconazole.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Fluconazole.]
[M04AA01, allopurinol, Fluconazole may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The serum concentration of E3174, an active metabolite of Losartan, can be decreased when used in combination with Fluconazole.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Fluconazole.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Mesalazine.]
[C01CE02, milrinone, Fluconazole may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Fluconazole.]
[J05AG01, nevirapine, The serum concentration of Nevirapine can be increased when it is combined with Fluconazole.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Fluconazole.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Fluconazole.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Perindopril.]
[C02DB02, hydralazine, Fluconazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, The serum concentration of Fluconazole can be increased when it is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Fluconazole.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Fluconazole.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Fluconazole.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Fluconazole.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Fluconazole may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Fluconazole.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Fluconazole.]
[B05AA07, hetastarch, Fluconazole may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Fluconazole.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Fluconazole.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Fluconazole.]
[B05XA08, sodium acetate, Fluconazole may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Fluconazole.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Fluconazole.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Fluconazole.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Fluconazole.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Fluconazole.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Terlipressin.]
[R01AD07, tixocortol, Fluconazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Tizanidine.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Fluconazole.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Fluconazole.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Fluconazole.]
[A11HA07, inositol, Fluconazole may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Fluconazole.]
[S01XA28, varenicline, Fluconazole may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Sitagliptin is combined with Fluconazole.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Fluconazole.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Fluconazole.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Vildagliptin is combined with Fluconazole.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Fluconazole.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Fluconazole.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Fluconazole.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Isoflurane.]
[J04AC01, isoniazid, Fluconazole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Fluconazole may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Exenatide is combined with Fluconazole.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Fluconazole.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Fluconazole.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Fluconazole.]
[S01AA24, kanamycin, Fluconazole may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Fluconazole.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Fluconazole.]
[J02AB02, ketoconazole, The metabolism of Ketoconazole can be decreased when combined with Fluconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Ketoprofen.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Fluconazole.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Fluconazole.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amantadine.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Fluconazole.]
[A06AX03, lubiprostone, Fluconazole may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Fluconazole.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Fluconazole.]
[G03AD01, levonorgestrel, The bioavailability of Levonorgestrel can be increased when combined with Fluconazole.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Fluconazole.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Fluconazole.]
[S01AA21, amikacin, Fluconazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Fluconazole.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Fluconazole.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Fluconazole.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Fluconazole.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Fluconazole.]
[G03DC03, lynestrenol, The bioavailability of Lynestrenol can be increased when combined with Fluconazole.]
[L01EG01, temsirolimus, The serum concentration of Temsirolimus can be increased when it is combined with Fluconazole.]
[B05XA11, magnesium chloride, Fluconazole may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Fluconazole may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Fluconazole may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Fluconazole.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Fluconazole.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Maprotiline.]
[C02BB01, mecamylamine, Fluconazole may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Meclofenamic acid.]
[C01AA08, medigoxin, Fluconazole may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Fluconazole.]
[P01BC02, mefloquine, The metabolism of Mefloquine can be decreased when combined with Fluconazole.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Dalteparin.]
[N06DX01, memantine, Fluconazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Fluconazole.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Fluconazole.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be decreased when combined with Fluconazole.]
[N01BB03, mepivacaine, Fluconazole may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Fluconazole may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Fluconazole.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Metformin is combined with Fluconazole.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Fluconazole.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Fluconazole.]
[N06BA03, methamphetamine, Fluconazole may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Fluconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CM01, methaqualone, The metabolism of Methaqualone can be decreased when combined with Fluconazole.]
[J05AF05, lamivudine, Fluconazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Fluconazole may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Fluconazole may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[N02BG08, ziconotide, The therapeutic efficacy of Fluconazole can be increased when used in combination with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Fluconazole.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Methotrimeprazine.]
[D05BA02, methoxsalen, Fluconazole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Fluconazole.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Fluconazole may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be increased when it is combined with Fluconazole.]
[G02AB01, methylergonovine, The metabolism of Methylergometrine can be decreased when combined with Fluconazole.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Fluconazole.]
[H02AB04, methylprednisolone, The metabolism of Methylprednisolone can be decreased when combined with Fluconazole.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Fluconazole.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Fluconazole.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Fluconazole.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Metronidazole.]
[V04CD01, metyrapone, Fluconazole may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Fluconazole.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Fluconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Fluconazole.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Parnaparin.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Fluconazole.]
[G03XB01, mifepristone, The risk or severity of hypoglycemia can be increased when Mifepristone is combined with Fluconazole.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Tinzaparin.]
[J05AH01, zanamivir, Fluconazole may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Fluconazole.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Fluconazole.]
[N06AA09, amitriptyline, Amitriptyline may increase the QTc-prolonging activities of Fluconazole.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Fluconazole.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Fluconazole.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Fluconazole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Ammonium chloride.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Fluconazole.]
[L04AA06, mycophenolic acid, Fluconazole may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amodiaquine.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Fluconazole.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Fluconazole.]
[C07AA12, nadolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Nadolol.]
[J01CA04, amoxicillin, Fluconazole may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Fluconazole may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Fluconazole.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Troglitazone is combined with Fluconazole.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Fluconazole.]
[N04BX01, tolcapone, Fluconazole may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Fluconazole.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Fluconazole.]
[S03AA01, neomycin, Fluconazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Fluconazole.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Levosimendan.]
[B01AC17, tirofiban, Fluconazole may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Fluconazole.]
[J02AA01, amphotericin B, The therapeutic efficacy of Amphotericin B can be decreased when used in combination with Fluconazole.]
[S01AA19, ampicillin, Fluconazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Fluconazole may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Fluconazole may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Desvenlafaxine can be decreased when combined with Fluconazole.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[H05BX02, paricalcitol, The metabolism of Paricalcitol can be decreased when combined with Fluconazole.]
[C01CE01, inamrinone, Fluconazole may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Fluconazole.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Fluconazole.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Fluconazole.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Niflumic acid.]
[C08CA06, nimodipine, The metabolism of Nimodipine can be decreased when combined with Fluconazole.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Fluconazole.]
[N05CD02, nitrazepam, The metabolism of Nitrazepam can be decreased when combined with Fluconazole.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Fluconazole.]
[R07AX01, nitric oxide, Fluconazole may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The risk or severity of adverse effects can be increased when Nitrofurantoin is combined with Fluconazole.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Fluconazole.]
[N04BC05, pramipexole, Fluconazole may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Fluconazole may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[G03DC02, norethindrone, The bioavailability of Norethisterone can be increased when combined with Fluconazole.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Norfloxacin.]
[G03AC07, norgestrienone, The bioavailability of Norgestrienone can be increased when combined with Fluconazole.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Fluconazole.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Fluconazole.]
[G02CA02, nylidrin, The metabolism of Nylidrin can be decreased when combined with Fluconazole.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Reviparin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Fluconazole.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ofloxacin.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Fluconazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Fluconazole.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Fluconazole.]
[J01CF04, oxacillin, Fluconazole may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Fluconazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Fluconazole.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Fluconazole.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Oxyphenbutazone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Fluconazole.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Fluconazole.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Danaparoid.]
[J04AB30, capreomycin, Fluconazole may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The bioavailability of Chlormadinone can be increased when combined with Fluconazole.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Fluconazole.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Fluconazole.]
[C07AA23, penbutolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Penbutolol.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be decreased when combined with Fluconazole.]
[J01CE09, penicillin G procaine, Fluconazole may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Fluconazole.]
[L01XX08, pentostatin, Fluconazole may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Fluconazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Fluconazole.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Fluconazole.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[N06AF03, phenelzine, Fluconazole may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Phenformin is combined with Fluconazole.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Fluconazole.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Fluconazole.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Fluconazole.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Fluconazole.]
[V03AB36, phentolamine, Fluconazole may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Fluconazole.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Fluconazole.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Fluconazole.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Fluconazole.]
[B02BA01, vitamin K1, Fluconazole may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Fluconazole.]
[N05AG02, pimozide, The serum concentration of Pimozide can be increased when it is combined with Fluconazole.]
[C07AA03, pindolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Fluconazole.]
[J01CA12, piperacillin, Fluconazole may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be decreased when combined with Fluconazole.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Fluconazole.]
[N06BX03, piracetam, Fluconazole may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Eprosartan.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Fluconazole.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Fluconazole.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Fluconazole.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Fluconazole.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Fluconazole.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Fluconazole.]
