[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Flurazepam.]
[D05BA02, methoxsalen, The metabolism of Flurazepam can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Flurazepam may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Flurazepam.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Flurazepam.]
[G03EK01, methyltestosterone, Flurazepam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Flurazepam is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Flurazepam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Flurazepam.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Flurazepam.]
[V04CD01, metyrapone, The metabolism of Flurazepam can be decreased when combined with Metyrapone.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Flurazepam can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Flurazepam.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[L01XX23, mitotane, The metabolism of Flurazepam can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Flurazepam can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Flurazepam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Flurazepam.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Flurazepam can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Flurazepam may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Flurazepam may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Amobarbital.]
[N06AA17, amoxapine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Flurazepam can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Flurazepam may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Flurazepam may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Flurazepam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Flurazepam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Flurazepam.]
[V03AB15, naloxone, The metabolism of Flurazepam can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Flurazepam.]
[L04AC03, anakinra, The metabolism of Flurazepam can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Flurazepam.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Flurazepam.]
[L02BG04, letrozole, The metabolism of Flurazepam can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Flurazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Flurazepam.]
[B01AC17, tirofiban, Flurazepam may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L03AX16, plerixafor, Flurazepam may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Flurazepam may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C01CE01, inamrinone, Flurazepam may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nialamide.]
[C08CA04, nicardipine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[N07BA01, nicotine, The metabolism of Flurazepam can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Flurazepam.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nitrazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Flurazepam may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zaleplon.]
[N04BC05, pramipexole, Flurazepam may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nomifensine.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Flurazepam.]
[N06AA10, nortriptyline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[L04AC04, rilonacept, The metabolism of Flurazepam can be increased when combined with Rilonacept.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Flurazepam.]
[G04CA02, tamsulosin, Flurazepam may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Flurazepam may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flurazepam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Flurazepam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A03AB03, oxyphenonium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[M03AC01, pancuronium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Flurazepam may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G04BD11, fesoterodine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Flurazepam may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Flurazepam.]
[N05CA01, pentobarbital, The metabolism of Flurazepam can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Flurazepam may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Flurazepam.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Flurazepam.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Phenelzine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Flurazepam.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Flurazepam.]
[V03AB36, phentolamine, Flurazepam may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Flurazepam is combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Flurazepam can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Flurazepam can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Flurazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Flurazepam may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01EB01, pilocarpine, The metabolism of Flurazepam can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Flurazepam can be increased when it is combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pipotiazine.]
[N06BX03, piracetam, Flurazepam may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Flurazepam.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02CX01, pizotyline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Flurazepam can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Flurazepam is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Flurazepam.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Flurazepam can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Flurazepam can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Flurazepam may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Flurazepam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Prazepam.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Flurazepam.]
[H02AB07, prednisone, The metabolism of Flurazepam can be increased when combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Flurazepam can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Flurazepam can be increased when combined with Primidone.]
[M04AB01, probenecid, Flurazepam may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Flurazepam.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Procarbazine.]
[C10AB05, fenofibrate, Flurazepam may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flurazepam.]
[N04AA04, procyclidine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Flurazepam can be increased when combined with Progesterone.]
[N05AA03, promazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Flurazepam is combined with Propanidid.]
[A03AB05, propantheline, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Periciazine.]
[N05CM06, propiomazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Flurazepam.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Flurazepam is combined with Rizatriptan.]
[B01AC09, epoprostenol, Flurazepam may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Flurazepam can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Flurazepam.]
[N05AX12, aripiprazole, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Flurazepam.]
[A03AB15, diphemanil, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Flurazepam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Mepyramine.]
[C01BA01, quinidine, Flurazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Flurazepam.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Flurazepam.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Flurazepam.]
[J05AP01, ribavirin, Flurazepam may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Flurazepam can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxitriptan.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01FA02, scopolamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Flurazepam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Selegiline.]
[J01GB08, sisomicin, Flurazepam may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Flurazepam may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Flurazepam may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Flurazepam may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Flurazepam can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
