[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Apomorphine.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Apomorphine.]
[C08CA04, nicardipine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[N07BA01, nicotine, The metabolism of Apomorphine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nifedipine.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Apomorphine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of adverse effects can be increased when Nisoldipine is combined with Apomorphine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Apomorphine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Apomorphine is combined with Zaleplon.]
[N04BC05, pramipexole, Apomorphine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Nitroprusside is combined with Apomorphine.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Apomorphine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Norfloxacin.]
[C02KX01, bosentan, Apomorphine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Apomorphine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Apomorphine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Apomorphine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Apomorphine is combined with Opium.]
[G02CB04, quinagolide, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Quinagolide.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Apomorphine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Apomorphine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Apomorphine.]
[N05AH05, asenapine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[M03AC01, pancuronium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Papaverine.]
[N05CC05, paraldehyde, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Apomorphine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Apomorphine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Apomorphine.]
[G04BD11, fesoterodine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Apomorphine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Apomorphine.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Perhexiline.]
[N05AB03, perphenazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Apomorphine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Apomorphine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Apomorphine.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Apomorphine.]
[V03AB36, phentolamine, The risk or severity of adverse effects can be increased when Phentolamine is combined with Apomorphine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Apomorphine.]
[L04AB06, golimumab, The metabolism of Apomorphine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Apomorphine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Apomorphine.]
[J05AE01, saquinavir, The metabolism of Apomorphine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Eprosartan.]
[A02BX03, pirenzepine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Piribedil.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Apomorphine can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Apomorphine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Apomorphine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Apomorphine is combined with Proxibarbal.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Apomorphine.]
[A10BG02, rosiglitazone, The metabolism of Apomorphine can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Apomorphine.]
[A03AE01, alosetron, The risk or severity of hypotension can be increased when Alosetron is combined with Apomorphine.]
[L04AC08, canakinumab, The metabolism of Apomorphine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Apomorphine may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Apomorphine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Apomorphine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Apomorphine.]
[C07AB01, practolol, Apomorphine may increase the hypotensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Apomorphine.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Apomorphine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Apomorphine.]
[M04AB01, probenecid, The metabolism of Apomorphine can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Procainamide.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Apomorphine.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Apomorphine.]
[C10AB05, fenofibrate, The metabolism of Apomorphine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Apomorphine can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Apomorphine is combined with Propanidid.]
[A03AB05, propantheline, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Apomorphine.]
[C07AA05, propranolol, The risk or severity of adverse effects can be increased when Propranolol is combined with Apomorphine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Rizatriptan.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Apomorphine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Apomorphine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Aripiprazole.]
[A03AB15, diphemanil, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Apomorphine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Apomorphine can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Apomorphine.]
[C01BA01, quinidine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Quinine.]
[C02AA01, rescinnamine, Apomorphine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Apomorphine.]
[J04AB02, rifampin, The metabolism of Apomorphine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Roxithromycin.]
[S01FA02, scopolamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Apomorphine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Apomorphine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Apomorphine is combined with Obinutuzumab.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Apomorphine.]
[C03DA01, spironolactone, The metabolism of Apomorphine can be decreased when combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Apomorphine.]
