[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Pindolol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Pindolol.]
[A12AA13, calcium citrate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, The risk or severity of bradycardia can be increased when Methsuximide is combined with Pindolol.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Pindolol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Pindolol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pindolol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Pindolol.]
[H04AA01, glucagon, The therapeutic efficacy of Pindolol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Pindolol.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Pindolol is combined with Glutethimide.]
[C05AE01, nitroglycerin, Nitroglycerin may increase the hypotensive activities of Pindolol.]
[C02CA04, doxazosin, Pindolol may increase the orthostatic hypotensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Pindolol.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Pindolol.]
[M01CB04, aurothioglucose, Pindolol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pindolol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Pindolol is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Pindolol.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Pindolol.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Pindolol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Pindolol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Pindolol is combined with Halothane.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Pindolol.]
[N06BX13, idebenone, Pindolol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Pindolol.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Pindolol is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Pindolol is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C09CA01, losartan, Losartan may increase the hypotensive activities of Pindolol.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Heparin.]
[G03DC01, allylestrenol, Pindolol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Pindolol.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Pindolol.]
[R03CC05, hexoprenaline, Pindolol may decrease the bronchodilatory activities of Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Pindolol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of bradycardia can be increased when Nilvadipine is combined with Pindolol.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Pindolol.]
[C09AA04, perindopril, Perindopril may increase the hypotensive activities of Pindolol.]
[C02DB02, hydralazine, Pindolol may increase the hypotensive activities of Hydralazine.]
[R05DA03, hydrocodone, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Pindolol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Pindolol.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[G04BD06, propiverine, Pindolol may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Pindolol.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Pindolol is combined with Prothipendyl.]
[B05AA07, hetastarch, Pindolol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Pindolol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Pindolol.]
[B05XA08, sodium acetate, Pindolol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Pindolol.]
[L01AA06, ifosfamide, Pindolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pindolol.]
[N06AA02, imipramine, The metabolism of Pindolol can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Pindolol is combined with Paclitaxel.]
[R01AD07, tixocortol, Pindolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Pindolol.]
[L01CE01, topotecan, Pindolol may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Pindolol.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Pindolol.]
[C02CA02, indoramin, Pindolol may increase the orthostatic hypotensive activities of Indoramin.]
[A11HA07, inositol, Pindolol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Pindolol is combined with Milnacipran.]
[A03AA30, piperidolate, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Pindolol is combined with Varenicline.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Pindolol is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Pindolol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Pindolol.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Pindolol is combined with Ramelteon.]
[R06AE01, buclizine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Pindolol.]
[C10AA06, cerivastatin, The metabolism of Pindolol can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Pindolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Pindolol may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Pindolol is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Pindolol.]
[N05AA07, chlorproethazine, The serum concentration of Pindolol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Pindolol.]
[S01EC03, dorzolamide, Dorzolamide may increase the hypotensive activities of Pindolol.]
[R03CC06, isoetharine, Pindolol may decrease the bronchodilatory activities of Isoetharine.]
[C09AA16, imidapril, Pindolol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pindolol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Pindolol.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Pindolol.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Pindolol.]
[J05AX05, inosine pranobex, Pindolol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Pindolol may decrease the bronchodilatory activities of Isoprenaline.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Pindolol.]
[C01DA14, isosorbide mononitrate, Pindolol may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Pindolol.]
[D10BA01, isotretinoin, Pindolol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Pindolol.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Pindolol.]
[S01AA24, kanamycin, Pindolol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Pindolol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Pindolol.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Pindolol is combined with Ketanserin.]
[B01AC22, prasugrel, Pindolol may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Pindolol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Pindolol may increase the orthostatic hypotensive activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Pindolol.]
[L04AA24, abatacept, The metabolism of Pindolol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, Pindolol may decrease the bronchodilatory activities of Arbutamine.]
[N04BC09, rotigotine, Pindolol may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Pindolol.]
[C07AG01, labetalol, Pindolol may increase the orthostatic hypotensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pindolol.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Pindolol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Pindolol.]
[A06AX03, lubiprostone, Pindolol may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Pindolol is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Pindolol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Pindolol.]
[C08EX01, lidoflazine, The risk or severity of bradycardia can be increased when Lidoflazine is combined with Pindolol.]
[S01AA21, amikacin, Pindolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Pindolol may increase the vasoconstricting activities of Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Pindolol is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of bradycardia can be increased when Loperamide is combined with Pindolol.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium pangamate.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Pindolol.]
[C10AA02, lovastatin, The metabolism of Pindolol can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Pindolol.]
[L01EG01, temsirolimus, The metabolism of Pindolol can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Pindolol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Pindolol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Pindolol can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Pindolol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Pindolol.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Pindolol.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Pindolol.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Pindolol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Pindolol.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Medazepam.]
[C01AA08, medigoxin, Pindolol may increase the bradycardic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Pindolol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Pindolol is combined with Melatonin.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Pindolol.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Pindolol.]
[C01CA11, mephentermine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Pindolol.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Pindolol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Pindolol.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Pindolol.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Pindolol is combined with Meptazinol.]
[G04BX16, tiopronin, Pindolol may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Pindolol can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Pindolol may increase the orthostatic hypotensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Pindolol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Pindolol.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pindolol.]
[H01CB03, lanreotide, Pindolol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Pindolol.]
[N06BA03, methamphetamine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Pindolol is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Pindolol is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Pindolol.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Pindolol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Pindolol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Pindolol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Pindolol.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Pindolol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of bradycardia can be increased when Ziconotide is combined with Pindolol.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Pindolol.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Pindolol is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Pindolol.]
[V04CG05, methylene blue, Pindolol may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Pindolol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Pindolol.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Pindolol.]
[G03EK01, methyltestosterone, Pindolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Pindolol is combined with Methyprylon.]
[N02CA04, methysergide, Pindolol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Pindolol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Pindolol can be decreased when combined with Metoprolol.]
[V04CD01, metyrapone, Pindolol may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Pindolol.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Pindolol is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Pindolol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Pindolol.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Pindolol.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Pindolol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Pindolol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Pindolol.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Pindolol.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Pindolol is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Pindolol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Pindolol.]
[C01BD01, amiodarone, The therapeutic efficacy of Pindolol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Pindolol.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Pindolol.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Pindolol.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Pindolol can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Pindolol.]
[L04AA06, mycophenolic acid, Pindolol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Pindolol is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Pindolol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Pindolol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Pindolol is combined with Silodosin.]
[R03BB01, ipratropium bromide, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Pindolol.]
[N03AB05, fosphenytoin, The risk or severity of adverse effects can be increased when Pindolol is combined with Fosphenytoin.]
[C07AA12, nadolol, Pindolol may increase the hypotensive activities of Nadolol.]
[J01CA04, amoxicillin, Pindolol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Pindolol may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Pindolol is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Pindolol.]
[V03AB15, naloxone, Pindolol may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Pindolol.]
[L04AC03, anakinra, The metabolism of Pindolol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Pindolol.]
[N06BA01, amphetamine, The therapeutic efficacy of Pindolol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Pindolol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Pindolol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Pindolol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Pindolol.]
[S03AA01, neomycin, Pindolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Pindolol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Pindolol.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Pindolol.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Pindolol.]
[N05AX14, iloperidone, Pindolol may increase the orthostatic hypotensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Pindolol.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L03AX16, plerixafor, Pindolol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Pindolol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Pindolol is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Pindolol may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C01CE01, inamrinone, Pindolol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Pindolol can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Pindolol.]
[C08CA04, nicardipine, The risk or severity of bradycardia can be increased when Nicardipine is combined with Pindolol.]
[C04AE02, nicergoline, Pindolol may increase the vasoconstricting activities of Nicergoline.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Pindolol is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Pindolol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Pindolol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Pindolol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of bradycardia can be increased when Nimodipine is combined with Pindolol.]
[C08CA07, nisoldipine, The risk or severity of bradycardia can be increased when Nisoldipine is combined with Pindolol.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of bradycardia can be increased when Nitrendipine is combined with Pindolol.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Pindolol.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Pindolol.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Pindolol is combined with Zaleplon.]
[N04BC05, pramipexole, Pindolol may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Pindolol.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Pindolol is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Pindolol is combined with Nomifensine.]
[C01CA03, norepinephrine, Pindolol may decrease the bronchodilatory activities of Norepinephrine.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Pindolol.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Pindolol.]
[G02CA02, nylidrin, The risk or severity of bradycardia can be increased when Nylidrin is combined with Pindolol.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Pindolol.]
[L04AC04, rilonacept, The metabolism of Pindolol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Pindolol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Pindolol is combined with Opipramol.]
