[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[S01AE02, norfloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The serum concentration of Ethinylestradiol can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Ethinylestradiol.]
[R05DA07, noscapine, The metabolism of Ethinylestradiol can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Ethinylestradiol can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Reviparin.]
[H01CB02, octreotide, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, Ethinylestradiol may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Ethinylestradiol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ethinylestradiol can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The serum concentration of Opipramol can be increased when it is combined with Ethinylestradiol.]
[B01AD07, reteplase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Ancrod.]
[J01CF04, oxacillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Oxacillin.]
[A14AA08, oxandrolone, The metabolism of Ethinylestradiol can be decreased when combined with Oxandrolone.]
[N02AA05, oxycodone, The metabolism of Ethinylestradiol can be decreased when combined with Oxycodone.]
[S01AA04, oxytetracycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Oxytetracycline.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Ethinylestradiol.]
[B01AB09, danaparoid, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Danaparoid.]
[N05CC05, paraldehyde, The metabolism of Ethinylestradiol can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Ethinylestradiol.]
[J01MA03, pefloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Pefloxacin.]
[S01AA14, penicillin G, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Ethinylestradiol can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Ethinylestradiol can be decreased when combined with Pentoxifylline.]
[L01FX01, edrecolomab, Ethinylestradiol may increase the thrombogenic activities of Edrecolomab.]
[N05AB03, perphenazine, The metabolism of Ethinylestradiol can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ethinylestradiol.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Ethinylestradiol.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Ethinylestradiol can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Phenprocoumon.]
[M02AA01, phenylbutazone, The metabolism of Ethinylestradiol can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Ethinylestradiol can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Ethinylestradiol.]
[N03AB02, phenytoin, The serum concentration of Ethinylestradiol can be decreased when it is combined with Phenytoin.]
[L01XF02, alitretinoin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Alitretinoin.]
[L04AB06, golimumab, The metabolism of Ethinylestradiol can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Ethinylestradiol can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Ethinylestradiol.]
[C10AA05, atorvastatin, Ethinylestradiol may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J01CA12, piperacillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Ethinylestradiol can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Ethinylestradiol.]
[J01MA11, grepafloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Grepafloxacin.]
[J01CA02, pivampicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Ethinylestradiol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Ethinylestradiol can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Abciximab.]
[D05AX05, tazarotene, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Tazarotene.]
[S01XA13, alteplase, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Alteplase.]
[A10BG02, rosiglitazone, Ethinylestradiol may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AC05, ustekinumab, Ethinylestradiol may increase the thrombogenic activities of Ustekinumab.]
[L02BG03, anastrozole, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Ethinylestradiol.]
[A03AE01, alosetron, The metabolism of Ethinylestradiol can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Ethinylestradiol can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Ethinylestradiol can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Ethinylestradiol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Ethinylestradiol.]
[C10AA08, pitavastatin, Ethinylestradiol may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Ethinylestradiol.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Ethinylestradiol.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Ethinylestradiol.]
[P01BA03, primaquine, The metabolism of Ethinylestradiol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ethinylestradiol can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Ethinylestradiol can be increased when combined with Probenecid.]
[C10AB05, fenofibrate, Ethinylestradiol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The risk or severity of liver damage can be increased when Progesterone is combined with Ethinylestradiol.]
[N05AA03, promazine, The metabolism of Ethinylestradiol can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Ethinylestradiol can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Ethinylestradiol can be decreased when combined with Propafenone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Ethinylestradiol.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Ethinylestradiol.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Ethinylestradiol.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Ethinylestradiol.]
[N06AA11, protriptyline, The serum concentration of Protriptyline can be increased when it is combined with Ethinylestradiol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Ethinylestradiol.]
[P01BD01, pyrimethamine, The metabolism of Ethinylestradiol can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Ethinylestradiol.]
[C01BA01, quinidine, The metabolism of Ethinylestradiol can be decreased when combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Ethinylestradiol.]
[A02BA02, ranitidine, The metabolism of Ethinylestradiol can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of liver damage can be increased when Reserpine is combined with Ethinylestradiol.]
[J04AB02, rifampin, The metabolism of Ethinylestradiol can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Ethinylestradiol can be decreased when it is combined with Rolitetracycline.]
[S01BC08, salicylic acid, Ethinylestradiol may increase the excretion rate of Salicylic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA06, secobarbital, The metabolism of Ethinylestradiol can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The bioavailability of Selegiline can be increased when combined with Ethinylestradiol.]
[L01FA03, obinutuzumab, Ethinylestradiol may increase the thrombogenic activities of Obinutuzumab.]
[M05BX04, denosumab, Ethinylestradiol may increase the thrombogenic activities of Denosumab.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ethinylestradiol.]
[C03DA01, spironolactone, Ethinylestradiol may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The therapeutic efficacy of Chenodeoxycholic acid can be decreased when used in combination with Ethinylestradiol.]
[D11AX24, deoxycholic acid, The therapeutic efficacy of Deoxycholic acid can be decreased when used in combination with Ethinylestradiol.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Ethinylestradiol.]
[H02CA04, levoketoconazole, The metabolism of Ethinylestradiol can be decreased when combined with Levoketoconazole.]
[A05AA02, ursodiol, Ethinylestradiol may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.]
[G03XB02, ulipristal, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Ulipristal.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Streptokinase.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Levonorgestrel.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Levonorgestrel.]
[M04AB02, sulfinpyrazone, The metabolism of Levonorgestrel can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Levonorgestrel.]
[N03AX03, sulthiame, The metabolism of Levonorgestrel can be increased when combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Levonorgestrel.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Levonorgestrel.]
[J01CA15, talampicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Levonorgestrel.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Levonorgestrel.]
[B01AE07, dabigatran etexilate, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Levonorgestrel can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Tetracycline.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Levonorgestrel.]
[L04AX02, thalidomide, Levonorgestrel may increase the thrombogenic activities of Thalidomide.]
[R03DA04, theophylline, Levonorgestrel may decrease the excretion rate of Theophylline which could result in a higher serum level.]
[N05CA19, thiopental, The metabolism of Levonorgestrel can be increased when combined with Thiopental.]
[J01CA13, ticarcillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Ticarcillin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Levonorgestrel.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Levonorgestrel.]
[B02AA02, tranexamic acid, Levonorgestrel may increase the thrombogenic activities of Tranexamic acid.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Levonorgestrel.]
[L01XF01, tretinoin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Tretinoin.]
[S01BA05, triamcinolone, The serum concentration of Triamcinolone can be increased when it is combined with Levonorgestrel.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Levonorgestrel.]
[S01AD02, trifluridine, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Levonorgestrel.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Levonorgestrel.]
[N03AC02, trimethadione, The metabolism of Levonorgestrel can be increased when combined with Trimethadione.]
[J01FA08, troleandomycin, The metabolism of Levonorgestrel can be decreased when combined with Troleandomycin.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Levonorgestrel.]
[J05AP03, boceprevir, The serum concentration of Levonorgestrel can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Levonorgestrel can be decreased when it is combined with Telaprevir.]
[B01AD04, urokinase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Urokinase.]
[N03AX21, ezogabine, The metabolism of Levonorgestrel can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Levonorgestrel can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Levonorgestrel can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Levonorgestrel can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Levonorgestrel.]
[S01XA02, vitamin A, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Vitamin A.]
[A11HA03, vitamin E, The metabolism of Levonorgestrel can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Levonorgestrel can be decreased when combined with Fusidic acid.]
[J05AE02, indinavir, The metabolism of Levonorgestrel can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Levonorgestrel can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Levonorgestrel can be increased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Levonorgestrel.]
[B01AE01, desirudin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Lepirudin.]
[N05AE04, ziprasidone, The metabolism of Levonorgestrel can be decreased when combined with Ziprasidone.]
[J02AC03, voriconazole, The metabolism of Levonorgestrel can be decreased when combined with Voriconazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Levonorgestrel.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Levonorgestrel.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Levonorgestrel.]
[J01CA09, azlocillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Levonorgestrel.]
[V03AX03, cobicistat, The serum concentration of Levonorgestrel can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Levonorgestrel can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Levonorgestrel can be decreased when it is combined with Enzalutamide.]
[B01AX01, defibrotide, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Levonorgestrel.]
[N05CA04, barbital, The metabolism of Levonorgestrel can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Levonorgestrel can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Levonorgestrel.]
[N03AX22, perampanel, The metabolism of Levonorgestrel can be increased when combined with Perampanel.]
[G04BE03, sildenafil, The metabolism of Levonorgestrel can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Levonorgestrel.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Apixaban.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Levonorgestrel.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Levonorgestrel can be increased when combined with Glycerol phenylbutyrate.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Levonorgestrel.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Levonorgestrel.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Levonorgestrel.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Levonorgestrel can be decreased when it is combined with Dabrafenib.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Levonorgestrel.]
[A05AA03, cholic acid, The therapeutic efficacy of Cholic Acid can be decreased when used in combination with Levonorgestrel.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Levonorgestrel.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Levonorgestrel.]
[N03AF04, eslicarbazepine, The metabolism of Levonorgestrel can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Levonorgestrel can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The metabolism of Levonorgestrel can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Levonorgestrel.]
[A16AA07, metreleptin, The metabolism of Levonorgestrel can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Levonorgestrel can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Levonorgestrel can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Levonorgestrel.]
[B01AE03, argatroban, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Argatroban.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Levonorgestrel.]
[L04AC11, siltuximab, The metabolism of Levonorgestrel can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Acenocoumarol.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Levonorgestrel.]
[J01XA05, oritavancin, The metabolism of Levonorgestrel can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Levonorgestrel.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Levonorgestrel.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Edoxaban.]
[L04AC10, secukinumab, The metabolism of Levonorgestrel can be increased when combined with Secukinumab.]
[B06AC04, C1 esterase inhibitor (recombinant), The risk or severity of thromboembolism can be increased when Levonorgestrel is combined with Conestat alfa.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Levonorgestrel.]
[N02BE01, acetaminophen, The metabolism of Levonorgestrel can be increased when combined with Acetaminophen.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Tioclomarol.]
[J05AP06, asunaprevir, The serum concentration of Levonorgestrel can be decreased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Cangrelor.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Flibanserin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Levonorgestrel.]
[S01EC01, acetazolamide, The metabolism of Levonorgestrel can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Levonorgestrel.]
[D05BB02, acitretin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Acitretin.]
[J02AC05, isavuconazole, The metabolism of Levonorgestrel can be decreased when combined with Isavuconazole.]
[V03AB35, sugammadex, The serum concentration of Levonorgestrel can be decreased when it is combined with Sugammadex.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Levonorgestrel.]
[M04AB05, lesinurad, The metabolism of Levonorgestrel can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Levonorgestrel.]
[N05CA05, aprobarbital, The metabolism of Levonorgestrel can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Levonorgestrel can be increased when combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Levonorgestrel can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Levonorgestrel.]
[A05AA04, obeticholic acid, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Levonorgestrel.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Levonorgestrel.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Levonorgestrel.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Levonorgestrel.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Levonorgestrel.]
[J01CE04, azidocillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Levonorgestrel can be decreased when combined with Rucaparib.]
[J01CA06, bacampicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Bacampicillin.]
[L01EF02, ribociclib, The metabolism of Levonorgestrel can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Levonorgestrel.]
[N02BF02, pregabalin, The metabolism of Levonorgestrel can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Levonorgestrel can be increased when combined with Beclamide.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Levonorgestrel.]
[D05AX03, calcitriol, The metabolism of Levonorgestrel can be increased when combined with Calcitriol.]
[J05AE09, tipranavir, The metabolism of Levonorgestrel can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Levonorgestrel.]
[L04AB02, infliximab, The metabolism of Levonorgestrel can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Levonorgestrel can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Levonorgestrel can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Betrixaban.]
[L01XX59, enasidenib, The metabolism of Levonorgestrel can be increased when combined with Enasidenib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Levonorgestrel.]
[J05AG03, efavirenz, The metabolism of Levonorgestrel can be decreased when combined with Efavirenz.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Levonorgestrel.]
[L01EL02, acalabrutinib, The metabolism of Levonorgestrel can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Levonorgestrel can be decreased when combined with Letermovir.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Levonorgestrel.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Levonorgestrel.]
[L02BB05, apalutamide, The metabolism of Levonorgestrel can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Levonorgestrel can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Carbenicillin.]
[N03AX24, cannabidiol, The metabolism of Levonorgestrel can be increased when combined with Cannabidiol.]
[L01XX62, ivosidenib, The metabolism of Levonorgestrel can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Levonorgestrel can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Levonorgestrel can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Levonorgestrel.]
[J01AA13, eravacycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Eravacycline.]
[J01AA14, sarecycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Omadacycline.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Levonorgestrel.]
[L01ED05, lorlatinib, The metabolism of Levonorgestrel can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Levonorgestrel can be increased when combined with Emapalumab.]
[A06AX05, prucalopride, The serum concentration of Levonorgestrel can be decreased when it is combined with Prucalopride.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Levonorgestrel.]
[N06AX27, esketamine, The metabolism of Levonorgestrel can be increased when combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Levonorgestrel can be decreased when combined with Clarithromycin.]
[N06AX29, brexanolone, The metabolism of Levonorgestrel can be increased when combined with Brexanolone.]
[N05BA09, clobazam, The serum concentration of Levonorgestrel can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Levonorgestrel.]
[L04AB01, etanercept, The metabolism of Levonorgestrel can be increased when combined with Etanercept.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Levonorgestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Levonorgestrel.]
[L01EM03, alpelisib, The metabolism of Levonorgestrel can be increased when combined with Alpelisib.]
[J01CF03, methicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Meticillin.]
[N07XX11, pitolisant, The serum concentration of Levonorgestrel can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Levonorgestrel.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Levonorgestrel.]
[J01DB09, cephradine, The metabolism of Levonorgestrel can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Levonorgestrel.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Levonorgestrel.]
[N03AX25, cenobamate, The serum concentration of Levonorgestrel can be decreased when it is combined with Cenobamate.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Levonorgestrel.]
