[P02BB01, trichlorfon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metrifonate.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Amantadine.]
[C02AB01, methyldopa, Amantadine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Amantadine may increase the serotonergic activities of Methylene blue.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Methylphenidate is combined with Amantadine.]
[G03EK01, methyltestosterone, Amantadine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metoclopramide.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Amantadine can be increased when it is combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Metronidazole.]
[V04CD01, metyrapone, Amantadine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Mianserin.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Amantadine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Lisdexamfetamine.]
[N05AE02, molindone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of serotonin syndrome can be increased when Amitriptyline is combined with Amantadine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Amantadine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of serotonin syndrome can be increased when Palonosetron is combined with Amantadine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Amantadine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Amantadine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, Amantadine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Amantadine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Amantadine.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Amantadine.]
[C07AA12, nadolol, Amantadine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Amantadine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Amantadine is combined with Nalbuphine.]
[V03AB15, naloxone, Amantadine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Amantadine is combined with Naltrexone.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Amantadine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Amantadine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S03AA01, neomycin, Amantadine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Amantadine is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Levosimendan.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L03AX16, plerixafor, Amantadine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Amantadine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CE01, inamrinone, Amantadine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Nialamide.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Amantadine.]
[N07BA01, nicotine, The serum concentration of Amantadine can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nimodipine.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05CF03, zaleplon, Amantadine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Amantadine may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Amantadine can be increased when it is combined with Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Norfloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Amantadine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Amantadine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ofloxacin.]
[N06AA05, opipramol, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Amantadine is combined with Opium.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The serum concentration of Amantadine can be increased when it is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Amantadine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Amantadine is combined with Oxymorphone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Amantadine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Amantadine.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Amantadine can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Amantadine is combined with Tapentadol.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Amantadine is combined with Pancuronium.]
[J04AB30, capreomycin, Amantadine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Papaverine.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Amantadine.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Amantadine is combined with Fesoterodine.]
[C07AA23, penbutolol, Amantadine may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Amantadine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Amantadine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Amantadine.]
[L01XX08, pentostatin, Amantadine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N04BC02, pergolide, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Perhexiline.]
[N05AB03, perphenazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Amantadine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Amantadine.]
[A10BA01, phenformin, The serum concentration of Amantadine can be increased when it is combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Pheniramine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Amantadine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Amantadine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The serum concentration of Amantadine can be increased when it is combined with Phenoxybenzamine.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Amantadine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Physostigmine.]
[B02BA01, vitamin K1, Amantadine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mibefradil.]
[N05AG02, pimozide, The therapeutic efficacy of Amantadine can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AE01, saquinavir, The risk or severity of adverse effects can be increased when Saquinavir is combined with Amantadine.]
[N06BX03, piracetam, Amantadine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Amantadine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Amantadine is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Pizotifen.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Amantadine.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Amantadine.]
[A10BH03, saxagliptin, Amantadine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Prajmaline.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Amantadine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Prenylamine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Amantadine.]
[M04AB01, probenecid, The serum concentration of Amantadine can be increased when it is combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Probucol.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Amantadine.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Amantadine.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Procarbazine.]
[C10AB05, fenofibrate, Amantadine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Amantadine.]
[G03DA04, progesterone, The serum concentration of Amantadine can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Propafenone.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Amantadine.]
[N05AC01, periciazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Amantadine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Amantadine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Amantadine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Amantadine can be increased when it is combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Amantadine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Amantadine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Amantadine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Amantadine can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Amantadine.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Amantadine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Amantadine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Amantadine is combined with Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Amantadine.]
[P02CC01, pyrantel, Amantadine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mepyramine.]
[P01AX05, quinacrine, The serum concentration of Amantadine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Amantadine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Amantadine can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Amantadine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Amantadine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Amantadine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Amantadine.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Selegiline.]
[J01GB08, sisomicin, Amantadine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Amantadine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Amantadine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sotalol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Ipratropium is combined with Amantadine.]
