[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Terodiline.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Emetine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Ciprofloxacin.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Enalapril is combined with Ciprofloxacin.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Ciprofloxacin.]
[N06AG03, toloxatone, Ciprofloxacin may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Ciprofloxacin.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Trandolapril is combined with Ciprofloxacin.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Ciprofloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Ciprofloxacin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Ciprofloxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Ciprofloxacin.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Ciprofloxacin.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Ciprofloxacin.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Ciprofloxacin.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Zofenopril is combined with Ciprofloxacin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Ciprofloxacin.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Ciprofloxacin.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Ciprofloxacin.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Ciprofloxacin.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Ciprofloxacin.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Ciprofloxacin.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Ciprofloxacin.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Ciprofloxacin.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be decreased when combined with Ciprofloxacin.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be decreased when combined with Ciprofloxacin.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Ciprofloxacin.]
[L03AX05, pidotimod, Ciprofloxacin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Ciprofloxacin.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Ciprofloxacin.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Ciprofloxacin.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Ciprofloxacin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Ciprofloxacin.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Ciprofloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ciprofloxacin.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Ciprofloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Ciprofloxacin.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Ciprofloxacin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Ciprofloxacin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Ciprofloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Ciprofloxacin.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Ciprofloxacin.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Ciprofloxacin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Ciprofloxacin.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Ciprofloxacin.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Ciprofloxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Ciprofloxacin.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Terfenadine.]
[P01AX07, trimetrexate, Ciprofloxacin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Ciprofloxacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Ciprofloxacin.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Ciprofloxacin.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Ciprofloxacin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Ciprofloxacin.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Ciprofloxacin.]
[M01CB01, gold sodium thiomalate, Ciprofloxacin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ciprofloxacin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ciprofloxacin.]
[A16AA01, levocarnitine, Ciprofloxacin may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Ciprofloxacin.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Ciprofloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Ciprofloxacin.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Ciprofloxacin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Ciprofloxacin.]
[L01BB06, clofarabine, Ciprofloxacin may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Ciprofloxacin.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Ciprofloxacin.]
[G04BD02, flavoxate, Ciprofloxacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ciprofloxacin.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Ciprofloxacin.]
[J01CF05, floxacillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ciprofloxacin.]
[J02AX01, flucytosine, Ciprofloxacin may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Ciprofloxacin.]
[V03AB25, flumazenil, Ciprofloxacin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Ciprofloxacin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Ciprofloxacin.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Ciprofloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Ciprofloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Ciprofloxacin.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Ciprofloxacin.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Ciprofloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Ciprofloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Ciprofloxacin.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Ciprofloxacin.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[S02AA17, fosfomycin, Ciprofloxacin may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ciprofloxacin.]
[J05AE10, darunavir, The metabolism of Darunavir can be decreased when combined with Ciprofloxacin.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Ciprofloxacin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Ciprofloxacin.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Ciprofloxacin.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Ganciclovir.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Ciprofloxacin.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Ciprofloxacin.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Ciprofloxacin.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Ciprofloxacin.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Ciprofloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Ciprofloxacin.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Ciprofloxacin.]
[A12AA13, calcium citrate, Calcium citrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA10, calcium gluceptate, Calcium glucoheptonate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA05, calcium lactate, Calcium lactate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Ciprofloxacin.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Ciprofloxacin.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Ciprofloxacin.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Ciprofloxacin.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Ciprofloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Ciprofloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Ciprofloxacin.]
[N05CM18, dexmedetomidine, Ciprofloxacin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Ciprofloxacin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Ciprofloxacin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Ciprofloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Ciprofloxacin.]
[M01CB04, aurothioglucose, Ciprofloxacin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ciprofloxacin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Ciprofloxacin.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Fosinopril is combined with Ciprofloxacin.]
[S01EX01, guanethidine, Ciprofloxacin may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Ciprofloxacin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Ciprofloxacin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Quetiapine.]
[N06BX13, idebenone, Ciprofloxacin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Ciprofloxacin.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Ciprofloxacin.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of hyperkalemia can be increased when Losartan is combined with Ciprofloxacin.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Ciprofloxacin.]
[A07EC02, mesalamine, Mesalazine may increase the neuroexcitatory activities of Ciprofloxacin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Ciprofloxacin.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Nilvadipine.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Ciprofloxacin.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Oxatomide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Ciprofloxacin.]
[C02DB02, hydralazine, Ciprofloxacin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Ciprofloxacin.]
[S02BA01, hydrocortisone, The risk or severity of tendinopathy can be increased when Hydrocortisone is combined with Ciprofloxacin.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ciprofloxacin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Ciprofloxacin.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Ciprofloxacin.]
[B05AA07, hetastarch, Ciprofloxacin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Ciprofloxacin.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Ciprofloxacin.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Risedronic acid.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Ciprofloxacin.]
[B05XA08, sodium acetate, Ciprofloxacin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Ciprofloxacin.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Ciprofloxacin.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Ciprofloxacin.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ciprofloxacin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Ciprofloxacin.]
[M03BX02, tizanidine, The risk or severity of hypotension can be increased when Ciprofloxacin is combined with Tizanidine.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Ciprofloxacin.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Ciprofloxacin.]
[S01BC01, indomethacin, Indomethacin may increase the neuroexcitatory activities of Ciprofloxacin.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A11HA07, inositol, Ciprofloxacin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Ciprofloxacin.]
[S01XA28, varenicline, Ciprofloxacin may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Ciprofloxacin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Ciprofloxacin.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be increased when it is combined with Ciprofloxacin.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Ciprofloxacin.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Ciprofloxacin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Ciprofloxacin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Anagrelide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Ciprofloxacin.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Stavudine.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Ciprofloxacin.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Ciprofloxacin.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Imidapril is combined with Ciprofloxacin.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ciprofloxacin.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Isoniazid.]
[J05AX05, inosine pranobex, Ciprofloxacin may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Ciprofloxacin.]
[C01DA14, isosorbide mononitrate, Ciprofloxacin may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Ciprofloxacin.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Ciprofloxacin.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Ciprofloxacin.]
[S01AA24, kanamycin, Ciprofloxacin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Ciprofloxacin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Ciprofloxacin.]
[B01AC22, prasugrel, Ciprofloxacin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Ketoconazole can be decreased when combined with Ciprofloxacin.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Ciprofloxacin.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Ciprofloxacin.]
[M02AA10, ketoprofen, Ketoprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Ciprofloxacin.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the neuroexcitatory activities of Ciprofloxacin.]
[C07AG01, labetalol, Ciprofloxacin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ciprofloxacin.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Ciprofloxacin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Ciprofloxacin.]
[A06AX03, lubiprostone, Ciprofloxacin may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Ciprofloxacin.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Ciprofloxacin.]
[J01CA11, amdinocillin, The serum concentration of Ciprofloxacin can be increased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Ciprofloxacin can be increased when it is combined with Pivmecillinam.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Ciprofloxacin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Lidocaine.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Ciprofloxacin.]
[S01AA21, amikacin, Ciprofloxacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Ciprofloxacin.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Ciprofloxacin.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Loperamide.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Ciprofloxacin.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Ciprofloxacin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Ciprofloxacin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Ciprofloxacin.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BA05, pralatrexate, Ciprofloxacin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Ciprofloxacin.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Ciprofloxacin.]
[C02BB01, mecamylamine, Ciprofloxacin may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
