[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Felodipine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Felodipine.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Felodipine.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Felodipine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Felodipine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Felodipine.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Felodipine.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Felodipine.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Felodipine.]
[N05AX14, iloperidone, The risk or severity of hypotension can be increased when Iloperidone is combined with Felodipine.]
[J02AA01, amphotericin B, Felodipine may decrease the nephrotoxic activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The metabolism of Felodipine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Felodipine.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Felodipine.]
[C04AE02, nicergoline, The risk or severity of hypotension can be increased when Nicergoline is combined with Felodipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Felodipine.]
[C08CA05, nifedipine, Felodipine may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, Felodipine may increase the vasodilatory activities of Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Felodipine.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Felodipine.]
[C08CA08, nitrendipine, Felodipine may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Felodipine.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Felodipine can be decreased when combined with Zaleplon.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Felodipine.]
[C02DD01, nitroprusside, Felodipine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Felodipine.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Felodipine.]
[G03DC02, norethindrone, The metabolism of Felodipine can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Norfloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Felodipine.]
[G02CA02, nylidrin, Felodipine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Felodipine.]
[S02AA16, ofloxacin, Felodipine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Felodipine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Felodipine.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Felodipine.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Felodipine.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Felodipine.]
[G04CA02, tamsulosin, The risk or severity of hypotension can be increased when Tamsulosin is combined with Felodipine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Felodipine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Felodipine may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Felodipine.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Felodipine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Felodipine can be decreased when used in combination with Oxymetazoline.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Felodipine.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Oxyphenbutazone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Felodipine.]
[N05AH05, asenapine, The risk or severity of hypotension can be increased when Asenapine is combined with Felodipine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Danaparoid.]
[M03AC01, pancuronium, Felodipine may increase the neuromuscular blocking activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Felodipine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Felodipine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Felodipine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Felodipine.]
[C07AA23, penbutolol, The risk or severity of bradycardia can be increased when Felodipine is combined with Penbutolol.]
[N05AG03, penfluridol, Felodipine may increase the arrhythmogenic activities of Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Felodipine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Felodipine.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Felodipine.]
[C08EX02, perhexiline, Felodipine may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Felodipine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Felodipine.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Felodipine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Felodipine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Felodipine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Felodipine.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension can be increased when Phenoxybenzamine is combined with Felodipine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Felodipine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Felodipine.]
[V03AB36, phentolamine, The risk or severity of hypotension can be increased when Phentolamine is combined with Felodipine.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Felodipine is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Felodipine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Felodipine.]
[L04AB06, golimumab, The metabolism of Felodipine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Levofloxacin.]
[C08CX01, mibefradil, Felodipine may increase the arrhythmogenic activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Felodipine.]
[C07AA03, pindolol, The risk or severity of bradycardia can be increased when Felodipine is combined with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Felodipine.]
[J05AE01, saquinavir, The metabolism of Felodipine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Felodipine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Felodipine.]
[C09CA02, eprosartan, Eprosartan may increase the hypotensive activities of Felodipine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Felodipine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypotension can be increased when Pizotifen is combined with Felodipine.]
[J05AG02, delavirdine, The metabolism of Felodipine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Felodipine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Felodipine.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Felodipine.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Felodipine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Felodipine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Felodipine.]
[L04AC08, canakinumab, The metabolism of Felodipine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Felodipine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Felodipine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Felodipine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Felodipine.]
[C07AB01, practolol, Felodipine may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Felodipine may increase the arrhythmogenic activities of Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Felodipine.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Felodipine.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Antazoline.]
[C01DX02, prenylamine, Felodipine may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Felodipine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Felodipine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Probucol.]
[C01BA02, procainamide, Felodipine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Felodipine.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Felodipine.]
[C10AB05, fenofibrate, Felodipine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Felodipine.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N05AA03, promazine, The risk or severity of hypotension can be increased when Promazine is combined with Felodipine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Promethazine.]
[C01BC03, propafenone, Felodipine may increase the arrhythmogenic activities of Propafenone.]
[N05AC01, periciazine, The risk or severity of hypotension can be increased when Periciazine is combined with Felodipine.]
[N05CM06, propiomazine, The risk or severity of hypotension can be increased when Propiomazine is combined with Felodipine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Felodipine.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Felodipine.]
[C07AA05, propranolol, Propranolol may increase the arrhythmogenic activities of Felodipine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Felodipine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Felodipine.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Felodipine.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Felodipine.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Felodipine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Felodipine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Felodipine.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Felodipine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Felodipine.]
[C01BA01, quinidine, Quinidine may increase the arrhythmogenic activities of Felodipine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Felodipine.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Felodipine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Felodipine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Felodipine.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Felodipine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Roxithromycin.]
[N02BA05, salicylamide, The therapeutic efficacy of Felodipine can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Sulfasalazine.]
[S01BC08, salicylic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Felodipine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Felodipine.]
[L01FA03, obinutuzumab, Felodipine may increase the hypotensive activities of Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Felodipine.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Felodipine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Felodipine.]
[C03DA01, spironolactone, Spironolactone may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Felodipine.]
[C01DA14, isosorbide mononitrate, Felodipine may increase the vasodilatory activities of Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Felodipine can be decreased when combined with Levoketoconazole.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Felodipine can be decreased when used in combination with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Felodipine.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium pangamate.]
