[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Bisoprolol.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05CH02, ramelteon, Bisoprolol may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Bisoprolol.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Bisoprolol may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Bisoprolol.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Bisoprolol.]
[N05AA07, chlorproethazine, The serum concentration of Bisoprolol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Bisoprolol.]
[S01EC03, dorzolamide, Bisoprolol may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Bisoprolol.]
[C09AA16, imidapril, Bisoprolol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Bisoprolol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Bisoprolol.]
[J04AC01, isoniazid, The metabolism of Bisoprolol can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Bisoprolol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Bisoprolol.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Bisoprolol.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Bisoprolol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Bisoprolol.]
[S01AA24, kanamycin, Bisoprolol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Bisoprolol.]
[C02KD01, ketanserin, Bisoprolol may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Bisoprolol may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Bisoprolol can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Bisoprolol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Bisoprolol may increase the orthostatic hypotensive activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Bisoprolol.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Bisoprolol.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Bisoprolol.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Bisoprolol.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Labetalol.]
[N04BB01, amantadine, Bisoprolol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, The therapeutic efficacy of Deserpidine can be increased when used in combination with Bisoprolol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Bisoprolol.]
[A06AX03, lubiprostone, Bisoprolol may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, Bisoprolol may increase the bradycardic activities of Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Bisoprolol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Bisoprolol.]
[C08EX01, lidoflazine, The therapeutic efficacy of Lidoflazine can be increased when used in combination with Bisoprolol.]
[S01AA21, amikacin, Bisoprolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Bisoprolol may increase the vasoconstricting activities of Lisuride.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Bisoprolol.]
[A07DA03, loperamide, The therapeutic efficacy of Loperamide can be increased when used in combination with Bisoprolol.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Bisoprolol can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Bisoprolol can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Bisoprolol can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Bisoprolol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Bisoprolol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be increased when used in combination with Bisoprolol.]
[L01BA05, pralatrexate, Bisoprolol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Bisoprolol can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Bisoprolol may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Bisoprolol may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Bisoprolol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Bisoprolol.]
[C01AA08, medigoxin, The therapeutic efficacy of Metildigoxin can be increased when used in combination with Bisoprolol.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be decreased when Mefloquine is combined with Bisoprolol.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Dalteparin.]
[N06DX01, memantine, Memantine may increase the bradycardic activities of Bisoprolol.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01CA11, mephentermine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Mephentermine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Bisoprolol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Bisoprolol.]
[G04BX16, tiopronin, Bisoprolol may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Bisoprolol can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Bisoprolol may increase the orthostatic hypotensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Bisoprolol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Bisoprolol.]
[H01CB03, lanreotide, Bisoprolol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06BA03, methamphetamine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Metamfetamine.]
[J05AF05, lamivudine, Bisoprolol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Bisoprolol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Bisoprolol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Bisoprolol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Bisoprolol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02BG08, ziconotide, The therapeutic efficacy of Ziconotide can be increased when used in combination with Bisoprolol.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The serum concentration of Bisoprolol can be increased when it is combined with Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Bisoprolol.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Bisoprolol.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Bisoprolol.]
[V04CG05, methylene blue, The serum concentration of Bisoprolol can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, Bisoprolol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Bisoprolol.]
[G03EK01, methyltestosterone, Bisoprolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Bisoprolol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, Metoclopramide may increase the bradycardic activities of Bisoprolol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Metoprolol.]
[V04CD01, metyrapone, Bisoprolol may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The therapeutic efficacy of Mexiletine can be increased when used in combination with Bisoprolol.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Bisoprolol.]
[S02AA13, miconazole, The metabolism of Bisoprolol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Bisoprolol.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Parnaparin.]
[N05CD08, midazolam, Bisoprolol may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Bisoprolol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Bisoprolol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Bisoprolol.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Bisoprolol.]
[L01XX23, mitotane, The metabolism of Bisoprolol can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Bisoprolol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Bisoprolol.]
[C01BD01, amiodarone, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, Bisoprolol may increase the orthostatic hypotensive activities of Amitriptyline.]
[N02AA01, morphine, The serum concentration of Bisoprolol can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Bisoprolol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Bisoprolol.]
[L04AA06, mycophenolic acid, Bisoprolol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Bisoprolol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Bisoprolol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Bisoprolol is combined with Silodosin.]
[N06AA17, amoxapine, Bisoprolol may increase the orthostatic hypotensive activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Bisoprolol can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nadolol.]
[J01CA04, amoxicillin, Bisoprolol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Bisoprolol.]
[V03AB15, naloxone, The metabolism of Bisoprolol can be decreased when combined with Naloxone.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Bisoprolol.]
[N06BA01, amphetamine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Bisoprolol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Bisoprolol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Bisoprolol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Bisoprolol.]
[S03AA01, neomycin, Bisoprolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Bisoprolol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Bisoprolol.]
[C01CX08, levosimendan, The therapeutic efficacy of Levosimendan can be increased when used in combination with Bisoprolol.]
[B01AC17, tirofiban, Bisoprolol may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Bisoprolol.]
[N05AX14, iloperidone, Bisoprolol may increase the orthostatic hypotensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L03AX16, plerixafor, Bisoprolol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Bisoprolol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The serum concentration of Bisoprolol can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Bisoprolol may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01CE01, inamrinone, Bisoprolol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Bisoprolol.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be increased when used in combination with Bisoprolol.]
[C04AE02, nicergoline, Bisoprolol may increase the vasoconstricting activities of Nicergoline.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Bisoprolol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Bisoprolol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The therapeutic efficacy of Nimodipine can be increased when used in combination with Bisoprolol.]
[C08CA07, nisoldipine, The therapeutic efficacy of Nisoldipine can be increased when used in combination with Bisoprolol.]
[C08CA08, nitrendipine, The therapeutic efficacy of Nitrendipine can be increased when used in combination with Bisoprolol.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Bisoprolol.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Nitrofurantoin.]
[N05CF03, zaleplon, Bisoprolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Bisoprolol.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Bisoprolol.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Bisoprolol.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Bisoprolol.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Bisoprolol.]
[N06AA10, nortriptyline, Bisoprolol may increase the orthostatic hypotensive activities of Nortriptyline.]
[A16AX07, sapropterin, The serum concentration of Bisoprolol can be increased when it is combined with Sapropterin.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be increased when used in combination with Bisoprolol.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Bisoprolol.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Bisoprolol.]
[N02AA02, opium, Bisoprolol may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Bisoprolol.]
[G04CA02, tamsulosin, Bisoprolol may increase the orthostatic hypotensive activities of Tamsulosin.]
[C01AC01, ouabain, Bisoprolol may increase the bradycardic activities of Ouabain.]
[J01CF04, oxacillin, Bisoprolol may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Bisoprolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Oxprenolol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Bisoprolol.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Bisoprolol.]
[N05AH05, asenapine, Bisoprolol may increase the orthostatic hypotensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Danaparoid.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Bisoprolol.]
[J04AB30, capreomycin, Bisoprolol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Bisoprolol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G04BD11, fesoterodine, Bisoprolol may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Penbutolol.]
[N05AG03, penfluridol, The therapeutic efficacy of Penfluridol can be increased when used in combination with Bisoprolol.]
[J01CE09, penicillin G procaine, Bisoprolol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Bisoprolol can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Bisoprolol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Bisoprolol.]
[N05AB10, perazine, The serum concentration of Bisoprolol can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Bisoprolol.]
[C08EX02, perhexiline, The therapeutic efficacy of Perhexiline can be increased when used in combination with Bisoprolol.]
[N05AB03, perphenazine, The serum concentration of Bisoprolol can be increased when it is combined with Perphenazine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Bisoprolol.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Bisoprolol.]
[N03AA02, phenobarbital, The metabolism of Bisoprolol can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Bisoprolol may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Bisoprolol may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Bisoprolol.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Bisoprolol.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Bisoprolol.]
[N03AB02, phenytoin, The metabolism of Bisoprolol can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, Bisoprolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Bisoprolol.]
[B02BA01, vitamin K1, Bisoprolol may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C08CX01, mibefradil, The therapeutic efficacy of Mibefradil can be increased when used in combination with Bisoprolol.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Pilocarpine.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Bisoprolol can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The serum concentration of Bisoprolol can be increased when it is combined with Pipotiazine.]
[N06BX03, piracetam, Bisoprolol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Bisoprolol may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Bisoprolol.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N02CX01, pizotyline, Bisoprolol may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Bisoprolol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Bisoprolol may increase the hypotensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Bisoprolol.]
[C03AA05, polythiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Bisoprolol can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Bisoprolol.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Bisoprolol.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Bisoprolol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bisoprolol.]
[C07AB01, practolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Practolol.]
[C01BA08, prajmaline, The therapeutic efficacy of Prajmaline can be increased when used in combination with Bisoprolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Bisoprolol.]
[H02AB07, prednisone, Bisoprolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DX02, prenylamine, The therapeutic efficacy of Prenylamine can be increased when used in combination with Bisoprolol.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be decreased when Primaquine is combined with Bisoprolol.]
[N03AA03, primidone, The metabolism of Bisoprolol can be increased when combined with Primidone.]
[M04AB01, probenecid, Bisoprolol may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The therapeutic efficacy of Procainamide can be increased when used in combination with Bisoprolol.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Bisoprolol.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Bisoprolol.]
[C10AB05, fenofibrate, Bisoprolol may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The serum concentration of Bisoprolol can be increased when it is combined with Prochlorperazine.]
[N05AA03, promazine, The serum concentration of Bisoprolol can be increased when it is combined with Promazine.]
[R06AD02, promethazine, The serum concentration of Bisoprolol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Propafenone.]
[A03AB05, propantheline, Bisoprolol may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Bisoprolol.]
[N05AC01, periciazine, The serum concentration of Bisoprolol can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Bisoprolol may increase the orthostatic hypotensive activities of Propiomazine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Bisoprolol.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Bisoprolol.]
[C07AA05, propranolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Propranolol.]
[C01AB01, proscillaridin, Bisoprolol may increase the bradycardic activities of Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Bisoprolol.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Bisoprolol.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Bisoprolol.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Bisoprolol.]
[N07XX07, dalfampridine, Bisoprolol may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Bisoprolol may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Bisoprolol.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Bisoprolol.]
[C01BA01, quinidine, The therapeutic efficacy of Quinidine can be increased when used in combination with Bisoprolol.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be increased when used in combination with Bisoprolol.]
