[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[A16AA01, levocarnitine, Ampicillin may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02AB03, fentanyl, Ampicillin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Ampicillin may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Ampicillin may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G04BD02, flavoxate, Ampicillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J02AX01, flucytosine, Ampicillin may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Ampicillin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CD01, flurazepam, Ampicillin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02BB01, flutamide, Ampicillin may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S02AA17, fosfomycin, Ampicillin may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The serum concentration of Framycetin can be decreased when it is combined with Ampicillin.]
[L01BC03, tegafur, Ampicillin may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Ampicillin.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Ampicillin.]
[S01AD09, ganciclovir, Ampicillin may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Ampicillin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Ampicillin may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[G03XA02, gestrinone, The therapeutic efficacy of Gestrinone can be decreased when used in combination with Ampicillin.]
[A10BB07, glipizide, Ampicillin may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Ampicillin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01CB04, aurothioglucose, Ampicillin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ampicillin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Ampicillin may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Ampicillin may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Ampicillin may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05AD01, haloperidol, Ampicillin may decrease the excretion rate of Haloperidol which could result in a higher serum level.]
[N05AH04, quetiapine, Ampicillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Ampicillin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, The risk of a hypersensitivity reaction to Ampicillin is increased when it is combined with Allopurinol.]
[G03DC01, allylestrenol, Ampicillin may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C09AA04, perindopril, Ampicillin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Ampicillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ampicillin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G04BD06, propiverine, Ampicillin may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, Hydroxychloroquine can cause a decrease in the absorption of Ampicillin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05AA07, hetastarch, Ampicillin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B05XA08, sodium acetate, Ampicillin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Ampicillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, Ampicillin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[R01AD07, tixocortol, Ampicillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Ampicillin may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A11HA07, inositol, Ampicillin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Ampicillin may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Ampicillin may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Articaine.]
[A10BH01, sitagliptin, Ampicillin may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CH02, ramelteon, Ampicillin may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Ampicillin may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, Ampicillin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Ampicillin may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Ampicillin may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Ampicillin may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Ampicillin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Ampicillin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Ampicillin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[D10AX03, azelaic acid, Ampicillin may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[J01MB02, nalidixic acid, The serum concentration of Nalidixic acid can be increased when it is combined with Ampicillin.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C07AG01, labetalol, Ampicillin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Ampicillin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Ampicillin.]
[A06AX03, lubiprostone, Ampicillin may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Ampicillin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Lidocaine.]
[S01AA21, amikacin, Ampicillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01AA04, lymecycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Lymecycline.]
[G03DC03, lynestrenol, The therapeutic efficacy of Lynestrenol can be decreased when used in combination with Ampicillin.]
[B05XA11, magnesium chloride, Ampicillin may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Ampicillin may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Ampicillin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Ampicillin may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Ampicillin may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Ampicillin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Ampicillin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Mepivacaine.]
[G04BX16, tiopronin, Ampicillin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Ampicillin may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01AA05, methacycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Metacycline.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BA03, methamphetamine, Ampicillin may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Ampicillin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Ampicillin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Ampicillin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Ampicillin.]
[D05BA02, methoxsalen, Ampicillin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Ampicillin may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Ampicillin may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[G03EK01, methyltestosterone, Ampicillin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Ampicillin may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V04CD01, metyrapone, Ampicillin may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CD08, midazolam, Ampicillin may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Ampicillin.]
[J05AH01, zanamivir, Ampicillin may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Minocycline.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Ampicillin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Ampicillin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Ampicillin.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Ampicillin.]
[C07AA12, nadolol, Ampicillin may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Ampicillin may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Ampicillin may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AX21, duloxetine, Ampicillin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S03AA01, neomycin, Ampicillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Ampicillin may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[C01DA05, pentaerythritol tetranitrate, Ampicillin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[L03AX16, plerixafor, Ampicillin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ampicillin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Ampicillin may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CE01, inamrinone, Ampicillin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Ampicillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R07AX01, nitric oxide, Ampicillin may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Ampicillin may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Ampicillin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Norethisterone can be decreased when used in combination with Ampicillin.]
[S01AE02, norfloxacin, The serum concentration of Norfloxacin can be increased when it is combined with Ampicillin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Norgestrienone can be decreased when used in combination with Ampicillin.]
[S02AA16, ofloxacin, The serum concentration of Ofloxacin can be increased when it is combined with Ampicillin.]
[N02AA02, opium, Ampicillin may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Ampicillin may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Ampicillin may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Ampicillin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The serum concentration of Oxolinic acid can be increased when it is combined with Ampicillin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Oxytetracycline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Ampicillin.]
[J04AB30, capreomycin, Ampicillin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The therapeutic efficacy of Chlormadinone can be decreased when used in combination with Ampicillin.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be decreased when it is combined with Ampicillin.]
[J01MA03, pefloxacin, The serum concentration of Pefloxacin can be increased when it is combined with Ampicillin.]
[G04BD11, fesoterodine, Ampicillin may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Ampicillin may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Ampicillin may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L01XX08, pentostatin, Ampicillin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Ampicillin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AF03, phenelzine, Ampicillin may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[B01AA02, phenindione, Ampicillin may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Ampicillin may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Ampicillin may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01AE05, levofloxacin, The serum concentration of Levofloxacin can be increased when it is combined with Ampicillin.]
[B02BA01, vitamin K1, Ampicillin may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C07AA03, pindolol, Ampicillin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BX03, piracetam, Ampicillin may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be increased when it is combined with Ampicillin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Ampicillin may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Ampicillin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[H02AB07, prednisone, Ampicillin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Prilocaine.]
[C01BA02, procainamide, Ampicillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Procaine.]
[C10AB05, fenofibrate, Ampicillin may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The therapeutic efficacy of Progesterone can be decreased when used in combination with Ampicillin.]
[R06AD02, promethazine, Ampicillin may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Ampicillin may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, Ampicillin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, Ampicillin may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Ampicillin may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Ampicillin may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Ampicillin may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01BA01, quinidine, Ampicillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Ampicillin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AP01, ribavirin, Ampicillin may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Rolitetracycline.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CA06, secobarbital, Ampicillin may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[J01GB08, sisomicin, Ampicillin may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ampicillin may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ampicillin may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
