[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[H02CA04, levoketoconazole, The metabolism of Selegiline can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Selegiline.]
[V03AC03, deferasirox, The serum concentration of Selegiline can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Selegiline can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Selegiline is combined with Arbutamine.]
[N04BC09, rotigotine, Selegiline may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Selegiline can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Selegiline is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Selegiline may increase the hypotensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Selegiline.]
[C02AA05, deserpidine, Selegiline may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Selegiline is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Selegiline may increase the orthostatic hypotensive activities of Etacrynic acid.]
[G03AD01, levonorgestrel, The bioavailability of Selegiline can be increased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of orthostatic hypotension can be increased when Selegiline is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Selegiline can be decreased when combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Selegiline can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Selegiline may increase the orthostatic hypotensive activities of Amiloride.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Selegiline.]
[N06AA07, lofepramine, Selegiline may increase the serotonergic activities of Lofepramine.]
[A07DA03, loperamide, The metabolism of Selegiline can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Selegiline.]
[C10AA02, lovastatin, The metabolism of Selegiline can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The bioavailability of Selegiline can be increased when combined with Lynestrenol.]
[L01EG01, temsirolimus, The metabolism of Selegiline can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Selegiline can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Selegiline can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Selegiline may increase the orthostatic hypotensive activities of Mannitol.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Selegiline.]
[C02BB01, mecamylamine, Selegiline may increase the hypotensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Selegiline.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Selegiline.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Medazepam.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Selegiline is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Selegiline can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Selegiline is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of adverse effects can be increased when Mephentermine is combined with Selegiline.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Selegiline.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Selegiline.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Selegiline.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Selegiline.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Selegiline.]
[N05AC03, mesoridazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Selegiline can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, Selegiline may increase the hypertensive activities of Metaraminol.]
[A10BA02, metformin, Selegiline may increase the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Selegiline.]
[N07BC02, methadone, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Selegiline.]
[A03AB07, methantheline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Selegiline is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Selegiline is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Selegiline.]
[S01EC05, methazolamide, Selegiline may increase the orthostatic hypotensive activities of Methazolamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Selegiline is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Selegiline can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Selegiline can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Selegiline.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Selegiline.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Selegiline is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Selegiline may increase the hypertensive activities of Methoxamine.]
[D05BA02, methoxsalen, The metabolism of Selegiline can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Selegiline.]
[C03AA08, methyclothiazide, Selegiline may increase the orthostatic hypotensive activities of Methyclothiazide.]
[C02AB01, methyldopa, Selegiline may decrease the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Selegiline may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Selegiline.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Selegiline.]
[N06BA04, methylphenidate, Selegiline may increase the hypertensive activities of Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Selegiline.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Selegiline.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Selegiline is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Selegiline.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Selegiline is combined with Metoclopramide.]
[C03BA08, metolazone, Selegiline may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Selegiline can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Selegiline can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Selegiline can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Selegiline can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Selegiline is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Selegiline can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Selegiline.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Selegiline.]
[C01CA17, midodrine, Selegiline may increase the hypertensive activities of Midodrine.]
[G03XB01, mifepristone, The serum concentration of Selegiline can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Tinzaparin.]
[C09CA03, valsartan, Selegiline may increase the hypotensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[D11AX01, minoxidil, Selegiline may increase the hypotensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Selegiline can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of adverse effects can be increased when Lisdexamfetamine is combined with Selegiline.]
[N05AE02, molindone, The therapeutic efficacy of Selegiline can be decreased when used in combination with Molindone.]
[L03AC01, aldesleukin, Selegiline may increase the orthostatic hypotensive activities of Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Selegiline can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Selegiline may increase the serotonergic activities of Amitriptyline.]
[N02AA01, morphine, Selegiline may increase the analgesic activities of Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Selegiline.]
[L04AB05, certolizumab pegol, The metabolism of Selegiline can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Selegiline can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Selegiline.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Selegiline is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Selegiline.]
[P01BA06, amodiaquine, The metabolism of Selegiline can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Selegiline can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Selegiline may increase the serotonergic activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Selegiline.]
[L03AB08, interferon beta-1b, The metabolism of Selegiline can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Selegiline may increase the hypotensive activities of Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Selegiline is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Selegiline can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Selegiline is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Selegiline.]
[V03AB15, naloxone, The metabolism of Selegiline can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Selegiline.]
[L04AC03, anakinra, The metabolism of Selegiline can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Selegiline may increase the hypertensive activities of Naphazoline.]
[N06BA01, amphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Selegiline.]
[M02AA12, naproxen, The metabolism of Selegiline can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Selegiline can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Duloxetine.]
[N04BX01, tolcapone, Selegiline may increase the orthostatic hypotensive activities of Tolcapone.]
[L02BG04, letrozole, The metabolism of Selegiline can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Selegiline.]
[A10BX02, repaglinide, The metabolism of Selegiline can be decreased when combined with Repaglinide.]
[C01CX08, levosimendan, Selegiline may increase the orthostatic hypotensive activities of Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Tirofiban.]
[N05AX14, iloperidone, The therapeutic efficacy of Selegiline can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Selegiline may increase the orthostatic hypotensive activities of Amphotericin B.]
[N06AX23, desvenlafaxine, Selegiline may increase the serotonergic activities of Desvenlafaxine.]
[C09CA07, telmisartan, Selegiline may increase the hypotensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Selegiline can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Selegiline is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Selegiline can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Selegiline.]
[P02DA01, niclosamide, The metabolism of Selegiline can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Selegiline can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Selegiline may increase the orthostatic hypotensive activities of Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Selegiline is combined with Niflumic acid.]
[V03AB22, amyl nitrite, Selegiline may increase the orthostatic hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Selegiline may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Selegiline may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Nitrazepam.]
[C08CA08, nitrendipine, Selegiline may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Selegiline may increase the orthostatic hypotensive activities of Nitric Oxide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Selegiline.]
[N04BC05, pramipexole, Selegiline may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Selegiline may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Selegiline.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Selegiline is combined with Nomifensine.]
[C01CA03, norepinephrine, Selegiline may increase the hypertensive activities of Norepinephrine.]
[G03DC02, norethindrone, The bioavailability of Selegiline can be increased when combined with Norethisterone.]
[S01AE02, norfloxacin, The metabolism of Selegiline can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The bioavailability of Selegiline can be increased when combined with Norgestrienone.]
[C02KX01, bosentan, Selegiline may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Selegiline may increase the serotonergic activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Selegiline can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Eptifibatide.]
[L03AB07, interferon beta-1a, The metabolism of Selegiline can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Selegiline is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Reviparin.]
[L04AC04, rilonacept, The metabolism of Selegiline can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Selegiline can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Selegiline may increase the serotonergic activities of Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Selegiline.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Selegiline.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Ancrod.]
[G04CA02, tamsulosin, Selegiline may increase the orthostatic hypotensive activities of Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Selegiline can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Selegiline can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Selegiline.]
[C07AA02, oxprenolol, Selegiline may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, Selegiline may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Selegiline is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The serum concentration of Oxymetazoline can be increased when it is combined with Selegiline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Selegiline.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Selegiline is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Selegiline is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Danaparoid.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Tapentadol is combined with Selegiline.]
[M03AC01, pancuronium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The bioavailability of Selegiline can be increased when combined with Chlormadinone.]
[G04BE02, papaverine, Selegiline may increase the orthostatic hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Selegiline is combined with Pargyline.]
[J01MA03, pefloxacin, The metabolism of Selegiline can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Selegiline may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Selegiline is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Selegiline.]
[N05CA01, pentobarbital, The metabolism of Selegiline can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Perazine.]
[N04BC02, pergolide, Selegiline may increase the hypertensive activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Selegiline can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Selegiline.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Selegiline.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Selegiline.]
[A10BA01, phenformin, Selegiline may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Selegiline can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Selegiline.]
[C04AX02, phenoxybenzamine, Selegiline may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Selegiline.]
[A08AA01, phentermine, The risk or severity of adverse effects can be increased when Phentermine is combined with Selegiline.]
[V03AB36, phentolamine, Selegiline may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Selegiline can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, Selegiline may increase the hypertensive activities of Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Selegiline.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Selegiline.]
[L04AB06, golimumab, The metabolism of Selegiline can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Selegiline may increase the hypotensive activities of Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Selegiline can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The therapeutic efficacy of Selegiline can be decreased when used in combination with Pimozide.]
[C07AA03, pindolol, Selegiline may increase the hypotensive activities of Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Selegiline.]
[J05AE01, saquinavir, The metabolism of Selegiline can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Selegiline.]
[N05AC04, pipothiazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Pipotiazine.]
[C09CA02, eprosartan, Selegiline may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Selegiline.]
[S01BC06, piroxicam, The metabolism of Selegiline can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The metabolism of Selegiline can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Selegiline may increase the anticholinergic activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Selegiline can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Selegiline may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Selegiline is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Abciximab.]
[D05AX05, tazarotene, The metabolism of Selegiline can be decreased when combined with Tazarotene.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Alteplase.]
[A10BG02, rosiglitazone, The metabolism of Selegiline can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Selegiline.]
[A03AE01, alosetron, The metabolism of Selegiline can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Selegiline can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Selegiline may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Selegiline can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Selegiline may increase the hypoglycemic activities of Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Selegiline.]
[C07AB01, practolol, Selegiline may increase the hypotensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Selegiline.]
[C02CA01, prazosin, Selegiline may increase the hypotensive activities of Prazosin.]
[H02AB07, prednisone, The metabolism of Selegiline can be increased when combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Selegiline.]
[P01BA03, primaquine, The metabolism of Selegiline can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Selegiline can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Selegiline can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Selegiline.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Selegiline.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Selegiline is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Selegiline can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Prochlorperazine.]
[N04AA04, procyclidine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Selegiline can be increased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Selegiline can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Selegiline is combined with Propanidid.]
[A03AB05, propantheline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Selegiline.]
[N01AX10, propofol, Selegiline may increase the orthostatic hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Selegiline.]
[C07AA05, propranolol, Selegiline may increase the hypotensive activities of Propranolol.]
[N02CC04, rizatriptan, The metabolism of Rizatriptan can be decreased when combined with Selegiline.]
[B01AC09, epoprostenol, Selegiline may increase the hypotensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Selegiline can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Selegiline may increase the serotonergic activities of Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of adverse effects can be increased when Pseudoephedrine is combined with Selegiline.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Selegiline.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Selegiline is combined with Dalfampridine.]
[A03AB15, diphemanil, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Selegiline.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Selegiline is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Selegiline is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Selegiline is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Selegiline is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Selegiline is combined with Mepyramine.]
[P01BD01, pyrimethamine, The metabolism of Selegiline can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Selegiline can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Selegiline can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Selegiline can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Selegiline may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Selegiline is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Selegiline can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Selegiline is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Selegiline.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Selegiline is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Selegiline is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Selegiline.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Selegiline.]
