[S02DA03, antipyrine, The metabolism of Olodaterol can be decreased when combined with Antipyrine.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Olodaterol.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Olodaterol.]
[C10AB05, fenofibrate, The metabolism of Olodaterol can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Olodaterol.]
[G03DA04, progesterone, The metabolism of Olodaterol can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Olodaterol.]
[C01BC03, propafenone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Propantheline is combined with Olodaterol.]
[N05AC01, periciazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Olodaterol.]
[C07AA05, propranolol, Propranolol may decrease the bronchodilatory activities of Olodaterol.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Olodaterol.]
[B01AC09, epoprostenol, Olodaterol may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Olodaterol can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Olodaterol.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Olodaterol.]
[N05AX12, aripiprazole, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Isopropamide is combined with Olodaterol.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Methscopolamine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Olodaterol.]
[P01BD01, pyrimethamine, The metabolism of Olodaterol can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Quinine.]
[C02AA01, rescinnamine, Olodaterol may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Olodaterol may decrease the antihypertensive activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Olodaterol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Olodaterol is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Olodaterol.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Salicylamide is combined with Olodaterol.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Olodaterol.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Olodaterol.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Olodaterol.]
[N05CA06, secobarbital, The metabolism of Olodaterol can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Olodaterol can be decreased when combined with Selegiline.]
[C07AA07, sotalol, Sotalol may decrease the bronchodilatory activities of Olodaterol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Olodaterol.]
[C03DA01, spironolactone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Spironolactone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Olodaterol.]
