[S02DA03, antipyrine, The metabolism of Procainamide can be decreased when combined with Antipyrine.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Procainamide.]
[N04BC09, rotigotine, The metabolism of Procainamide can be decreased when combined with Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Procainamide.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Procainamide can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The serum concentration of Procainamide can be increased when it is combined with Amantadine.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Procainamide.]
[C08EX01, lidoflazine, Procainamide may increase the arrhythmogenic activities of Lidoflazine.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Lincomycin.]
[S01AA21, amikacin, Amikacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Procainamide can be increased when it is combined with Amiloride.]
[N02CA07, lisuride, The metabolism of Procainamide can be decreased when combined with Lisuride.]
[A07DA03, loperamide, Loperamide may increase the arrhythmogenic activities of Procainamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Procainamide can be decreased when combined with Lovastatin.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Procainamide.]
[L01EG01, temsirolimus, The metabolism of Procainamide can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Magnesium chloride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A12CC10, magnesium oxide, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the arrhythmogenic activities of Procainamide.]
[L01BA05, pralatrexate, Pralatrexate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AA21, maprotiline, The metabolism of Procainamide can be decreased when combined with Maprotiline.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Procainamide can be decreased when combined with Meclizine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01AA08, medigoxin, Procainamide may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Procainamide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Procainamide can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Procainamide.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AC03, mesoridazine, The metabolism of Procainamide can be decreased when combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Procainamide can be decreased when combined with Paliperidone.]
[A10BA02, metformin, The excretion of Procainamide can be decreased when combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Procainamide can be decreased when combined with Dolasetron.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Metacycline is combined with Procainamide.]
[N07BC02, methadone, The metabolism of Procainamide can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Procainamide can be decreased when combined with Metamfetamine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Procainamide.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Procainamide.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Procainamide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Pemetrexed may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02BG08, ziconotide, Procainamide may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The metabolism of Procainamide can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Procainamide can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Procainamide can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Procainamide can be decreased when used in combination with Methylprednisolone aceponate.]
[G03EK01, methyltestosterone, Methyltestosterone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Procainamide can be decreased when combined with Metoclopramide.]
[C03BA08, metolazone, Metolazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Procainamide.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Procainamide.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Procainamide.]
[N06AX03, mianserin, The metabolism of Procainamide can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Procainamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Procainamide can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G03XB01, mifepristone, The metabolism of Procainamide can be decreased when combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Minocycline is combined with Procainamide.]
[N06BA12, lisdexamfetamine, The metabolism of Procainamide can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Procainamide can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Procainamide can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, The metabolism of Procainamide can be decreased when combined with Palonosetron.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Procainamide can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Procainamide can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Procainamide.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Procainamide.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Raltegravir.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Procainamide.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Procainamide.]
[N06AA17, amoxapine, The metabolism of Procainamide can be decreased when combined with Amoxapine.]
[C07AA12, nadolol, Procainamide may increase the arrhythmogenic activities of Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Procainamide.]
[L04AC03, anakinra, The metabolism of Procainamide can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Procainamide can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX21, duloxetine, The metabolism of Procainamide can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Letrozole is combined with Procainamide.]
[S03AA01, neomycin, Neomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Procainamide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Procainamide can be decreased when combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA23, netilmicin, Netilmicin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Procainamide can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Procainamide can be decreased when combined with Niacin.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Procainamide.]
[C04AE02, nicergoline, The metabolism of Procainamide can be decreased when combined with Nicergoline.]
[N07BA01, nicotine, The serum concentration of Procainamide can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, Procainamide may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Procainamide.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Procainamide.]
[C08CA08, nitrendipine, Procainamide may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Procainamide can be increased when it is combined with Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Procainamide.]
[N06AA10, nortriptyline, The metabolism of Procainamide can be decreased when combined with Nortriptyline.]
[G02CA02, nylidrin, Procainamide may increase the arrhythmogenic activities of Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Procainamide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Procainamide.]
[L04AC04, rilonacept, The metabolism of Procainamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Procainamide can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Procainamide can be decreased when combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Procainamide can be decreased when combined with Tamsulosin.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Procainamide can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Procainamide.]
[C07AA02, oxprenolol, Procainamide may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Procainamide can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Procainamide can be decreased when combined with Oxymorphone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Procainamide.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Procainamide.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Procainamide.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Procainamide can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Procainamide.]
[J04AB30, capreomycin, Capreomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Procainamide.]
[H02AB05, paramethasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Procainamide.]
[G04BD11, fesoterodine, The metabolism of Procainamide can be decreased when combined with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Procainamide can be decreased when combined with Penbutolol.]
[N05AG03, penfluridol, Procainamide may increase the arrhythmogenic activities of Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Procainamide.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XX08, pentostatin, Pentostatin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08EX02, perhexiline, Procainamide may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, The metabolism of Procainamide can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Procainamide can be decreased when combined with Phenacetin.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Procainamide can be decreased when combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Procainamide.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Procainamide.]
[C04AX02, phenoxybenzamine, The serum concentration of Procainamide can be increased when it is combined with Phenoxybenzamine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Procainamide can be decreased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Procainamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Procainamide.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08CX01, mibefradil, Procainamide may increase the arrhythmogenic activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Procainamide is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Procainamide can be decreased when combined with Pimozide.]
[C07AA03, pindolol, The metabolism of Procainamide can be decreased when combined with Pindolol.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Procainamide can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Procainamide can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Procainamide can be decreased when combined with Pipotiazine.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Procainamide.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Procainamide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Procainamide.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Procainamide.]
[J05AG02, delavirdine, The metabolism of Procainamide can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AC08, canakinumab, The metabolism of Procainamide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Procainamide can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Pitavastatin.]
[C07AB01, practolol, Procainamide may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Procainamide may increase the arrhythmogenic activities of Prajmaline.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Procainamide.]
[S03BA02, prednisolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Procainamide.]
[C01DX02, prenylamine, Procainamide may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Procainamide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Procainamide.]
[M04AB01, probenecid, The serum concentration of Procainamide can be increased when it is combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Procainamide.]
[S01HA05, procaine, Procainamide may increase the neuromuscular blocking activities of Procaine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Procarbazine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AB04, prochlorperazine, The metabolism of Procainamide can be decreased when combined with Prochlorperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Procainamide.]
[G03DA04, progesterone, The metabolism of Procainamide can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Procainamide can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Procainamide can be decreased when combined with Promethazine.]
[C01BC03, propafenone, Propafenone may increase the arrhythmogenic activities of Procainamide.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Procainamide.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Procainamide.]
[N02AC04, propoxyphene, The metabolism of Procainamide can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may increase the arrhythmogenic activities of Procainamide.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Procainamide.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Procainamide.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Procainamide.]
[N05AX12, aripiprazole, The metabolism of Procainamide can be decreased when combined with Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Procainamide.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Procainamide.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Procainamide.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Procainamide.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Procainamide.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Procainamide.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R06AC01, pyrilamine, The metabolism of Procainamide can be decreased when combined with Mepyramine.]
[P01BD01, pyrimethamine, The excretion of Procainamide can be decreased when combined with Pyrimethamine.]
[P01AX05, quinacrine, The serum concentration of Procainamide can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, Quinidine may increase the arrhythmogenic activities of Procainamide.]
[P01BC01, quinine, The metabolism of Procainamide can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Procainamide can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Rolitetracycline.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Procainamide.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Procainamide.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Procainamide can be decreased when combined with Selegiline.]
[J01GB08, sisomicin, Sisomicin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AA07, sotalol, Sotalol may increase the arrhythmogenic activities of Procainamide.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AD08, droperidol, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
