[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bortezomib.]
[N05AA02, methotrimeprazine, The metabolism of Bortezomib can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Bortezomib can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Bortezomib.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Bortezomib.]
[V04CG05, methylene blue, The serum concentration of Bortezomib can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Bortezomib can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Bortezomib.]
[H02AB04, methylprednisolone, The metabolism of Bortezomib can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Bortezomib can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Bortezomib can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Bortezomib can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Bortezomib can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Bortezomib can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Bortezomib can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Bortezomib.]
[S02AA13, miconazole, The metabolism of Bortezomib can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Bortezomib.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Bortezomib.]
[N05CD08, midazolam, The metabolism of Bortezomib can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Bortezomib can be decreased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Bortezomib.]
[C09CA03, valsartan, The metabolism of Bortezomib can be decreased when combined with Valsartan.]
[J01FA11, miocamycin, The metabolism of Bortezomib can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Bortezomib can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Bortezomib can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, The metabolism of Bortezomib can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Bortezomib can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Bortezomib.]
[N02AA01, morphine, The serum concentration of Bortezomib can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Bortezomib.]
[L04AB05, certolizumab pegol, The metabolism of Bortezomib can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Bortezomib.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Bortezomib can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Bortezomib can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Amodiaquine.]
[G04CA04, silodosin, The serum concentration of Bortezomib can be increased when it is combined with Silodosin.]
[G03XC01, raloxifene, The metabolism of Bortezomib can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Bortezomib.]
[N03AB05, fosphenytoin, The metabolism of Bortezomib can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Bortezomib.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Bortezomib.]
[J01CF06, nafcillin, The metabolism of Bortezomib can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Bortezomib can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Bortezomib can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Bortezomib can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Bortezomib.]
[A10BG01, troglitazone, The metabolism of Bortezomib can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Bortezomib can be decreased when combined with Duloxetine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Bortezomib.]
[L01CD02, docetaxel, The metabolism of Bortezomib can be decreased when combined with Docetaxel.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Bortezomib.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Bortezomib can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Amsacrine.]
[C10AD02, niacin, The metabolism of Bortezomib can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Bortezomib can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Bortezomib.]
[P02DA01, niclosamide, The metabolism of Bortezomib can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Bortezomib.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Nitrendipine.]
[G03DC02, norethindrone, The metabolism of Bortezomib can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bortezomib can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Bortezomib.]
[R05DA07, noscapine, The metabolism of Bortezomib can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Bortezomib can be increased when it is combined with Sapropterin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Bortezomib.]
[L03AB07, interferon beta-1a, The metabolism of Bortezomib can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Bortezomib.]
[H01CB02, octreotide, The serum concentration of Bortezomib can be increased when it is combined with Octreotide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ofloxacin.]
[J01FA05, oleandomycin, The metabolism of Bortezomib can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Bortezomib can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Bortezomib can be increased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Bortezomib.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Bortezomib.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Bortezomib.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Bortezomib.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Bortezomib.]
[P02BA02, oxamniquine, The metabolism of Bortezomib can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Bortezomib can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The metabolism of Bortezomib can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Bortezomib.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Bortezomib.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Bortezomib.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Bortezomib.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Bortezomib can be increased when combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Bortezomib.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Bortezomib.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.]
[N05CA01, pentobarbital, The metabolism of Bortezomib can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pentostatin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Bortezomib.]
[C08EX02, perhexiline, The metabolism of Bortezomib can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Bortezomib can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Bortezomib.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Bortezomib.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Bortezomib.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Bortezomib.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Bortezomib can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Bortezomib.]
[M02AA01, phenylbutazone, The metabolism of Bortezomib can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Bortezomib can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Bortezomib.]
[N03AB02, phenytoin, The metabolism of Bortezomib can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Bortezomib can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bortezomib can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The serum concentration of Bortezomib can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Bortezomib.]
[C07AA03, pindolol, The metabolism of Bortezomib can be decreased when combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Bortezomib can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Bortezomib.]
[N05AC04, pipothiazine, The metabolism of Bortezomib can be decreased when combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Bortezomib.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Bortezomib can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Bortezomib can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Bortezomib.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Bortezomib.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Bortezomib.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Bortezomib can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Bortezomib can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Bortezomib.]
[J05AE03, ritonavir, The serum concentration of Bortezomib can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Bortezomib.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Bortezomib.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Bortezomib.]
[S03BA02, prednisolone, The metabolism of Bortezomib can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Bortezomib can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Bortezomib can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Bortezomib can be increased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Bortezomib.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Bortezomib can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Bortezomib.]
[N05AA03, promazine, The metabolism of Bortezomib can be decreased when combined with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Promethazine.]
[C01BC03, propafenone, The serum concentration of Bortezomib can be increased when it is combined with Propafenone.]
[R06AX26, fexofenadine, The serum concentration of Bortezomib can be increased when it is combined with Fexofenadine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Bortezomib can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Bortezomib can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Bortezomib.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Bortezomib is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Bortezomib.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Bortezomib.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Bortezomib.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Protriptyline.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Aripiprazole.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Bortezomib.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Mepyramine.]
[C01BA01, quinidine, The serum concentration of Bortezomib can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The metabolism of Bortezomib can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Bortezomib can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The serum concentration of Bortezomib can be increased when it is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Bortezomib can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Bortezomib can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Bortezomib.]
[N05CA06, secobarbital, The metabolism of Bortezomib can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Bortezomib.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Bortezomib.]
[H01CB01, somatostatin, The metabolism of Bortezomib can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Bortezomib.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Bortezomib is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Bortezomib.]
[N03AG01, valproic acid, The metabolism of Bortezomib can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Bortezomib can be increased when combined with Hydrocortisone butyrate.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Paclitaxel poliglumex.]
[H02CA04, levoketoconazole, The metabolism of Bortezomib can be decreased when combined with Levoketoconazole.]
