[P02BB01, trichlorfon, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Metrifonate.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Isoflurane.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Isoflurane.]
[N06BA04, methylphenidate, Methylphenidate may increase the hypertensive activities of Isoflurane.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Isoflurane.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Isoflurane.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Isoflurane is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Isoflurane.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Isoflurane.]
[C03BA08, metolazone, Isoflurane may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Isoflurane may decrease the antihypertensive activities of Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Isoflurane can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Isoflurane can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Isoflurane.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Isoflurane.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Isoflurane.]
[C09CA03, valsartan, Isoflurane may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[D11AX01, minoxidil, Isoflurane may decrease the antihypertensive activities of Minoxidil.]
[L01DB07, mitoxantrone, The metabolism of Isoflurane can be increased when combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Isoflurane can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, Amiodarone may increase the cardiodepressant activities of Isoflurane.]
[N06AA09, amitriptyline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Isoflurane.]
[L04AB05, certolizumab pegol, The metabolism of Isoflurane can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Isoflurane.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Isoflurane.]
[G03XC01, raloxifene, The metabolism of Isoflurane can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Isoflurane can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Isoflurane may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Isoflurane may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Isoflurane is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Isoflurane can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Isoflurane is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Isoflurane.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Isoflurane is combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Isoflurane can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Isoflurane is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Isoflurane.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Isoflurane is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Levosimendan.]
[S01EB06, neostigmine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Isoflurane.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Isoflurane may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Isoflurane can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nialamide.]
[C08CA04, nicardipine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Isoflurane.]
[N07BA01, nicotine, The metabolism of Isoflurane can be increased when combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Isoflurane is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Isoflurane may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Isoflurane may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Isoflurane.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Isoflurane is combined with Zaleplon.]
[N04BC05, pramipexole, Isoflurane may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Isoflurane may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nomifensine.]
[C01CA03, norepinephrine, Isoflurane may increase the arrhythmogenic activities of Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Norfloxacin.]
[C02KX01, bosentan, Isoflurane may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Isoflurane is combined with Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Isoflurane.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Isoflurane can be increased when combined with Rilonacept.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Isoflurane is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Isoflurane is combined with Orciprenaline.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Isoflurane.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxazepam.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Isoflurane is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Isoflurane.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[M03AC01, pancuronium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Papaverine.]
[N05CC05, paraldehyde, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Isoflurane.]
[G04BD11, fesoterodine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Isoflurane.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Phenelzine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Isoflurane.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Isoflurane.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Isoflurane may decrease the antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Isoflurane.]
[V03AB36, phentolamine, Isoflurane may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Isoflurane.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Isoflurane.]
[N03AB02, phenytoin, The metabolism of Isoflurane can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Isoflurane can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, Isoflurane may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pindolol.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pipotiazine.]
[C09CA02, eprosartan, Isoflurane may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Isoflurane.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Grepafloxacin.]
[N02CX01, pizotyline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[C09CA04, irbesartan, Isoflurane may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Isoflurane is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Isoflurane can be decreased when combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Isoflurane.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Isoflurane can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Isoflurane may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Isoflurane.]
[C07AB01, practolol, Isoflurane may decrease the antihypertensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Prazepam.]
[C02CA01, prazosin, Isoflurane may decrease the antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Isoflurane.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Isoflurane.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Isoflurane.]
[N04AA04, procyclidine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Isoflurane is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Isoflurane is combined with Propanidid.]
[A03AB05, propantheline, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Periciazine.]
[N05CM06, propiomazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Isoflurane may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Rizatriptan.]
[B01AC09, epoprostenol, Isoflurane may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Isoflurane.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Isoflurane is combined with Dalfampridine.]
[A03AB15, diphemanil, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Isoflurane.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pyrantel.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Mepyramine.]
[C01BA01, quinidine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Quinine.]
[C02AA01, rescinnamine, Isoflurane may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Isoflurane.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Isoflurane is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Roxithromycin.]
[A16AA02, S-adenosylmethionine, The metabolism of Isoflurane can be decreased when combined with Ademetionine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Isoflurane is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Isoflurane is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Salicylic acid.]
[S01FA02, scopolamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Isoflurane.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Isoflurane.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Isoflurane is combined with Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Isoflurane.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Sotalol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Isoflurane.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Isosorbide mononitrate.]
[H02CA04, levoketoconazole, The metabolism of Isoflurane can be decreased when combined with Levoketoconazole.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Isoflurane is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Isoflurane is combined with Etacrynic acid.]
[R03BB01, ipratropium bromide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
