[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Antipyrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Droperidol.]
[N03AB02, phenytoin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Phenytoin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypotension can be increased when Droperidol is combined with Mibefradil.]
[N05AG02, pimozide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[C07AA03, pindolol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Saquinavir.]
[N05AC04, pipothiazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pipotiazine.]
[C09CA02, eprosartan, Droperidol may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Droperidol.]
[N02AC03, pirinitramide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Droperidol is combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Grepafloxacin.]
[N02CX01, pizotyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[C09CA04, irbesartan, Droperidol may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Proxibarbal.]
[A03AE01, alosetron, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alosetron.]
[S03AA03, polymyxin B, Droperidol may increase the neurotoxic activities of Polymyxin B.]
[C03AA05, polythiazide, Droperidol may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Droperidol.]
[C07AB01, practolol, Practolol may increase the orthostatic hypotensive activities of Droperidol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Droperidol.]
[N05BA11, prazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Prazepam.]
[C02CA01, prazosin, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Droperidol is combined with Prenylamine.]
[N01BB04, prilocaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Primaquine.]
[N03AA03, primidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Procainamide.]
[S01HA05, procaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[L01XB01, procarbazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Procarbazine.]
[N05AB04, prochlorperazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Droperidol.]
[N05AA03, promazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, Propafenone may increase the orthostatic hypotensive activities of Droperidol.]
[N01AX04, propanidid, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Propanidid.]
[A03AB05, propantheline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Periciazine.]
[N05CM06, propiomazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Romidepsin.]
[N01AX10, propofol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[N02AC04, propoxyphene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may increase the orthostatic hypotensive activities of Droperidol.]
[N02CC04, rizatriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Rizatriptan.]
[B01AC09, epoprostenol, Droperidol may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Protriptyline.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Droperidol can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Talbutal.]
[N05CA09, vinbarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vinbarbital.]
[N05BB02, captodiamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Captodiame.]
[M03BA04, styramate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Styramate.]
[P02CC01, pyrantel, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pyrantel.]
[R06AC01, pyrilamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mepyramine.]
[C01BA01, quinidine, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P01BC01, quinine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[C02AA01, rescinnamine, Droperidol may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Reserpine.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Droperidol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Droperidol.]
[N06AX01, 5-hydroxytryptophan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Droperidol is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Droperidol is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Droperidol is combined with Salicylic acid.]
[S01FA02, scopolamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Secobarbital.]
[N04BD01, selegiline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Sotalol.]
[N05CC01, chloral hydrate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chloral hydrate.]
[N03AG01, valproic acid, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[R03BB01, ipratropium bromide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N05AL01, sulpiride, QT prolonging agents - QT prolonging agents]
[N05AC02, thioridazine, QT prolonging agents - QT prolonging agents]
[L01EX04, vandetanib, QT prolonging agents - QT prolonging agents]
[N06DA02, donepezil, QT prolonging agents - QT prolonging agents]
[S01AE07, moxifloxacin, QT prolonging agents - QT prolonging agents]
[C08EA02, bepridil, QT prolonging agents - QT prolonging agents]
[L01XX27, arsenic trioxide, QT prolonging agents - QT prolonging agents]
[J01MA09, sparfloxacin, QT prolonging agents - QT prolonging agents]
[S01AA26, azithromycin, QT prolonging agents - QT prolonging agents]
[B01AC23, cilostazol, QT prolonging agents - QT prolonging agents]
[J01FA09, clarithromycin, QT prolonging agents - QT prolonging agents]
[S01AE06, gatifloxacin, QT prolonging agents - QT prolonging agents]
[C01BD07, dronedarone, QT prolonging agents - QT prolonging agents]
[L01DB04, aclarubicin, QT prolonging agents - QT prolonging agents]
[P01BA01, chloroquine, QT prolonging agents - QT prolonging agents]
[N05AA01, chlorpromazine, QT prolonging agents - QT prolonging agents]
[N05AF03, chlorprothixene, QT prolonging agents - QT prolonging agents]
[S03AA07, ciprofloxacin, QT prolonging agents - QT prolonging agents]
[N06AB04, citalopram, QT prolonging agents - QT prolonging agents]
[L01EB10, mobocertinib, QT prolonging agents - QT prolonging agents]
[A04AA01, ondansetron, QT prolonging agents - QT prolonging agents]
[S02DA02, cocaine, QT prolonging agents - QT prolonging agents]
[C01BA13, hydroquinidine, QT prolonging agents - QT prolonging agents]
[P01CB01, meglumine antimoniate, QT prolonging agents - QT prolonging agents]
[L01XA03, oxaliplatin, QT prolonging agents - QT prolonging agents]
[A03FA02, cisapride, QT prolonging agents - QT prolonging agents]
[C01BA03, disopyramide, QT prolonging agents - QT prolonging agents]
[A03FA03, domperidone, QT prolonging agents - QT prolonging agents]
[N01AB08, sevoflurane, QT prolonging agents - QT prolonging agents]
[N05AL02, sultopride, QT prolonging agents - QT prolonging agents]
[G04BD05, terodiline, QT prolonging agents - QT prolonging agents]
[S01AA17, erythromycin, QT prolonging agents - QT prolonging agents]
[C01BD05, ibutilide, QT prolonging agents - QT prolonging agents]
[N05AE03, sertindole, QT prolonging agents - QT prolonging agents]
[R06AX11, astemizole, QT prolonging agents - QT prolonging agents]
[R06AX12, terfenadine, QT prolonging agents - QT prolonging agents]
[C01BC04, flecainide, QT prolonging agents - QT prolonging agents]
[J02AC01, fluconazole, QT prolonging agents - QT prolonging agents]
[C01BD04, dofetilide, QT prolonging agents - QT prolonging agents]
[P01BX01, halofantrine, QT prolonging agents - QT prolonging agents]
[N05AD01, haloperidol, QT prolonging agents - QT prolonging agents]
[P01BA02, hydroxychloroquine, QT prolonging agents - QT prolonging agents]
[H01BA04, terlipressin, QT prolonging agents - QT prolonging agents]
[L01XX35, anagrelide, QT prolonging agents - QT prolonging agents]
[N05AC03, mesoridazine, QT prolonging agents - QT prolonging agents]
[N07BC02, methadone, QT prolonging agents - QT prolonging agents]
[N05AA02, methotrimeprazine, QT prolonging agents - QT prolonging agents]
[C01BD01, amiodarone, QT prolonging agents - QT prolonging agents]
[S01AE05, levofloxacin, QT prolonging agents - QT prolonging agents]
[N05AG02, pimozide, QT prolonging agents - QT prolonging agents]
[J01MA11, grepafloxacin, QT prolonging agents - QT prolonging agents]
[C10AX02, probucol, QT prolonging agents - QT prolonging agents]
[C01BA02, procainamide, QT prolonging agents - QT prolonging agents]
[N01AX10, propofol, QT prolonging agents - QT prolonging agents]
[C01BA01, quinidine, QT prolonging agents - QT prolonging agents]
[J01FA06, roxithromycin, QT prolonging agents - QT prolonging agents]
[C07AA07, sotalol, QT prolonging agents - QT prolonging agents]
