[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Stiripentol.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Stiripentol.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Stiripentol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Stiripentol is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Stiripentol is combined with Thiopropazate.]
[G04BD01, emepronium, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Stiripentol.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Stiripentol.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Stiripentol.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Stiripentol.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Stiripentol.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Stiripentol.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Stiripentol.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Stiripentol.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Stiripentol.]
[A03AB08, tridihexethyl, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The metabolism of Trilostane can be decreased when combined with Stiripentol.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Stiripentol.]
[N04AA12, tropatepine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Stiripentol.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Stiripentol is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Stiripentol can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Stiripentol is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Stiripentol.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Stiripentol.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Stiripentol.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Stiripentol.]
[N05CF02, zolpidem, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Stiripentol.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Stiripentol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Stiripentol.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Stiripentol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Stiripentol.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Stiripentol.]
[G02AB03, ergonovine, The metabolism of Ergometrine can be decreased when combined with Stiripentol.]
[C04AE01, ergoloid mesylates, USP, The metabolism of Ergoloid mesylate can be decreased when combined with Stiripentol.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Stiripentol.]
[L03AX05, pidotimod, Stiripentol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be decreased when combined with Stiripentol.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Stiripentol.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Stiripentol.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Stiripentol.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Stiripentol.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Stiripentol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Stiripentol.]
[J04AK02, ethambutol, The metabolism of Stiripentol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Stiripentol.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Stiripentol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Stiripentol.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Stiripentol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Stiripentol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N04AA05, profenamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Stiripentol.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Stiripentol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Ethyl chloride.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Stiripentol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Stiripentol.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Stiripentol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Stiripentol.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Stiripentol.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Stiripentol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Stiripentol.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Stiripentol.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Stiripentol.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Stiripentol.]
[C01BB03, tocainide, The metabolism of Tocainide can be increased when combined with Stiripentol.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Stiripentol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C10AA03, pravastatin, The excretion of Pravastatin can be decreased when combined with Stiripentol.]
[M01CB01, gold sodium thiomalate, Stiripentol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Stiripentol.]
[B05AA05, dextran, Stiripentol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A02BA03, famotidine, The metabolism of Stiripentol can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Stiripentol.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Stiripentol.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Stiripentol.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be increased when it is combined with Stiripentol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Stiripentol.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01BB06, clofarabine, The excretion of Clofarabine can be decreased when combined with Stiripentol.]
[L04AA40, cladribine, The excretion of Cladribine can be decreased when combined with Stiripentol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Stiripentol.]
[G04BD02, flavoxate, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Stiripentol.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Stiripentol can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Stiripentol.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Stiripentol.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Stiripentol.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Stiripentol.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Stiripentol.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Stiripentol is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Stiripentol.]
[V03AZ01, ethanol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01CB05, fluorometholone, The metabolism of Fluorometholone can be decreased when combined with Stiripentol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Stiripentol.]
[N06AB03, fluoxetine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Fluphenazine can be decreased when combined with Stiripentol.]
[D07AC07, flurandrenolide, The metabolism of Flurandrenolide can be decreased when combined with Stiripentol.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Stiripentol.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Stiripentol.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be decreased when combined with Stiripentol.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Stiripentol.]
[V04CX02, folic acid, The excretion of Folic acid can be decreased when combined with Stiripentol.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Stiripentol.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Stiripentol is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Stiripentol.]
[J05AE10, darunavir, The metabolism of Darunavir can be decreased when combined with Stiripentol.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Stiripentol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Stiripentol.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Stiripentol.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Gallamine.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be decreased when combined with Stiripentol.]
[S01AD09, ganciclovir, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Stiripentol.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Stiripentol is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Stiripentol.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Stiripentol.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Stiripentol.]
[C01CA21, cafedrine, Stiripentol may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Stiripentol.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Stiripentol.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Stiripentol.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Stiripentol.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Stiripentol.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Stiripentol.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Stiripentol.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Stiripentol.]
[N05CM18, dexmedetomidine, The metabolism of Dexmedetomidine can be decreased when combined with Stiripentol.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Stiripentol.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Stiripentol.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Stiripentol.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Stiripentol.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Stiripentol.]
[M01CB04, aurothioglucose, Stiripentol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Stiripentol.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Stiripentol.]
[D07AD02, halcinonide, The metabolism of Halcinonide can be decreased when combined with Stiripentol.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Stiripentol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Stiripentol.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Stiripentol.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Stiripentol is combined with Iprazochrome.]
[L01CE02, irinotecan, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Stiripentol.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Stiripentol is combined with Allobarbital.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Stiripentol.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Stiripentol.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Stiripentol.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Stiripentol.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Stiripentol.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Stiripentol.]
[M02AA26, nimesulide, The metabolism of Nimesulide can be decreased when combined with Stiripentol.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Stiripentol.]
[D07AC16, hydrocortisone aceponate, The metabolism of Hydrocortisone aceponate can be decreased when combined with Stiripentol.]
[D07AB11, hydrocortisone probutate, The metabolism of Hydrocortisone probutate can be decreased when combined with Stiripentol.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Stiripentol may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Stiripentol.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Stiripentol is combined with Prothipendyl.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Stiripentol.]
[L01XX05, hydroxyurea, The metabolism of Hydroxyurea can be decreased when combined with Stiripentol.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be decreased when combined with Stiripentol.]
[S01BA13, rimexolone, The metabolism of Rimexolone can be decreased when combined with Stiripentol.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Stiripentol.]
[B05XA08, sodium acetate, Stiripentol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Stiripentol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Stiripentol.]
[H01AC02, somatrem, The metabolism of Stiripentol can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Stiripentol.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Stiripentol.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Stiripentol.]
[R01AD07, tixocortol, Tixocortol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Stiripentol.]
[L01CE01, topotecan, The excretion of Topotecan can be decreased when combined with Stiripentol.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Stiripentol.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Stiripentol.]
[A11HA07, inositol, Stiripentol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Stiripentol can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Stiripentol can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Stiripentol.]
[A03AA30, piperidolate, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Stiripentol.]
[V08AB02, iohexol, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Stiripentol.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Stiripentol.]
[R06AE01, buclizine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Stiripentol.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Stiripentol.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Stiripentol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Stiripentol can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Stiripentol.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Stiripentol is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Iproniazid can be decreased when combined with Stiripentol.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be increased when combined with Stiripentol.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Chlorproethazine.]
[D06BB10, imiquimod, The metabolism of Imiquimod can be decreased when combined with Stiripentol.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Stiripentol.]
[P01AX06, atovaquone, The metabolism of Atovaquone can be decreased when combined with Stiripentol.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Stiripentol.]
[N04BX02, entacapone, The metabolism of Entacapone can be decreased when combined with Stiripentol.]
[J04AC01, isoniazid, The metabolism of Isoniazid can be decreased when combined with Stiripentol.]
[J05AX05, inosine pranobex, Stiripentol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Stiripentol.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Stiripentol.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Stiripentol.]
[S01AA24, kanamycin, Stiripentol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Stiripentol can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Stiripentol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Stiripentol.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Stiripentol is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Stiripentol.]
[J02AB02, ketoconazole, The metabolism of Ketoconazole can be decreased when combined with Stiripentol.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Stiripentol.]
[N05AH03, olanzapine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Stiripentol can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Stiripentol can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Stiripentol.]
[J01MB02, nalidixic acid, The metabolism of Stiripentol can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Stiripentol.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AX09, maraviroc, The metabolism of Maraviroc can be decreased when combined with Stiripentol.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Stiripentol.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Stiripentol.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Stiripentol.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Stiripentol.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Stiripentol.]
[C08EX01, lidoflazine, The metabolism of Lidoflazine can be decreased when combined with Stiripentol.]
[S01AA21, amikacin, Stiripentol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Stiripentol can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Stiripentol.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Stiripentol.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Stiripentol.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Stiripentol.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be increased when it is combined with Stiripentol.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Stiripentol.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Stiripentol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Stiripentol.]
[B05XA11, magnesium chloride, Stiripentol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Stiripentol can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, The excretion of Pralatrexate can be decreased when combined with Stiripentol.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Stiripentol.]
[V04CX04, mannitol, The excretion of Mannitol can be decreased when combined with Stiripentol.]
[N06AA21, maprotiline, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Stiripentol.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Stiripentol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Stiripentol is combined with Medazepam.]
[C01AA08, medigoxin, Stiripentol may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[G03DB03, medrogestone, The metabolism of Medrogestone can be decreased when combined with Stiripentol.]
[P01BC02, mefloquine, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Mefloquine.]
