[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Itraconazole.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be decreased when combined with Itraconazole.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Paramethasone can be decreased when combined with Itraconazole.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Itraconazole.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Itraconazole.]
[C07AA23, penbutolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Penbutolol.]
[N05AG03, penfluridol, The metabolism of Penfluridol can be decreased when combined with Itraconazole.]
[N05CA01, pentobarbital, The metabolism of Itraconazole can be increased when combined with Pentobarbital.]
[N04BC02, pergolide, The serum concentration of Pergolide can be increased when it is combined with Itraconazole.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Itraconazole.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Itraconazole.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Itraconazole.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Itraconazole.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Itraconazole.]
[A08AA01, phentermine, The metabolism of Phentermine can be decreased when combined with Itraconazole.]
[M02AA01, phenylbutazone, The risk or severity of hyperkalemia can be increased when Phenylbutazone is combined with Itraconazole.]
[A02BC06, dexlansoprazole, Dexlansoprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AB02, phenytoin, The serum concentration of Itraconazole can be decreased when it is combined with Phenytoin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Itraconazole.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Itraconazole.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Itraconazole.]
[C07AA03, pindolol, The risk or severity of hyperkalemia can be increased when Pindolol is combined with Itraconazole.]
[C10AA05, atorvastatin, The serum concentration of Atorvastatin can be increased when it is combined with Itraconazole.]
[J05AE01, saquinavir, The serum concentration of Saquinavir can be increased when it is combined with Itraconazole.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Itraconazole.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Eprosartan is combined with Itraconazole.]
[S01BC06, piroxicam, The risk or severity of hyperkalemia can be increased when Piroxicam is combined with Itraconazole.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Itraconazole.]
[J05AG02, delavirdine, The metabolism of Itraconazole can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Irbesartan is combined with Itraconazole.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Itraconazole.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Itraconazole.]
[J05AE03, ritonavir, The serum concentration of Itraconazole can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Itraconazole.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Itraconazole.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Itraconazole.]
[C10AA08, pitavastatin, Itraconazole may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Prajmaline.]
[N05BA11, prazepam, The metabolism of Prazepam can be decreased when combined with Itraconazole.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Itraconazole.]
[C02CA01, prazosin, Itraconazole may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be decreased when combined with Itraconazole.]
[H02AB07, prednisone, The metabolism of Prednisone can be decreased when combined with Itraconazole.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Antazoline.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Itraconazole.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Itraconazole.]
[N03AA03, primidone, The metabolism of Itraconazole can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Procainamide.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Itraconazole.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Itraconazole.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Itraconazole.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Itraconazole.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Itraconazole.]
[R06AD02, promethazine, Promethazine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Itraconazole.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Itraconazole.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Itraconazole.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Itraconazole.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Itraconazole.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Itraconazole.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Itraconazole.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Itraconazole.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Itraconazole.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Itraconazole.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Itraconazole.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Itraconazole.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Itraconazole.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Itraconazole.]
[A02BA02, ranitidine, Ranitidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Rescinnamine.]
[J04AB02, rifampin, The metabolism of Itraconazole can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Itraconazole.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Salicylamide.]
[A07EC01, sulfasalazine, Itraconazole may decrease the excretion rate of Sulfasalazine which could result in a higher serum level.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Salicylic acid is combined with Itraconazole.]
[S01FA02, scopolamine, The metabolism of Scopolamine can be decreased when combined with Itraconazole.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Itraconazole.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Itraconazole.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Spironolactone is combined with Itraconazole.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Itraconazole.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Itraconazole.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Itraconazole.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Itraconazole.]
[N02CA01, dihydroergotamine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[C10AA01, simvastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[G02AB03, ergonovine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[N02CA02, ergotamine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
[L01CE02, irinotecan, Irinotecan - CYP3A4 inhibitors]
[C10AA02, lovastatin, HMG Co-A reductase inhibitors - CYP3A4 inhibitors]
[G02AB01, methylergonovine, CYP3A4 inhibitors - ergot alkaloids and derivatives]
