[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Mirtazapine.]
[V03AC03, deferasirox, The serum concentration of Mirtazapine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Mirtazapine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the serotonergic activities of Mirtazapine.]
[J01MB02, nalidixic acid, The metabolism of Mirtazapine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Mirtazapine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Mirtazapine can be decreased when combined with Labetalol.]
[N04BB01, amantadine, Amantadine may increase the serotonergic activities of Mirtazapine.]
[C02AA05, deserpidine, Mirtazapine may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BA01, levodopa, Levodopa may increase the serotonergic activities of Mirtazapine.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Mirtazapine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Mirtazapine.]
[N02CA07, lisuride, Lisuride may increase the serotonergic activities of Mirtazapine.]
[N06AA07, lofepramine, Lofepramine may increase the serotonergic activities of Mirtazapine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Mirtazapine.]
[N05AH01, loxapine, Loxapine may increase the serotonergic activities of Mirtazapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Mirtazapine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Mirtazapine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Mirtazapine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Maprotiline may increase the serotonergic activities of Mirtazapine.]
[A08AA05, mazindol, Mazindol may increase the serotonergic activities of Mirtazapine.]
[C02BB01, mecamylamine, Mirtazapine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Mirtazapine is combined with Meclofenamic acid.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Mirtazapine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AB02, meperidine, Meperidine may increase the serotonergic activities of Mirtazapine.]
[C01CA11, mephentermine, Mephentermine may increase the serotonergic activities of Mirtazapine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AX05, meptazinol, Meptazinol may increase the serotonergic activities of Mirtazapine.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AX13, paliperidone, Paliperidone may increase the serotonergic activities of Mirtazapine.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Metaraminol.]
[A04AA04, dolasetron, Dolasetron may increase the serotonergic activities of Mirtazapine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Mirtazapine.]
[N06BA03, methamphetamine, Metamfetamine may increase the serotonergic activities of Mirtazapine.]
[A03AB07, methantheline, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[H03BB02, methimazole, The metabolism of Mirtazapine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Mirtazapine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Mirtazapine.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the serotonergic activities of Mirtazapine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Methoxamine.]
[D05BA02, methoxsalen, The metabolism of Mirtazapine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02AB01, methyldopa, Mirtazapine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Mirtazapine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Mirtazapine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Mirtazapine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Methylphenidate.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03FA01, metoclopramide, Metoclopramide may increase the serotonergic activities of Mirtazapine.]
[C03BA08, metolazone, Mirtazapine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Mirtazapine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Mirtazapine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the serotonergic activities of Mirtazapine.]
[S02AA13, miconazole, The metabolism of Mirtazapine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Mirtazapine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Mirtazapine.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Mirtazapine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Mifepristone.]
[C09CA03, valsartan, Mirtazapine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[D11AX01, minoxidil, Mirtazapine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Mirtazapine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the serotonergic activities of Mirtazapine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01BD01, amiodarone, The metabolism of Mirtazapine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the serotonergic activities of Mirtazapine.]
[N02AA01, morphine, Morphine may increase the serotonergic activities of Mirtazapine.]
[A04AA05, palonosetron, Palonosetron may increase the serotonergic activities of Mirtazapine.]
[L04AB05, certolizumab pegol, The metabolism of Mirtazapine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Mirtazapine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Mirtazapine.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Amoxapine may increase the serotonergic activities of Mirtazapine.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L03AB08, interferon beta-1b, The metabolism of Mirtazapine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Mirtazapine may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Mirtazapine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Mirtazapine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AF02, nalbuphine, Nalbuphine may increase the serotonergic activities of Mirtazapine.]
[V03AB15, naloxone, The metabolism of Mirtazapine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, Naltrexone may increase the serotonergic activities of Mirtazapine.]
[L04AC03, anakinra, The metabolism of Mirtazapine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Mirtazapine may decrease the antihypertensive activities of Naphazoline.]
[N06BA01, amphetamine, Amphetamine may increase the serotonergic activities of Mirtazapine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Mirtazapine.]
[N06AX21, duloxetine, Duloxetine may increase the serotonergic activities of Mirtazapine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Mirtazapine.]
[N01AH06, remifentanil, Remifentanil may increase the serotonergic activities of Mirtazapine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Levosimendan.]
[N05AX14, iloperidone, Iloperidone may increase the serotonergic activities of Mirtazapine.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the serotonergic activities of Mirtazapine.]
[C09CA07, telmisartan, Mirtazapine may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Mirtazapine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Mirtazapine.]
[C08CA04, nicardipine, The metabolism of Mirtazapine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Mirtazapine is combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Mirtazapine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Mirtazapine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Mirtazapine is combined with Niflumic acid.]
[C08CA06, nimodipine, Mirtazapine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Mirtazapine may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Nitrendipine.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BC05, pramipexole, Mirtazapine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Mirtazapine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01CA03, norepinephrine, Mirtazapine may decrease the antihypertensive activities of Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Mirtazapine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Norfloxacin.]
[C02KX01, bosentan, Mirtazapine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the serotonergic activities of Mirtazapine.]
[L03AB07, interferon beta-1a, The metabolism of Mirtazapine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Mirtazapine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Mirtazapine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Mirtazapine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the serotonergic activities of Mirtazapine.]
[N02AA02, opium, Opium may increase the serotonergic activities of Mirtazapine.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Orciprenaline.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Mirtazapine.]
[P02BA02, oxamniquine, The metabolism of Mirtazapine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AA05, oxycodone, Oxycodone may increase the serotonergic activities of Mirtazapine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, Mirtazapine may decrease the antihypertensive activities of Oxymetazoline.]
[N02AA11, oxymorphone, Oxymorphone may increase the serotonergic activities of Mirtazapine.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Mirtazapine.]
[N05AH05, asenapine, Asenapine may increase the serotonergic activities of Mirtazapine.]
[N02AX06, tapentadol, Tapentadol may increase the serotonergic activities of Mirtazapine.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Papaverine.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Mirtazapine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pefloxacin.]
[G04BD11, fesoterodine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AD01, pentazocine, Pentazocine may increase the serotonergic activities of Mirtazapine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Mirtazapine.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BC02, pergolide, Pergolide may increase the serotonergic activities of Mirtazapine.]
[C08EX02, perhexiline, The metabolism of Mirtazapine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Mirtazapine.]
[N02AD02, phenazocine, Phenazocine may increase the serotonergic activities of Mirtazapine.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Mirtazapine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Mirtazapine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Mirtazapine is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pheniramine.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N01AH04, phenoperidine, Phenoperidine may increase the serotonergic activities of Mirtazapine.]
[C04AX02, phenoxybenzamine, Mirtazapine may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Mirtazapine.]
[A08AA01, phentermine, Phentermine may increase the serotonergic activities of Mirtazapine.]
[V03AB36, phentolamine, Mirtazapine may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Mirtazapine can be increased when combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AB06, golimumab, The metabolism of Mirtazapine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Mirtazapine.]
[C08CX01, mibefradil, The metabolism of Mirtazapine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C07AA03, pindolol, Pindolol may increase the serotonergic activities of Mirtazapine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Mirtazapine.]
[J05AE01, saquinavir, The metabolism of Mirtazapine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Mirtazapine.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C09CA02, eprosartan, Mirtazapine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, Piritramide may increase the serotonergic activities of Mirtazapine.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Mirtazapine is combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may increase the serotonergic activities of Mirtazapine.]
[J05AG02, delavirdine, The metabolism of Mirtazapine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Mirtazapine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC08, canakinumab, The metabolism of Mirtazapine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Mirtazapine may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Mirtazapine can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, Mirtazapine may decrease the antihypertensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Mirtazapine.]
[C02CA01, prazosin, Mirtazapine may decrease the antihypertensive activities of Prazosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Prenylamine.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[P01BA03, primaquine, The metabolism of Mirtazapine can be decreased when combined with Primaquine.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Mirtazapine.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Mirtazapine.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Mirtazapine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Mirtazapine.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04AA04, procyclidine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Mirtazapine.]
[N05AA03, promazine, Promazine may increase the serotonergic activities of Mirtazapine.]
[R06AD02, promethazine, Promethazine may increase the serotonergic activities of Mirtazapine.]
[C01BC03, propafenone, The metabolism of Mirtazapine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AB05, propantheline, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Mirtazapine.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02AC04, propoxyphene, Dextropropoxyphene may increase the serotonergic activities of Mirtazapine.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Mirtazapine.]
[N02CC04, rizatriptan, Rizatriptan may increase the serotonergic activities of Mirtazapine.]
[B01AC09, epoprostenol, Mirtazapine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the serotonergic activities of Mirtazapine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may increase the serotonergic activities of Mirtazapine.]
[N05AX12, aripiprazole, Aripiprazole may increase the serotonergic activities of Mirtazapine.]
[A03AB15, diphemanil, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Mirtazapine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A02BA02, ranitidine, The metabolism of Mirtazapine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Mirtazapine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J04AB02, rifampin, The metabolism of Mirtazapine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Mirtazapine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Mirtazapine is combined with Salicylic acid.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Mirtazapine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Mirtazapine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Mirtazapine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Mirtazapine.]
[N03AG01, valproic acid, Valproic acid may increase the serotonergic activities of Mirtazapine.]
