[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Salmeterol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Salmeterol.]
[N05CA01, pentobarbital, The metabolism of Salmeterol can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Salmeterol.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Perhexiline.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Salmeterol.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Phenformin is combined with Salmeterol.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Salmeterol can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Salmeterol.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Salmeterol.]
[V03AB36, phentolamine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Salmeterol.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Salmeterol.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Salmeterol.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Salmeterol.]
[L04AB06, golimumab, The metabolism of Salmeterol can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Salmeterol can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Salmeterol.]
[C07AA03, pindolol, Pindolol may decrease the bronchodilatory activities of Salmeterol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Salmeterol.]
[J05AE01, saquinavir, The metabolism of Salmeterol can be decreased when combined with Saquinavir.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Salmeterol.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Salmeterol.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Salmeterol.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Salmeterol can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Salmeterol.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Salmeterol.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Salmeterol.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Salmeterol.]
[L04AC08, canakinumab, The metabolism of Salmeterol can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Salmeterol can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Salmeterol.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Salmeterol.]
[C07AB01, practolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Salmeterol.]
[C02CA01, prazosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Salmeterol.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Salmeterol.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Salmeterol can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Salmeterol can be increased when combined with Primidone.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Salmeterol.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Probucol.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Salmeterol.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Salmeterol.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Salmeterol.]
[G03DA04, progesterone, The metabolism of Salmeterol can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Propantheline is combined with Salmeterol.]
[N05AC01, periciazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Salmeterol.]
[C07AA05, propranolol, Propranolol may decrease the bronchodilatory activities of Salmeterol.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Salmeterol.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Salmeterol is combined with Rizatriptan.]
[B01AC09, epoprostenol, Salmeterol may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Salmeterol.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Salmeterol.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Pseudoephedrine is combined with Salmeterol.]
[N05AX12, aripiprazole, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Salmeterol.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Methscopolamine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Salmeterol.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Salmeterol.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Salmeterol.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Salmeterol.]
[C02AA01, rescinnamine, Salmeterol may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Salmeterol.]
[J04AB02, rifampin, The metabolism of Salmeterol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Salmeterol.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Salmeterol is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Salmeterol.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Salmeterol.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Scopolamine is combined with Salmeterol.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Salmeterol.]
[C07AA07, sotalol, Sotalol may decrease the bronchodilatory activities of Salmeterol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Salmeterol.]
[C03DA01, spironolactone, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Spironolactone.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Valproic acid.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Salmeterol.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Salmeterol.]
[H02CA04, levoketoconazole, The metabolism of Salmeterol can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The risk or severity of Tachycardia can be increased when Ipratropium is combined with Salmeterol.]
[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Fluticasone.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Antipyrine.]
[A14AA02, stanozolol, The risk or severity of fluid retention can be increased when Fluticasone is combined with Stanozolol.]
[G03XB02, ulipristal, The serum concentration of Fluticasone can be increased when it is combined with Ulipristal.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Fluticasone.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Fluticasone.]
[L04AA27, fingolimod, Fluticasone may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluticasone.]
[J01EC02, sulfadiazine, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Fluticasone.]
[S01AB02, sulfisoxazole, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Sulindac.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be decreased when used in combination with Fluticasone.]
[A10BB04, glibornuride, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Fluticasone.]
[N06DA01, tacrine, The therapeutic efficacy of Tacrine can be decreased when used in combination with Fluticasone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Fluticasone.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Fluticasone.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Fluticasone.]
[G03BA03, testosterone, The risk or severity of edema formation can be increased when Testosterone is combined with Fluticasone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Fluticasone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Fluticasone.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluticasone.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Fluticasone.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Fluticasone.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiotepa can be decreased when used in combination with Fluticasone.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Fluticasone.]
[B02AB01, aprotinin, The therapeutic efficacy of Aprotinin can be decreased when used in combination with Fluticasone.]
[A10BB05, tolazamide, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Fluticasone.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Fluticasone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Fluticasone.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Fluticasone.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Fluticasone.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Fluticasone is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Fluticasone.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Fluticasone.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Fluticasone.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Fluclorolone is combined with Fluticasone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluticasone.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Fluticasone.]
[J01FA08, troleandomycin, The metabolism of Fluticasone can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Fluticasone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Fluticasone.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Fluticasone.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Fluticasone.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Fluticasone.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Fluticasone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Fluticasone.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Fluticasone.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Fluticasone.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Fluticasone.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Fluticasone is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Fluticasone.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Fluticasone.]
[N06AX09, viloxazine, The metabolism of Fluticasone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Fluticasone.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Fluticasone.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Fluticasone.]
[B01AA03, warfarin, Fluticasone may increase the anticoagulant activities of Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluticasone.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Fluticasone.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Fluticasone.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Fluticasone.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Fluticasone.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Fluticasone.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Fluticasone.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Fluticasone.]
[G03AC10, drospirenone, The serum concentration of Fluticasone can be increased when it is combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Fluticasone.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Fluticasone is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Fluticasone.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Fluticasone.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Fluticasone.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Fluticasone.]
[J02AC03, voriconazole, The serum concentration of Fluticasone can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Fluticasone.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Fluticasone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Fluticasone.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Prednylidene is combined with Fluticasone.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Fluticasone.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluticasone.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Fluticasone.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Fluticasone.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Fluticasone.]
