[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dacarbazine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Dacarbazine.]
[L03AB07, interferon beta-1a, The metabolism of Dacarbazine can be decreased when combined with Interferon beta-1a.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Dacarbazine.]
[L04AC04, rilonacept, The metabolism of Dacarbazine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Dacarbazine can be increased when combined with Omeprazole.]
[N02AA02, opium, Dacarbazine may decrease the excretion rate of Opium which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Dacarbazine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Dacarbazine.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Dacarbazine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Dacarbazine.]
[J04AB30, capreomycin, Dacarbazine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Dacarbazine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Dacarbazine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Dacarbazine may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Dacarbazine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Dacarbazine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Dacarbazine.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Dacarbazine.]
[C04AD03, pentoxifylline, The metabolism of Dacarbazine can be decreased when combined with Pentoxifylline.]
[N05AB03, perphenazine, The metabolism of Dacarbazine can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Dacarbazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Dacarbazine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Dacarbazine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Dacarbazine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01GA05, phenylephrine, The metabolism of Dacarbazine can be increased when combined with Phenylephrine.]
[L04AB06, golimumab, The metabolism of Dacarbazine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Dacarbazine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Dacarbazine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Dacarbazine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Dacarbazine.]
[C07AA03, pindolol, Dacarbazine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06BX03, piracetam, Dacarbazine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Dacarbazine can be decreased when combined with Grepafloxacin.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Dacarbazine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Dacarbazine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Dacarbazine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Dacarbazine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Dacarbazine can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, Dacarbazine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Dacarbazine.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Dacarbazine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Dacarbazine can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Dacarbazine can be increased when combined with Primidone.]
[M04AB01, probenecid, Dacarbazine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, Dacarbazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Procarbazine.]
[C10AB05, fenofibrate, Dacarbazine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Dacarbazine can be decreased when combined with Promazine.]
[R06AD02, promethazine, Dacarbazine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The metabolism of Dacarbazine can be decreased when combined with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C07AA05, propranolol, The metabolism of Dacarbazine can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Dacarbazine.]
[N02CC04, rizatriptan, Dacarbazine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Dacarbazine.]
[N07XX07, dalfampridine, Dacarbazine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Dacarbazine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Dacarbazine.]
[C01BA01, quinidine, The metabolism of Dacarbazine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Dacarbazine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Dacarbazine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Dacarbazine can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Dacarbazine.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Dacarbazine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Dacarbazine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Dacarbazine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Dacarbazine.]
[V04CC01, sorbitol, Dacarbazine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Dacarbazine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CH02, indigo carmine, Dacarbazine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Dacarbazine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Dacarbazine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Hydrocortisone butyrate.]
[C01DA14, isosorbide mononitrate, Dacarbazine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
