[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[N05CF04, eszopiclone, Indapamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Indapamide.]
[M03AC02, gallamine, The serum concentration of Indapamide can be increased when it is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gallopamil.]
[S01AD09, ganciclovir, Indapamide may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, The risk or severity of hypotension and orthostatic hypotension can be increased when Barbexaclone is combined with Indapamide.]
[C10AB04, gemfibrozil, Indapamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA03, telavancin, Indapamide may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dasatinib.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Indapamide.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Indapamide.]
[A12AA13, calcium citrate, Indapamide may decrease the excretion rate of Calcium citrate which could result in a higher serum level.]
[A12AA10, calcium gluceptate, Indapamide may decrease the excretion rate of Calcium glucoheptonate which could result in a higher serum level.]
[A12AA05, calcium lactate, Indapamide may decrease the excretion rate of Calcium lactate which could result in a higher serum level.]
[A12AA30, calcium levulinate, Indapamide may decrease the excretion rate of Calcium levulinate which could result in a higher serum level.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Methsuximide.]
[N01AH02, alfentanil, The therapeutic efficacy of Indapamide can be decreased when used in combination with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Indapamide.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Indapamide.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Indapamide.]
[N05CM18, dexmedetomidine, Indapamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Indapamide is combined with Glycerin.]
[C05AE01, nitroglycerin, The therapeutic efficacy of Indapamide can be increased when used in combination with Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dofetilide.]
[C02CA04, doxazosin, The therapeutic efficacy of Indapamide can be increased when used in combination with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Indapamide.]
[C07AB09, esmolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Esmolol.]
[M01CB04, aurothioglucose, Indapamide may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Indapamide may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, The therapeutic efficacy of Indapamide can be increased when used in combination with Fosinopril.]
[S01EX01, guanethidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Guanethidine.]
[L02AE03, goserelin, Indapamide may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Indapamide.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Histrelin.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Indapamide.]
[N06BX13, idebenone, Indapamide may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin aspart.]
[M04AA01, allopurinol, The risk of a hypersensitivity reaction to Allopurinol is increased when it is combined with Indapamide.]
[C09CA01, losartan, The therapeutic efficacy of Indapamide can be increased when used in combination with Losartan.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Indapamide may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Mesalazine.]
[C01CE02, milrinone, Indapamide may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Indapamide is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Hexobarbital is combined with Indapamide.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Indapamide.]
[C08CA10, nilvadipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Oxatomide.]
[C02DB02, hydralazine, The therapeutic efficacy of Indapamide can be increased when used in combination with Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, Hydrocortisone may increase the hypokalemic activities of Indapamide.]
[D07AB02, hydrocortisone butyrate, Hydrocortisone butyrate may increase the hypokalemic activities of Indapamide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Indapamide may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Indapamide may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Indapamide may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Indapamide may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Rilmenidine.]
[R02AX02, ibuprofen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Indapamide may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Indapamide is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Indapamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Indapamide can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Indapamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Indapamide is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Terlipressin.]
[R01AD07, tixocortol, Tixocortol may increase the hypokalemic activities of Indapamide.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Indapamide.]
[L01CE01, topotecan, Indapamide may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pipemidic acid.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Indapamide may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, Fluticasone furoate may increase the hypokalemic activities of Indapamide.]
[S01BC01, indomethacin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The therapeutic efficacy of Indapamide can be increased when used in combination with Indoramin.]
[A11HA07, inositol, Indapamide may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, The risk or severity of hyponatremia can be increased when Milnacipran is combined with Indapamide.]
[A03AA30, piperidolate, The serum concentration of Indapamide can be increased when it is combined with Piperidolate.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Indapamide is combined with Cyclopentamine.]
[S01XA28, varenicline, Indapamide may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Indapamide.]
[N05BA12, alprazolam, Indapamide may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Indapamide may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Indapamide.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Indapamide.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Anagrelide.]
[C07AA01, alprenolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Indapamide may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Indapamide.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Indapamide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Indapamide.]
[S01EC03, dorzolamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Indapamide.]
[C09AA16, imidapril, The therapeutic efficacy of Indapamide can be increased when used in combination with Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Indapamide.]
[J04AC01, isoniazid, The metabolism of Indapamide can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Indapamide may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Indapamide.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Indapamide.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Indapamide is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Indapamide may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Indapamide.]
[S01AA24, kanamycin, Indapamide may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Indapamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, The therapeutic efficacy of Indapamide can be increased when used in combination with Ketanserin.]
[B01AC22, prasugrel, Indapamide may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The metabolism of Indapamide can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Indapamide.]
[M02AA10, ketoprofen, The risk or severity of adverse effects can be increased when Ketoprofen is combined with Indapamide.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mizolastine.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Indapamide.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Indapamide.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Indapamide can be increased when used in combination with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Amantadine.]
[C02AA05, deserpidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Indapamide is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Indapamide is combined with Lubiprostone.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Indapamide is combined with Levodopa.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lidoflazine.]
[S01AA21, amikacin, Indapamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Indapamide.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Indapamide.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Loperamide.]
[N05BA06, lorazepam, Indapamide may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA02, lovastatin, The metabolism of Indapamide can be decreased when combined with Lovastatin.]
[B05XA11, magnesium chloride, Indapamide may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Indapamide may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The metabolism of Indapamide can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Indapamide is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Maprotiline.]
[C02BB01, mecamylamine, The therapeutic efficacy of Indapamide can be increased when used in combination with Mecamylamine.]
[R06AE05, meclizine, The serum concentration of Indapamide can be increased when it is combined with Meclizine.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Indapamide is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Indapamide is combined with Frangula purshiana bark.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Indapamide.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Indapamide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Indapamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Indapamide.]
[N03AA01, mephobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Methylphenobarbital is combined with Indapamide.]
[N01BB03, mepivacaine, Indapamide may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Indapamide can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Indapamide may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Indapamide may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Paliperidone.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Indapamide.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Indapamide.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Dolasetron.]
[N07BC02, methadone, Indapamide may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Indapamide may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB07, methantheline, The serum concentration of Indapamide can be increased when it is combined with Methantheline.]
[J05AF05, lamivudine, Indapamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA30, metharbital, The serum concentration of Indapamide can be increased when it is combined with Metharbital.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Indapamide.]
[H03BB02, methimazole, The metabolism of Indapamide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Indapamide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The risk or severity of hypotension and orthostatic hypotension can be increased when Methohexital is combined with Indapamide.]
[A11HA02, pyridoxine, Indapamide may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Indapamide is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Indapamide is combined with Methotrexate.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Methotrimeprazine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Indapamide.]
[D05BA02, methoxsalen, Indapamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Indapamide.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Indapamide is combined with Methylcellulose.]
[C02AB01, methyldopa, The therapeutic efficacy of Indapamide can be increased when used in combination with Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Indapamide.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Indapamide.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Indapamide.]
[H02AB04, methylprednisolone, Methylprednisolone may increase the hypokalemic activities of Indapamide.]
[D07AC14, methylprednisolone aceponate, Methylprednisolone aceponate may increase the hypokalemic activities of Indapamide.]
[G03EK01, methyltestosterone, Indapamide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Indapamide.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Metoclopramide.]
[C03BA08, metolazone, The therapeutic efficacy of Indapamide can be increased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Metronidazole.]
[V04CD01, metyrapone, Indapamide may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Indapamide.]
[S02AA13, miconazole, The metabolism of Indapamide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Indapamide may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Indapamide.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Indapamide.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Indapamide is combined with Mineral oil.]
[J05AH01, zanamivir, Indapamide may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[D11AX01, minoxidil, The therapeutic efficacy of Indapamide can be increased when used in combination with Minoxidil.]
[L01XX23, mitotane, The metabolism of Indapamide can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Indapamide.]
[L03AC01, aldesleukin, Indapamide may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Indapamide.]
[C01BD01, amiodarone, The metabolism of Indapamide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Indapamide may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, Indapamide may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Indapamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA01, ammonium chloride, Indapamide may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pazopanib.]
[L04AA06, mycophenolic acid, Indapamide may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC03, vecuronium, The serum concentration of Indapamide can be increased when it is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Amobarbital is combined with Indapamide.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Indapamide.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Indapamide is combined with Silodosin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Indapamide.]
[N03AB05, fosphenytoin, The metabolism of Indapamide can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Indapamide may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Indapamide.]
[N02AF02, nalbuphine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Indapamide can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Naltrexone.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Indapamide.]
[N06BA01, amphetamine, Indapamide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Indapamide.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Indapamide is combined with Duloxetine.]
[N04BX01, tolcapone, Indapamide may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA01, neomycin, Indapamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The therapeutic efficacy of Indapamide can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Indapamide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Levosimendan.]
[B01AC17, tirofiban, Indapamide may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Indapamide.]
[S01AA19, ampicillin, Indapamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Indapamide may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, Indapamide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hyponatremia can be increased when Desvenlafaxine is combined with Indapamide.]
[C09CA07, telmisartan, The therapeutic efficacy of Indapamide can be increased when used in combination with Telmisartan.]
[J05AB11, valacyclovir, Indapamide may increase the excretion rate of Valaciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[H05BX02, paricalcitol, The risk or severity of hypokalemia can be increased when Paricalcitol is combined with Indapamide.]
[C01CE01, inamrinone, Indapamide may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Indapamide.]
[C08CA04, nicardipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Indapamide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Indapamide is combined with Nicotine.]
[C08CA05, nifedipine, Indapamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The therapeutic efficacy of Indapamide can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Indapamide is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Nimodipine.]
[C08CA07, nisoldipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Nisoldipine.]
[C08CA08, nitrendipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Nitrendipine.]
[R07AX01, nitric oxide, Indapamide may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Indapamide may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Indapamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Indapamide may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, The therapeutic efficacy of Indapamide can be increased when used in combination with Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Indapamide.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Indapamide.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Norfloxacin.]
