[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[S01EX01, guanethidine, Almotriptan may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Almotriptan can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Almotriptan.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Almotriptan is combined with Halothane.]
[N05AH04, quetiapine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Almotriptan may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Almotriptan is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Almotriptan can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Almotriptan may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Almotriptan.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Almotriptan is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Almotriptan can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Almotriptan can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Almotriptan is combined with Nimesulide.]
[C09AA04, perindopril, Almotriptan may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Almotriptan may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Almotriptan can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Almotriptan may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G04BD06, propiverine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Almotriptan.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Almotriptan is combined with Prothipendyl.]
[B05AA07, hetastarch, Almotriptan may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[J04AB04, rifabutin, The metabolism of Almotriptan can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Almotriptan may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Almotriptan.]
[B05XA08, sodium acetate, Almotriptan may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Almotriptan.]
[L01AA06, ifosfamide, The metabolism of Almotriptan can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Almotriptan.]
[N06AA02, imipramine, The metabolism of Almotriptan can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Almotriptan.]
[R01AD07, tixocortol, Almotriptan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Almotriptan.]
[L01CE01, topotecan, Almotriptan may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Almotriptan.]
[C02CA02, indoramin, Almotriptan may decrease the antihypertensive activities of Indoramin.]
[A11HA07, inositol, Almotriptan may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Almotriptan is combined with Milnacipran.]
[A03AA30, piperidolate, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Almotriptan may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Almotriptan.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Almotriptan.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ramelteon.]
[R06AE01, buclizine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Almotriptan can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Almotriptan.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Almotriptan may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Almotriptan is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Almotriptan can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The metabolism of Almotriptan can be decreased when combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Almotriptan.]
[C09AA16, imidapril, Almotriptan may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Almotriptan.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Almotriptan.]
[J04AC01, isoniazid, The metabolism of Almotriptan can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Almotriptan may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Almotriptan is combined with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Almotriptan may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Almotriptan may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Almotriptan is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Almotriptan.]
[S01AA24, kanamycin, Almotriptan may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Almotriptan can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ketanserin.]
[B01AC22, prasugrel, Almotriptan may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Almotriptan can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Almotriptan is combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Almotriptan can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Almotriptan can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Almotriptan is combined with Arbutamine.]
[N04BC09, rotigotine, Almotriptan may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Almotriptan is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Almotriptan can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Almotriptan.]
[C02AA05, deserpidine, Almotriptan may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Almotriptan may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Almotriptan.]
[S01AA21, amikacin, Almotriptan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the vasoconstricting activities of Almotriptan.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lofepramine.]
[A07DA03, loperamide, The metabolism of Almotriptan can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Almotriptan.]
[C10AA02, lovastatin, The metabolism of Almotriptan can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Loxapine.]
[L01EG01, temsirolimus, The metabolism of Almotriptan can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Almotriptan may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Almotriptan may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Almotriptan can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Almotriptan may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Almotriptan can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Almotriptan.]
[C02BB01, mecamylamine, Almotriptan may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Almotriptan.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Almotriptan is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Melatonin.]
[N06DX01, memantine, Almotriptan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Almotriptan.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Almotriptan.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Almotriptan.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Almotriptan.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Meptazinol.]
[G04BX16, tiopronin, Almotriptan may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Almotriptan.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Almotriptan.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Almotriptan.]
[N06BA03, methamphetamine, The metabolism of Almotriptan can be decreased when combined with Metamfetamine.]
[A03AB07, methantheline, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Almotriptan is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Methaqualone.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Almotriptan.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the vasoconstricting activities of Almotriptan.]
[H03BB02, methimazole, The metabolism of Almotriptan can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Almotriptan may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Almotriptan.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Almotriptan.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Almotriptan.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Almotriptan is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Almotriptan may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Almotriptan may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the vasoconstricting activities of Almotriptan.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Almotriptan.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Almotriptan.]
[G03EK01, methyltestosterone, Almotriptan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Almotriptan is combined with Methyprylon.]
[N02CA04, methysergide, Methysergide may increase the vasoconstricting activities of Almotriptan.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Almotriptan.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Almotriptan can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Almotriptan can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Almotriptan may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Almotriptan can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Almotriptan can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Almotriptan.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Almotriptan.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Almotriptan.]
[G03XB01, mifepristone, The serum concentration of Almotriptan can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C09CA03, valsartan, Almotriptan may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[D11AX01, minoxidil, Almotriptan may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Almotriptan can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Almotriptan can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Almotriptan.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Almotriptan.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Almotriptan.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Almotriptan can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Almotriptan can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Almotriptan may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Almotriptan.]
[L04AA06, mycophenolic acid, Almotriptan may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Almotriptan can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Almotriptan can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Almotriptan.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Almotriptan.]
[C07AA12, nadolol, Almotriptan may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Almotriptan may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Almotriptan may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Almotriptan is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Almotriptan.]
[V03AB15, naloxone, The metabolism of Almotriptan can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Almotriptan.]
[L04AC03, anakinra, The metabolism of Almotriptan can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Almotriptan is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Almotriptan.]
[M02AA12, naproxen, The metabolism of Almotriptan can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Almotriptan can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Almotriptan can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Almotriptan.]
[S03AA01, neomycin, Almotriptan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Almotriptan.]
[A10BX02, repaglinide, The metabolism of Almotriptan can be decreased when combined with Repaglinide.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L03AX16, plerixafor, Almotriptan may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Almotriptan may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Almotriptan may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C01CE01, inamrinone, Almotriptan may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Almotriptan can be decreased when combined with Niacin.]
[N06AF02, nialamide, The metabolism of Almotriptan can be decreased when combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Almotriptan can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the vasoconstricting activities of Almotriptan.]
[N07BA01, nicotine, The metabolism of Almotriptan can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Almotriptan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Almotriptan is combined with Niflumic acid.]
[C08CA06, nimodipine, Almotriptan may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Almotriptan may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Nitrazepam.]
[C08CA08, nitrendipine, Almotriptan may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Almotriptan is combined with Zaleplon.]
[N04BC05, pramipexole, Almotriptan may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Almotriptan may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Almotriptan.]
[C02KX01, bosentan, Almotriptan may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Almotriptan.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Almotriptan is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Almotriptan can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Almotriptan can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Almotriptan is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Almotriptan.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Almotriptan can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Almotriptan.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Almotriptan.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Almotriptan is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Almotriptan is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Almotriptan is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[M03AC01, pancuronium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Almotriptan may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The metabolism of Almotriptan can be decreased when combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G04BD11, fesoterodine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Almotriptan may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Almotriptan.]
[N05CA01, pentobarbital, The metabolism of Almotriptan can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Almotriptan may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Perazine.]
[N04BC02, pergolide, Pergolide may increase the vasoconstricting activities of Almotriptan.]
[C08EX02, perhexiline, The metabolism of Almotriptan can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Almotriptan.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N06AF03, phenelzine, The metabolism of Almotriptan can be decreased when combined with Phenelzine.]
