[S02DA03, antipyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Antipyrine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Furosemide.]
[H03BB02, methimazole, Furosemide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, Furosemide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Furosemide.]
[A11HA02, pyridoxine, Furosemide may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Furosemide is combined with Ziconotide.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Furosemide is combined with Methotrexate.]
[N05AA02, methotrimeprazine, Methotrimeprazine may decrease the antihypertensive activities of Furosemide.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Furosemide.]
[D05BA02, methoxsalen, Furosemide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Furosemide.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Furosemide is combined with Methylcellulose.]
[C02AB01, methyldopa, Furosemide may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Furosemide.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Furosemide.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Furosemide.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Furosemide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Furosemide.]
[G03EK01, methyltestosterone, The therapeutic efficacy of Furosemide can be increased when used in combination with Methyltestosterone.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Furosemide.]
[A03FA01, metoclopramide, Furosemide may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Furosemide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CD01, metyrapone, Furosemide may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Furosemide.]
[N02BB03, aminopyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Aminophenazone.]
[N05CD08, midazolam, Furosemide may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Furosemide.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Furosemide.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Furosemide is combined with Mineral oil.]
[J05AH01, zanamivir, Furosemide may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Valsartan.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Furosemide.]
[L01XX23, mitotane, The therapeutic efficacy of Furosemide can be decreased when used in combination with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Furosemide.]
[L03AC01, aldesleukin, Furosemide may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Furosemide.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Furosemide is combined with Amiodarone.]
[N06AA09, amitriptyline, Furosemide may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, Furosemide may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD06, moxalactam, Furosemide may decrease the excretion rate of Latamoxef which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Furosemide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[B02BX05, eltrombopag, The metabolism of Furosemide can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Furosemide may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The metabolism of Furosemide can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Furosemide may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC03, vecuronium, Furosemide may decrease the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Furosemide.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Furosemide is combined with Silodosin.]
[N06AA17, amoxapine, Amoxapine may decrease the antihypertensive activities of Furosemide.]
[N03AB05, fosphenytoin, Fosphenytoin may decrease the diuretic activities of Furosemide.]
[C07AA12, nadolol, Furosemide may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Furosemide may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Furosemide.]
[N02AF02, nalbuphine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, Furosemide may increase the excretion rate of Naloxone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB04, naltrexone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Naltrexone.]
[S01XA11, nandrolone, The therapeutic efficacy of Furosemide can be increased when used in combination with Nandrolone phenpropionate.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Furosemide.]
[N06BA01, amphetamine, Furosemide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Furosemide.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Furosemide is combined with Duloxetine.]
[N04BX01, tolcapone, Furosemide may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA01, neomycin, Furosemide may increase the ototoxic activities of Neomycin.]
[N01AH06, remifentanil, The therapeutic efficacy of Furosemide can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Furosemide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Furosemide is combined with Levosimendan.]
[B01AC17, tirofiban, Furosemide may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX14, iloperidone, Iloperidone may decrease the antihypertensive activities of Furosemide.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Furosemide.]
[S01AA19, ampicillin, Furosemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Furosemide may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, Furosemide may increase the ototoxic activities of Netilmicin.]
[N06AX23, desvenlafaxine, Furosemide may increase the excretion rate of Desvenlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA07, telmisartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Telmisartan.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Furosemide.]
[C01CE01, inamrinone, Furosemide may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD02, niacin, The therapeutic efficacy of Furosemide can be increased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Furosemide.]
[C08CA04, nicardipine, Nicardipine may increase the hypotensive activities of Furosemide.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Furosemide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Furosemide is combined with Nicotine.]
[C08CA05, nifedipine, Furosemide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The therapeutic efficacy of Furosemide can be decreased when used in combination with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Furosemide is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the hypotensive activities of Furosemide.]
[C08CA07, nisoldipine, Furosemide may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, Furosemide may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Furosemide may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Furosemide may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Furosemide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Furosemide may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Furosemide may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Furosemide.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Norepinephrine is combined with Furosemide.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Furosemide.]
[N06AA10, nortriptyline, Nortriptyline may decrease the antihypertensive activities of Furosemide.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Furosemide.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Furosemide.]
[N02AA02, opium, Furosemide may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Orciprenaline is combined with Furosemide.]
[G04CA02, tamsulosin, Furosemide may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Furosemide is combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Zoledronic acid.]
[J01CF04, oxacillin, Furosemide may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[A14AA08, oxandrolone, The therapeutic efficacy of Furosemide can be increased when used in combination with Oxandrolone.]
[N05BA04, oxazepam, Furosemide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, Furosemide may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Furosemide.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxymetazoline.]
[A14AA05, oxymetholone, The therapeutic efficacy of Furosemide can be increased when used in combination with Oxymetholone.]
[N02AA11, oxymorphone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Oxyphenbutazone.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Furosemide.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Furosemide.]
[J04AA01, aminosalicylic acid, The risk or severity of adverse effects can be increased when Furosemide is combined with Aminosalicylic acid.]
[N05AH05, asenapine, Asenapine may decrease the antihypertensive activities of Furosemide.]
[N02AX06, tapentadol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tapentadol.]
[M03AC01, pancuronium, Furosemide may decrease the neuromuscular blocking activities of Pancuronium.]
[J04AB30, capreomycin, Furosemide may increase the ototoxic activities of Capreomycin.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Furosemide is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Furosemide.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Furosemide.]
[A07AA06, paromomycin, Furosemide may increase the ototoxic activities of Paromomycin.]
[G04BD11, fesoterodine, Furosemide may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Furosemide may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CE09, penicillin G procaine, Furosemide may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA14, penicillin G, Furosemide may decrease the excretion rate of Benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Furosemide.]
[L01XX08, pentostatin, Furosemide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Furosemide.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Furosemide.]
[N02AD02, phenazocine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Phenazopyridine.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Furosemide.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Furosemide.]
[N03AA02, phenobarbital, The metabolism of Furosemide can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Furosemide is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may decrease the antihypertensive activities of Furosemide.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Furosemide.]
[V03AB36, phentolamine, Furosemide may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Phenylbutazone.]
[S01GA05, phenylephrine, Phenylephrine may decrease the antihypertensive activities of Furosemide.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Phenylpropanolamine is combined with Furosemide.]
[N03AB02, phenytoin, Phenytoin may decrease the diuretic activities of Furosemide.]
[S01AE05, levofloxacin, Furosemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Furosemide.]
[B02BA01, vitamin K1, Furosemide may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Furosemide.]
[C08CX01, mibefradil, Furosemide may increase the hypotensive activities of Mibefradil.]
[C07AA03, pindolol, Furosemide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Furosemide.]
[N06BX03, piracetam, Furosemide may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Eprosartan.]
[N02AC03, pirinitramide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The therapeutic efficacy of Furosemide can be decreased when used in combination with Piroxicam.]
[J01DD16, cefditoren, Furosemide may decrease the excretion rate of Cefditoren which could result in a higher serum level.]
[J01MA11, grepafloxacin, The excretion of Grepafloxacin can be decreased when combined with Furosemide.]
[N02CX01, pizotyline, Pizotifen may decrease the antihypertensive activities of Furosemide.]
[C09CA04, irbesartan, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Furosemide.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Furosemide is combined with Polyethylene glycol.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Furosemide is combined with Polymyxin B.]
[C03AA05, polythiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Furosemide can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Furosemide.]
[B05XA01, potassium chloride, Furosemide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin lispro.]
[C07AB01, practolol, Furosemide may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Furosemide.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Furosemide.]
[H02AB07, prednisone, The therapeutic efficacy of Furosemide can be increased when used in combination with Prednisone.]
[N03AA03, primidone, The metabolism of Furosemide can be increased when combined with Primidone.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Furosemide.]
[C01BA02, procainamide, Furosemide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Furosemide.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Furosemide.]
[C10AB05, fenofibrate, Furosemide may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA03, promazine, Promazine may decrease the antihypertensive activities of Furosemide.]
[R06AD02, promethazine, Furosemide may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, Propafenone may decrease the antihypertensive activities of Furosemide.]
[A03AB05, propantheline, Furosemide may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Furosemide.]
[N05AC01, periciazine, Periciazine may decrease the antihypertensive activities of Furosemide.]
[N05CM06, propiomazine, Propiomazine may decrease the antihypertensive activities of Furosemide.]
[N01AX10, propofol, The metabolism of Furosemide can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The therapeutic efficacy of Furosemide can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, Furosemide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Furosemide is combined with Proscillaridin.]
[N02CC04, rizatriptan, Furosemide may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Furosemide.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Furosemide.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Furosemide.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Furosemide.]
[N07XX07, dalfampridine, Furosemide may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Furosemide may decrease the neuromuscular blocking activities of Pyrantel.]
[J04AK01, pyrazinamide, Furosemide may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA01, quinidine, Furosemide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Furosemide.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Furosemide.]
[C02AA01, rescinnamine, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Rescinnamine.]
[C02AA02, reserpine, Furosemide may increase the excretion rate of Reserpine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP01, ribavirin, Furosemide may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The metabolism of Furosemide can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Furosemide.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Ritodrine is combined with Furosemide.]
[N02BA05, salicylamide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Furosemide is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of adverse effects can be increased when Furosemide is combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Furosemide.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Furosemide.]
[L01FA03, obinutuzumab, Furosemide may increase the hypotensive activities of Obinutuzumab.]
[J01GB08, sisomicin, Furosemide may increase the ototoxic activities of Sisomicin.]
[A12CD01, sodium fluoride, Furosemide may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Furosemide is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Furosemide.]
[M05BA04, alendronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Alendronic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hypokalemia can be increased when Hydrocortisone butyrate is combined with Furosemide.]
[C01DA14, isosorbide mononitrate, Furosemide may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[D10AX03, azelaic acid, Furosemide may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Furosemide may increase the ototoxic activities of Etacrynic acid.]
