[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Capecitabine.]
[C08CA04, nicardipine, The metabolism of Capecitabine can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Capecitabine.]
[C08CA05, nifedipine, Capecitabine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02KX01, bosentan, The metabolism of Capecitabine can be increased when combined with Bosentan.]
[R05DA07, noscapine, The metabolism of Capecitabine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Capecitabine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Capecitabine.]
[L04AC04, rilonacept, The metabolism of Capecitabine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Capecitabine.]
[N02AA02, opium, Capecitabine may decrease the excretion rate of Opium which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Capecitabine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Capecitabine.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Capecitabine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Capecitabine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Capecitabine.]
[J04AB30, capreomycin, Capecitabine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[G04BD11, fesoterodine, Capecitabine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Capecitabine may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Capecitabine.]
[J01CE09, penicillin G procaine, Capecitabine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Capecitabine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Capecitabine.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Capecitabine.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Capecitabine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Capecitabine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Capecitabine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Capecitabine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Capecitabine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Capecitabine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Capecitabine can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Capecitabine.]
[L04AB06, golimumab, The metabolism of Capecitabine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Capecitabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N06BX03, piracetam, Capecitabine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Capecitabine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AG02, delavirdine, The metabolism of Capecitabine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Capecitabine.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Capecitabine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Capecitabine.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Capecitabine.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Capecitabine is combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Capecitabine.]
[L04AC08, canakinumab, The metabolism of Capecitabine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Capecitabine can be increased when combined with Ritonavir.]
[A10BH03, saxagliptin, Capecitabine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Capecitabine.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Capecitabine.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Capecitabine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Prilocaine.]
[N03AA03, primidone, The metabolism of Capecitabine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Capecitabine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Capecitabine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Capecitabine can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, The metabolism of Capecitabine can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Capecitabine.]
[R06AD02, promethazine, The metabolism of Capecitabine can be decreased when combined with Promethazine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Capecitabine.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Capecitabine.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Capecitabine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Capecitabine.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Capecitabine.]
[N07XX07, dalfampridine, Capecitabine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Capecitabine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Capecitabine.]
[C01BA01, quinidine, The metabolism of Capecitabine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Capecitabine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Capecitabine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Capecitabine.]
[N05CA06, secobarbital, The metabolism of Capecitabine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Capecitabine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Capecitabine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Capecitabine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Capecitabine.]
[V04CC01, sorbitol, Capecitabine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Capecitabine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Capecitabine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Trastuzumab emtansine.]
[V09AB03, ioflupane I-123, Capecitabine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Capecitabine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Capecitabine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Capecitabine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Capecitabine is combined with Hydrocortisone butyrate.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
