[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vilazodone.]
[L04AB06, golimumab, The metabolism of Vilazodone can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Vilazodone can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Vilazodone.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Vilazodone.]
[J05AE01, saquinavir, The metabolism of Vilazodone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Vilazodone.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Vilazodone.]
[C09CA02, eprosartan, Vilazodone may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Vilazodone is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Vilazodone.]
[N02CX01, pizotyline, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Vilazodone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Vilazodone may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Vilazodone is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Vilazodone.]
[L04AC08, canakinumab, The metabolism of Vilazodone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Vilazodone may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Vilazodone can be decreased when combined with Ritonavir.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Vilazodone.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Vilazodone.]
[P02BA01, praziquantel, The metabolism of Vilazodone can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Vilazodone may decrease the antihypertensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Vilazodone.]
[P01BA03, primaquine, The metabolism of Vilazodone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Vilazodone can be increased when combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Vilazodone.]
[S01HA05, procaine, The metabolism of Vilazodone can be decreased when combined with Procaine.]
[L01XB01, procarbazine, The metabolism of Vilazodone can be decreased when combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Vilazodone can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Vilazodone.]
[N04AA04, procyclidine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Vilazodone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Vilazodone.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Vilazodone.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Vilazodone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Vilazodone is combined with Propanidid.]
[A03AB05, propantheline, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Periciazine.]
[N05CM06, propiomazine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Vilazodone.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Vilazodone.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Vilazodone.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Vilazodone.]
[B01AC09, epoprostenol, Vilazodone may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Vilazodone.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Vilazodone.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Vilazodone.]
[A03AB15, diphemanil, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Vilazodone.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vilazodone is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Vilazodone is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Vilazodone can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Vilazodone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Vilazodone can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Vilazodone may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Vilazodone can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Vilazodone is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Vilazodone.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Vilazodone.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Vilazodone is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Vilazodone.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Vilazodone.]
[S01FA02, scopolamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Vilazodone.]
[N04BD01, selegiline, The metabolism of Vilazodone can be decreased when combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Vilazodone.]
