[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rosiglitazone.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Rosiglitazone may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Rosiglitazone.]
[D10BA01, isotretinoin, Rosiglitazone may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Rosiglitazone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Rosiglitazone.]
[L04AC07, tocilizumab, The metabolism of Rosiglitazone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Rosiglitazone.]
[B01AC22, prasugrel, Rosiglitazone may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Rosiglitazone can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Rosiglitazone can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Rosiglitazone can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Rosiglitazone can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Rosiglitazone is combined with Ketotifen.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Rosiglitazone.]
[D10AX03, azelaic acid, Rosiglitazone may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C07AG01, labetalol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Labetalol.]
[N04BB01, amantadine, Rosiglitazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Rosiglitazone may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Rosiglitazone.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Etacrynic acid.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Rosiglitazone.]
[S01AA21, amikacin, Rosiglitazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Rosiglitazone can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Rosiglitazone.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Rosiglitazone.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Rosiglitazone can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Rosiglitazone.]
[L01EG01, temsirolimus, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Temsirolimus.]
[B05XA11, magnesium chloride, Rosiglitazone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Rosiglitazone may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Rosiglitazone.]
[L01BA05, pralatrexate, Rosiglitazone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Rosiglitazone can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Rosiglitazone may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Rosiglitazone may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03BA05, mefruside, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Mefruside.]
[N06DX01, memantine, Rosiglitazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Rosiglitazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Rosiglitazone.]
[N01BB03, mepivacaine, Rosiglitazone may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Rosiglitazone may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Rosiglitazone.]
[N05AX13, paliperidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Lanreotide.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06BA03, methamphetamine, Rosiglitazone may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Rosiglitazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The metabolism of Rosiglitazone can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Rosiglitazone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Rosiglitazone.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Rosiglitazone.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, Rosiglitazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Rosiglitazone.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Rosiglitazone may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Rosiglitazone can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Rosiglitazone.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Rosiglitazone.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Rosiglitazone.]
[N03AF03, rufinamide, The metabolism of Rosiglitazone can be decreased when combined with Rufinamide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Rosiglitazone.]
[A03FA01, metoclopramide, Rosiglitazone may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Rosiglitazone can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Rosiglitazone may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[S02AA13, miconazole, The metabolism of Rosiglitazone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Rosiglitazone.]
[N05CD08, midazolam, Rosiglitazone may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The serum concentration of Rosiglitazone can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Rosiglitazone may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Rosiglitazone can be decreased when combined with Valsartan.]
[L01XX23, mitotane, The metabolism of Rosiglitazone can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The metabolism of Rosiglitazone can be increased when combined with Mitoxantrone.]
[L03AC01, aldesleukin, The metabolism of Rosiglitazone can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Rosiglitazone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Rosiglitazone.]
[N02AA01, morphine, The metabolism of Rosiglitazone can be decreased when combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Rosiglitazone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Rosiglitazone can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Rosiglitazone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Rosiglitazone.]
[L04AA06, mycophenolic acid, Rosiglitazone may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Rosiglitazone.]
[G03XC01, raloxifene, The metabolism of Rosiglitazone can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Rosiglitazone.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Rosiglitazone.]
[C07AA12, nadolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Rosiglitazone may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Rosiglitazone is combined with Ropinirole.]
[V03AB15, naloxone, The metabolism of Rosiglitazone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Rosiglitazone can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Rosiglitazone.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M02AA12, naproxen, Rosiglitazone may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Rosiglitazone.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S03AA01, neomycin, Rosiglitazone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Repaglinide.]
[B01AC17, tirofiban, Rosiglitazone may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01AA19, ampicillin, Rosiglitazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Rosiglitazone may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Rosiglitazone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Rosiglitazone.]
[C09CA07, telmisartan, Rosiglitazone may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C01CE01, inamrinone, Rosiglitazone may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Rosiglitazone.]
[C08CA04, nicardipine, The metabolism of Rosiglitazone can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Rosiglitazone.]
[N07BA01, nicotine, The metabolism of Rosiglitazone can be increased when combined with Nicotine.]
[C08CA05, nifedipine, Rosiglitazone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Amyl Nitrite is combined with Rosiglitazone.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Rosiglitazone.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Rosiglitazone.]
[C08CA08, nitrendipine, Rosiglitazone may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Rosiglitazone may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Rosiglitazone may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Rosiglitazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Rosiglitazone may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Rosiglitazone.]
[R05DA07, noscapine, The metabolism of Rosiglitazone can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Rosiglitazone.]
[H01CB02, octreotide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Rosiglitazone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Rosiglitazone can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Rosiglitazone.]
[N02AA02, opium, Rosiglitazone may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Tamsulosin.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Rosiglitazone.]
[J01CF04, oxacillin, Rosiglitazone may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Rosiglitazone can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Rosiglitazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Rosiglitazone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Rosiglitazone.]
[N05AH05, asenapine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Asenapine.]
[J04AB30, capreomycin, Rosiglitazone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Rosiglitazone.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Rosiglitazone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01MA03, pefloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Pefloxacin.]
[G04BD11, fesoterodine, Rosiglitazone may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Rosiglitazone.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Rosiglitazone.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Rosiglitazone.]
[J01CE09, penicillin G procaine, Rosiglitazone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Rosiglitazone can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Rosiglitazone may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Rosiglitazone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Rosiglitazone.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Rosiglitazone.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Rosiglitazone.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Rosiglitazone.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Rosiglitazone.]
[A08AA01, phentermine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Rosiglitazone may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Rosiglitazone can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Rosiglitazone.]
[L04AB06, golimumab, The metabolism of Rosiglitazone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Levofloxacin.]
[B02BA01, vitamin K1, Rosiglitazone may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Rosiglitazone.]
[C07AA03, pindolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Pindolol.]
[C10AA05, atorvastatin, Rosiglitazone may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Rosiglitazone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Pipotiazine.]
[N06BX03, piracetam, Rosiglitazone may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Rosiglitazone.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Rosiglitazone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Rosiglitazone can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Rosiglitazone.]
[L04AC08, canakinumab, The metabolism of Rosiglitazone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Rosiglitazone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Saxagliptin.]
[B05XA01, potassium chloride, Rosiglitazone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of congestive heart failure can be increased when Insulin lispro is combined with Rosiglitazone.]
[C10AA08, pitavastatin, Rosiglitazone may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Rosiglitazone.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Rosiglitazone.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Rosiglitazone.]
[P01BA03, primaquine, The metabolism of Rosiglitazone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Rosiglitazone can be increased when combined with Primidone.]
[M04AB01, probenecid, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Probenecid.]
[C01BA02, procainamide, Rosiglitazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Rosiglitazone.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Rosiglitazone.]
[C10AB05, fenofibrate, Rosiglitazone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Rosiglitazone.]
[R06AD02, promethazine, The metabolism of Rosiglitazone can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Propafenone.]
[A03AB05, propantheline, Rosiglitazone may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Rosiglitazone.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Rosiglitazone.]
[C07AA05, propranolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Propranolol.]
[N02CC04, rizatriptan, Rosiglitazone may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Rosiglitazone may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Rosiglitazone.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Rosiglitazone.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Rosiglitazone may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Rosiglitazone may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[P01BD01, pyrimethamine, The metabolism of Rosiglitazone can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, Rosiglitazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Quinine.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Rosiglitazone.]
[A02BA02, ranitidine, Rosiglitazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AP01, ribavirin, Rosiglitazone may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Rosiglitazone can be increased when combined with Rifampicin.]
[A16AA02, S-adenosylmethionine, The metabolism of Rosiglitazone can be decreased when combined with Ademetionine.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Rosiglitazone.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Rosiglitazone.]
[N05CA06, secobarbital, The metabolism of Rosiglitazone can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Rosiglitazone.]
[J01GB08, sisomicin, Rosiglitazone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Rosiglitazone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Rosiglitazone may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Rosiglitazone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Rosiglitazone.]
[C03DA01, spironolactone, The metabolism of Rosiglitazone can be decreased when combined with Spironolactone.]
