[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apremilast.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be increased when combined with Apremilast.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Apremilast.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Apremilast.]
[B05XA11, magnesium chloride, Apremilast may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Apremilast may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Apremilast is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Apremilast can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be increased when combined with Apremilast.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Apremilast.]
[R06AE05, meclizine, The metabolism of Meclizine can be increased when combined with Apremilast.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be increased when combined with Apremilast.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Apremilast.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Apremilast.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be increased when combined with Apremilast.]
[N03AA01, mephobarbital, The metabolism of Methylphenobarbital can be increased when combined with Apremilast.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[G04BX16, tiopronin, Apremilast may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be increased when combined with Apremilast.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be increased when combined with Apremilast.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be increased when combined with Apremilast.]
[N07BC02, methadone, The metabolism of Methadone can be increased when combined with Apremilast.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be increased when combined with Apremilast.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Apremilast can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be increased when combined with Apremilast.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Apremilast.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be increased when combined with Apremilast.]
[D05BA02, methoxsalen, The metabolism of Apremilast can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Apremilast.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be increased when combined with Apremilast.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Apremilast.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Apremilast.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be increased when combined with Apremilast.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Apremilast.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be increased when combined with Apremilast.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be increased when combined with Apremilast.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Apremilast.]
[V04CD01, metyrapone, The metabolism of Apremilast can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be increased when combined with Apremilast.]
[N06AX03, mianserin, The metabolism of Mianserin can be increased when combined with Apremilast.]
[S02AA13, miconazole, The metabolism of Apremilast can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be increased when combined with Apremilast.]
[N05CD08, midazolam, The metabolism of Midazolam can be increased when combined with Apremilast.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Apremilast.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be increased when combined with Apremilast.]
[L01XX23, mitotane, The metabolism of Apremilast can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Apremilast.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be increased when combined with Apremilast.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Apremilast.]
[C01BD01, amiodarone, The metabolism of Apremilast can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be increased when combined with Apremilast.]
[N02AA01, morphine, The metabolism of Morphine can be increased when combined with Apremilast.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be increased when combined with Apremilast.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The therapeutic efficacy of Apremilast can be decreased when used in combination with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be increased when combined with Apremilast.]
[G04BA01, ammonium chloride, Apremilast may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Apremilast.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Apremilast.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be increased when combined with Apremilast.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be increased when combined with Apremilast.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Apremilast.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Apremilast.]
[C07AA12, nadolol, The metabolism of Nadolol can be increased when combined with Apremilast.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Apremilast.]
[J01CF06, nafcillin, The metabolism of Apremilast can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Apremilast can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The therapeutic efficacy of Apremilast can be decreased when used in combination with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be increased when combined with Apremilast.]
[M02AA12, naproxen, The metabolism of Naproxen can be increased when combined with Apremilast.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be increased when combined with Apremilast.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be increased when combined with Apremilast.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Apremilast.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Apremilast.]
[S03AA01, neomycin, Apremilast may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be increased when combined with Apremilast.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be increased when combined with Apremilast.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L03AX16, plerixafor, Apremilast may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Apremilast may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Apremilast can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Apremilast.]
[C08CA04, nicardipine, The metabolism of Apremilast can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be increased when combined with Apremilast.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be increased when combined with Apremilast.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Apremilast.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Apremilast.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be increased when combined with Apremilast.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be increased when combined with Apremilast.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be increased when combined with Apremilast.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Apremilast.]
[S01AE02, norfloxacin, The metabolism of Apremilast can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be increased when combined with Apremilast.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Apremilast.]
[L03AB07, interferon beta-1a, The metabolism of Apremilast can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Apremilast can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be increased when combined with Apremilast.]
[N02AA02, opium, The metabolism of Opium can be increased when combined with Apremilast.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be increased when combined with Apremilast.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be increased when combined with Apremilast.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be increased when combined with Apremilast.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be increased when combined with Apremilast.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05AH05, asenapine, The metabolism of Asenapine can be increased when combined with Apremilast.]
[J04AB30, capreomycin, Apremilast may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Apremilast.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Apremilast can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be increased when combined with Apremilast.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be increased when combined with Apremilast.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Apremilast.]
[J01CE09, penicillin G procaine, Apremilast may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Apremilast.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Apremilast.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be increased when combined with Apremilast.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Apremilast.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be increased when combined with Apremilast.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be increased when combined with Apremilast.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be increased when combined with Apremilast.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Apremilast.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Apremilast.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be increased when combined with Apremilast.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be increased when combined with Apremilast.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be increased when combined with Apremilast.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be increased when combined with Apremilast.]
[S01GA05, phenylephrine, The metabolism of Apremilast can be increased when combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be increased when combined with Apremilast.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be increased when combined with Apremilast.]
[L04AB06, golimumab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Apremilast.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Apremilast can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Apremilast can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Apremilast.]
[C07AA03, pindolol, The metabolism of Pindolol can be increased when combined with Apremilast.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Apremilast.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Apremilast can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be increased when combined with Apremilast.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be increased when combined with Apremilast.]
[N06BX03, piracetam, Apremilast may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be increased when combined with Apremilast.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be increased when combined with Apremilast.]
[J05AG02, delavirdine, The metabolism of Apremilast can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be increased when combined with Apremilast.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be increased when combined with Apremilast.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be increased when combined with Apremilast.]
[L04AC05, ustekinumab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Ustekinumab.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be increased when combined with Apremilast.]
[A03AE01, alosetron, The metabolism of Alosetron can be increased when combined with Apremilast.]
[L04AC08, canakinumab, The metabolism of Apremilast can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Apremilast can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be increased when combined with Apremilast.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be increased when combined with Apremilast.]
[C07AB01, practolol, The metabolism of Practolol can be increased when combined with Apremilast.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Apremilast.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Apremilast.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Apremilast.]
[P01BA03, primaquine, The metabolism of Primaquine can be increased when combined with Apremilast.]
[N03AA03, primidone, The metabolism of Primidone can be increased when combined with Apremilast.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be increased when combined with Apremilast.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Apremilast.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Apremilast.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be increased when combined with Apremilast.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Apremilast.]
[N05AA03, promazine, The metabolism of Promazine can be increased when combined with Apremilast.]
[R06AD02, promethazine, The metabolism of Promethazine can be increased when combined with Apremilast.]
[C01BC03, propafenone, The metabolism of Propafenone can be increased when combined with Apremilast.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Apremilast.]
[N01AX10, propofol, The metabolism of Propofol can be increased when combined with Apremilast.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be increased when combined with Apremilast.]
[C07AA05, propranolol, The metabolism of Propranolol can be increased when combined with Apremilast.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Apremilast.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Apremilast.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Apremilast.]
[N07XX07, dalfampridine, Apremilast may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Apremilast may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Apremilast.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Apremilast.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Apremilast.]
[P01BC01, quinine, The metabolism of Quinine can be increased when combined with Apremilast.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be increased when combined with Apremilast.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Apremilast can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Apremilast.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be increased when combined with Apremilast.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Apremilast.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Obinutuzumab.]
[J01GB08, sisomicin, Apremilast may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Apremilast may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Apremilast.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be increased when combined with Apremilast.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Apremilast.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Apremilast.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Apremilast.]
[V09AB03, ioflupane I-123, Apremilast may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Apremilast may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be increased when combined with Apremilast.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be increased when combined with Apremilast.]
