[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Ticlopidine.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Ticlopidine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Ticlopidine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Ticlopidine.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Ticlopidine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Ticlopidine can be decreased when combined with Metoprolol.]
[V04CD01, metyrapone, Ticlopidine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Ticlopidine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Ticlopidine.]
[S02AA13, miconazole, The metabolism of Ticlopidine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of bleeding can be increased when Aminophenazone is combined with Ticlopidine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Parnaparin.]
[N05CD08, midazolam, Ticlopidine may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The metabolism of Ticlopidine can be decreased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tinzaparin.]
[J05AH01, zanamivir, Ticlopidine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Ticlopidine.]
[L01DB07, mitoxantrone, The risk or severity of bleeding can be increased when Ticlopidine is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Ticlopidine.]
[L03AC01, aldesleukin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Ticlopidine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Ticlopidine.]
[N02AA01, morphine, The therapeutic efficacy of Ticlopidine can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Ticlopidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Ticlopidine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Ticlopidine.]
[G04BA01, ammonium chloride, Ticlopidine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Ticlopidine.]
[L04AA06, mycophenolic acid, Ticlopidine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Ticlopidine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Ticlopidine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be decreased when it is combined with Ticlopidine.]
[L03AB08, interferon beta-1b, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Ticlopidine.]
[J01CA04, amoxicillin, Ticlopidine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Ropinirole.]
[V03AB15, naloxone, Ticlopidine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Ticlopidine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Ticlopidine.]
[M02AA12, naproxen, The risk or severity of bleeding can be increased when Naproxen is combined with Ticlopidine.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Ticlopidine.]
[N06AX21, duloxetine, The metabolism of Ticlopidine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Ticlopidine may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of bleeding can be increased when Ticlopidine is combined with Docetaxel.]
[L02BG04, letrozole, The metabolism of Ticlopidine can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Ticlopidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Ticlopidine.]
[B01AC17, tirofiban, Ticlopidine may increase the antiplatelet activities of Tirofiban.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Ticlopidine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S01AA19, ampicillin, Ticlopidine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Ticlopidine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Ticlopidine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hemorrhage can be increased when Desvenlafaxine is combined with Ticlopidine.]
[C09CA07, telmisartan, The metabolism of Ticlopidine can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C01CE01, inamrinone, Ticlopidine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Amsacrine.]
[C10AD02, niacin, The metabolism of Ticlopidine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of bleeding and hemorrhage can be increased when Nialamide is combined with Ticlopidine.]
[C08CA04, nicardipine, The metabolism of Ticlopidine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Ticlopidine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Ticlopidine.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Ticlopidine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Ticlopidine.]
[M02AA17, niflumic acid, The risk or severity of bleeding can be increased when Niflumic acid is combined with Ticlopidine.]
[C08CA07, nisoldipine, Ticlopidine may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Ticlopidine may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Ticlopidine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Ticlopidine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Ticlopidine may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Ticlopidine may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Ticlopidine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Ticlopidine.]
[B01AC16, eptifibatide, Eptifibatide may increase the antiplatelet activities of Ticlopidine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Reviparin.]
[L04AC04, rilonacept, The metabolism of Ticlopidine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Ticlopidine.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Ticlopidine.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Ticlopidine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ticlopidine is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Ticlopidine.]
[J01CF04, oxacillin, Ticlopidine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Ticlopidine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Ticlopidine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Ticlopidine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Ticlopidine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Ticlopidine.]
[S01BC02, oxyphenbutazone, The risk or severity of bleeding can be increased when Oxyphenbutazone is combined with Ticlopidine.]
[J04AA01, aminosalicylic acid, The risk or severity of bleeding can be increased when Ticlopidine is combined with Aminosalicylic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Ticlopidine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Ticlopidine is combined with Danaparoid.]
[J04AB30, capreomycin, Ticlopidine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[C02KC01, pargyline, The risk or severity of bleeding and hemorrhage can be increased when Pargyline is combined with Ticlopidine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Ticlopidine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Ticlopidine.]
[M01CC01, penicillamine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Ticlopidine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Pentobarbital can be decreased when combined with Ticlopidine.]
[L01XX08, pentostatin, Ticlopidine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the antiplatelet activities of Ticlopidine.]
[C08EX02, perhexiline, The metabolism of Ticlopidine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Ticlopidine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ticlopidine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of bleeding and hemorrhage can be increased when Phenelzine is combined with Ticlopidine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Ticlopidine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Ticlopidine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Ticlopidine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Ticlopidine is combined with Phenprocoumon.]
[V03AB36, phentolamine, Ticlopidine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of bleeding can be increased when Phenylbutazone is combined with Ticlopidine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Ticlopidine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be decreased when it is combined with Ticlopidine.]
[L04AB06, golimumab, The metabolism of Ticlopidine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Ticlopidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Ticlopidine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Ticlopidine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Ticlopidine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Ticlopidine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Ticlopidine.]
[J01CA12, piperacillin, Ticlopidine may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Ticlopidine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Ticlopidine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Ticlopidine.]
[N06BX03, piracetam, Ticlopidine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of bleeding can be increased when Piroxicam is combined with Ticlopidine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Ticlopidine.]
[J05AG02, delavirdine, The metabolism of Ticlopidine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Ticlopidine.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Ticlopidine is combined with Abciximab.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Ticlopidine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Ticlopidine is combined with Alteplase.]
[A10BG02, rosiglitazone, Ticlopidine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Ticlopidine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Ticlopidine.]
[L04AC08, canakinumab, The metabolism of Ticlopidine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The metabolism of Ticlopidine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, Ticlopidine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Ticlopidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Ticlopidine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Ticlopidine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Ticlopidine.]
[H02AB07, prednisone, Ticlopidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Ticlopidine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Ticlopidine.]
[M04AB01, probenecid, Ticlopidine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Ticlopidine.]
[S01HA05, procaine, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Ticlopidine.]
[L01XB01, procarbazine, The risk or severity of bleeding and hemorrhage can be increased when Procarbazine is combined with Ticlopidine.]
[C10AB05, fenofibrate, The metabolism of Ticlopidine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Ticlopidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Ticlopidine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Ticlopidine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Ticlopidine.]
[C01BC03, propafenone, The metabolism of Ticlopidine can be decreased when combined with Propafenone.]
[A03AB05, propantheline, Ticlopidine may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Ticlopidine.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Ticlopidine.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Ticlopidine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Ticlopidine.]
[H03BA02, propylthiouracil, The risk or severity of bleeding can be increased when Ticlopidine is combined with Propylthiouracil.]
[N02CC04, rizatriptan, Ticlopidine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Ticlopidine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Ticlopidine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Ticlopidine.]
[N07XX07, dalfampridine, Ticlopidine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Ticlopidine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Ticlopidine may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[R06AC01, pyrilamine, The metabolism of Ticlopidine can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Ticlopidine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Ticlopidine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ticlopidine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J05AP01, ribavirin, Ticlopidine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Ticlopidine can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, The risk or severity of bleeding can be increased when Salicylamide is combined with Ticlopidine.]
[A07EC01, sulfasalazine, The risk or severity of bleeding can be increased when Sulfasalazine is combined with Ticlopidine.]
[S01BC08, salicylic acid, The risk or severity of bleeding can be increased when Salicylic acid is combined with Ticlopidine.]
[N05CA06, secobarbital, Ticlopidine may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Ticlopidine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Ticlopidine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ticlopidine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ticlopidine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Ticlopidine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Ticlopidine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, Tizanidine - CYP 1A2 inhibitors]
[N05CH02, ramelteon, Ramelteon - specific CYP1A2 inhibitors]
