[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Antipyrine.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Mannitol is combined with Mineral oil.]
[J05AH01, zanamivir, Mannitol may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Mannitol.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Mannitol.]
[L03AC01, aldesleukin, Mannitol may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD01, amiodarone, The serum concentration of Mannitol can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Mannitol may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The serum concentration of Mannitol can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, Mannitol may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Latamoxef.]
[L04AB05, certolizumab pegol, Mannitol may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA01, ammonium chloride, Mannitol may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Mannitol.]
[L04AA06, mycophenolic acid, Mannitol may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Mannitol.]
[G04CA04, silodosin, The serum concentration of Silodosin can be increased when it is combined with Mannitol.]
[C07AA12, nadolol, Mannitol may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Mannitol may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Mannitol.]
[N02AF02, nalbuphine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, Mannitol may increase the excretion rate of Naloxone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BB04, naltrexone, The therapeutic efficacy of Mannitol can be decreased when used in combination with Naltrexone.]
[N06BA01, amphetamine, Mannitol may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Mannitol is combined with Duloxetine.]
[N04BX01, tolcapone, Mannitol may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Neomycin.]
[N01AH06, remifentanil, The therapeutic efficacy of Mannitol can be decreased when used in combination with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Mannitol is combined with Levosimendan.]
[B01AC17, tirofiban, Mannitol may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Amphotericin B.]
[S01AA19, ampicillin, Mannitol may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Mannitol may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA23, netilmicin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Netilmicin.]
[N06AX23, desvenlafaxine, Mannitol may increase the excretion rate of Desvenlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Mannitol is combined with Telmisartan.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Valaciclovir.]
[C01CE01, inamrinone, Mannitol may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Mannitol.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Mannitol.]
[C08CA05, nifedipine, Mannitol may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Mannitol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Mannitol.]
[C08CA07, nisoldipine, Mannitol may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, The risk or severity of adverse effects can be increased when Mannitol is combined with Nitrendipine.]
[R07AX01, nitric oxide, Mannitol may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Mannitol may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Mannitol may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Mannitol may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Mannitol may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA03, norepinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Norepinephrine is combined with Mannitol.]
[C02KX01, bosentan, Mannitol may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Mannitol.]
[A16AX07, sapropterin, The serum concentration of Mannitol can be increased when it is combined with Sapropterin.]
[G02CA02, nylidrin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Reviparin.]
[N02AA02, opium, Mannitol may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[G04CA02, tamsulosin, Mannitol may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Zoledronic acid.]
[J01CF04, oxacillin, Mannitol may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA04, oxazepam, Mannitol may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Mannitol is combined with Oxprenolol.]
[N02AA05, oxycodone, The therapeutic efficacy of Mannitol can be decreased when used in combination with Oxycodone.]
[N02AA11, oxymorphone, The therapeutic efficacy of Mannitol can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Oxyphenbutazone.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Danaparoid.]
[N02AX06, tapentadol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Tapentadol.]
[J04AB30, capreomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Capreomycin.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Mannitol is combined with Papaverine.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Mannitol.]
[A07AA06, paromomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Paromomycin.]
[G04BD11, fesoterodine, Mannitol may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Mannitol may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Mannitol may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AD01, pentazocine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Mannitol.]
[L01XX08, pentostatin, Mannitol may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Mannitol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Perhexiline.]
[N02AD02, phenazocine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Phenazopyridine.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Mannitol.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Mannitol.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Mannitol is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Mannitol is combined with Phenoxybenzamine.]
[V03AB36, phentolamine, Mannitol may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Phenylbutazone.]
[S01AE05, levofloxacin, Mannitol may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B02BA01, vitamin K1, Mannitol may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cidofovir.]
[C08CX01, mibefradil, The serum concentration of Mannitol can be increased when it is combined with Mibefradil.]
[C07AA03, pindolol, Mannitol may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA12, piperacillin, Mannitol may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE01, saquinavir, The serum concentration of Mannitol can be increased when it is combined with Saquinavir.]
[N06BX03, piracetam, Mannitol may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Mannitol is combined with Eprosartan.]
[N02AC03, pirinitramide, The therapeutic efficacy of Mannitol can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Piroxicam.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefditoren.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Mannitol is combined with Irbesartan.]
[A10BG02, rosiglitazone, Mannitol may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Mannitol is combined with Polyethylene glycol.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Mannitol is combined with Polymyxin B.]
[C03AA05, polythiazide, The risk or severity of adverse effects can be increased when Polythiazide is combined with Mannitol.]
[J05AE03, ritonavir, The serum concentration of Mannitol can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Mannitol may increase the excretion rate of Saxagliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Mannitol.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Mannitol.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Practolol.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Mannitol.]
[H02AB07, prednisone, Mannitol may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Prenylamine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Mannitol.]
[M04AB01, probenecid, Mannitol may increase the excretion rate of Probenecid which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA02, procainamide, Mannitol may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Mannitol.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Mannitol.]
[C10AB05, fenofibrate, Mannitol may increase the excretion rate of Fenofibrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD02, promethazine, Mannitol may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, The serum concentration of Mannitol can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, Mannitol may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Mannitol.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Mannitol.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Mannitol is combined with Propofol.]
[N02AC04, propoxyphene, The therapeutic efficacy of Mannitol can be decreased when used in combination with Dextropropoxyphene.]
[C07AA05, propranolol, Mannitol may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC04, rizatriptan, Mannitol may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Mannitol may increase the excretion rate of Epoprostenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX12, aripiprazole, Aripiprazole may increase the hypotensive activities of Mannitol.]
[N07XX07, dalfampridine, Mannitol may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Mannitol may increase the excretion rate of Pyrantel which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK01, pyrazinamide, Mannitol may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Mannitol.]
[C01BA01, quinidine, Mannitol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Mannitol can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, Mannitol may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Mannitol can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Mannitol may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA05, salicylamide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Mannitol.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Mannitol.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Mannitol is combined with Obinutuzumab.]
[J01GB08, sisomicin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Sisomicin.]
[A12CD01, sodium fluoride, Mannitol may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Sotalol is combined with Mannitol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Mannitol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Spironolactone is combined with Mannitol.]
