[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Flunarizine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Flunarizine is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Flunarizine.]
[J02AB02, ketoconazole, The metabolism of Flunarizine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hyperkalemia can be increased when Ketoprofen is combined with Flunarizine.]
[V03AC03, deferasirox, The serum concentration of Flunarizine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Flunarizine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Flunarizine may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Flunarizine can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The risk or severity of bradycardia can be increased when Flunarizine is combined with Labetalol.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Flunarizine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Flunarizine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Flunarizine.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Flunarizine.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Flunarizine.]
[C08EX01, lidoflazine, Flunarizine may increase the arrhythmogenic activities of Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Flunarizine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Flunarizine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Flunarizine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lofepramine.]
[A07DA03, loperamide, Loperamide may increase the arrhythmogenic activities of Flunarizine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Flunarizine.]
[C10AA02, lovastatin, The metabolism of Flunarizine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Flunarizine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Flunarizine.]
[L01EG01, temsirolimus, The metabolism of Flunarizine can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, The risk or severity of hypotension can be increased when Magnesium chloride is combined with Flunarizine.]
[G04BX01, magnesium hydroxide, The risk or severity of hypotension can be increased when Magnesium hydroxide is combined with Flunarizine.]
[A12CC10, magnesium oxide, The risk or severity of hypotension can be increased when Magnesium oxide is combined with Flunarizine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Flunarizine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Flunarizine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Flunarizine.]
[N06AA21, maprotiline, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Flunarizine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Flunarizine.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Meclofenamic acid is combined with Flunarizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Medazepam.]
[C01AA08, medigoxin, Flunarizine may increase the arrhythmogenic activities of Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Flunarizine.]
[P01BC02, mefloquine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Enoxaparin is combined with Flunarizine.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Dalteparin.]
[N05CH01, melatonin, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Melatonin.]
[N06DX01, memantine, The metabolism of Flunarizine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Flunarizine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Flunarizine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Flunarizine.]
[N03AA01, mephobarbital, The metabolism of Flunarizine can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Flunarizine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Flunarizine.]
[N05AX13, paliperidone, The risk or severity of hypotension can be increased when Paliperidone is combined with Flunarizine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Metformin.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Flunarizine.]
[H01CB03, lanreotide, Flunarizine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Flunarizine.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Flunarizine.]
[A03AB07, methantheline, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Flunarizine.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Flunarizine.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Flunarizine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Flunarizine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Flunarizine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Flunarizine can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Flunarizine.]
[N05CA15, methohexital, The metabolism of Flunarizine can be increased when combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Flunarizine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Flunarizine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Flunarizine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Flunarizine.]
[C02AB01, methyldopa, Methyldopa may increase the bradycardic activities of Flunarizine.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Flunarizine is combined with Methylene blue.]
[R03DA05, aminophylline, Flunarizine may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA04, methylphenidate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Flunarizine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Flunarizine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Flunarizine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Flunarizine.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Flunarizine.]
[P01AB01, metronidazole, The metabolism of Flunarizine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Flunarizine can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Flunarizine.]
[N06AX03, mianserin, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Flunarizine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Flunarizine can be decreased when combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Flunarizine.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Flunarizine.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Flunarizine.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Flunarizine.]
[C09CA03, valsartan, The metabolism of Flunarizine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[L01XX23, mitotane, The metabolism of Flunarizine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Flunarizine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Flunarizine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Flunarizine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Flunarizine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Flunarizine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Flunarizine.]
[L04AB05, certolizumab pegol, The metabolism of Flunarizine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Flunarizine.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Flunarizine.]
[M03AC03, vecuronium, Flunarizine may increase the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, The metabolism of Flunarizine can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Flunarizine can be decreased when combined with Amodiaquine.]
[G04CA04, silodosin, The risk or severity of hypotension can be increased when Silodosin is combined with Flunarizine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Flunarizine.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Flunarizine can be increased when used in combination with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Flunarizine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Nadolol may increase the arrhythmogenic activities of Flunarizine.]
[N04BC04, ropinirole, Flunarizine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Flunarizine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Flunarizine.]
[V03AB15, naloxone, The metabolism of Flunarizine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Flunarizine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Flunarizine.]
[M02AA12, naproxen, The metabolism of Flunarizine can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Flunarizine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Flunarizine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Flunarizine.]
[L02BG04, letrozole, The metabolism of Flunarizine can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Flunarizine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Repaglinide.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Flunarizine.]
[N05AX14, iloperidone, The risk or severity of hypotension can be increased when Iloperidone is combined with Flunarizine.]
[J02AA01, amphotericin B, Flunarizine may decrease the nephrotoxic activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Telmisartan is combined with Flunarizine.]
[C10AD02, niacin, The metabolism of Flunarizine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Flunarizine.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Flunarizine.]
[C04AE02, nicergoline, The risk or severity of hypotension can be increased when Nicergoline is combined with Flunarizine.]
[P02DA01, niclosamide, The metabolism of Flunarizine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Flunarizine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Nifedipine may increase the arrhythmogenic activities of Flunarizine.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Niflumic acid is combined with Flunarizine.]
[V03AB22, amyl nitrite, Flunarizine may increase the vasodilatory activities of Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Flunarizine.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Flunarizine.]
[C08CA08, nitrendipine, Nitrendipine may increase the arrhythmogenic activities of Flunarizine.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Flunarizine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Flunarizine.]
[N04BC05, pramipexole, Flunarizine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Flunarizine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Flunarizine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Flunarizine.]
[S01AE02, norfloxacin, The metabolism of Flunarizine can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Flunarizine.]
[C02KX01, bosentan, The metabolism of Flunarizine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Flunarizine.]
[R05DA07, noscapine, The metabolism of Flunarizine can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Flunarizine can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, Flunarizine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Flunarizine.]
[L04AC04, rilonacept, The metabolism of Flunarizine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Flunarizine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Flunarizine is combined with Opium.]
[G04CA02, tamsulosin, The risk or severity of hypotension can be increased when Tamsulosin is combined with Flunarizine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Flunarizine.]
[P02BA02, oxamniquine, The metabolism of Flunarizine can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Flunarizine can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Flunarizine.]
[C07AA02, oxprenolol, Oxprenolol may increase the arrhythmogenic activities of Flunarizine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flunarizine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Flunarizine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Oxyphenbutazone is combined with Flunarizine.]
[A03AB03, oxyphenonium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of hypotension can be increased when Asenapine is combined with Flunarizine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[M03AC01, pancuronium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Flunarizine.]
[N05CC05, paraldehyde, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Flunarizine.]
[J01MA03, pefloxacin, The metabolism of Flunarizine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of bradycardia can be increased when Flunarizine is combined with Penbutolol.]
[N05AG03, penfluridol, Flunarizine may increase the arrhythmogenic activities of Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Flunarizine.]
[N05CA01, pentobarbital, The metabolism of Flunarizine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Flunarizine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Flunarizine.]
[C08EX02, perhexiline, Perhexiline may increase the arrhythmogenic activities of Flunarizine.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Flunarizine.]
[N02BE03, phenacetin, The metabolism of Flunarizine can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Flunarizine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Flunarizine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Flunarizine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension can be increased when Phenoxybenzamine is combined with Flunarizine.]
[B01AA04, phenprocoumon, The metabolism of Flunarizine can be decreased when combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Flunarizine.]
[V03AB36, phentolamine, The risk or severity of hypotension can be increased when Phentolamine is combined with Flunarizine.]
[M02AA01, phenylbutazone, The metabolism of Flunarizine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Flunarizine is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The therapeutic efficacy of Flunarizine can be increased when used in combination with Phenytoin.]
[L04AB06, golimumab, The metabolism of Flunarizine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Mibefradil may increase the arrhythmogenic activities of Flunarizine.]
[S01EB01, pilocarpine, The metabolism of Flunarizine can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Flunarizine.]
[C07AA03, pindolol, The risk or severity of bradycardia can be increased when Flunarizine is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Flunarizine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Flunarizine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Flunarizine.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Eprosartan is combined with Flunarizine.]
[A02BX03, pirenzepine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hyperkalemia can be increased when Piroxicam is combined with Flunarizine.]
[J01MA11, grepafloxacin, The metabolism of Flunarizine can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Flunarizine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Irbesartan is combined with Flunarizine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Flunarizine is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Flunarizine.]
[A03AE01, alosetron, The metabolism of Flunarizine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Flunarizine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Flunarizine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Flunarizine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Flunarizine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Flunarizine.]
[C07AB01, practolol, Practolol may increase the arrhythmogenic activities of Flunarizine.]
[C01BA08, prajmaline, Flunarizine may increase the arrhythmogenic activities of Prajmaline.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Flunarizine.]
[P02BA01, praziquantel, The metabolism of Flunarizine can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Flunarizine.]
[H02AB07, prednisone, The metabolism of Flunarizine can be increased when combined with Prednisone.]
[C01DX02, prenylamine, Prenylamine may increase the arrhythmogenic activities of Flunarizine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Flunarizine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Flunarizine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Flunarizine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Procainamide may increase the arrhythmogenic activities of Flunarizine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Flunarizine.]
[C10AB05, fenofibrate, The metabolism of Flunarizine can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flunarizine.]
[N04AA04, procyclidine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Flunarizine.]
[N05AA03, promazine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, Propafenone may increase the arrhythmogenic activities of Flunarizine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Flunarizine is combined with Propanidid.]
[A03AB05, propantheline, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of hypotension can be increased when Periciazine is combined with Flunarizine.]
[N05CM06, propiomazine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Flunarizine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Flunarizine.]
[C07AA05, propranolol, Propranolol may increase the arrhythmogenic activities of Flunarizine.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Flunarizine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Flunarizine.]
[R03DC03, montelukast, The metabolism of Flunarizine can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Flunarizine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Flunarizine.]
[N05AX12, aripiprazole, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Flunarizine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Flunarizine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Flunarizine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Flunarizine is combined with Pyrantel.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Flunarizine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Mepyramine.]
[C01BA01, quinidine, Quinidine may increase the arrhythmogenic activities of Flunarizine.]
[P01BC01, quinine, The metabolism of Flunarizine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Flunarizine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Rescinnamine is combined with Flunarizine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Flunarizine.]
[J04AB02, rifampin, The metabolism of Flunarizine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Flunarizine.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Sulfasalazine is combined with Flunarizine.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Salicylic acid is combined with Flunarizine.]
[S01FA02, scopolamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
