[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Medroxyprogesterone acetate.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Medroxyprogesterone acetate.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Medroxyprogesterone acetate.]
[N05AH04, quetiapine, Medroxyprogesterone acetate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Medroxyprogesterone acetate may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Medroxyprogesterone acetate.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Medroxyprogesterone acetate.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Medroxyprogesterone acetate.]
[S01XA14, heparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Medroxyprogesterone acetate.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05CA16, hexobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Medroxyprogesterone acetate.]
[C08CA10, nilvadipine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C09AA04, perindopril, Medroxyprogesterone acetate may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Medroxyprogesterone acetate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Medroxyprogesterone acetate.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Medroxyprogesterone acetate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Medroxyprogesterone acetate may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[G04BD06, propiverine, Medroxyprogesterone acetate may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Medroxyprogesterone acetate.]
[B05AA07, hetastarch, Medroxyprogesterone acetate may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[J04AB04, rifabutin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Medroxyprogesterone acetate.]
[B05XA08, sodium acetate, Medroxyprogesterone acetate may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Medroxyprogesterone acetate.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Medroxyprogesterone acetate.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Medroxyprogesterone acetate.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Medroxyprogesterone acetate.]
[M03BX02, tizanidine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Tizanidine.]
[L01CE01, topotecan, Medroxyprogesterone acetate may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Medroxyprogesterone acetate.]
[A11HA07, inositol, Medroxyprogesterone acetate may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Medroxyprogesterone acetate.]
[S01XA28, varenicline, Medroxyprogesterone acetate may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Medroxyprogesterone acetate.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Medroxyprogesterone acetate.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Medroxyprogesterone acetate.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Medroxyprogesterone acetate.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Medroxyprogesterone acetate may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Medroxyprogesterone acetate may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01DA14, isosorbide mononitrate, Medroxyprogesterone acetate may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Isotretinoin.]
[B01AE06, bivalirudin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Bivalirudin.]
[S01AA24, kanamycin, Medroxyprogesterone acetate may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Medroxyprogesterone acetate can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Medroxyprogesterone acetate.]
[B01AC22, prasugrel, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Prasugrel.]
[J02AB02, ketoconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Medroxyprogesterone acetate can be increased when combined with Deferasirox.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N04BB01, amantadine, Medroxyprogesterone acetate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Medroxyprogesterone acetate may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, The therapeutic efficacy of Ursodeoxycholic acid can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01CA11, amdinocillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Pivmecillinam.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Medroxyprogesterone acetate.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Lidocaine.]
[S01AA21, amikacin, Medroxyprogesterone acetate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Medroxyprogesterone acetate can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Medroxyprogesterone acetate.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Medroxyprogesterone acetate.]
[N05BA06, lorazepam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Lovastatin.]
[J01AA04, lymecycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Lymecycline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Medroxyprogesterone acetate.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Medroxyprogesterone acetate.]
[B05XA11, magnesium chloride, Medroxyprogesterone acetate may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Medroxyprogesterone acetate may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The metabolism of Medroxyprogesterone acetate can be increased when combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Medroxyprogesterone acetate may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Medroxyprogesterone acetate may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Medroxyprogesterone acetate may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05BA03, medazepam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Medazepam.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dalteparin.]
[N06DX01, memantine, Medroxyprogesterone acetate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Medroxyprogesterone acetate.]
[N03AB04, mephenytoin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Mepivacaine.]
[G04BX16, tiopronin, Medroxyprogesterone acetate may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Medroxyprogesterone acetate may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01AA05, methacycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Metacycline.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Medroxyprogesterone acetate.]
[N06BA03, methamphetamine, Medroxyprogesterone acetate may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Medroxyprogesterone acetate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Metharbital.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Medroxyprogesterone acetate may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Medroxyprogesterone acetate.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Medroxyprogesterone acetate.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Medroxyprogesterone acetate may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Medroxyprogesterone acetate may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Medroxyprogesterone acetate.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Medroxyprogesterone acetate.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Medroxyprogesterone acetate.]
[N03AF03, rufinamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, Medroxyprogesterone acetate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Medroxyprogesterone acetate.]
[A03FA01, metoclopramide, Medroxyprogesterone acetate may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[V04CD01, metyrapone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Metyrapone.]
[J01CA10, mezlocillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Mezlocillin.]
[S02AA13, miconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Medroxyprogesterone acetate.]
[B01AB07, parnaparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Parnaparin.]
[N05CD08, midazolam, Medroxyprogesterone acetate may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Medroxyprogesterone acetate.]
[B01AB10, tinzaparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Medroxyprogesterone acetate.]
[J01AA08, minocycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Medroxyprogesterone acetate can be increased when combined with Mitotane.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Medroxyprogesterone acetate.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Medroxyprogesterone acetate.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Medroxyprogesterone acetate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Medroxyprogesterone acetate.]
[G04BA01, ammonium chloride, Medroxyprogesterone acetate may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Medroxyprogesterone acetate.]
[L04AA06, mycophenolic acid, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Medroxyprogesterone acetate.]
[N03AB05, fosphenytoin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Medroxyprogesterone acetate may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Amoxicillin.]
[J01CF06, nafcillin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Naloxone.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Medroxyprogesterone acetate.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Medroxyprogesterone acetate.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Medroxyprogesterone acetate.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Medroxyprogesterone acetate.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Medroxyprogesterone acetate.]
[S03AA01, neomycin, Medroxyprogesterone acetate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Medroxyprogesterone acetate.]
[B01AC17, tirofiban, Medroxyprogesterone acetate may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01AA19, ampicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Ampicillin.]
[L03AX16, plerixafor, Medroxyprogesterone acetate may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Medroxyprogesterone acetate may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01CE01, inamrinone, Medroxyprogesterone acetate may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA04, nicardipine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Medroxyprogesterone acetate.]
[C08CA05, nifedipine, Medroxyprogesterone acetate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05CD02, nitrazepam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Nitrazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Medroxyprogesterone acetate may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Medroxyprogesterone acetate can be increased when combined with Zaleplon.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Medroxyprogesterone acetate.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Medroxyprogesterone acetate.]
[C02KX01, bosentan, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be increased when combined with Medroxyprogesterone acetate.]
[B01AB08, reviparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Reviparin.]
[H01CB02, octreotide, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Octreotide.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Medroxyprogesterone acetate.]
[N02AA02, opium, Medroxyprogesterone acetate may decrease the excretion rate of Opium which could result in a higher serum level.]
[B01AD07, reteplase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Ancrod.]
[G04CA02, tamsulosin, Medroxyprogesterone acetate may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Oxacillin.]
[N05BA04, oxazepam, Medroxyprogesterone acetate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01AA04, oxytetracycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Oxytetracycline.]
[B01AB09, danaparoid, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Danaparoid.]
[J04AB30, capreomycin, Medroxyprogesterone acetate may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Medroxyprogesterone acetate.]
[N05CC05, paraldehyde, The metabolism of Medroxyprogesterone acetate can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Medroxyprogesterone acetate.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[G04BD11, fesoterodine, Medroxyprogesterone acetate may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Medroxyprogesterone acetate may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[S01AA14, penicillin G, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Medroxyprogesterone acetate may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Medroxyprogesterone acetate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Medroxyprogesterone acetate.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N06AF03, phenelzine, Medroxyprogesterone acetate may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Medroxyprogesterone acetate.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Phenprocoumon.]
[V03AB36, phentolamine, Medroxyprogesterone acetate may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Phenytoin.]
[L01XF02, alitretinoin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Alitretinoin.]
[S01AE05, levofloxacin, Medroxyprogesterone acetate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Medroxyprogesterone acetate.]
[B02BA01, vitamin K1, Medroxyprogesterone acetate may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Medroxyprogesterone acetate.]
[C07AA03, pindolol, Medroxyprogesterone acetate may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Medroxyprogesterone acetate.]
[J01CA12, piperacillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Medroxyprogesterone acetate may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Medroxyprogesterone acetate.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CA02, pivampicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Medroxyprogesterone acetate.]
