[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Oxatomide.]
[C09AA04, perindopril, Chloroquine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Chloroquine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Chloroquine.]
[S02BA01, hydrocortisone, The metabolism of Chloroquine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Chloroquine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[G04BD06, propiverine, Chloroquine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Chloroquine.]
[B05AA07, hetastarch, Chloroquine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Chloroquine can be increased when combined with Rifabutin.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Risedronic acid.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Chloroquine.]
[B05XA08, sodium acetate, Chloroquine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Chloroquine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Chloroquine.]
[N06AA02, imipramine, The metabolism of Chloroquine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Chloroquine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Terlipressin.]
[R01AD07, tixocortol, Chloroquine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Chloroquine.]
[L01CE01, topotecan, Chloroquine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A11HA07, inositol, Chloroquine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Chloroquine can be decreased when combined with Milnacipran.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Chloroquine is combined with Cyclopentamine.]
[S01XA28, varenicline, Chloroquine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Chloroquine.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05CH02, ramelteon, Chloroquine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Chloroquine.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Chloroquine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Chloroquine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Chloroquine.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Stavudine.]
[N06AF05, iproniazid, The metabolism of Chloroquine can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Chlorproethazine.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Chloroquine.]
[N04BX02, entacapone, The metabolism of Chloroquine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Chloroquine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Chloroquine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Isotretinoin.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ivermectin is combined with Chloroquine.]
[N06AX18, reboxetine, The metabolism of Chloroquine can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Chloroquine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[A07BC02, kaolin, Kaolin can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Chloroquine.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Chloroquine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Chloroquine.]
[B01AC22, prasugrel, Chloroquine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Chloroquine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Chloroquine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Chloroquine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Chloroquine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Chloroquine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Chloroquine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Chloroquine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Chloroquine.]
[A06AX03, lubiprostone, Chloroquine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Chloroquine.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Chloroquine can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Chloroquine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Chloroquine.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Lincomycin.]
[S01AA21, amikacin, Chloroquine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Chloroquine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Chloroquine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Loperamide.]
[N05BA06, lorazepam, The therapeutic efficacy of Lorazepam can be decreased when used in combination with Chloroquine.]
[C10AA02, lovastatin, The metabolism of Chloroquine can be decreased when combined with Lovastatin.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Chloroquine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Chloroquine.]
[B05XA11, magnesium chloride, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium chloride.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Chloroquine.]
[L01BA05, pralatrexate, Chloroquine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Chloroquine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Chloroquine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Chloroquine is combined with Mecamylamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Chloroquine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Chloroquine.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Chloroquine.]
[P01BC02, mefloquine, The risk or severity of adverse effects can be increased when Chloroquine is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Chloroquine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Chloroquine.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Chloroquine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Mepivacaine.]
[G04BX16, tiopronin, Chloroquine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Chloroquine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Chloroquine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Chloroquine.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Metacycline.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Chloroquine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Chloroquine.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Lamivudine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Chloroquine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Chloroquine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Chloroquine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The therapeutic efficacy of Methohexital can be decreased when used in combination with Chloroquine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Chloroquine.]
[N05AA02, methotrimeprazine, The metabolism of Methotrimeprazine can be decreased when combined with Chloroquine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Chloroquine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Methyldopa.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Chloroquine.]
[N03AF03, rufinamide, The therapeutic efficacy of Rufinamide can be decreased when used in combination with Chloroquine.]
[G03EK01, methyltestosterone, Chloroquine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Chloroquine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Chloroquine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Chloroquine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Chloroquine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Chloroquine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Chloroquine.]
[S02AA13, miconazole, The metabolism of Chloroquine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Chloroquine.]
[N05CD08, midazolam, Chloroquine may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The serum concentration of Chloroquine can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Chloroquine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Chloroquine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Chloroquine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Chloroquine.]
[N02AA01, morphine, The metabolism of Chloroquine can be decreased when combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Chloroquine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Chloroquine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Chloroquine can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Chloroquine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Chloroquine.]
[L04AA06, mycophenolic acid, Chloroquine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Chloroquine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Chloroquine.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Raltegravir.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Chloroquine.]
[G03XC01, raloxifene, The metabolism of Chloroquine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Chloroquine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Chloroquine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Chloroquine.]
[J01CA04, amoxicillin, Chloroquine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, The metabolism of Chloroquine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Chloroquine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Chloroquine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Chloroquine.]
[A10BG01, troglitazone, The metabolism of Chloroquine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Chloroquine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Chloroquine.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Letrozole.]
[S03AA01, neomycin, Chloroquine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Chloroquine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Levosimendan.]
[B01AC17, tirofiban, Chloroquine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Chloroquine.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Amphotericin B.]
[S01AA19, ampicillin, The bioavailability of Ampicillin can be decreased when combined with Chloroquine.]
[L03AX16, plerixafor, Chloroquine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Chloroquine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Chloroquine can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01CE01, inamrinone, Chloroquine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Chloroquine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Chloroquine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Chloroquine is combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Chloroquine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[V03AB22, amyl nitrite, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Chloroquine.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Chloroquine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Chloroquine.]
[R07AX01, nitric oxide, The risk or severity of methemoglobinemia can be increased when Nitric Oxide is combined with Chloroquine.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Nitrofurantoin.]
[N05CF03, zaleplon, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Chloroquine.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C02DD01, nitroprusside, The risk or severity of methemoglobinemia can be increased when Nitroprusside is combined with Chloroquine.]
[N01AX13, nitrous oxide, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Nitrous oxide.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Chloroquine.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Norfloxacin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Chloroquine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Chloroquine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Chloroquine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Chloroquine can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Chloroquine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Chloroquine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Chloroquine.]
[J01CF04, oxacillin, Chloroquine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Chloroquine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Chloroquine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Chloroquine.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Chloroquine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Chloroquine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Chloroquine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Chloroquine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Chloroquine.]
[J04AA01, aminosalicylic acid, The risk or severity of methemoglobinemia can be increased when Aminosalicylic acid is combined with Chloroquine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Chloroquine.]
[J04AB30, capreomycin, Chloroquine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Papaverine.]
[N05CC05, paraldehyde, The therapeutic efficacy of Paraldehyde can be decreased when used in combination with Chloroquine.]
[H02AB05, paramethasone, The metabolism of Chloroquine can be increased when combined with Paramethasone.]
[A07AA06, paromomycin, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Paromomycin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Chloroquine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Chloroquine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Chloroquine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Chloroquine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, The metabolism of Chloroquine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Chloroquine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Chloroquine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Perazine.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Chloroquine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Chloroquine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Chloroquine.]
[G04BX06, phenazopyridine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Phenazopyridine.]
[N06AF03, phenelzine, Chloroquine may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Chloroquine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Chloroquine.]
[N03AA02, phenobarbital, The metabolism of Chloroquine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Chloroquine.]
[V03AB36, phentolamine, Chloroquine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Chloroquine.]
[L04AB06, golimumab, The metabolism of Chloroquine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Levofloxacin.]
[B02BA01, vitamin K1, Chloroquine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Chloroquine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Chloroquine.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Atorvastatin.]
[J01CA12, piperacillin, The risk or severity of neuromuscular blockade can be increased when Piperacillin is combined with Chloroquine.]
[J05AE01, saquinavir, The metabolism of Chloroquine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Chloroquine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Chloroquine.]
[N06BX03, piracetam, Chloroquine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Eprosartan.]
[S01BC06, piroxicam, The metabolism of Chloroquine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Chloroquine can be decreased when combined with Delavirdine.]
