[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Eszopiclone.]
[B05XA08, sodium acetate, Eszopiclone may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The serum concentration of Eszopiclone can be decreased when it is combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of CNS depression can be increased when Sufentanil is combined with Eszopiclone.]
[N06AA02, imipramine, The risk or severity of CNS depression can be increased when Imipramine is combined with Eszopiclone.]
[L01CD01, paclitaxel, The serum concentration of Eszopiclone can be decreased when it is combined with Paclitaxel.]
[R01AD07, tixocortol, Eszopiclone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of CNS depression can be increased when Tizanidine is combined with Eszopiclone.]
[L01CE01, topotecan, The metabolism of Eszopiclone can be decreased when combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A11HA07, inositol, Eszopiclone may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of CNS depression can be increased when Milnacipran is combined with Eszopiclone.]
[A03AA30, piperidolate, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Eszopiclone may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of CNS depression can be increased when Articaine is combined with Eszopiclone.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Eszopiclone.]
[N05BA12, alprazolam, The risk or severity of CNS depression can be increased when Alprazolam is combined with Eszopiclone.]
[N05CH02, ramelteon, The risk or severity of CNS depression can be increased when Ramelteon is combined with Eszopiclone.]
[R06AE01, buclizine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The serum concentration of Eszopiclone can be decreased when it is combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of CNS depression can be increased when Alprenolol is combined with Eszopiclone.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Eszopiclone may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of CNS depression can be increased when Iprindole is combined with Eszopiclone.]
[N06AF05, iproniazid, The risk or severity of CNS depression can be increased when Iproniazid is combined with Eszopiclone.]
[N05AA07, chlorproethazine, The risk or severity of CNS depression can be increased when Chlorproethazine is combined with Eszopiclone.]
[N06AF01, isocarboxazid, The risk or severity of CNS depression can be increased when Isocarboxazid is combined with Eszopiclone.]
[N01AB06, isoflurane, The risk or severity of CNS depression can be increased when Isoflurane is combined with Eszopiclone.]
[N04BX02, entacapone, The risk or severity of CNS depression can be increased when Entacapone is combined with Eszopiclone.]
[J04AC01, isoniazid, The metabolism of Eszopiclone can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Eszopiclone may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Eszopiclone may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of CNS depression can be increased when Reboxetine is combined with Eszopiclone.]
[S01AA24, kanamycin, Eszopiclone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The serum concentration of Eszopiclone can be decreased when it is combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of CNS depression can be increased when Ketamine is combined with Eszopiclone.]
[C02KD01, ketanserin, The risk or severity of CNS depression can be increased when Ketanserin is combined with Eszopiclone.]
[B01AC22, prasugrel, Eszopiclone may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The serum concentration of Eszopiclone can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of CNS depression can be increased when Olanzapine is combined with Eszopiclone.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Eszopiclone can be decreased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Eszopiclone can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The risk or severity of CNS depression can be increased when Rotigotine is combined with Eszopiclone.]
[C07AG01, labetalol, Eszopiclone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Eszopiclone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Eszopiclone may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of CNS depression can be increased when Lacosamide is combined with Eszopiclone.]
[N04BA01, levodopa, The risk or severity of CNS depression can be increased when Levodopa is combined with Eszopiclone.]
[S02DA01, lidocaine, The risk or severity of CNS depression can be increased when Lidocaine is combined with Eszopiclone.]
[S01AA21, amikacin, Eszopiclone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The serum concentration of Eszopiclone can be decreased when it is combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of CNS depression can be increased when Lisuride is combined with Eszopiclone.]
[N06AA07, lofepramine, The risk or severity of CNS depression can be increased when Lofepramine is combined with Eszopiclone.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Eszopiclone.]
[N05BA06, lorazepam, The risk or severity of CNS depression can be increased when Lorazepam is combined with Eszopiclone.]
[C10AA02, lovastatin, The metabolism of Eszopiclone can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of CNS depression can be increased when Loxapine is combined with Eszopiclone.]
[B05XA11, magnesium chloride, Eszopiclone may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Eszopiclone may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Eszopiclone can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Eszopiclone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The serum concentration of Eszopiclone can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of CNS depression can be increased when Maprotiline is combined with Eszopiclone.]
[A08AA05, mazindol, The risk or severity of CNS depression can be increased when Mazindol is combined with Eszopiclone.]
[C02BB01, mecamylamine, Eszopiclone may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of CNS depression can be increased when Meclizine is combined with Eszopiclone.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of CNS depression can be increased when Medazepam is combined with Eszopiclone.]
[P01BC02, mefloquine, The metabolism of Eszopiclone can be decreased when combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of CNS depression can be increased when Melatonin is combined with Eszopiclone.]
[N06DX01, memantine, Eszopiclone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of CNS depression can be increased when Meperidine is combined with Eszopiclone.]
[N03AB04, mephenytoin, The risk or severity of CNS depression can be increased when Mephenytoin is combined with Eszopiclone.]
[N03AA01, mephobarbital, The risk or severity of CNS depression can be increased when Methylphenobarbital is combined with Eszopiclone.]
[N01BB03, mepivacaine, The risk or severity of CNS depression can be increased when Mepivacaine is combined with Eszopiclone.]
[N05BC01, meprobamate, The risk or severity of CNS depression can be increased when Meprobamate is combined with Eszopiclone.]
[N02AX05, meptazinol, The risk or severity of CNS depression can be increased when Meptazinol is combined with Eszopiclone.]
[G04BX16, tiopronin, Eszopiclone may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The serum concentration of Eszopiclone can be decreased when it is combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of CNS depression can be increased when Mesoridazine is combined with Eszopiclone.]
[N05AX13, paliperidone, The risk or severity of CNS depression can be increased when Paliperidone is combined with Eszopiclone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of CNS depression can be increased when Dolasetron is combined with Eszopiclone.]
[H01CB03, lanreotide, The metabolism of Eszopiclone can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Eszopiclone.]
[N06BA03, methamphetamine, The risk or severity of CNS depression can be increased when Metamfetamine is combined with Eszopiclone.]
[A03AB07, methantheline, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of CNS depression can be increased when Methapyrilene is combined with Eszopiclone.]
[N05CM01, methaqualone, The risk or severity of CNS depression can be increased when Methaqualone is combined with Eszopiclone.]
[J05AF05, lamivudine, Eszopiclone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of CNS depression can be increased when Metharbital is combined with Eszopiclone.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of CNS depression can be increased when Metergoline is combined with Eszopiclone.]
[H03BB02, methimazole, The serum concentration of Eszopiclone can be increased when it is combined with Methimazole.]
[L01BA04, pemetrexed, Eszopiclone may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of CNS depression can be increased when Methocarbamol is combined with Eszopiclone.]
[N05CA15, methohexital, The risk or severity of CNS depression can be increased when Methohexital is combined with Eszopiclone.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Ziconotide is combined with Eszopiclone.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The risk or severity of CNS depression can be increased when Methotrimeprazine is combined with Eszopiclone.]
[D05BA02, methoxsalen, Eszopiclone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of CNS depression can be increased when Methoxyflurane is combined with Eszopiclone.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Eszopiclone may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of CNS depression can be increased when Methylene blue is combined with Eszopiclone.]
[G02AB01, methylergonovine, The metabolism of Eszopiclone can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The serum concentration of Eszopiclone can be decreased when it is combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of CNS depression can be increased when Rufinamide is combined with Eszopiclone.]
[G03EK01, methyltestosterone, Eszopiclone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, The risk or severity of CNS depression can be increased when Methyprylon is combined with Eszopiclone.]
[N02CA04, methysergide, The risk or severity of CNS depression can be increased when Methysergide is combined with Eszopiclone.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Eszopiclone.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Eszopiclone can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The serum concentration of Eszopiclone can be decreased when it is combined with Metyrapone.]
[N06AX03, mianserin, The risk or severity of CNS depression can be increased when Mianserin is combined with Eszopiclone.]
[S02AA13, miconazole, The metabolism of Eszopiclone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Eszopiclone.]
[N05CD08, midazolam, The risk or severity of CNS depression can be increased when Midazolam is combined with Eszopiclone.]
[G03XB01, mifepristone, The serum concentration of Eszopiclone can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Eszopiclone may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Eszopiclone.]
[L01XX23, mitotane, The serum concentration of Eszopiclone can be decreased when it is combined with Mitotane.]
[N05AE02, molindone, The risk or severity of CNS depression can be increased when Molindone is combined with Eszopiclone.]
[L03AC01, aldesleukin, The metabolism of Eszopiclone can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Eszopiclone can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of CNS depression can be increased when Amitriptyline is combined with Eszopiclone.]
[N02AA01, morphine, The risk or severity of CNS depression can be increased when Morphine is combined with Eszopiclone.]
[A04AA05, palonosetron, The risk or severity of CNS depression can be increased when Palonosetron is combined with Eszopiclone.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Eszopiclone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eszopiclone can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Eszopiclone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Eszopiclone can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Eszopiclone may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of CNS depression can be increased when Vecuronium is combined with Eszopiclone.]
[N05CA02, amobarbital, The risk or severity of CNS depression can be increased when Amobarbital is combined with Eszopiclone.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Eszopiclone.]
[G03XC01, raloxifene, The metabolism of Eszopiclone can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of CNS depression can be increased when Amoxapine is combined with Eszopiclone.]
[N03AB05, fosphenytoin, The risk or severity of CNS depression can be increased when Fosphenytoin is combined with Eszopiclone.]
[C07AA12, nadolol, Eszopiclone may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Eszopiclone may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Eszopiclone may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Eszopiclone can be decreased when it is combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of CNS depression can be increased when Naftidrofuryl is combined with Eszopiclone.]
[N02AF02, nalbuphine, The risk or severity of CNS depression can be increased when Nalbuphine is combined with Eszopiclone.]
[V03AB15, naloxone, The serum concentration of Eszopiclone can be increased when it is combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of respiratory depression can be increased when Naltrexone is combined with Eszopiclone.]
[L04AC03, anakinra, The metabolism of Eszopiclone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Eszopiclone.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Eszopiclone.]
[A10BG01, troglitazone, The serum concentration of Eszopiclone can be decreased when it is combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of CNS depression can be increased when Duloxetine is combined with Eszopiclone.]
[N04BX01, tolcapone, The risk or severity of CNS depression can be increased when Tolcapone is combined with Eszopiclone.]
[L01CD02, docetaxel, The metabolism of Eszopiclone can be decreased when combined with Docetaxel.]
[S03AA01, neomycin, Eszopiclone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of CNS depression can be increased when Remifentanil is combined with Eszopiclone.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Eszopiclone.]
[B01AC17, tirofiban, Eszopiclone may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of CNS depression can be increased when Iloperidone is combined with Eszopiclone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01AA19, ampicillin, Eszopiclone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Eszopiclone may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Eszopiclone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of CNS depression can be increased when Desvenlafaxine is combined with Eszopiclone.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01CE01, inamrinone, Eszopiclone may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of CNS depression can be increased when Nialamide is combined with Eszopiclone.]
[C08CA04, nicardipine, The metabolism of Eszopiclone can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The serum concentration of Eszopiclone can be decreased when it is combined with Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of CNS depression can be increased when Nitrazepam is combined with Eszopiclone.]
[R07AX01, nitric oxide, The metabolism of Eszopiclone can be decreased when combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, Eszopiclone may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of CNS depression can be increased when Zaleplon is combined with Eszopiclone.]
[N04BC05, pramipexole, Eszopiclone may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of CNS depression can be increased when Nitrous oxide is combined with Eszopiclone.]
[N06AX04, nomifensine, The risk or severity of CNS depression can be increased when Nomifensine is combined with Eszopiclone.]
[S01AE02, norfloxacin, The metabolism of Eszopiclone can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, The serum concentration of Eszopiclone can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The risk or severity of CNS depression can be increased when Nortriptyline is combined with Eszopiclone.]
[R05DA07, noscapine, The metabolism of Eszopiclone can be decreased when combined with Noscapine.]
[H01CB02, octreotide, The metabolism of Eszopiclone can be decreased when combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Eszopiclone can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Eszopiclone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The serum concentration of Eszopiclone can be decreased when it is combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of CNS depression can be increased when Opipramol is combined with Eszopiclone.]
[N02AA02, opium, The risk or severity of CNS depression can be increased when Opium is combined with Eszopiclone.]
[G04CA02, tamsulosin, Eszopiclone may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Eszopiclone may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of CNS depression can be increased when Oxazepam is combined with Eszopiclone.]
[C07AA02, oxprenolol, The risk or severity of CNS depression can be increased when Oxprenolol is combined with Eszopiclone.]
[N02AA05, oxycodone, The risk or severity of CNS depression can be increased when Oxycodone is combined with Eszopiclone.]
[A14AA05, oxymetholone, The metabolism of Eszopiclone can be decreased when combined with Oxymetholone.]
[N02AA11, oxymorphone, The risk or severity of CNS depression can be increased when Oxymorphone is combined with Eszopiclone.]
[N05AE01, oxypertine, The risk or severity of CNS depression can be increased when Oxypertine is combined with Eszopiclone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A03AB03, oxyphenonium, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of CNS depression can be increased when Asenapine is combined with Eszopiclone.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Eszopiclone.]
[M03AC01, pancuronium, The risk or severity of CNS depression can be increased when Pancuronium is combined with Eszopiclone.]
[J04AB30, capreomycin, Eszopiclone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, The risk or severity of CNS depression can be increased when Paraldehyde is combined with Eszopiclone.]
[H02AB05, paramethasone, The serum concentration of Eszopiclone can be decreased when it is combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of CNS depression can be increased when Pargyline is combined with Eszopiclone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[G04BD11, fesoterodine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of CNS depression can be increased when Penbutolol is combined with Eszopiclone.]
[N05AG03, penfluridol, The risk or severity of CNS depression can be increased when Penfluridol is combined with Eszopiclone.]
[J01CE09, penicillin G procaine, Eszopiclone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of CNS depression can be increased when Pentazocine is combined with Eszopiclone.]
[N05CA01, pentobarbital, The risk or severity of CNS depression can be increased when Pentobarbital is combined with Eszopiclone.]
[L01XX08, pentostatin, Eszopiclone may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Eszopiclone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of CNS depression can be increased when Perazine is combined with Eszopiclone.]
[N04BC02, pergolide, The risk or severity of CNS depression can be increased when Pergolide is combined with Eszopiclone.]
[N05AB03, perphenazine, The risk or severity of CNS depression can be increased when Perphenazine is combined with Eszopiclone.]
[N02AD02, phenazocine, The risk or severity of CNS depression can be increased when Phenazocine is combined with Eszopiclone.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of CNS depression can be increased when Phenelzine is combined with Eszopiclone.]
[N03AA02, phenobarbital, The risk or severity of CNS depression can be increased when Phenobarbital is combined with Eszopiclone.]
[N01AH04, phenoperidine, The risk or severity of CNS depression can be increased when Phenoperidine is combined with Eszopiclone.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Eszopiclone.]
[V03AB36, phentolamine, Eszopiclone may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The serum concentration of Eszopiclone can be decreased when it is combined with Phenylbutazone.]
[N03AB02, phenytoin, The risk or severity of CNS depression can be increased when Phenytoin is combined with Eszopiclone.]
[L04AB06, golimumab, The metabolism of Eszopiclone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Eszopiclone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Eszopiclone can be decreased when combined with Bicalutamide.]
[B02BA01, vitamin K1, Eszopiclone may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Eszopiclone can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Eszopiclone can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of CNS depression can be increased when Pimozide is combined with Eszopiclone.]
[C07AA03, pindolol, The risk or severity of CNS depression can be increased when Pindolol is combined with Eszopiclone.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Eszopiclone.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Eszopiclone can be increased when it is combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of CNS depression can be increased when Pipotiazine is combined with Eszopiclone.]
[N06BX03, piracetam, Eszopiclone may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of CNS depression can be increased when Piritramide is combined with Eszopiclone.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Eszopiclone.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of CNS depression can be increased when Pizotifen is combined with Eszopiclone.]
[J05AG02, delavirdine, The serum concentration of Eszopiclone can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Eszopiclone can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of CNS depression can be increased when Proxibarbal is combined with Eszopiclone.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Eszopiclone.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Eszopiclone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Eszopiclone.]
[A03AE01, alosetron, The risk or severity of CNS depression can be increased when Alosetron is combined with Eszopiclone.]
[L04AC08, canakinumab, The metabolism of Eszopiclone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Eszopiclone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Eszopiclone may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Eszopiclone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Eszopiclone.]
[N05BA11, prazepam, The risk or severity of CNS depression can be increased when Prazepam is combined with Eszopiclone.]
[S03BA02, prednisolone, The serum concentration of Eszopiclone can be decreased when it is combined with Prednisolone.]
[H02AB07, prednisone, Eszopiclone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of CNS depression can be increased when Prilocaine is combined with Eszopiclone.]
[P01BA03, primaquine, The metabolism of Eszopiclone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of CNS depression can be increased when Primidone is combined with Eszopiclone.]
[M04AB01, probenecid, The serum concentration of Eszopiclone can be decreased when it is combined with Probenecid.]
[C01BA02, procainamide, Eszopiclone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of CNS depression can be increased when Procaine is combined with Eszopiclone.]
[L01XB01, procarbazine, The risk or severity of CNS depression can be increased when Procarbazine is combined with Eszopiclone.]
[C10AB05, fenofibrate, Eszopiclone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The risk or severity of CNS depression can be increased when Prochlorperazine is combined with Eszopiclone.]
