[P02BB01, trichlorfon, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Metrifonate.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Flavoxate.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Flavoxate.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01BA04, pemetrexed, Flavoxate may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Flavoxate.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Flavoxate.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G03EK01, methyltestosterone, Flavoxate may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Flavoxate.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Flavoxate.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Flavoxate.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Flavoxate.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Lisdexamfetamine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Flavoxate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Flavoxate may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C07AA12, nadolol, Flavoxate may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Nalbuphine.]
[V03AB15, naloxone, Flavoxate may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Naphazoline.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S03AA01, neomycin, Flavoxate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Flavoxate is combined with Remifentanil.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L03AX16, plerixafor, Flavoxate may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Flavoxate may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CE01, inamrinone, Flavoxate may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Flavoxate.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Flavoxate.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Norepinephrine is combined with Flavoxate.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Nylidrin.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Flavoxate is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Orciprenaline is combined with Flavoxate.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Oxymetazoline is combined with Flavoxate.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Flavoxate.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J04AB30, capreomycin, Flavoxate may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01CE09, penicillin G procaine, Flavoxate may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01XX08, pentostatin, Flavoxate may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Flavoxate.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Phenoperidine.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Flavoxate.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Flavoxate.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Flavoxate.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V03AB19, physostigmine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Physostigmine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BX03, piracetam, Flavoxate may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Flavoxate.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Flavoxate is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Flavoxate.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Flavoxate may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Flavoxate is combined with Potassium chloride.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BA02, procainamide, Flavoxate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Procyclidine is combined with Flavoxate.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Propantheline is combined with Flavoxate.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B01AC09, epoprostenol, Flavoxate may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Pseudoephedrine is combined with Flavoxate.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07XX07, dalfampridine, Flavoxate may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Flavoxate is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Flavoxate is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BA01, quinidine, Flavoxate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Ritodrine is combined with Flavoxate.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Flavoxate.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01GB08, sisomicin, Flavoxate may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Flavoxate may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Flavoxate.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Flavoxate is combined with Ipratropium.]
