[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[V08CA04, gadoteridol, Metformin may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Metformin.]
[J01MB06, cinoxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Metformin.]
[H01AC07, somapacitan, The therapeutic efficacy of Metformin can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The serum concentration of Metformin can be increased when it is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Metformin can be decreased when used in combination with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Metformin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Metformin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Metformin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Metformin is combined with Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Metformin can be decreased when used in combination with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Metformin.]
[B06AX04, mitapivat, The therapeutic efficacy of Metformin can be increased when used in combination with Mitapivat.]
[N01BB10, levobupivacaine, Metformin may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Metformin.]
[N03AE01, clonazepam, Metformin may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Metformin is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Metformin can be increased when used in combination with Clopamide.]
[N05AH02, clozapine, The therapeutic efficacy of Metformin can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Metformin is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Metformin is combined with Sotagliflozin.]
[J01GB12, arbekacin, Metformin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Metformin.]
[H01AC08, somatrogon, The therapeutic efficacy of Metformin can be decreased when used in combination with Somatrogon.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M04AC01, colchicine, Metformin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Metformin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A04AA03, tropisetron, Metformin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Mecasermin is combined with Metformin.]
[A10AE04, insulin glargine, The risk or severity of adverse effects can be increased when Insulin glargine is combined with Metformin.]
[R03BA08, ciclesonide, The therapeutic efficacy of Metformin can be decreased when used in combination with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J05AB14, valganciclovir, Metformin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Emtricitabine can be decreased when combined with Metformin.]
[C05BB03, invert sugar, Metformin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, The risk or severity of adverse effects can be increased when Iodixanol is combined with Metformin.]
[V08AB05, iopromide, The risk or severity of adverse effects can be increased when Iopromide is combined with Metformin.]
[V08AB07, ioversol, The risk or severity of adverse effects can be increased when Ioversol is combined with Metformin.]
[V08AB12, ioxilan, The risk or severity of adverse effects can be increased when Ioxilan is combined with Metformin.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Metformin which could result in a higher serum level.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Metformin.]
[N02CC05, almotriptan, Metformin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Metformin.]
[N05BA10, ketazolam, Metformin may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Metformin can be increased when it is combined with Imatinib.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Metformin.]
[N03AX09, lamotrigine, The serum concentration of Metformin can be increased when it is combined with Lamotrigine.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Metformin.]
[N07BC04, lofexidine, Metformin may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of lactic acidosis can be increased when Lisinopril is combined with Metformin.]
[A06AD01, magnesium carbonate, Metformin may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Metformin.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Metformin.]
[C07AA14, mepindolol, The therapeutic efficacy of Metformin can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Metformin can be decreased when used in combination with Meprednisone.]
[J01DH02, meropenem, Metformin may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Metformin.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Metformin may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Metformin can be decreased when used in combination with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Metformin.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Metformin.]
[C09AA13, moexipril, The risk or severity of lactic acidosis can be increased when Moexipril is combined with Metformin.]
[C10AA07, rosuvastatin, Metformin may increase the hypolipidaemic activities of Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01AX04, dacarbazine, Metformin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The therapeutic efficacy of Metformin can be decreased when used in combination with Danazol.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N07BB05, nalmefene, Metformin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The therapeutic efficacy of Metformin can be increased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Metformin may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Metformin.]
[C01DX16, nicorandil, Metformin may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Metformin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B01AX05, fondaparinux, Metformin may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Metformin.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Metformin.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Metformin.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Metformin.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Metformin.]
[V04CH02, indigo carmine, Metformin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Metformin.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S03BA01, dexamethasone, The therapeutic efficacy of Metformin can be decreased when used in combination with Dexamethasone.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Metformin.]
[B01AC04, clopidogrel, The serum concentration of Metformin can be increased when it is combined with Clopidogrel.]
[P03AC04, permethrin, Metformin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Metformin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, The therapeutic efficacy of Metformin can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Metformin.]
[R05DA08, pholcodine, Metformin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The risk or severity of lactic acidosis can be increased when Diclofenamide is combined with Metformin.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A03AA07, dicyclomine, Metformin may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Metformin can be increased when used in combination with Phthalylsulfathiazole.]
[J05AF02, didanosine, Metformin may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Metformin.]
[C03CA03, piretanide, The therapeutic efficacy of Metformin can be increased when used in combination with Piretanide.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Metformin.]
[D07XC04, diflucortolone, The therapeutic efficacy of Metformin can be decreased when used in combination with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Metformin.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Metformin.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L04AX04, lenalidomide, Metformin may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Atazanavir.]
[H03BC01, potassium perchlorate, Metformin may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Metformin may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Metformin.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Metformin.]
[V03AB09, dimercaprol, Metformin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Metformin may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[G02AD02, dinoprostone, The serum concentration of Metformin can be increased when it is combined with Dinoprostone.]
[R06AA02, diphenhydramine, The serum concentration of Metformin can be increased when it is combined with Diphenhydramine.]
[C09AA06, quinapril, The risk or severity of lactic acidosis can be increased when Quinapril is combined with Metformin.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Metformin.]
[C09AA05, ramipril, The risk or severity of lactic acidosis can be increased when Ramipril is combined with Metformin.]
[S01XA23, sirolimus, The therapeutic efficacy of Metformin can be decreased when used in combination with Sirolimus.]
[S01AX06, resorcinol, Metformin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Metformin.]
[S02AA12, rifamycin SV, The excretion of Metformin can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Metformin may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J01MB01, rosoxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sunitinib is combined with Metformin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Metformin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Metformin can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Metformin can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C01CA07, dobutamine, Metformin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Metformin.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Metformin.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Metformin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Metformin.]
[A08AA10, sibutramine, Metformin may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, Metformin may increase the hypolipidaemic activities of Simvastatin.]
[A12CA02, sodium sulfate, Metformin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of lactic acidosis can be increased when Spirapril is combined with Metformin.]
[R03DA01, dyphylline, Metformin may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Metformin can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Metformin can be increased when used in combination with Sumatriptan.]
[V04CX07, edrophonium, Metformin may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Metformin can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Metformin can be decreased when used in combination with Corticotropin.]
[J01MA05, temafloxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Temafloxacin.]
[L01AX03, temozolomide, Metformin may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Metformin.]
[C07AA16, tertatolol, The therapeutic efficacy of Metformin can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Metformin.]
[C09AA02, enalapril, The risk or severity of lactic acidosis can be increased when Enalapril is combined with Metformin.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Metformin.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Metformin.]
[C03CA04, torsemide, The therapeutic efficacy of Metformin can be decreased when used in combination with Torasemide.]
[C09AA10, trandolapril, The risk or severity of lactic acidosis can be increased when Trandolapril is combined with Metformin.]
[N05CC01, chloral hydrate, Metformin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Metformin.]
[L02AE04, triptorelin, The therapeutic efficacy of Metformin can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Metformin.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Metformin.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Metformin.]
[S01EA01, epinephrine, The therapeutic efficacy of Metformin can be decreased when used in combination with Epinephrine.]
[C09AA15, zofenopril, The risk or severity of lactic acidosis can be increased when Zofenopril is combined with Metformin.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of lactic acidosis can be increased when Zonisamide is combined with Metformin.]
[A10AB06, insulin glulisine, human, The risk or severity of adverse effects can be increased when Insulin glulisine is combined with Metformin.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C02AC02, guanfacine, Metformin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Metformin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Metformin may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Metformin which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Metformin can be decreased when used in combination with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Metformin which could result in a higher serum level.]
[R03BA05, fluticasone, The therapeutic efficacy of Metformin can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, Metformin may increase the hypolipidaemic activities of Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Metformin which could result in a higher serum level.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Metformin.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Metformin can be decreased when used in combination with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Metformin.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L04AD02, tacrolimus, The therapeutic efficacy of Metformin can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Metformin can be increased when used in combination with Fleroxacin.]
[P01AX07, trimetrexate, Metformin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Metformin can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Metformin.]
[L02AE02, leuprolide, The therapeutic efficacy of Metformin can be decreased when used in combination with Leuprolide.]
[C10AA03, pravastatin, Metformin may increase the hypolipidaemic activities of Pravastatin.]
[M01CB01, gold sodium thiomalate, Metformin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Metformin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Metformin may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The serum concentration of Metformin can be increased when it is combined with Famotidine.]
[A16AA01, levocarnitine, Metformin may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Metformin.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Metformin.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N02AB03, fentanyl, Metformin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Metformin may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Metformin may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Metformin which could result in a higher serum level.]
[G04BD02, flavoxate, Metformin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The excretion of Flecainide can be decreased when combined with Metformin.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Metformin is combined with Fluconazole.]
[J02AX01, flucytosine, Metformin may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Metformin can be decreased when used in combination with Fludrocortisone.]
[V03AB25, flumazenil, Metformin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Metformin.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Metformin.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Metformin.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Metformin.]
[H02AB03, fluocortolone, The therapeutic efficacy of Metformin can be decreased when used in combination with Fluocortolone.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S01CB05, fluorometholone, The therapeutic efficacy of Metformin can be decreased when used in combination with Fluorometholone.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Metformin.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Metformin.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Metformin.]
[N05CD01, flurazepam, The serum concentration of Metformin can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Metformin.]
[L02BB01, flutamide, Metformin may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Metformin which could result in a higher serum level.]
[S02AA17, fosfomycin, Metformin may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Metformin which could result in a higher serum level.]
[L01BC03, tegafur, Metformin may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Metformin.]
[J05AE10, darunavir, The therapeutic efficacy of Metformin can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Metformin can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, Metformin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Metformin.]
[S01AD09, ganciclovir, The excretion of Ganciclovir can be decreased when combined with Metformin.]
[C10AB04, gemfibrozil, Metformin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Metformin may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Liraglutide is combined with Metformin.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Metformin.]
[N05CM18, dexmedetomidine, Metformin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Metformin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Metformin can be decreased when used in combination with Thyrotropin alfa.]
[L01EX02, sorafenib, Metformin may decrease the excretion rate of Sorafenib which could result in a higher serum level.]
[M01CB04, aurothioglucose, Metformin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Metformin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, The risk or severity of lactic acidosis can be increased when Fosinopril is combined with Metformin.]
[S01EX01, guanethidine, Metformin may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The therapeutic efficacy of Metformin can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Metformin.]
[N05AD01, haloperidol, The therapeutic efficacy of Metformin can be decreased when used in combination with Haloperidol.]
[L02AE05, histrelin, The therapeutic efficacy of Metformin can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Metformin can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Metformin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of adverse effects can be increased when Insulin aspart is combined with Metformin.]
[M04AA01, allopurinol, Metformin may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[G03DC01, allylestrenol, Metformin may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Metformin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Metformin.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Metformin.]
[C09AA04, perindopril, The risk or severity of lactic acidosis can be increased when Perindopril is combined with Metformin.]
