[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[S03AA07, ciprofloxacin, Tenofovir disoproxil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XA01, cisplatin, Cisplatin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The excretion of Tenofovir disoproxil can be decreased when combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Tenofovir disoproxil may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Tenofovir disoproxil may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Tenofovir disoproxil.]
[V09AX06, florbetaben f-18, Tenofovir disoproxil may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L01EA06, asciminib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, Tenofovir disoproxil may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Tenofovir disoproxil.]
[N06AA04, clomipramine, Tenofovir disoproxil may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Tenofovir disoproxil may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Tenofovir disoproxil may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Tenofovir disoproxil may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Tenofovir disoproxil.]
[A10BK06, sotagliflozin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Arbekacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AX13, proquazone, Proquazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[R05DA04, codeine, The excretion of Tenofovir disoproxil can be decreased when combined with Codeine.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Tenofovir disoproxil.]
[J01XB01, colistin, Colistin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DE02, cefpirome, Cefpirome may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A04AA03, tropisetron, Tenofovir disoproxil may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Tenofovir disoproxil may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[B01AC10, indobufen, Indobufen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J05AB14, valganciclovir, Tenofovir disoproxil may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Tenofovir disoproxil may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Tenofovir disoproxil may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Tenofovir disoproxil may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Tenofovir disoproxil may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Tenofovir disoproxil may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N02CC05, almotriptan, Tenofovir disoproxil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J02AC02, itraconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05BA10, ketazolam, Tenofovir disoproxil may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J02AC04, posaconazole, The serum concentration of Posaconazole can be increased when it is combined with Tenofovir disoproxil.]
[A02BC05, esomeprazole, The excretion of Tenofovir disoproxil can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, Tenofovir disoproxil may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, Tenofovir disoproxil may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M02AA31, loxoprofen, Loxoprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC08, loracarbef, Loracarbef may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C09AA03, lisinopril, Tenofovir disoproxil may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Tenofovir disoproxil may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Tenofovir disoproxil may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Tenofovir disoproxil may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA08, fluocinolone acetonide, Tenofovir disoproxil may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01XA18, cyclosporine, Cyclosporine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C10AA07, rosuvastatin, The excretion of Tenofovir disoproxil can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AX22, morniflumate, Morniflumate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03XA02, conivaptan, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, Etoricoxib may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01AX04, dacarbazine, Tenofovir disoproxil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Tenofovir disoproxil.]
[M01AX01, nabumetone, Nabumetone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N07BB05, nalmefene, Tenofovir disoproxil may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Tenofovir disoproxil may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Tenofovir disoproxil may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Tenofovir disoproxil may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Tenofovir disoproxil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B01AX05, fondaparinux, Tenofovir disoproxil may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AA01, desipramine, Tenofovir disoproxil may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Tenofovir disoproxil may decrease the excretion rate of Desmopressin which could result in a higher serum level.]
[J01DH03, ertapenem, Tenofovir disoproxil may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AF02, oxcarbazepine, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Oxcarbazepine.]
[N06BA02, dextroamphetamine, Tenofovir disoproxil may decrease the excretion rate of Amphetamine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Tenofovir disoproxil may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Tenofovir disoproxil may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Tenofovir disoproxil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Tenofovir disoproxil may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Tenofovir disoproxil is combined with Foscarnet.]
[A03AA07, dicyclomine, Tenofovir disoproxil may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, The serum concentration of Didanosine can be increased when it is combined with Tenofovir disoproxil.]
[L01DC04, ixabepilone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ixabepilone.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Tenofovir disoproxil may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, Tenofovir disoproxil may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Tenofovir disoproxil.]
[C01AA05, digoxin, Tenofovir disoproxil may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Tenofovir disoproxil may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Tenofovir disoproxil may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Atazanavir can be decreased when it is combined with Tenofovir disoproxil.]
[H03BC01, potassium perchlorate, Tenofovir disoproxil may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Tenofovir disoproxil may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[V03AB09, dimercaprol, Tenofovir disoproxil may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Tenofovir disoproxil may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AB14, proglumetacin, Proglumetacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[G02AD02, dinoprostone, The excretion of Tenofovir disoproxil can be decreased when combined with Dinoprostone.]
[C05CA03, diosmin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Diosmin.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Tenofovir disoproxil.]
[S01AX06, resorcinol, Tenofovir disoproxil may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Tenofovir disoproxil may decrease the excretion rate of Disopyramide which could result in a higher serum level.]
[S02AA12, rifamycin SV, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Rifamycin.]
[R06AE09, levocetirizine, Tenofovir disoproxil may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Tenofovir disoproxil may decrease the excretion rate of Ropivacaine which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Tenofovir disoproxil.]
[G04BE08, tadalafil, Tenofovir disoproxil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Tenofovir disoproxil.]
[C01EB18, ranolazine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[H05BA01, salmon calcitonin, Tenofovir disoproxil may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.]
[C01CA07, dobutamine, Tenofovir disoproxil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Tenofovir disoproxil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, Tenofovir disoproxil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, Tenofovir disoproxil may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[A08AA10, sibutramine, Tenofovir disoproxil may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Simvastatin.]
[A12CA02, sodium sulfate, Tenofovir disoproxil may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Tenofovir disoproxil may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Tenofovir disoproxil may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Tenofovir disoproxil may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Tenofovir disoproxil.]
[J01CG02, tazobactam, The excretion of Tenofovir disoproxil can be decreased when combined with Tazobactam.]
[L01AX03, temozolomide, Tenofovir disoproxil may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C09AA02, enalapril, The excretion of Tenofovir disoproxil can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AG03, toloxatone, Tenofovir disoproxil may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Tenofovir disoproxil may decrease the excretion rate of Atomoxetine which could result in a higher serum level.]
[N03AX11, topiramate, Tenofovir disoproxil may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[L02BA02, toremifene, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX16, venlafaxine, Tenofovir disoproxil may decrease the excretion rate of Venlafaxine which could result in a higher serum level.]
[M01AB04, zomepirac, Zomepirac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AX15, zonisamide, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Zonisamide.]
[L01XA02, carboplatin, Carboplatin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C02AC02, guanfacine, Tenofovir disoproxil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Tenofovir disoproxil may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Tenofovir disoproxil may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The excretion of Tenofovir disoproxil can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, Tenofovir disoproxil may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tenofovir disoproxil can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Tenofovir disoproxil may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[V08CA03, gadodiamide, Tenofovir disoproxil may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01BD05, ibutilide, Tenofovir disoproxil may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N01AX07, etomidate, Tenofovir disoproxil may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Tenofovir disoproxil.]
[L04AD02, tacrolimus, Tacrolimus may increase the nephrotoxic activities of Tenofovir disoproxil.]
[P01AX07, trimetrexate, Tenofovir disoproxil may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Tenofovir disoproxil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Tenofovir disoproxil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L02AE02, leuprolide, Tenofovir disoproxil may decrease the excretion rate of Leuprolide which could result in a higher serum level.]
[C10AA03, pravastatin, The excretion of Tenofovir disoproxil can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Tenofovir disoproxil may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Tenofovir disoproxil may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Tenofovir disoproxil may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Tenofovir disoproxil can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Tenofovir disoproxil may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N02AB03, fentanyl, Tenofovir disoproxil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Tenofovir disoproxil may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Tenofovir disoproxil may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Tenofovir disoproxil may decrease the excretion rate of Cevimeline which could result in a higher serum level.]
[G04BD02, flavoxate, Tenofovir disoproxil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J02AC01, fluconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Tenofovir disoproxil may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Tenofovir disoproxil may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[L01BC09, floxuridine, Tenofovir disoproxil may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[N05CD01, flurazepam, Tenofovir disoproxil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L02BB01, flutamide, Tenofovir disoproxil may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Tenofovir disoproxil may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[S02AA17, fosfomycin, Tenofovir disoproxil may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01BC03, tegafur, Tenofovir disoproxil may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[J05AE10, darunavir, The serum concentration of Darunavir can be increased when it is combined with Tenofovir disoproxil.]
[C03CA01, furosemide, Furosemide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CF04, eszopiclone, Tenofovir disoproxil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01AD09, ganciclovir, The excretion of Tenofovir disoproxil can be decreased when combined with Ganciclovir.]
[C10AB04, gemfibrozil, The excretion of Tenofovir disoproxil can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Tenofovir disoproxil may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Tenofovir disoproxil.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Tenofovir disoproxil.]
[L01EH01, lapatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The excretion of Tenofovir disoproxil can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Tenofovir disoproxil may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Tenofovir disoproxil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sorafenib.]
[M01CB04, aurothioglucose, Tenofovir disoproxil may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Tenofovir disoproxil may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Tenofovir disoproxil may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Tenofovir disoproxil may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Tenofovir disoproxil may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, Tenofovir disoproxil may decrease the excretion rate of Haloperidol which could result in a higher serum level.]
[N05AH04, quetiapine, Tenofovir disoproxil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Tenofovir disoproxil may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Tenofovir disoproxil may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The excretion of Tenofovir disoproxil can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Tenofovir disoproxil may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Tenofovir disoproxil.]
[C01CE02, milrinone, Tenofovir disoproxil may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C09AA04, perindopril, Tenofovir disoproxil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Tenofovir disoproxil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Tenofovir disoproxil may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Tenofovir disoproxil may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, Tenofovir disoproxil may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Tenofovir disoproxil may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[B05XA08, sodium acetate, Tenofovir disoproxil may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Tenofovir disoproxil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Tenofovir disoproxil.]
[R01AD07, tixocortol, Tenofovir disoproxil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Tenofovir disoproxil.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A11HA07, inositol, Tenofovir disoproxil may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Tenofovir disoproxil may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Tenofovir disoproxil may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be increased when it is combined with Tenofovir disoproxil.]
[N05BA12, alprazolam, Tenofovir disoproxil may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Tenofovir disoproxil may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Tenofovir disoproxil may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[G04BE01, alprostadil, The excretion of Tenofovir disoproxil can be decreased when combined with Alprostadil.]
[J04AC01, isoniazid, Tenofovir disoproxil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Tenofovir disoproxil may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Tenofovir disoproxil may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Kanamycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N01AX03, ketamine, Tenofovir disoproxil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Tenofovir disoproxil may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01MB02, nalidixic acid, The excretion of Tenofovir disoproxil can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C07AG01, labetalol, Tenofovir disoproxil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Tenofovir disoproxil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Tenofovir disoproxil may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
