[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Everolimus.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Obinutuzumab.]
[V04CC03, sincalide, The excretion of Sincalide can be decreased when combined with Everolimus.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Everolimus.]
[H01CB01, somatostatin, The metabolism of Everolimus can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Everolimus.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Everolimus.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Everolimus.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Everolimus.]
[N03AG01, valproic acid, The metabolism of Everolimus can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Everolimus can be increased when combined with Hydrocortisone butyrate.]
