[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Tixocortol.]
[J04AB30, capreomycin, Tixocortol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The serum concentration of Tixocortol can be increased when it is combined with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Tixocortol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Pefloxacin.]
[G04BD11, fesoterodine, Fesoterodine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Tixocortol.]
[J01CE09, penicillin G procaine, Tixocortol may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Tixocortol.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Tixocortol.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Tixocortol.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Tixocortol.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BA01, phenformin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Phenformin.]
[B01AA02, phenindione, Tixocortol may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Tixocortol may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Tixocortol is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Tixocortol can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Tixocortol.]
[S01AE05, levofloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Physostigmine can be decreased when used in combination with Tixocortol.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06BX03, piracetam, Tixocortol may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Grepafloxacin.]
[A10BG02, rosiglitazone, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Rosiglitazone.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Tixocortol.]
[C03AA05, polythiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Polythiazide.]
[A10BH03, saxagliptin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin lispro.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Tixocortol.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Tixocortol.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C01BA02, procainamide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Tixocortol.]
[S01HA05, procaine, The therapeutic efficacy of Procaine can be decreased when used in combination with Tixocortol.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Tixocortol.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03DA04, progesterone, The serum concentration of Tixocortol can be increased when it is combined with Progesterone.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Tixocortol.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[P02CC01, pyrantel, The risk or severity of myopathy and weakness can be increased when Pyrantel is combined with Tixocortol.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Tixocortol.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Tixocortol.]
[C01BA01, quinidine, Tixocortol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Quinine.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Tixocortol.]
[J01GB08, sisomicin, Tixocortol may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Tixocortol may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Tixocortol.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Tixocortol.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Tixocortol.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
