[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Frovatriptan.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Frovatriptan.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Frovatriptan.]
[C07AA05, propranolol, The metabolism of Frovatriptan can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Frovatriptan.]
[B01AC09, epoprostenol, Frovatriptan may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Frovatriptan.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Frovatriptan.]
[N05AX12, aripiprazole, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Frovatriptan.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Frovatriptan can be decreased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Frovatriptan.]
[A02BA02, ranitidine, The metabolism of Frovatriptan can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Frovatriptan may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Frovatriptan can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Frovatriptan.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Frovatriptan is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Frovatriptan.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Frovatriptan.]
[S01FA02, scopolamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Frovatriptan.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Selegiline.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Frovatriptan.]
[R03BB01, ipratropium bromide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
