[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Perindopril.]
[C02CA06, urapidil, Urapidil may decrease the antihypertensive activities of Perindopril.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Perindopril.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Perindopril.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Perindopril.]
[C08CA12, mepirodipine, Perindopril may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Perindopril.]
[C09AA15, zofenopril, The risk or severity of angioedema can be increased when Perindopril is combined with Zofenopril.]
[M01AB04, zomepirac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Zomepirac is combined with Perindopril.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin glulisine.]
[B01AD03, anistreplase, The risk or severity of angioedema can be increased when Anistreplase is combined with Perindopril.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Perindopril.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Perindopril.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Perindopril.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Perindopril.]
[N02CA02, ergotamine, Ergotamine may decrease the antihypertensive activities of Perindopril.]
[L03AX05, pidotimod, Perindopril may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Perindopril may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Perindopril.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Perindopril.]
[V03AF05, amifostine, Perindopril may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Ethosuximide is combined with Perindopril.]
[M01AC06, meloxicam, The therapeutic efficacy of Perindopril can be decreased when used in combination with Meloxicam.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Perindopril.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Perindopril.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Tacrolimus.]
[P01AX07, trimetrexate, Perindopril may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Perindopril may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The risk or severity of hypotension, nitritoid reactions, facial flushing, nausea, and vomiting can be increased when Perindopril is combined with Sodium aurothiomalate.]
[B05AA05, dextran, Perindopril may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C08CA02, felodipine, Perindopril may increase the hypotensive activities of Felodipine.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Fendiline.]
[M01AE04, fenoprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Fenoprofen is combined with Perindopril.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Perindopril.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Perindopril.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Perindopril.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Perindopril.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G04BD02, flavoxate, Perindopril may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Floctafenine is combined with Perindopril.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Perindopril.]
[J02AX01, flucytosine, Perindopril may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Perindopril may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Flunarizine.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Perindopril.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Perindopril.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AF01, flupenthixol, Flupentixol may decrease the antihypertensive activities of Perindopril.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Flurbiprofen is combined with Perindopril.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S02AA17, fosfomycin, Perindopril may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L01BC03, tegafur, Perindopril may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Perindopril.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Perindopril.]
[C03CA01, furosemide, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Perindopril.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Gallopamil.]
[S01AD09, ganciclovir, Perindopril may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Perindopril.]
[C10AB04, gemfibrozil, Perindopril may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Perindopril may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Perindopril.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Perindopril.]
[A10BB07, glipizide, Perindopril may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Perindopril.]
[C05AE01, nitroglycerin, Nitroglycerin may increase the hypotensive activities of Perindopril.]
[C02CA04, doxazosin, Doxazosin may increase the hypotensive activities of Perindopril.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Perindopril.]
[M01CB04, aurothioglucose, Perindopril may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Perindopril may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, The risk or severity of angioedema can be increased when Fosinopril is combined with Perindopril.]
[S01EX01, guanethidine, Perindopril may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Perindopril.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Perindopril.]
[N06BX13, idebenone, Perindopril may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Perindopril is combined with Insulin aspart.]
[M04AA01, allopurinol, The risk of a hypersensitivity reaction to Allopurinol is increased when it is combined with Perindopril.]
[C09CA01, losartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Heparin.]
[G03DC01, allylestrenol, Perindopril may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Mesalazine is combined with Perindopril.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Perindopril.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Perindopril.]
[C08CA10, nilvadipine, Perindopril may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Nimesulide is combined with Perindopril.]
[M01AG01, mefenamic acid, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Mefenamic acid is combined with Perindopril.]
[C01DA05, pentaerythritol tetranitrate, Perindopril may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C02DB02, hydralazine, Perindopril may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Hydrochlorothiazide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, The risk or severity of hyperkalemia can be increased when Potassium acetate is combined with Perindopril.]
[S01XA07, aluminum potassium sulfate, The risk or severity of hyperkalemia can be increased when Potassium alum is combined with Perindopril.]
[A12BA02, potassium citrate, The risk or severity of hyperkalemia can be increased when Potassium citrate is combined with Perindopril.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[G04BD06, propiverine, Propiverine may decrease the antihypertensive activities of Perindopril.]
[B05AA07, hetastarch, Perindopril may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Perindopril.]
[R02AX02, ibuprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Ibuprofen is combined with Perindopril.]
[B05XA08, sodium acetate, Perindopril may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Perindopril may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Perindopril.]
[N06AA02, imipramine, Imipramine may decrease the antihypertensive activities of Perindopril.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Perindopril is combined with Paclitaxel.]
[R01AD07, tixocortol, Perindopril may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of hypotension can be increased when Tizanidine is combined with Perindopril.]
[L01CE01, topotecan, Perindopril may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[S01BC01, indomethacin, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Indomethacin is combined with Perindopril.]
[C02CA02, indoramin, Indoramin may decrease the antihypertensive activities of Perindopril.]
[A11HA07, inositol, Perindopril may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Perindopril may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Perindopril may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The risk or severity of angioedema can be increased when Sitagliptin is combined with Perindopril.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05CH02, ramelteon, Perindopril may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, The risk or severity of angioedema can be increased when Vildagliptin is combined with Perindopril.]
[C07AA01, alprenolol, Perindopril may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, The risk or severity of hypotension can be increased when Quinethazone is combined with Perindopril.]
[V03AB01, ipecac, Perindopril may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Perindopril.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Perindopril.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Perindopril.]
[S01EC03, dorzolamide, Perindopril may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Perindopril.]
[C09AA16, imidapril, The risk or severity of angioedema can be increased when Perindopril is combined with Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Perindopril.]
[J04AC01, isoniazid, Perindopril may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Perindopril may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Perindopril.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Perindopril is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Perindopril may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Perindopril.]
[S01AA24, kanamycin, Perindopril may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Perindopril may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Perindopril may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Perindopril may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Perindopril.]
[M02AA10, ketoprofen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Ketoprofen is combined with Perindopril.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Perindopril.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Perindopril.]
[C07AG01, labetalol, Labetalol may increase the hypotensive activities of Perindopril.]
[N04BB01, amantadine, Perindopril may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Perindopril may increase the hypotensive activities of Deserpidine.]
[A06AX03, lubiprostone, Perindopril may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Perindopril is combined with Levodopa.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Lidoflazine.]
[S01AA21, amikacin, Perindopril may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Perindopril.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Perindopril.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Perindopril.]
[A07DA03, loperamide, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L01EG01, temsirolimus, The risk or severity of angioedema can be increased when Perindopril is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Perindopril may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Perindopril may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Magnesium sulfate is combined with Perindopril.]
[L01BA05, pralatrexate, Perindopril may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Perindopril may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may increase the hypotensive activities of Perindopril.]
[M02AA18, meclofenamic acid, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Meclofenamic acid is combined with Perindopril.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Dalteparin.]
[N06DX01, memantine, Perindopril may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Perindopril.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Perindopril.]
[N01BB03, mepivacaine, Perindopril may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Perindopril may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Paliperidone may decrease the antihypertensive activities of Perindopril.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Perindopril.]
[A10BA02, metformin, The risk or severity of lactic acidosis can be increased when Perindopril is combined with Metformin.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the antihypertensive activities of Perindopril.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Perindopril.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L01BA04, pemetrexed, Perindopril may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Perindopril.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Methotrimeprazine may decrease the antihypertensive activities of Perindopril.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Perindopril.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Perindopril.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Perindopril may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Perindopril.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Perindopril.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Perindopril.]
[G03EK01, methyltestosterone, Perindopril may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Perindopril.]
[A03FA01, metoclopramide, Perindopril may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The risk or severity of hypotension can be increased when Metolazone is combined with Perindopril.]
[C07AB02, metoprolol, Metoprolol may increase the hypotensive activities of Perindopril.]
[V04CD01, metyrapone, Perindopril may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Perindopril.]
[N02BB03, aminopyrine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Aminophenazone is combined with Perindopril.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Parnaparin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Perindopril.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C09CA03, valsartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Valsartan.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Perindopril.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Perindopril.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Perindopril.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Perindopril.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Perindopril is combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the antihypertensive activities of Perindopril.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Perindopril.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Perindopril may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Ammonium chloride.]
[L04AA06, mycophenolic acid, Perindopril may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Perindopril.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Perindopril is combined with Silodosin.]
[N06AA17, amoxapine, Amoxapine may decrease the antihypertensive activities of Perindopril.]
[C07AA12, nadolol, Perindopril may increase the hypotensive activities of Nadolol.]
[J01CA04, amoxicillin, Perindopril may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Perindopril.]
[V03AB15, naloxone, Perindopril may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Perindopril.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Perindopril.]
[M02AA12, naproxen, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Naproxen is combined with Perindopril.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Perindopril is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Perindopril.]
[S03AA01, neomycin, Perindopril may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Perindopril.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Perindopril is combined with Levosimendan.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AX14, iloperidone, Iloperidone may decrease the antihypertensive activities of Perindopril.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Perindopril.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[L03AX16, plerixafor, Perindopril may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Perindopril may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Perindopril may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C01CE01, inamrinone, Perindopril may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Perindopril.]
[C08CA04, nicardipine, Nicardipine may increase the hypotensive activities of Perindopril.]
[C04AE02, nicergoline, Nicergoline may decrease the antihypertensive activities of Perindopril.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Perindopril is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Niflumic acid is combined with Perindopril.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Perindopril is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the hypotensive activities of Perindopril.]
[C08CA07, nisoldipine, Nisoldipine may increase the hypotensive activities of Perindopril.]
[C08CA08, nitrendipine, Perindopril may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Perindopril.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Perindopril.]
[N05CF03, zaleplon, Perindopril may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Perindopril.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Perindopril.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Perindopril.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Perindopril.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Perindopril.]
[N06AA10, nortriptyline, Nortriptyline may decrease the antihypertensive activities of Perindopril.]
[G02CA02, nylidrin, Nylidrin may decrease the antihypertensive activities of Perindopril.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Reviparin.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Perindopril.]
[N02AA02, opium, Perindopril may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Perindopril.]
[B01AD07, reteplase, The risk or severity of angioedema can be increased when Reteplase is combined with Perindopril.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Perindopril.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05BA04, oxazepam, Perindopril may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Perindopril may increase the hypotensive activities of Oxprenolol.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Perindopril.]
