[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Clobazam is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Clobazam can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Clobazam may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Clobazam.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Clobazam.]
[C01CA21, cafedrine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Cafedrine.]
[J05AG04, etravirine, The metabolism of Clobazam can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Clobazam is combined with Methsuximide.]
[G03XA02, gestrinone, The serum concentration of Gestrinone can be decreased when it is combined with Clobazam.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Clobazam.]
[L01EH01, lapatinib, The serum concentration of Clobazam can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Clobazam.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Clobazam.]
[A10BB07, glipizide, Clobazam may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Clobazam is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Clobazam is combined with Glutethimide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Clobazam.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Clobazam.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Clobazam.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Clobazam.]
[M01CB04, aurothioglucose, Clobazam may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Clobazam may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Clobazam may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Clobazam may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[P01BX01, halofantrine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Clobazam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Clobazam is combined with Halothane.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Clobazam.]
[N06BX13, idebenone, Clobazam may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Clobazam is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Clobazam.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Allobarbital.]
[M04AA01, allopurinol, Clobazam may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Clobazam can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Clobazam.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Clobazam.]
[C08CA10, nilvadipine, The metabolism of Clobazam can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C09AA04, perindopril, Clobazam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Clobazam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Clobazam can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Clobazam may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[G04BD06, propiverine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Clobazam is combined with Prothipendyl.]
[B05AA07, hetastarch, Clobazam may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[J04AB04, rifabutin, The metabolism of Clobazam can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[B05XA08, sodium acetate, Clobazam may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Clobazam.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Clobazam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clobazam.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Clobazam.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Clobazam.]
[R01AD07, tixocortol, Clobazam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Clobazam is combined with Tizanidine.]
[L01CE01, topotecan, Clobazam may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A11HA07, inositol, Clobazam may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Clobazam.]
[A03AA30, piperidolate, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Clobazam may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be increased when it is combined with Clobazam.]
[V08AB02, iohexol, The therapeutic efficacy of Clobazam can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Clobazam is combined with Ramelteon.]
[R06AE01, buclizine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Clobazam can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Clobazam.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Clobazam.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Clobazam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Clobazam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Clobazam is combined with Isocarboxazid.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Clobazam is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Clobazam is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Clobazam can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Clobazam may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Clobazam may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Clobazam may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Clobazam.]
[S01AA24, kanamycin, Clobazam may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Clobazam can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Clobazam is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Clobazam.]
[H02CA04, levoketoconazole, The metabolism of Clobazam can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Clobazam can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Clobazam.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Clobazam can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Clobazam may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Clobazam can be decreased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Clobazam can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Clobazam.]
[N04BB01, amantadine, Clobazam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Clobazam may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The serum concentration of Levonorgestrel can be decreased when it is combined with Clobazam.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Clobazam is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Clobazam.]
[S01AA21, amikacin, Clobazam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Clobazam can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Clobazam.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Clobazam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Clobazam is combined with Lofepramine.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Clobazam.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Clobazam.]
[C10AA02, lovastatin, The metabolism of Clobazam can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Clobazam is combined with Loxapine.]
[G03DC03, lynestrenol, The serum concentration of Lynestrenol can be decreased when it is combined with Clobazam.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Clobazam.]
[B05XA11, magnesium chloride, Clobazam may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Clobazam may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Clobazam can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Clobazam may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Clobazam can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Clobazam.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Clobazam is combined with Mazindol.]
[C02BB01, mecamylamine, Clobazam may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Clobazam.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Clobazam is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Clobazam can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Clobazam.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Clobazam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Clobazam is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Clobazam.]
[G04BX16, tiopronin, Clobazam may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Clobazam.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Clobazam.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Clobazam.]
[N07BC02, methadone, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Clobazam.]
[A03AB07, methantheline, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Clobazam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Clobazam is combined with Methaqualone.]
[J05AF05, lamivudine, Clobazam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Metharbital.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Clobazam is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Clobazam can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Clobazam may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Clobazam is combined with Methocarbamol.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Clobazam is combined with Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Clobazam is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Clobazam.]
[N05AA02, methotrimeprazine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Clobazam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Clobazam.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Clobazam may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Clobazam.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Clobazam.]
[N06BA04, methylphenidate, The therapeutic efficacy of Clobazam can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Clobazam.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Clobazam.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Clobazam is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Clobazam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Clobazam.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Clobazam.]
[P01AB01, metronidazole, The therapeutic efficacy of Clobazam can be decreased when used in combination with Metronidazole.]
[V04CD01, metyrapone, Clobazam may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Clobazam.]
[N06AX03, mianserin, The therapeutic efficacy of Clobazam can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Clobazam can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Clobazam.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Mifepristone can be decreased when it is combined with Clobazam.]
[J05AH01, zanamivir, Clobazam may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[L01XX23, mitotane, The metabolism of Clobazam can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Clobazam.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Clobazam is combined with Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Clobazam can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Clobazam.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Clobazam.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Clobazam.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Clobazam can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Clobazam may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Clobazam.]
[L04AA06, mycophenolic acid, Clobazam may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Clobazam is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Amobarbital.]
[G04CA04, silodosin, The serum concentration of Silodosin can be increased when it is combined with Clobazam.]
[G03XC01, raloxifene, The metabolism of Clobazam can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Clobazam.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Clobazam.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Clobazam.]
[J01CA04, amoxicillin, Clobazam may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Clobazam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Clobazam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Clobazam.]
[V03AB15, naloxone, The metabolism of Clobazam can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Clobazam.]
[L04AC03, anakinra, The metabolism of Clobazam can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Clobazam.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Clobazam.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Clobazam can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Clobazam.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Clobazam.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Clobazam.]
[L02BG04, letrozole, The metabolism of Clobazam can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Clobazam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Clobazam.]
[B01AC17, tirofiban, Clobazam may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Clobazam.]
[J02AA01, amphotericin B, The therapeutic efficacy of Clobazam can be decreased when used in combination with Amphotericin B.]
[S01AA19, ampicillin, Clobazam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Clobazam may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Clobazam may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Clobazam is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Clobazam can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C01CE01, inamrinone, Clobazam may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Nialamide.]
[C08CA04, nicardipine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Clobazam.]
[N07BA01, nicotine, The metabolism of Clobazam can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Clobazam.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C08CA07, nisoldipine, Clobazam may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Nitrazepam.]
[R07AX01, nitric oxide, Clobazam may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Clobazam may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Clobazam is combined with Zaleplon.]
[N04BC05, pramipexole, Clobazam may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Clobazam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Clobazam is combined with Nomifensine.]
[G03DC02, norethindrone, The serum concentration of Norethisterone can be decreased when it is combined with Clobazam.]
[G03AC07, norgestrienone, The serum concentration of Norgestrienone can be decreased when it is combined with Clobazam.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Clobazam.]
[A16AX07, sapropterin, The serum concentration of Clobazam can be increased when it is combined with Sapropterin.]
[L04AC04, rilonacept, The metabolism of Clobazam can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Clobazam can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Clobazam is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Clobazam.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Clobazam.]
[J01CF04, oxacillin, Clobazam may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxazepam.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Clobazam.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Clobazam.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Clobazam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A03AB03, oxyphenonium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Clobazam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[M03AC01, pancuronium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Clobazam may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The serum concentration of Chlormadinone can be decreased when it is combined with Clobazam.]
[N05CC05, paraldehyde, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Clobazam is combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Clobazam.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Clobazam.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Clobazam is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Clobazam may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Clobazam.]
[N05CA01, pentobarbital, The metabolism of Clobazam can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Clobazam may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Clobazam is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Clobazam.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Clobazam.]
