[S02DA03, antipyrine, The protein binding of Chlorpropamide can be decreased when combined with Antipyrine.]
[N03AB04, mephenytoin, The metabolism of Chlorpropamide can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, Chlorpropamide may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Chlorpropamide may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Mesoridazine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Chlorpropamide.]
[N05AX13, paliperidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Paliperidone.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Metformin.]
[H01CB03, lanreotide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Lanreotide.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06BA03, methamphetamine, Chlorpropamide may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Chlorpropamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Methazolamide.]
[J01XX05, methenamine, Methenamine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[H03BB02, methimazole, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Methimazole.]
[L01BA04, pemetrexed, Chlorpropamide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Chlorpropamide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Chlorpropamide.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Chlorpropamide may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Chlorpropamide.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Chlorpropamide.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Chlorpropamide.]
[A03FA01, metoclopramide, Chlorpropamide may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Chlorpropamide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Chlorpropamide may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[S02AA13, miconazole, The serum concentration of Chlorpropamide can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The protein binding of Chlorpropamide can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, Chlorpropamide may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Chlorpropamide can be decreased when combined with Valsartan.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Chlorpropamide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Chlorpropamide.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Chlorpropamide can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Chlorpropamide may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[P01BA06, amodiaquine, The metabolism of Chlorpropamide can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Chlorpropamide.]
[N03AB05, fosphenytoin, Fosphenytoin may decrease the hypoglycemic activities of Chlorpropamide.]
[C07AA12, nadolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Chlorpropamide may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Chlorpropamide may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Chlorpropamide can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Chlorpropamide.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M02AA12, naproxen, The protein binding of Chlorpropamide can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Chlorpropamide.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S03AA01, neomycin, Chlorpropamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Repaglinide.]
[B01AC17, tirofiban, Chlorpropamide may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L03AX16, plerixafor, Chlorpropamide may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Chlorpropamide may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Chlorpropamide.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C01CE01, inamrinone, Chlorpropamide may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Chlorpropamide.]
[C08CA04, nicardipine, The metabolism of Chlorpropamide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Chlorpropamide.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Chlorpropamide.]
[M02AA17, niflumic acid, The protein binding of Chlorpropamide can be decreased when combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Chlorpropamide.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Chlorpropamide.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Chlorpropamide.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Chlorpropamide may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Chlorpropamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Norgestrienone.]
[C02KX01, bosentan, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Chlorpropamide.]
[R05DA07, noscapine, The metabolism of Chlorpropamide can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Chlorpropamide.]
[H01CB02, octreotide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Chlorpropamide can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Chlorpropamide can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Chlorpropamide.]
[N02AA02, opium, Chlorpropamide may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Chlorpropamide may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Chlorpropamide can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Chlorpropamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Chlorpropamide.]
[S01BC02, oxyphenbutazone, The protein binding of Chlorpropamide can be decreased when combined with Oxyphenbutazone.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Chlorpropamide.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Chlorpropamide.]
[N05AH05, asenapine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Asenapine.]
[J04AB30, capreomycin, Chlorpropamide may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Chlorpropamide.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Chlorpropamide.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01MA03, pefloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pefloxacin.]
[G04BD11, fesoterodine, Chlorpropamide may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Chlorpropamide.]
[J01CE09, penicillin G procaine, Chlorpropamide may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01XX08, pentostatin, Chlorpropamide may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Chlorpropamide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Perazine.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Chlorpropamide.]
[N05AB03, perphenazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Chlorpropamide.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Chlorpropamide.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Phenformin.]
[B01AA02, phenindione, Chlorpropamide may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Chlorpropamide.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Chlorpropamide may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The protein binding of Chlorpropamide can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, Phenytoin may decrease the hypoglycemic activities of Chlorpropamide.]
[L04AB06, golimumab, The metabolism of Chlorpropamide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Levofloxacin.]
[B02BA01, vitamin K1, Chlorpropamide may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Chlorpropamide.]
[C07AA03, pindolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J05AE01, saquinavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Pipotiazine.]
[N06BX03, piracetam, Chlorpropamide may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The protein binding of Chlorpropamide can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Chlorpropamide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Chlorpropamide.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Chlorpropamide.]
[L04AC08, canakinumab, The metabolism of Chlorpropamide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may increase the hypoglycemic activities of Chlorpropamide.]
[B05XA01, potassium chloride, Chlorpropamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V03AB21, potassium iodide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Potassium Iodide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Chlorpropamide.]
[C07AB01, practolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Chlorpropamide.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Chlorpropamide.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Chlorpropamide.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Chlorpropamide.]
[M04AB01, probenecid, The protein binding of Chlorpropamide can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Chlorpropamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Chlorpropamide.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Chlorpropamide.]
[C10AB05, fenofibrate, The risk or severity of hypoglycemia can be increased when Fenofibrate is combined with Chlorpropamide.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Prochlorperazine.]
[G03DA04, progesterone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Propafenone.]
[A03AB05, propantheline, Chlorpropamide may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[N05AC01, periciazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Periciazine.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Chlorpropamide.]
[C07AA05, propranolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Propylthiouracil.]
[N02CC04, rizatriptan, Chlorpropamide may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Chlorpropamide may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Chlorpropamide can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Chlorpropamide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Aripiprazole.]
[N07XX07, dalfampridine, Chlorpropamide may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Chlorpropamide may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C01BA01, quinidine, Chlorpropamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Chlorpropamide.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Chlorpropamide.]
[A02BA02, ranitidine, The serum concentration of Chlorpropamide can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J05AP01, ribavirin, Chlorpropamide may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Chlorpropamide can be decreased when it is combined with Rifampicin.]
[N02BA05, salicylamide, The protein binding of Chlorpropamide can be decreased when combined with Salicylamide.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Chlorpropamide.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Chlorpropamide.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Chlorpropamide.]
[J01GB08, sisomicin, Chlorpropamide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Chlorpropamide may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Chlorpropamide may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Chlorpropamide.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Chlorpropamide.]
[V09AB03, ioflupane I-123, Chlorpropamide may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Chlorpropamide may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Chlorpropamide may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[V04CH02, indigo carmine, Chlorpropamide may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Chlorpropamide may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Chlorpropamide can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Chlorpropamide.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
