[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Doxepin.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01AA24, kanamycin, Doxepin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Doxepin can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Doxepin can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[B01AC22, prasugrel, Doxepin may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, Doxepin can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AH03, olanzapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[M02AA10, ketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Doxepin can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Doxepin can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Doxepin.]
[N04BC09, rotigotine, Doxepin may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The metabolism of Doxepin can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Doxepin.]
[C02AA05, deserpidine, Doxepin may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Doxepin.]
[N07AA30, ambenonium, The therapeutic efficacy of Doxepin can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Doxepin.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Doxepin.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Doxepin is combined with Lidoflazine.]
[J01FF02, lincomycin, Doxepin may increase the neurotoxic activities of Lincomycin.]
[S01AA21, amikacin, Doxepin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Doxepin can be decreased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Doxepin is combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C10AA02, lovastatin, The metabolism of Doxepin can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Doxepin.]
[L01EG01, temsirolimus, The metabolism of Doxepin can be decreased when combined with Temsirolimus.]
[B05XA11, magnesium chloride, Doxepin may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Doxepin.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Doxepin.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Doxepin can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Doxepin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, Doxepin can cause a decrease in the absorption of Nilotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Doxepin.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M02AA18, meclofenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Meclofenamic acid.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Doxepin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Doxepin.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06DX01, memantine, The metabolism of Doxepin can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Doxepin is combined with Meperidine.]
[C01CA11, mephentermine, Mephentermine may decrease the sedative and stimulatory activities of Doxepin.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N03AA01, mephobarbital, The metabolism of Doxepin can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Doxepin is combined with Meptazinol.]
[G04BX16, tiopronin, Doxepin may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Doxepin can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, Doxepin may increase the vasopressor activities of Metaraminol.]
[A10BA02, metformin, Doxepin may decrease the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Doxepin.]
[N06BA03, methamphetamine, Metamfetamine may decrease the sedative and stimulatory activities of Doxepin.]
[A03AB07, methantheline, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[H03BB02, methimazole, The metabolism of Doxepin can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Doxepin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA15, methohexital, The metabolism of Doxepin can be increased when combined with Methohexital.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Doxepin is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, Doxepin may increase the vasopressor activities of Methoxamine.]
[D05BA02, methoxsalen, The metabolism of Doxepin can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Doxepin.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Doxepin.]
[V04CG05, methylene blue, Doxepin may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Doxepin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Doxepin.]
[N06BA04, methylphenidate, The therapeutic efficacy of Methylphenidate can be decreased when used in combination with Doxepin.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Doxepin.]
[G03EK01, methyltestosterone, Doxepin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Doxepin.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The metabolism of Doxepin can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Doxepin.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Doxepin can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Doxepin.]
[S02AA13, miconazole, The metabolism of Doxepin can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01CA17, midodrine, Doxepin may increase the vasopressor activities of Midodrine.]
[G03XB01, mifepristone, Doxepin may decrease the hypoglycemic activities of Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Doxepin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Doxepin can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[D11AX01, minoxidil, Doxepin may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Doxepin can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the sedative and stimulatory activities of Doxepin.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Doxepin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Doxepin.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Doxepin is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Doxepin can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Doxepin.]
[G04BA01, ammonium chloride, Doxepin may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The therapeutic efficacy of Pazopanib can be decreased when used in combination with Doxepin.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA02, amobarbital, The metabolism of Doxepin can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Doxepin.]
[G04CA04, silodosin, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Silodosin.]
[N06AA17, amoxapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[N03AB05, fosphenytoin, The metabolism of Doxepin can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Doxepin can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Nadolol may increase the orthostatic hypotensive activities of Doxepin.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N04BC04, ropinirole, Doxepin may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Doxepin can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Doxepin is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Doxepin can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Doxepin is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Doxepin can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Doxepin.]
[N06BA01, amphetamine, Amphetamine may decrease the sedative and stimulatory activities of Doxepin.]
[M02AA12, naproxen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Naproxen.]
[A10BG01, troglitazone, Doxepin may decrease the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The metabolism of Doxepin can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L02BG04, letrozole, The metabolism of Doxepin can be decreased when combined with Letrozole.]
[S03AA01, neomycin, Doxepin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Doxepin is combined with Remifentanil.]
[A10BX02, repaglinide, Doxepin may decrease the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Levosimendan.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L03AX16, plerixafor, Doxepin may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Doxepin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Doxepin is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Doxepin can be decreased when combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C01CE01, inamrinone, Doxepin may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Doxepin can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the serotonergic activities of Doxepin.]
[C08CA04, nicardipine, Nicardipine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[C04AE02, nicergoline, Nicergoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[P02DA01, niclosamide, The metabolism of Doxepin can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Doxepin.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Doxepin is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypotension can be increased when Doxepin is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hypotension can be increased when Doxepin is combined with Nisoldipine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08CA08, nitrendipine, The risk or severity of hypotension can be increased when Doxepin is combined with Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N04BC05, pramipexole, Doxepin may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Doxepin may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01CA03, norepinephrine, Doxepin may increase the vasopressor activities of Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Doxepin.]
[C02KX01, bosentan, The metabolism of Doxepin can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Doxepin.]
[R05DA07, noscapine, The metabolism of Doxepin can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Doxepin can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Doxepin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Doxepin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Doxepin can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Doxepin can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Doxepin is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Doxepin.]
[G04CA02, tamsulosin, Tamsulosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[V08CB01, ferumoxsil, Doxepin can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02BA02, oxamniquine, The metabolism of Doxepin can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Doxepin can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may increase the orthostatic hypotensive activities of Doxepin.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Doxepin is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Doxepin.]
[S01GA04, oxymetazoline, Doxepin may increase the vasopressor activities of Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Doxepin is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Doxepin.]
[N05AH05, asenapine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M03AC01, pancuronium, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Doxepin may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Papaverine.]
[N05CC05, paraldehyde, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, Pargyline may increase the serotonergic activities of Doxepin.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Doxepin.]
[G04BD11, fesoterodine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the orthostatic hypotensive activities of Doxepin.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01CE09, penicillin G procaine, Doxepin may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Doxepin is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Doxepin can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Doxepin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Doxepin can be decreased when combined with Pentoxifylline.]
[N05AB10, perazine, The serum concentration of Doxepin can be increased when it is combined with Perazine.]
[N04BC02, pergolide, Doxepin may increase the vasopressor activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Doxepin can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The serum concentration of Doxepin can be increased when it is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Doxepin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Doxepin is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the serotonergic activities of Doxepin.]
[A10BA01, phenformin, Doxepin may decrease the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Doxepin is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Doxepin can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Doxepin.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Doxepin is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Doxepin is combined with Phenprocoumon.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Doxepin.]
[V03AB36, phentolamine, Phentolamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Phenylbutazone.]
[S01GA05, phenylephrine, Doxepin may increase the vasopressor activities of Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Doxepin can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Doxepin.]
[N03AB02, phenytoin, The metabolism of Doxepin can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Doxepin can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Physostigmine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C08CX01, mibefradil, The risk or severity of hypotension can be increased when Doxepin is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Doxepin.]
[C07AA03, pindolol, Pindolol may increase the orthostatic hypotensive activities of Doxepin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J05AE01, saquinavir, Doxepin can cause an increase in the absorption of Saquinavir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P02CB01, piperazine, The metabolism of Doxepin can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The serum concentration of Doxepin can be increased when it is combined with Pipotiazine.]
[N06BX03, piracetam, Doxepin may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Doxepin may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Doxepin is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Piroxicam.]
[J01DD16, cefditoren, Doxepin can cause a decrease in the absorption of Cefditoren resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Grepafloxacin.]
[N02CX01, pizotyline, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, Doxepin can cause a decrease in the absorption of Delavirdine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09CA04, irbesartan, Doxepin may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BG02, rosiglitazone, Doxepin may decrease the hypoglycemic activities of Rosiglitazone.]
