[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Propranolol.]
[C02CA04, doxazosin, Propranolol may increase the orthostatic hypotensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Propranolol.]
[L01EX02, sorafenib, The serum concentration of Propranolol can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Propranolol.]
[M01CB04, aurothioglucose, Propranolol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Propranolol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Propranolol.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Propranolol.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Propranolol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Propranolol is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Propranolol.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Propranolol.]
[N06BX13, idebenone, Propranolol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Propranolol.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Propranolol.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C09CA01, losartan, The serum concentration of Propranolol can be increased when it is combined with Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Heparin.]
[G03DC01, allylestrenol, Propranolol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Propranolol.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Propranolol.]
[R03CC05, hexoprenaline, Propranolol may decrease the bronchodilatory activities of Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Propranolol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The serum concentration of Propranolol can be increased when it is combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Propranolol.]
[C09AA04, perindopril, Propranolol may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Propranolol may increase the hypotensive activities of Hydralazine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Propranolol.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Propranolol.]
[S02BA01, hydrocortisone, The serum concentration of Propranolol can be decreased when it is combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Propranolol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Propranolol.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[G04BD06, propiverine, Propranolol may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Propranolol.]
[B05AA07, hetastarch, Propranolol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Propranolol is combined with Hydroxyzine.]
[J04AB04, rifabutin, The serum concentration of Propranolol can be decreased when it is combined with Rifabutin.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Propranolol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Propranolol.]
[B05XA08, sodium acetate, Propranolol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Propranolol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Propranolol.]
[H01AC02, somatrem, The metabolism of Propranolol can be increased when combined with Somatrem.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Propranolol.]
[N06AA02, imipramine, The serum concentration of Propranolol can be increased when it is combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Propranolol.]
[R01AD07, tixocortol, Propranolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Propranolol.]
[L01CE01, topotecan, Propranolol may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Propranolol.]
[S01BC01, indomethacin, The serum concentration of Propranolol can be increased when it is combined with Indomethacin.]
[C02CA02, indoramin, Propranolol may increase the orthostatic hypotensive activities of Indoramin.]
[A11HA07, inositol, Propranolol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The metabolism of Propranolol can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Propranolol can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The serum concentration of Propranolol can be increased when it is combined with Milnacipran.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Propranolol.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Propranolol.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Propranolol.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Propranolol.]
[C10AA06, cerivastatin, The metabolism of Propranolol can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Propranolol can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, Propranolol may increase the arrhythmogenic activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The metabolism of Propranolol can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Propranolol may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Propranolol.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Propranolol.]
[J05AB13, penciclovir, The metabolism of Propranolol can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The serum concentration of Propranolol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Propranolol.]
[S01EC03, dorzolamide, Propranolol may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Propranolol may decrease the bronchodilatory activities of Isoetharine.]
[C09AA16, imidapril, Propranolol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Propranolol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Propranolol.]
[N04BX02, entacapone, The metabolism of Propranolol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The serum concentration of Propranolol can be increased when it is combined with Isoniazid.]
[J05AX05, inosine pranobex, Propranolol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, Propranolol may decrease the bronchodilatory activities of Isoprenaline.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Propranolol.]
[C01DA14, isosorbide mononitrate, Propranolol may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Propranolol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Propranolol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Propranolol.]
[N06AX18, reboxetine, The metabolism of Propranolol can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Propranolol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The serum concentration of Propranolol can be increased when it is combined with Somatotropin.]
[A02AB01, aluminum hydroxide, The serum concentration of Propranolol can be decreased when it is combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The metabolism of Propranolol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Propranolol.]
[C02KD01, ketanserin, Propranolol may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Propranolol may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Propranolol can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The serum concentration of Propranolol can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, The serum concentration of Propranolol can be increased when it is combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Propranolol.]
[V03AC03, deferasirox, The serum concentration of Propranolol can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Propranolol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, Propranolol may decrease the bronchodilatory activities of Arbutamine.]
[N04BC09, rotigotine, The metabolism of Propranolol can be decreased when combined with Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Propranolol can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Propranolol.]
[C07AG01, labetalol, Propranolol may increase the orthostatic hypotensive activities of Labetalol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Propranolol.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Propranolol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Propranolol.]
[A06AX03, lubiprostone, Propranolol may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Propranolol.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Propranolol can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Propranolol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Propranolol.]
[C08EX01, lidoflazine, Propranolol may increase the arrhythmogenic activities of Lidoflazine.]
[S01AA21, amikacin, Propranolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The serum concentration of Propranolol can be increased when it is combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Propranolol may increase the vasoconstricting activities of Lisuride.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Propranolol.]
[A07DA03, loperamide, Propranolol may increase the arrhythmogenic activities of Loperamide.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be decreased when it is combined with Propranolol.]
[G03DC03, lynestrenol, The serum concentration of Propranolol can be increased when it is combined with Lynestrenol.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Propranolol.]
[B05XA11, magnesium chloride, Propranolol may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Propranolol may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, Propranolol may increase the arrhythmogenic activities of Magnesium sulfate.]
[L01BA05, pralatrexate, Propranolol may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Propranolol can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Propranolol.]
[C02BB01, mecamylamine, Propranolol may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, Mechlorethamine may increase the bradycardic activities of Propranolol.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Propranolol.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Propranolol.]
[C01AA08, medigoxin, Propranolol may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of cardiac arrest can be increased when Propranolol is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Dalteparin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Propranolol.]
[N06DX01, memantine, The serum concentration of Propranolol can be increased when it is combined with Memantine.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C01CA11, mephentermine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The serum concentration of Propranolol can be increased when it is combined with Mephenytoin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Propranolol.]
[N01BB03, mepivacaine, The serum concentration of Mepivacaine can be increased when it is combined with Propranolol.]
[G04BX16, tiopronin, Propranolol may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The serum concentration of Propranolol can be decreased when it is combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The serum concentration of Propranolol can be increased when it is combined with Mesoridazine.]
[N05AX13, paliperidone, Propranolol may increase the orthostatic hypotensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Propranolol.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Propranolol.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Propranolol.]
[H01CB03, lanreotide, Propranolol may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Propranolol can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Metamfetamine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Propranolol.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Propranolol may increase the vasoconstricting activities of Metergoline.]
[H03BB02, methimazole, The excretion of Propranolol can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Propranolol may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Propranolol.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02BG08, ziconotide, Propranolol may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The metabolism of Propranolol can be decreased when combined with Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Propranolol.]
[D05BA02, methoxsalen, The metabolism of Propranolol can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Propranolol.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Propranolol.]
[V04CG05, methylene blue, The serum concentration of Propranolol can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, Propranolol may increase the vasoconstricting activities of Methylergometrine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Aminophylline.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Propranolol.]
[G03EK01, methyltestosterone, Propranolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Propranolol may increase the vasoconstricting activities of Methysergide.]
[A03FA01, metoclopramide, Metoclopramide may increase the bradycardic activities of Propranolol.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Propranolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Propranolol.]
[V04CD01, metyrapone, Propranolol may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Propranolol.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Propranolol.]
[S02AA13, miconazole, The serum concentration of Propranolol can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The serum concentration of Propranolol can be increased when it is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Parnaparin.]
[N05CD08, midazolam, Propranolol may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Propranolol.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Propranolol.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C09CA03, valsartan, Valsartan may increase the hypotensive activities of Propranolol.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Propranolol.]
[L01XX23, mitotane, The metabolism of Propranolol can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Propranolol.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Propranolol.]
[C01BD01, amiodarone, The therapeutic efficacy of Propranolol can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Propranolol.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Propranolol.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Propranolol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Propranolol.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Ammonium chloride.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Propranolol.]
[L04AA06, mycophenolic acid, Propranolol may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Propranolol.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Propranolol.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Propranolol is combined with Silodosin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Propranolol.]
[N03AB05, fosphenytoin, The metabolism of Propranolol can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Propranolol can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, Propranolol may increase the arrhythmogenic activities of Nadolol.]
[J01CA04, amoxicillin, Propranolol may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Propranolol.]
[J01CF06, nafcillin, The metabolism of Propranolol can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Propranolol can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Propranolol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Propranolol.]
[N06BA01, amphetamine, The therapeutic efficacy of Propranolol can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Propranolol.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Propranolol.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Propranolol is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Propranolol.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Propranolol.]
[L02BG04, letrozole, The serum concentration of Propranolol can be increased when it is combined with Letrozole.]
[S03AA01, neomycin, Propranolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Propranolol.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Propranolol.]
[C01CX08, levosimendan, Propranolol may increase the arrhythmogenic activities of Levosimendan.]
[B01AC17, tirofiban, Propranolol may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Propranolol.]
[N05AX14, iloperidone, Propranolol may increase the orthostatic hypotensive activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Propranolol is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L03AX16, plerixafor, Propranolol may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Propranolol may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The serum concentration of Propranolol can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The serum concentration of Propranolol can be increased when it is combined with Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C01CE01, inamrinone, Propranolol may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Propranolol can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Propranolol.]
[C08CA04, nicardipine, The serum concentration of Propranolol can be increased when it is combined with Nicardipine.]
[C04AE02, nicergoline, Propranolol may increase the vasoconstricting activities of Nicergoline.]
[P02DA01, niclosamide, The metabolism of Propranolol can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Propranolol is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Propranolol.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Propranolol.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Propranolol is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Propranolol.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Propranolol.]
[C08CA08, nitrendipine, Propranolol may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Propranolol.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Nitrofurantoin.]
[N05CF03, zaleplon, Propranolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Propranolol.]
[C02DD01, nitroprusside, Nitroprusside may increase the hypotensive activities of Propranolol.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Propranolol.]
[C01CA03, norepinephrine, Propranolol may decrease the bronchodilatory activities of Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Propranolol.]
[S01AE02, norfloxacin, The metabolism of Propranolol can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Bosentan may increase the hypotensive activities of Propranolol.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Propranolol.]
[L03AB07, interferon beta-1a, The metabolism of Propranolol can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, Propranolol may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Propranolol.]
[L04AC04, rilonacept, The metabolism of Propranolol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The serum concentration of Propranolol can be increased when it is combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Propranolol.]
[N02AA02, opium, Propranolol may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, Propranolol may decrease the bronchodilatory activities of Orciprenaline.]
[G04CA02, tamsulosin, Propranolol may increase the orthostatic hypotensive activities of Tamsulosin.]
[C01AC01, ouabain, Propranolol may increase the bradycardic activities of Ouabain.]
[J01CF04, oxacillin, Propranolol may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[P02BA02, oxamniquine, The metabolism of Propranolol can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, Propranolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Propranolol may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Propranolol can be decreased when combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Propranolol.]
[S01GA04, oxymetazoline, The risk or severity of cardiovascular complications can be increased when Propranolol is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Propranolol.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Propranolol.]
[N05AH05, asenapine, Propranolol may increase the orthostatic hypotensive activities of Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Danaparoid.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Propranolol.]
[J04AB30, capreomycin, Propranolol may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Propranolol is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Propranolol can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Propranolol.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
