[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tranylcypromine.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Tranylcypromine.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Tranylcypromine.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Tranylcypromine.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Tranylcypromine.]
[N06BA01, amphetamine, Tranylcypromine may increase the hypertensive activities of Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Tranylcypromine.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Tranylcypromine.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Duloxetine.]
[N04BX01, tolcapone, Tranylcypromine may increase the orthostatic hypotensive activities of Tolcapone.]
[L02BG04, letrozole, The metabolism of Letrozole can be decreased when combined with Tranylcypromine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Tranylcypromine.]
[A10BX02, repaglinide, Tranylcypromine may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, Tranylcypromine may increase the orthostatic hypotensive activities of Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Tirofiban.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Tranylcypromine.]
[J02AA01, amphotericin B, Tranylcypromine may increase the orthostatic hypotensive activities of Amphotericin B.]
[N06AX23, desvenlafaxine, Tranylcypromine may increase the serotonergic activities of Desvenlafaxine.]
[C09CA07, telmisartan, Tranylcypromine may increase the hypotensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nialamide.]
[C08CA04, nicardipine, Tranylcypromine may increase the hypotensive activities of Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Tranylcypromine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Tranylcypromine.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Tranylcypromine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Tranylcypromine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Niflumic acid.]
[V03AB22, amyl nitrite, Tranylcypromine may increase the orthostatic hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Tranylcypromine may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Tranylcypromine may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nitrazepam.]
[C08CA08, nitrendipine, Tranylcypromine may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Tranylcypromine may increase the orthostatic hypotensive activities of Nitric Oxide.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Zaleplon.]
[N04BC05, pramipexole, Tranylcypromine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Tranylcypromine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Tranylcypromine.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nomifensine.]
[C01CA03, norepinephrine, Tranylcypromine may increase the hypertensive activities of Norepinephrine.]
[C02KX01, bosentan, Tranylcypromine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Tranylcypromine may increase the serotonergic activities of Nortriptyline.]
[B01AC16, eptifibatide, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Reviparin.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Tranylcypromine.]
[N06AA05, opipramol, Tranylcypromine may increase the serotonergic activities of Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Tranylcypromine.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Orciprenaline.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Ancrod.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Tranylcypromine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxazepam.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Tranylcypromine.]
[N02AA05, oxycodone, Tranylcypromine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The serum concentration of Oxymetazoline can be increased when it is combined with Tranylcypromine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Tranylcypromine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Danaparoid.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Tapentadol is combined with Tranylcypromine.]
[M03AC01, pancuronium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, Tranylcypromine may increase the orthostatic hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pargyline.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Tranylcypromine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Tranylcypromine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Tranylcypromine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Tranylcypromine.]
[C04AD03, pentoxifylline, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Perazine.]
[N04BC02, pergolide, Tranylcypromine may increase the hypertensive activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Tranylcypromine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Tranylcypromine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Tranylcypromine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Tranylcypromine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Tranylcypromine.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Tranylcypromine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Tranylcypromine.]
[C04AX02, phenoxybenzamine, Tranylcypromine may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Tranylcypromine.]
[A08AA01, phentermine, Tranylcypromine may increase the hypertensive activities of Phentermine.]
[V03AB36, phentolamine, Tranylcypromine may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Tranylcypromine.]
[S01GA05, phenylephrine, Tranylcypromine may increase the hypertensive activities of Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Tranylcypromine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Tranylcypromine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Tranylcypromine.]
[C08CX01, mibefradil, Tranylcypromine may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Tranylcypromine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Tranylcypromine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Tranylcypromine.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Tranylcypromine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Tranylcypromine.]
[C09CA02, eprosartan, Tranylcypromine may increase the hypotensive activities of Eprosartan.]
[A02BX03, pirenzepine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Tranylcypromine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Tranylcypromine.]
[N02CX01, pizotyline, Tranylcypromine may increase the anticholinergic activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Tranylcypromine.]
[C09CA04, irbesartan, Tranylcypromine may increase the hypotensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Proxibarbal.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Alteplase.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Tranylcypromine.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Alosetron.]
[C03AA05, polythiazide, Tranylcypromine may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Tranylcypromine.]
[A10BH03, saxagliptin, Tranylcypromine may increase the hypoglycemic activities of Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Tranylcypromine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Tranylcypromine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Tranylcypromine.]
[C02CA01, prazosin, Tranylcypromine may increase the hypotensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Tranylcypromine.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Tranylcypromine.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Tranylcypromine.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Tranylcypromine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Tranylcypromine.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Tranylcypromine.]
[N04AA04, procyclidine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Tranylcypromine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Tranylcypromine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Tranylcypromine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Tranylcypromine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Propanidid.]
[A03AB05, propantheline, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Periciazine.]
[N05CM06, propiomazine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, Tranylcypromine may increase the orthostatic hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Tranylcypromine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Tranylcypromine.]
[N02CC04, rizatriptan, The metabolism of Rizatriptan can be decreased when combined with Tranylcypromine.]
[B01AC09, epoprostenol, Tranylcypromine may increase the hypotensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Tranylcypromine.]
[N06AA11, protriptyline, Tranylcypromine may increase the serotonergic activities of Protriptyline.]
[R01BA02, pseudoephedrine, Tranylcypromine may increase the hypertensive activities of Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Tranylcypromine.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Tranylcypromine is combined with Dalfampridine.]
[A03AB15, diphemanil, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Tranylcypromine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Mepyramine.]
[C01BA01, quinidine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Tranylcypromine.]
[C02AA01, rescinnamine, Tranylcypromine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Reserpine.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Tranylcypromine.]
[S01FA02, scopolamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Tranylcypromine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Tranylcypromine.]
[L01FA03, obinutuzumab, Tranylcypromine may increase the orthostatic hypotensive activities of Obinutuzumab.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Tranylcypromine.]
[C03DA01, spironolactone, Tranylcypromine may increase the orthostatic hypotensive activities of Spironolactone.]
[N02AX02, tramadol, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AA06, trimipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N02CC03, zolmitriptan, Triptans - monoamine oxidase (MAO) inhibitors]
[N06AB04, citalopram, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA04, clomipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AX06, nefazodone, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AB10, escitalopram, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA01, desipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06BA02, dextroamphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[R05DA09, dextromethorphan, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AB05, paroxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[A08AA03, diethylpropion, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA11, dexmethylphenidate, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AA12, doxepin, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AB06, sertraline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N02CC01, sumatriptan, Triptans - monoamine oxidase (MAO) inhibitors]
[N06BA09, atomoxetine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AX16, venlafaxine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AB08, fluvoxamine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N02AB03, fentanyl, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06AB03, fluoxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA02, imipramine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AX17, milnacipran, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N02AB02, meperidine, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N07BC02, methadone, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[N06BA03, methamphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA04, methylphenidate, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06BA12, lisdexamfetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AA09, amitriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06AA17, amoxapine, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N06BA01, amphetamine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[N06AX21, duloxetine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AX23, desvenlafaxine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AA10, nortriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[N02AX06, tapentadol, Narcotic analgesics - monoamine oxidase (MAO) inhibitors]
[A08AA01, phentermine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Tranylcypromine - procarbazine]
[N02CC04, rizatriptan, Triptans - monoamine oxidase (MAO) inhibitors]
[N06AA11, protriptyline, Tricyclic antidepressants (TCAs) - monoamine oxidase (MAO) inhibitors]
[R01BA02, pseudoephedrine, Amphetamine and derivatives - monoamine oxidase (MAO) inhibitors]
