[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propafenone.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Propafenone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Propafenone.]
[N02AA01, morphine, The serum concentration of Morphine can be increased when it is combined with Propafenone.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Propafenone.]
[L04AB05, certolizumab pegol, The metabolism of Propafenone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Propafenone.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Ammonium chloride.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Propafenone.]
[N05CA02, amobarbital, The serum concentration of Propafenone can be decreased when it is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be decreased when Amodiaquine is combined with Propafenone.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Propafenone.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Propafenone.]
[N03AB05, fosphenytoin, The metabolism of Propafenone can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Propafenone can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Propafenone is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Propafenone can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Propafenone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Propafenone can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Propafenone.]
[N06BA01, amphetamine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Propafenone.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Propafenone.]
[N06AX21, duloxetine, The metabolism of Propafenone can be decreased when combined with Duloxetine.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Propafenone.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Propafenone.]
[C01CX08, levosimendan, Levosimendan may increase the arrhythmogenic activities of Propafenone.]
[S01EB06, neostigmine, Neostigmine may increase the bradycardic activities of Propafenone.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Propafenone.]
[N06AX23, desvenlafaxine, The serum concentration of Propafenone can be increased when it is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Propafenone may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Propafenone can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Propafenone is combined with Nialamide.]
[C08CA04, nicardipine, Nicardipine may increase the arrhythmogenic activities of Propafenone.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Propafenone.]
[P02DA01, niclosamide, The metabolism of Propafenone can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Propafenone is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Propafenone.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Propafenone.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Propafenone.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Propafenone.]
[C08CA08, nitrendipine, Nitrendipine may increase the arrhythmogenic activities of Propafenone.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Nitrofurantoin is combined with Propafenone.]
[C02DD01, nitroprusside, Propafenone may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Propafenone is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Propafenone.]
[S01AE02, norfloxacin, The metabolism of Propafenone can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Propafenone may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Propafenone.]
[L03AB07, interferon beta-1a, The metabolism of Propafenone can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, Propafenone may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Propafenone.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Propafenone.]
[L04AC04, rilonacept, The metabolism of Propafenone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Propafenone can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Propafenone is combined with Opipramol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Propafenone.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Propafenone.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Propafenone.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Propafenone.]
[P02BA02, oxamniquine, The metabolism of Propafenone can be decreased when combined with Oxamniquine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Propafenone.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Propafenone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Propafenone.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Propafenone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Propafenone.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Propafenone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Propafenone.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Danaparoid.]
[M03AC01, pancuronium, Pancuronium may increase the bradycardic activities of Propafenone.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Propafenone.]
[C02KC01, pargyline, Propafenone may decrease the antihypertensive activities of Pargyline.]
[J01MA03, pefloxacin, The metabolism of Propafenone can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Propafenone.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Penbutolol.]
[N05AG03, penfluridol, Propafenone may increase the arrhythmogenic activities of Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Propafenone can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Propafenone.]
[N05AB10, perazine, The serum concentration of Propafenone can be increased when it is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Propafenone.]
[C08EX02, perhexiline, Perhexiline may increase the arrhythmogenic activities of Propafenone.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Propafenone.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Propafenone.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Propafenone.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Propafenone.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Propafenone.]
[N03AA02, phenobarbital, The metabolism of Propafenone can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Propafenone may increase the orthostatic hypotensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Propafenone may increase the orthostatic hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the antihypertensive activities of Propafenone.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Propafenone.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Propafenone.]
[N03AB02, phenytoin, The metabolism of Propafenone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Propafenone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Propafenone.]
[V03AB19, physostigmine, Physostigmine may increase the bradycardic activities of Propafenone.]
[C08CX01, mibefradil, Propafenone may increase the arrhythmogenic activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Propafenone is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Propafenone.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Propafenone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Propafenone.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Propafenone.]
[C09CA02, eprosartan, Propafenone may decrease the antihypertensive activities of Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Propafenone.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Grepafloxacin.]
[N02CX01, pizotyline, Propafenone may increase the orthostatic hypotensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Propafenone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Propafenone may decrease the antihypertensive activities of Irbesartan.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Propafenone.]
[A03AE01, alosetron, The metabolism of Propafenone can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Propafenone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Propafenone may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Propafenone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Propafenone.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Propafenone.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Propafenone.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Propafenone.]
[C07AB01, practolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Practolol.]
[C01BA08, prajmaline, Propafenone may increase the arrhythmogenic activities of Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Propafenone.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Propafenone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Antazoline.]
[C01DX02, prenylamine, Propafenone may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Propafenone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Propafenone can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Probucol.]
[C01BA02, procainamide, Propafenone may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the bradycardic activities of Propafenone.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Propafenone.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Propafenone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Propafenone.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Propafenone.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Propafenone.]
[N05AC01, periciazine, The serum concentration of Propafenone can be increased when it is combined with Periciazine.]
[N05CM06, propiomazine, Propafenone may increase the orthostatic hypotensive activities of Propiomazine.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Propafenone.]
[N01AX10, propofol, The risk or severity of hypertension can be increased when Propofol is combined with Propafenone.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Propafenone.]
[C07AA05, propranolol, The serum concentration of Propafenone can be increased when it is combined with Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Propafenone.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Propafenone.]
[B01AC09, epoprostenol, Propafenone may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Propafenone.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Propafenone.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Propafenone.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the bradycardic activities of Propafenone.]
[R06AC01, pyrilamine, The metabolism of Propafenone can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, Quinidine may decrease the QTc-prolonging activities of Propafenone.]
[P01BC01, quinine, The metabolism of Propafenone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Propafenone can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Propafenone may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Propafenone.]
[J04AB02, rifampin, The metabolism of Propafenone can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Propafenone.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Propafenone.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Propafenone.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Propafenone.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Propafenone.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Propafenone.]
[N05CA06, secobarbital, The serum concentration of Propafenone can be decreased when it is combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Propafenone.]
[C07AA07, sotalol, The risk or severity of adverse effects can be increased when Propafenone is combined with Sotalol.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Propafenone.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Spironolactone is combined with Propafenone.]
[M03BX02, tizanidine, Tizanidine - CYP 1A2 inhibitors]
