[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Prednisone.]
[G03BB01, mesterolone, The risk or severity of edema formation can be increased when Mesterolone is combined with Prednisone.]
[N05AX13, paliperidone, Prednisone may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Prednisone.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N06BA03, methamphetamine, Prednisone may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Prednisone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[A14AA04, methenolone, The risk or severity of edema formation can be increased when Metenolone is combined with Prednisone.]
[H03BB02, methimazole, Methimazole may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Prednisone is combined with Pemetrexed.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Prednisone.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Prednisone.]
[C03AA08, methyclothiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Methyclothiazide.]
[C02AB01, methyldopa, Prednisone may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Prednisone may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Prednisone is combined with Methylprednisolone.]
[G03EK01, methyltestosterone, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Prednisone.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Prednisone.]
[C03BA08, metolazone, Prednisone may increase the hypokalemic activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Prednisone.]
[V04CD01, metyrapone, Prednisone may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[S02AA13, miconazole, The metabolism of Prednisone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Aminophenazone.]
[N05CD08, midazolam, Prednisone may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The therapeutic efficacy of Prednisone can be decreased when used in combination with Mifepristone.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01FA11, miocamycin, The serum concentration of Prednisone can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The serum concentration of Prednisone can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Prednisone is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The therapeutic efficacy of Aldesleukin can be decreased when used in combination with Prednisone.]
[C01BD01, amiodarone, The metabolism of Prednisone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Prednisone is combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Prednisone may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Prednisone is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Prednisone is combined with Mycophenolic acid.]
[M03AC03, vecuronium, The risk or severity of myopathy and weakness can be increased when Vecuronium is combined with Prednisone.]
[N03AB05, fosphenytoin, The serum concentration of Prednisone can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Prednisone.]
[C07AA12, nadolol, Prednisone may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Prednisone may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, The metabolism of Prednisone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Prednisone.]
[S01XA11, nandrolone, The risk or severity of edema formation can be increased when Nandrolone phenpropionate is combined with Prednisone.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[M02AA12, naproxen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Naproxen.]
[A10BG01, troglitazone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Troglitazone.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Prednisone.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Prednisone is combined with Docetaxel.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Prednisone.]
[S03AA01, neomycin, Prednisone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BX02, repaglinide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Repaglinide.]
[B01AC17, tirofiban, Prednisone may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Neostigmine can be decreased when used in combination with Prednisone.]
[J02AA01, amphotericin B, The risk or severity of hypokalemia can be increased when Prednisone is combined with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L03AX16, plerixafor, Prednisone may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Prednisone may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Prednisone can be decreased when combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[H05BX02, paricalcitol, The therapeutic efficacy of Paricalcitol can be decreased when used in combination with Prednisone.]
[C01CE01, inamrinone, Prednisone may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Prednisone.]
[C08CA04, nicardipine, The metabolism of Prednisone can be decreased when combined with Nicardipine.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Prednisone.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Prednisone.]
[M02AA17, niflumic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Niflumic acid.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Nitrofurantoin can be increased when used in combination with Prednisone.]
[N05CF03, zaleplon, Prednisone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01CA03, norepinephrine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Norepinephrine.]
[G03DC02, norethindrone, The serum concentration of Prednisone can be increased when it is combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Norfloxacin.]
[G03AC07, norgestrienone, The serum concentration of Prednisone can be increased when it is combined with Norgestrienone.]
[S02AA16, ofloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Ofloxacin.]
[J01FA05, oleandomycin, The serum concentration of Prednisone can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Prednisone is combined with Rilonacept.]
[N02AA02, opium, Prednisone may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Orciprenaline.]
[G04CA02, tamsulosin, Prednisone may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Prednisone may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[A14AA08, oxandrolone, The risk or severity of fluid retention can be increased when Prednisone is combined with Oxandrolone.]
[N05BA04, oxazepam, Prednisone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of tendinopathy can be increased when Prednisone is combined with Oxolinic acid.]
[A14AA05, oxymetholone, The risk or severity of fluid retention can be increased when Prednisone is combined with Oxymetholone.]
[S01BC02, oxyphenbutazone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, The serum concentration of Aminosalicylic acid can be decreased when it is combined with Prednisone.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Prednisone.]
[J04AB30, capreomycin, Prednisone may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The serum concentration of Prednisone can be increased when it is combined with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Prednisone is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Pefloxacin.]
[G04BD11, fesoterodine, Prednisone may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Prednisone may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Prednisone is combined with Penicillamine.]
[J01CE09, penicillin G procaine, Prednisone may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Prednisone.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Prednisone.]
[N05CA01, pentobarbital, The metabolism of Prednisone can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Prednisone.]
[C04AD03, pentoxifylline, Prednisone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Prednisone.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Prednisone.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N06AF03, phenelzine, Prednisone may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[A10BA01, phenformin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Phenformin.]
[B01AA02, phenindione, Prednisone may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, The metabolism of Prednisone can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, Prednisone may increase the anticoagulant activities of Phenprocoumon.]
[V03AB36, phentolamine, Prednisone may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Prednisone is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Prednisone can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Physostigmine can be decreased when used in combination with Prednisone.]
[B02BA01, vitamin K1, Prednisone may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C07AA03, pindolol, Prednisone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Prednisone can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Prednisone may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Prednisone can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Rosiglitazone.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Prednisone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Saxagliptin.]
[B05XA01, potassium chloride, Prednisone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A10AD04, insulin lispro, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin lispro.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisone is combined with Prednisolone.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Prednisone is combined with Antilymphocyte immunoglobulin (horse).]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Prednisone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Prednisone can be increased when combined with Primidone.]
[M04AB01, probenecid, Prednisone may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Prednisone.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Prednisone is combined with Procarbazine.]
[C10AB05, fenofibrate, Prednisone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, The serum concentration of Prednisone can be increased when it is combined with Progesterone.]
[R06AD02, promethazine, Prednisone may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Prednisone may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Prednisone.]
[N02CC04, rizatriptan, Prednisone may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Prednisone may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Prednisone.]
[N07XX07, dalfampridine, Prednisone may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, The risk or severity of myopathy and weakness can be increased when Pyrantel is combined with Prednisone.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Prednisone.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Prednisone.]
[C01BA01, quinidine, Prednisone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Quinine.]
[A02BA02, ranitidine, Prednisone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J05AP01, ribavirin, Prednisone may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Prednisone can be increased when combined with Rifampicin.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Prednisone is combined with Ritodrine.]
[J01FA06, roxithromycin, The serum concentration of Prednisone can be increased when it is combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Prednisone.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Obinutuzumab.]
[J01GB08, sisomicin, Prednisone may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Prednisone may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Prednisone.]
[V04CC01, sorbitol, Prednisone may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Prednisone is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Prednisone.]
[J01FA02, spiramycin, The serum concentration of Prednisone can be increased when it is combined with Spiramycin.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
