[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[S01LA03, pegaptanib, Dapagliflozin may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Dapagliflozin.]
[C09AA09, fosinopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Fosinopril.]
[S01EX01, guanethidine, Dapagliflozin may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Goserelin.]
[P01BX01, halofantrine, The metabolism of Dapagliflozin can be decreased when combined with Halofantrine.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Dapagliflozin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Dapagliflozin.]
[N01AB01, halothane, The metabolism of Dapagliflozin can be decreased when combined with Halothane.]
[L02AE05, histrelin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Dapagliflozin may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin aspart.]
[M04AA01, allopurinol, Dapagliflozin may increase the excretion rate of Allopurinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Losartan is combined with Dapagliflozin.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Dapagliflozin may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Dapagliflozin.]
[C01CE02, milrinone, Dapagliflozin may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Dapagliflozin.]
[J05AG01, nevirapine, The metabolism of Dapagliflozin can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Dapagliflozin can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Dapagliflozin.]
[C09AA04, perindopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Perindopril.]
[C02DB02, hydralazine, Dapagliflozin may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Dapagliflozin.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Dapagliflozin.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Dapagliflozin.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Dapagliflozin may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Dapagliflozin may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Dapagliflozin may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Hydroxychloroquine.]
[B05AA07, hetastarch, Dapagliflozin may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BB01, hydroxyzine, The metabolism of Dapagliflozin can be decreased when combined with Hydroxyzine.]
[C02AC06, rilmenidine, Dapagliflozin may increase the hypotensive activities of Rilmenidine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Dapagliflozin.]
[R02AX02, ibuprofen, Dapagliflozin may increase the excretion rate of Ibuprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA08, sodium acetate, Dapagliflozin may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DB06, idarubicin, The metabolism of Dapagliflozin can be decreased when combined with Idarubicin.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Dapagliflozin may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Dapagliflozin.]
[N01AH03, sufentanil, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, The metabolism of Dapagliflozin can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Dapagliflozin.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Dapagliflozin.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Dapagliflozin.]
[L01CE01, topotecan, Dapagliflozin may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Dapagliflozin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Indoramin.]
[A11HA07, inositol, Dapagliflozin may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB04, interferon alfa-2a, The metabolism of Dapagliflozin can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Dapagliflozin can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Dapagliflozin.]
[S01XA28, varenicline, Dapagliflozin may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB08, articaine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, Dapagliflozin may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Dapagliflozin may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Dapagliflozin may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH02, vildagliptin, Dapagliflozin may increase the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Dapagliflozin can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Dapagliflozin.]
[C07AA01, alprenolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Quinethazone.]
[L03AB09, interferon alfacon-1, The metabolism of Dapagliflozin can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, Dapagliflozin may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Dapagliflozin.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Dapagliflozin.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Dapagliflozin.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Dapagliflozin.]
[P01AX06, atovaquone, The metabolism of Dapagliflozin can be decreased when combined with Atovaquone.]
[C09AA16, imidapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dapagliflozin.]
[N04BX02, entacapone, The metabolism of Dapagliflozin can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Isoniazid.]
[J05AX05, inosine pranobex, Dapagliflozin may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BJ01, exenatide, Dapagliflozin may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Dapagliflozin may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Dapagliflozin.]
[D10BA01, isotretinoin, Dapagliflozin may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Isoxsuprine.]
[N06AX18, reboxetine, The metabolism of Dapagliflozin can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Dapagliflozin.]
[L04AC07, tocilizumab, The metabolism of Dapagliflozin can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Dapagliflozin may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Dapagliflozin may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Dapagliflozin may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The metabolism of Dapagliflozin can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Dapagliflozin can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, Dapagliflozin may increase the excretion rate of Ketoprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC03, deferasirox, The serum concentration of Dapagliflozin can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Dapagliflozin can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Dapagliflozin is combined with Ketotifen.]
[N04BC09, rotigotine, The metabolism of Dapagliflozin can be decreased when combined with Rotigotine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Dapagliflozin.]
[D10AX03, azelaic acid, Dapagliflozin may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Labetalol.]
[N04BB01, amantadine, Dapagliflozin may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Dapagliflozin may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Lubiprostone.]
[N03AX18, lacosamide, The metabolism of Dapagliflozin can be decreased when combined with Lacosamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Dapagliflozin is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Dapagliflozin can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Dapagliflozin.]
[N06BA13, armodafinil, The metabolism of Dapagliflozin can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Dapagliflozin.]
[N02CA07, lisuride, The metabolism of Dapagliflozin can be decreased when combined with Lisuride.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Dapagliflozin.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Dapagliflozin.]
[N05BA06, lorazepam, Dapagliflozin may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA02, lovastatin, The metabolism of Dapagliflozin can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Dapagliflozin.]
[L01EG01, temsirolimus, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Temsirolimus.]
[B05XA11, magnesium chloride, Dapagliflozin may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Dapagliflozin may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The metabolism of Dapagliflozin can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Mannitol.]
[N06AA21, maprotiline, Dapagliflozin may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, Dapagliflozin may increase the excretion rate of Mecamylamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AE05, meclizine, The metabolism of Dapagliflozin can be decreased when combined with Meclizine.]
[M02AA18, meclofenamic acid, Dapagliflozin may increase the excretion rate of Meclofenamic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Frangula purshiana bark.]
[C03BA05, mefruside, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Mefruside.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Dapagliflozin.]
[N06DX01, memantine, Dapagliflozin may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, Dapagliflozin may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Dapagliflozin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Dapagliflozin.]
[N01BB03, mepivacaine, Dapagliflozin may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Dapagliflozin may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BC01, mersalyl, Dapagliflozin may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The metabolism of Dapagliflozin can be decreased when combined with Mesoridazine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Dapagliflozin.]
[N05AX13, paliperidone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Paliperidone.]
[A04AA04, dolasetron, The metabolism of Dapagliflozin can be decreased when combined with Dolasetron.]
[H01CB03, lanreotide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Lanreotide.]
[N07BC02, methadone, Dapagliflozin may increase the excretion rate of Methadone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA03, methamphetamine, Dapagliflozin may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Dapagliflozin may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC05, methazolamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The metabolism of Dapagliflozin can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Dapagliflozin may increase the excretion rate of Pemetrexed which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Dapagliflozin.]
[A11HA02, pyridoxine, Dapagliflozin may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Dapagliflozin is combined with Ziconotide.]
[L04AX03, methotrexate, Dapagliflozin may increase the excretion rate of Methotrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA02, methotrimeprazine, The metabolism of Dapagliflozin can be decreased when combined with Methotrimeprazine.]
[D05BA02, methoxsalen, Dapagliflozin may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG09, methoxyflurane, The metabolism of Dapagliflozin can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Methylcellulose.]
[C02AB01, methyldopa, Dapagliflozin may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Dapagliflozin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Dapagliflozin.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Dapagliflozin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Dapagliflozin.]
[G03EK01, methyltestosterone, Dapagliflozin may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA01, metoclopramide, Dapagliflozin may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The metabolism of Dapagliflozin can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Dapagliflozin can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Dapagliflozin may increase the excretion rate of Metyrapone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BB02, mexiletine, The metabolism of Dapagliflozin can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Dapagliflozin.]
[S02AA13, miconazole, The metabolism of Dapagliflozin can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Dapagliflozin.]
[N05CD08, midazolam, Dapagliflozin may increase the excretion rate of Midazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XB01, mifepristone, Dapagliflozin may increase the hypoglycemic activities of Mifepristone.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Mineral oil.]
[J05AH01, zanamivir, Dapagliflozin may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The metabolism of Dapagliflozin can be decreased when combined with Valsartan.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Dapagliflozin.]
[L01XX23, mitotane, The metabolism of Dapagliflozin can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Dapagliflozin can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Dapagliflozin may increase the excretion rate of Aldesleukin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD01, amiodarone, The metabolism of Dapagliflozin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Dapagliflozin.]
[N02AA01, morphine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Morphine.]
[A04AA05, palonosetron, Dapagliflozin may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB05, certolizumab pegol, The metabolism of Dapagliflozin can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Dapagliflozin.]
[G04BA01, ammonium chloride, Dapagliflozin may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Dapagliflozin.]
[L04AA06, mycophenolic acid, Dapagliflozin may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Dapagliflozin.]
[P01BA06, amodiaquine, The metabolism of Dapagliflozin can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Dapagliflozin.]
[N03AB05, fosphenytoin, The metabolism of Dapagliflozin can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Dapagliflozin can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Nadolol.]
[J01CA04, amoxicillin, Dapagliflozin may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Dapagliflozin can be increased when combined with Nafcillin.]
[N02AF02, nalbuphine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Dapagliflozin can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Naltrexone.]
[L04AC03, anakinra, The metabolism of Dapagliflozin can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Dapagliflozin.]
[N06BA01, amphetamine, Dapagliflozin may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Dapagliflozin.]
[A10BG01, troglitazone, Dapagliflozin may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Dapagliflozin is combined with Duloxetine.]
[N04BX01, tolcapone, Dapagliflozin may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG04, letrozole, The metabolism of Dapagliflozin can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Remifentanil.]
[A10BX02, repaglinide, Dapagliflozin may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Dapagliflozin.]
[B01AC17, tirofiban, Dapagliflozin may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX14, iloperidone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Dapagliflozin.]
[S01AA19, ampicillin, Dapagliflozin may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Dapagliflozin may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Dapagliflozin.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Telmisartan is combined with Dapagliflozin.]
[J05AB11, valacyclovir, Dapagliflozin may increase the excretion rate of Valaciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CE01, inamrinone, Dapagliflozin may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD02, niacin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C08CA04, nicardipine, The metabolism of Dapagliflozin can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Dapagliflozin can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Dapagliflozin can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Dapagliflozin can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Dapagliflozin may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The metabolism of Dapagliflozin can be decreased when combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Amyl Nitrite is combined with Dapagliflozin.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Dapagliflozin.]
[C08CA07, nisoldipine, Dapagliflozin may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Dapagliflozin.]
[R07AX01, nitric oxide, Dapagliflozin may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Dapagliflozin may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Dapagliflozin may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Dapagliflozin may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Dapagliflozin may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA03, norepinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Norepinephrine is combined with Dapagliflozin.]
[G03DC02, norethindrone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Dapagliflozin.]
[R05DA07, noscapine, The metabolism of Dapagliflozin can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Dapagliflozin can be decreased when combined with Interferon beta-1a.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Dapagliflozin.]
[H01CB02, octreotide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Dapagliflozin can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Dapagliflozin can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Dapagliflozin.]
[N02AA02, opium, Dapagliflozin may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
