[S02DA03, antipyrine, The metabolism of Lacosamide can be decreased when combined with Antipyrine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lacosamide.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lacosamide.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lacosamide.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Lacosamide.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Oxypertine.]
[A03AB03, oxyphenonium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Asenapine is combined with Lacosamide.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[M03AC01, pancuronium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Lacosamide.]
[N05CC05, paraldehyde, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Lacosamide can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Lacosamide.]
[G04BD11, fesoterodine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Lacosamide.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Lacosamide.]
[N05CA01, pentobarbital, The metabolism of Lacosamide can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Lacosamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Lacosamide.]
[C08EX02, perhexiline, Perhexiline may increase the bradycardic activities of Lacosamide.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Lacosamide.]
[N02BE03, phenacetin, The metabolism of Lacosamide can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Lacosamide.]
[N03AA02, phenobarbital, The metabolism of Lacosamide can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Lacosamide.]
[M02AA01, phenylbutazone, The metabolism of Lacosamide can be increased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Lacosamide can be decreased when combined with Dexlansoprazole.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Lacosamide can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Lacosamide can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Lacosamide.]
[C08CX01, mibefradil, The metabolism of Lacosamide can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Lacosamide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Lacosamide.]
[J05AE01, saquinavir, The metabolism of Lacosamide can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Lacosamide.]
[A02BX03, pirenzepine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Lacosamide can be decreased when combined with Piroxicam.]
[N02CX01, pizotyline, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The serum concentration of Lacosamide can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Lacosamide can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Lacosamide is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Lacosamide can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Lacosamide.]
[L04AC08, canakinumab, The metabolism of Lacosamide can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Lacosamide can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Lacosamide.]
[C07AB01, practolol, Practolol may increase the bradycardic activities of Lacosamide.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Lacosamide.]
[P02BA01, praziquantel, The metabolism of Lacosamide can be decreased when combined with Praziquantel.]
[S03BA02, prednisolone, The metabolism of Lacosamide can be increased when combined with Prednisolone.]
[C01DX02, prenylamine, Prenylamine may increase the bradycardic activities of Lacosamide.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Lacosamide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Lacosamide can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Lacosamide can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Lacosamide.]
[C10AB05, fenofibrate, The metabolism of Lacosamide can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lacosamide.]
[N04AA04, procyclidine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Lacosamide.]
[N05AA03, promazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, Propafenone may increase the bradycardic activities of Lacosamide.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Lacosamide is combined with Propanidid.]
[A03AB05, propantheline, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Lacosamide.]
[N05CM06, propiomazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Lacosamide.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Lacosamide.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Lacosamide.]
[C07AA05, propranolol, The metabolism of Lacosamide can be decreased when combined with Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Lacosamide.]
[R03DC03, montelukast, The metabolism of Lacosamide can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Lacosamide.]
[N05AX12, aripiprazole, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Lacosamide.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Lacosamide is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Lacosamide is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Lacosamide.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Lacosamide.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Lacosamide.]
[J04AB02, rifampin, The metabolism of Lacosamide can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Lacosamide.]
[J01FA06, roxithromycin, The metabolism of Lacosamide can be decreased when combined with Roxithromycin.]
[S01BC08, salicylic acid, The metabolism of Lacosamide can be decreased when combined with Salicylic acid.]
[S01FA02, scopolamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Lacosamide.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Lacosamide.]
[H01CB01, somatostatin, The metabolism of Lacosamide can be decreased when combined with Somatostatin.]
[C07AA07, sotalol, Sotalol may increase the bradycardic activities of Lacosamide.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Lacosamide.]
[R03BB01, ipratropium bromide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
