[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Prothipendyl.]
[B05AA07, hetastarch, Brivaracetam may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[J04AB04, rifabutin, The metabolism of Brivaracetam can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B05XA08, sodium acetate, Brivaracetam may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Brivaracetam can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Brivaracetam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Brivaracetam.]
[N06AA02, imipramine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R01AD07, tixocortol, Brivaracetam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Brivaracetam.]
[L01CE01, topotecan, Brivaracetam may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A11HA07, inositol, Brivaracetam may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Milnacipran.]
[A03AA30, piperidolate, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V08AB02, iohexol, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Brivaracetam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Brivaracetam.]
[R06AE01, buclizine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Brivaracetam can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Brivaracetam.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Brivaracetam may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Brivaracetam.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Brivaracetam.]
[P01AX06, atovaquone, The metabolism of Brivaracetam can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Brivaracetam.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Brivaracetam.]
[J04AC01, isoniazid, The metabolism of Brivaracetam can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Brivaracetam may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Brivaracetam.]
[S01AA24, kanamycin, Brivaracetam may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Brivaracetam can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Brivaracetam.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Brivaracetam.]
[J02AB02, ketoconazole, The metabolism of Brivaracetam can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Brivaracetam can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Brivaracetam can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Brivaracetam may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Brivaracetam.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Brivaracetam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Lidocaine.]
[S01AA21, amikacin, Brivaracetam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Brivaracetam can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Brivaracetam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Brivaracetam.]
[C10AA02, lovastatin, The metabolism of Brivaracetam can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Brivaracetam.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Brivaracetam.]
[B05XA11, magnesium chloride, Brivaracetam may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Brivaracetam may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Brivaracetam can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Brivaracetam may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Brivaracetam can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Brivaracetam.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Brivaracetam.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Brivaracetam.]
[N06DX01, memantine, The metabolism of Brivaracetam can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Brivaracetam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Brivaracetam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Brivaracetam.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Brivaracetam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Meptazinol.]
[G04BX16, tiopronin, Brivaracetam may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Brivaracetam.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Paliperidone is combined with Brivaracetam.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Brivaracetam.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Brivaracetam.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Brivaracetam.]
[A03AB07, methantheline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Methapyrilene is combined with Brivaracetam.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Methaqualone is combined with Brivaracetam.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Brivaracetam.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Brivaracetam can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Brivaracetam may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Brivaracetam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Brivaracetam.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Brivaracetam is combined with Ziconotide.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AA02, methotrimeprazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Brivaracetam.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Methylene blue.]
[R03DA05, aminophylline, Brivaracetam may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA04, methylphenidate, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Brivaracetam.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Brivaracetam.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Brivaracetam.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Brivaracetam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Brivaracetam.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Brivaracetam can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Brivaracetam can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Brivaracetam can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Brivaracetam.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Brivaracetam.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Brivaracetam can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[L01XX23, mitotane, The metabolism of Brivaracetam can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Molindone is combined with Brivaracetam.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01BD01, amiodarone, The metabolism of Brivaracetam can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Brivaracetam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Brivaracetam.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Brivaracetam can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Brivaracetam may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Brivaracetam.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Brivaracetam.]
[P01BA06, amodiaquine, The metabolism of Brivaracetam can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Brivaracetam can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Brivaracetam can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N04BC04, ropinirole, Brivaracetam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Brivaracetam.]
[V03AB15, naloxone, The metabolism of Brivaracetam can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Brivaracetam can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Brivaracetam can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Brivaracetam.]
[S03AA01, neomycin, Brivaracetam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Brivaracetam.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Iloperidone is combined with Brivaracetam.]
[J02AA01, amphotericin B, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Amphotericin B.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L03AX16, plerixafor, Brivaracetam may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Brivaracetam may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Brivaracetam.]
[C08CA04, nicardipine, The metabolism of Brivaracetam can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Brivaracetam.]
[N07BA01, nicotine, The metabolism of Brivaracetam can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Brivaracetam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Brivaracetam.]
[N04BC05, pramipexole, Brivaracetam may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nomifensine is combined with Brivaracetam.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Brivaracetam.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Brivaracetam.]
[C02KX01, bosentan, The metabolism of Brivaracetam can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Brivaracetam can be decreased when combined with Noscapine.]
[L04AC04, rilonacept, The metabolism of Brivaracetam can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Brivaracetam can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Opium.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Brivaracetam can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Brivaracetam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Brivaracetam.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Brivaracetam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Brivaracetam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03AB03, oxyphenonium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[M03AC01, pancuronium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, Brivaracetam may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Brivaracetam.]
[N05CC05, paraldehyde, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Brivaracetam.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G04BD11, fesoterodine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Brivaracetam.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Brivaracetam may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Brivaracetam.]
[N05CA01, pentobarbital, The metabolism of Brivaracetam can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Brivaracetam may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Brivaracetam may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Brivaracetam.]
[C08EX02, perhexiline, The metabolism of Brivaracetam can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Brivaracetam.]
[N02BE03, phenacetin, The metabolism of Brivaracetam can be decreased when combined with Phenacetin.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Brivaracetam.]
[N03AA02, phenobarbital, The metabolism of Brivaracetam can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Brivaracetam can be decreased when combined with Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Brivaracetam can be decreased when combined with Phenylbutazone.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Brivaracetam can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Brivaracetam can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Brivaracetam.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Brivaracetam.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Brivaracetam can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Pipotiazine is combined with Brivaracetam.]
[N06BX03, piracetam, Brivaracetam may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02CX01, pizotyline, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Brivaracetam can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Brivaracetam can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Proxibarbal.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Brivaracetam.]
[L04AC08, canakinumab, The metabolism of Brivaracetam can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Brivaracetam can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Brivaracetam may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Brivaracetam.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Brivaracetam.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Prilocaine.]
