[P02BB01, trichlorfon, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metrifonate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Thiopental is combined with Pyrantel.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Mepyramine.]
[C01BA01, quinidine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The metabolism of Thiopental can be decreased when combined with Quinine.]
[C02AA01, rescinnamine, Thiopental may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Thiopental may increase the hypotensive activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Thiopental can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxitriptan.]
[S01FA02, scopolamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Thiopental can be increased when combined with Secobarbital.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Thiopental.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Thiopental.]
[L01FA03, obinutuzumab, Thiopental may increase the hypotensive activities of Obinutuzumab.]
[H01CB01, somatostatin, The risk or severity of adverse effects can be increased when Somatostatin is combined with Thiopental.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Thiopental.]
[C07AA07, sotalol, Thiopental may increase the hypotensive activities of Sotalol.]
[C03DA01, spironolactone, Thiopental may increase the hypotensive activities of Spironolactone.]
