[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Meperidine can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Meperidine can be increased when combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Meperidine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Meperidine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Meperidine is combined with Prothipendyl.]
[B05AA07, hetastarch, Meperidine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[J04AB04, rifabutin, The metabolism of Meperidine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[B05XA08, sodium acetate, Meperidine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Meperidine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Meperidine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Meperidine is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Meperidine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Meperidine.]
[R01AD07, tixocortol, Meperidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Tizanidine.]
[L01CE01, topotecan, Meperidine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A11HA07, inositol, Meperidine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Meperidine.]
[S01XA28, varenicline, Meperidine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Articaine.]
[A10BH01, sitagliptin, Meperidine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Meperidine is combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Meperidine.]
[C10AA06, cerivastatin, The metabolism of Meperidine can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Meperidine is combined with Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Meperidine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Meperidine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Iproniazid is combined with Meperidine.]
[N05AA07, chlorproethazine, The risk or severity of hypotension and CNS depression can be increased when Chlorproethazine is combined with Meperidine.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Isocarboxazid is combined with Meperidine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Meperidine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Meperidine is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Meperidine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Meperidine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Meperidine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Meperidine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Meperidine.]
[S01AA24, kanamycin, Meperidine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Meperidine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Meperidine is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Meperidine.]
[H02CA04, levoketoconazole, The metabolism of Meperidine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Meperidine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Meperidine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Meperidine can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Meperidine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Meperidine may increase the sedative activities of Rotigotine.]
[D10AX03, azelaic acid, Meperidine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C07AG01, labetalol, Meperidine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Meperidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Meperidine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Meperidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Meperidine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Meperidine.]
[S01AA21, amikacin, Meperidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Meperidine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Meperidine is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Meperidine is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Meperidine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Meperidine is combined with Loxapine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Meperidine.]
[B05XA11, magnesium chloride, Meperidine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Meperidine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Meperidine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Meperidine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, Meperidine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Meperidine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Meperidine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Meperidine is combined with Mazindol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Meperidine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Meperidine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Meperidine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Meperidine is combined with Melatonin.]
[N06DX01, memantine, The risk or severity of adverse effects can be increased when Meperidine is combined with Memantine.]
[N07XX04, sodium oxybate, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[C01DA05, pentaerythritol tetranitrate, Meperidine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Meperidine can be increased when combined with Fluticasone furoate.]
[C01CA11, mephentermine, The therapeutic efficacy of Meperidine can be increased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Meperidine is combined with Mephenytoin.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Meperidine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meperidine is combined with Meptazinol.]
[G04BX16, tiopronin, Meperidine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Meperidine can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AC03, mesoridazine, The risk or severity of hypotension and CNS depression can be increased when Mesoridazine is combined with Meperidine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Meperidine is combined with Paliperidone.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Meperidine is combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Meperidine can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Meperidine.]
[N06BA03, methamphetamine, The therapeutic efficacy of Meperidine can be increased when used in combination with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Meperidine.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Meperidine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Meperidine is combined with Methaqualone.]
[J05AF05, lamivudine, Meperidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Meperidine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Meperidine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Meperidine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Meperidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Meperidine.]
[N05CA15, methohexital, Methohexital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Meperidine is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Meperidine.]
[N05AA02, methotrimeprazine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Meperidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Meperidine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Meperidine.]
[C02AB01, methyldopa, Meperidine may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, Meperidine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Meperidine can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Meperidine.]
[H02AB04, methylprednisolone, The metabolism of Meperidine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Meperidine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Meperidine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Meperidine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Meperidine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Meperidine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[P01AB01, metronidazole, The metabolism of Meperidine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Meperidine can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Meperidine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Meperidine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Meperidine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Midazolam.]
[G03XB01, mifepristone, The metabolism of Meperidine can be increased when combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Meperidine.]
[J05AH01, zanamivir, Meperidine may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[J01FA11, miocamycin, The metabolism of Meperidine can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Meperidine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Meperidine can be increased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Meperidine is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Meperidine can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Meperidine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Meperidine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Meperidine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Meperidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Meperidine can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Meperidine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Meperidine.]
[L04AA06, mycophenolic acid, Meperidine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Meperidine.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[G03XC01, raloxifene, The metabolism of Meperidine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Meperidine.]
[N03AB05, fosphenytoin, The serum concentration of Meperidine can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Meperidine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Meperidine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[N04BC04, ropinirole, Meperidine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Meperidine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Meperidine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The therapeutic efficacy of Meperidine can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Meperidine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Meperidine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Meperidine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N06BA01, amphetamine, The therapeutic efficacy of Meperidine can be increased when used in combination with Amphetamine.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A10BG01, troglitazone, The metabolism of Meperidine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Meperidine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Meperidine.]
[S03AA01, neomycin, Meperidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Meperidine is combined with Remifentanil.]
[B01AC17, tirofiban, Meperidine may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Meperidine is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L03AX16, plerixafor, Meperidine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Meperidine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Desvenlafaxine.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CE01, inamrinone, Meperidine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Meperidine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Nialamide is combined with Meperidine.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Meperidine.]
[N07BA01, nicotine, The metabolism of Meperidine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Meperidine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Nitrazepam.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Meperidine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Meperidine is combined with Zaleplon.]
[N04BC05, pramipexole, Meperidine may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01AX13, nitrous oxide, The risk or severity of myocardial depression can be increased when Meperidine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Meperidine is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Meperidine.]
[C02KX01, bosentan, The metabolism of Meperidine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The risk or severity of adverse effects can be increased when Nortriptyline is combined with Meperidine.]
[R05DA07, noscapine, The metabolism of Meperidine can be decreased when combined with Noscapine.]
[H01CB02, octreotide, The metabolism of Meperidine can be decreased when combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Meperidine can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Meperidine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Meperidine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Meperidine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Meperidine is combined with Opium.]
[G04CA02, tamsulosin, Meperidine may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[J01CF04, oxacillin, Meperidine may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Meperidine.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Meperidine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Meperidine.]
[J04AB30, capreomycin, Meperidine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[N05CC05, paraldehyde, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The metabolism of Meperidine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Pargyline is combined with Meperidine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Meperidine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Meperidine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Meperidine is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Meperidine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N02AD01, pentazocine, The therapeutic efficacy of Meperidine can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[L01XX08, pentostatin, Meperidine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Meperidine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB10, perazine, The risk or severity of hypotension and CNS depression can be increased when Perazine is combined with Meperidine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Meperidine is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Meperidine.]
[N05AB03, perphenazine, The risk or severity of hypotension and CNS depression can be increased when Perphenazine is combined with Meperidine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Meperidine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Phenelzine is combined with Meperidine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Meperidine is combined with Phenindione.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Meperidine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Meperidine.]
[A08AA01, phentermine, The therapeutic efficacy of Meperidine can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, Meperidine may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The metabolism of Meperidine can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The serum concentration of Meperidine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Meperidine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Meperidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Meperidine.]
[B02BA01, vitamin K1, Meperidine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Meperidine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Meperidine.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Meperidine is combined with Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Meperidine can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of hypotension and CNS depression can be increased when Pipotiazine is combined with Meperidine.]
[N06BX03, piracetam, Meperidine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Meperidine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Meperidine is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Meperidine.]
[J05AG02, delavirdine, The metabolism of Meperidine can be decreased when combined with Delavirdine.]
